content,title,url,genre,period,specific_genre,author
"Chiều nắng úa gió về trên bến vắng<
>Bước sông hồ dừng lại bến cô liêu<
>Thuyền trôi xa văng vẳng tiếng chuông chiều<
>Nghe âm vọng một vương triều đã khuất...",Bến Cô Liêu,https://isach.info/poem.php?poem=ben_co_lieu__bao_cuong,bảy chữ,hiện đại,,Bảo Cường
"Ta một mình giữa dòng đời xuôi ngược<
>Kiếm tìm em... em mất hút cuối trời<
>Đường em đi - bao hoa lạ đón mời<
>Ta lận đận suốt một đời tay trắng<
>Dẫu có em vẫn thấy đời trống vắng<
>Tương lai mờ - hạnh phúc cuối tầm tay<
>Đời cát bụi biết đâu là nguồn cội<
>Ta gã khờ hát dạo tuổi chiều phai",Cát Bụi (2),https://isach.info/poem.php?poem=cat_bui_2__bao_cuong,bảy chữ,hiện đại,,Bảo Cường
"(Tặng đoàn Nghệ thuật ca kịch Huế)<
>Rừng Phước Long nằm im bên bờ suối<
>Bỗng xôn xao đoàn tiên nữ giáng trần<
>Thác Mơ chảy hiền như dòng sữa Mẹ<
>Thủy điện về khơi sáng những lều tranh<
>Chiều lung linh những nàng tiên xứ Huế<
>Áo vờn bay trong nắng ngã bên đồi<
>Thăm Thác Mơ đem lời thơ tiếng hát<
>Bao tình thương xoa dịu nỗi nhọc nhằn<
>Cám ơn người đã chia sẻ tình thâm<
>Đêm rừng núi nghe thiên thần ca múa<
>Một đêm vui dẫu mai sau xa cách<
>Cũng ấm lòng ở lại tiễn người đi<
>Tình vô biên... im lặng... khắc ghi<
>Trong vực thẳm lòng triều dâng dậy sóng<
>Nghe âm vang khúc tình ca đứt đoạn<
>Tiếng hát buồn như phận bạc Huyền Trân<
>Điệu Nam Ai nghe buồn thương mái đẩy<
>Lý tang tình sao nhớ lắm người ơi<
>Áo trắng tinh khôi e ấp nón nghiêng trời<
>Bay lượn giữa chiều núi rừng tịch mịch<
>Đêm thủy chung... đêm vẹn tình ca Huế<
>Nắng ân tình sưởi ấm lại niềm vui<
>Rừng Thác Mơ nước xuôi về trăm ngả<
>Lưới điện hòa chung nhịp thở Nam Trung<
>Dù mai đây sông núi cách muôn trùng<
>Rừng muôn thuở vẫn nhớ về biển cả<
>Cầu chúc đoàn ngày đi đường êm ả<
>Hẹn một ngày ghé thăm lại Thác Mơ<
>Vẫn biết đời tan hợp giấc mơ<
>Sao chua xót cho người đi kẻ ở<
>Chút ân tình dù mai sau cách trở<
>Trọn tấm lòng dành cho Huế bài thơ<
>Phước Long thứ ba 11-3-1997",Đêm Thác Mơ Nhớ Huế,https://isach.info/poem.php?poem=dem_thac_mo_nho_hue__bao_cuong,bảy chữ,hiện đại,,Bảo Cường
"Thuyển nhỏ sóng xô bờ<
>Thuyền trôi về vô định<
>Ta ngắm trời bịn rịn<
>Mơ trời xanh Huế thơ<
>Áo em tím một thời<
>Làm lòng ta chơi vơi<
>Sầu dâng lên tiếng sáo<
>Ta lang bạt nửa đời<
>Đêm sóng vỗ mạn thuyền<
>Hòa khúc nhạc thần tiên<
>Thương Huyền Trân phận bạc<
>Ai chia sớt nỗi niềm?<
>Em chừ xa xôi lắm<
>Biết tìm em nơi đâu?<
>Mắt em rưng lệ ngọc<
>Nhỏ xuống dòng Hương sầu<
>Biển muôn đời vẫn xanh<
>Sóng ngàn năm vẫn vỗ<
>Đời thiếu em, bão tố<
>Tóc xanh, sớm bạc đầu",Đời Vắng Em,https://isach.info/poem.php?poem=doi_vang_em__bao_cuong,thơ tự do,hiện đại,,Bảo Cường
"Mắt em tím để hồn anh mơ mộng<
>Đêm tương tư tha thiết bóng hình ai<
>Hoa tàn phai mùi hương xưa phảng phất<
>Em đi rồi ngàn nỗi nhớ vây quanh<
>Bên cốc rượu tưởng người xưa hiện đến<
>Ngày bơ vơ ngong ngóng bước ai về<
>Chiều cô đơn nghe đàn buồn quạnh quẽ<
>Tiếng hát nào... như em hát ngày xưa<
>Em chợt đến chợt đi trời chuyển hướng<
>Biển xanh kia sao thăm thẳm vô cùng<
>Ta đứng gọi, gọi tên người vô vọng<
>Giữa muôn trùng con sóng vẫn mênh mông<
>Ơi ngày tháng sao cứ dài vô hàn<
>Tưởng quên đi sao nhung nhớ lại về<
>Đôi mắt em suốt một đời đeo đuổi<
>Luôn bên anh như chiếc bóng theo hình<
>Ta sợ lắm một ngày thu hiu hắt<
>Chiếc lá rơi bên sông vắng âm thầm<
>Ta mãi nhớ - mãi thương người độ lượng<
>Người xa rồi màu tím cũ vấn vương",Mắt Tím,https://isach.info/poem.php?poem=mat_tim__bao_cuong,bảy chữ,hiện đại,,Bảo Cường
"Ta mơ về phố cũ<
>Nơi hẹn hò thuở xưa<
>Tìm em trong giấc ngủ<
>Tình ơi xanh mấy mùa?",Mấy Mùa,https://isach.info/poem.php?poem=may_mua__bao_cuong,thơ tự do,hiện đại,,Bảo Cường
"Ngày ba mươi Tết em không đến<
>Nặng trĩu lòng anh nỗi nhớ thương<
>Đồi vắng chiều nay ta đứng đợi<
>Nhìn làn mây trắng mối tô vương<
>Ngày ba mươi Tết em không đến<
>Anh nhủ lòng thôi gắng đợi chờ<
>Hoa nở vườn ai vui nắng mới<
>Anh buồn lặng ngắm bóng mây xa<
>Ngày ba mươi Tết em không đến<
>Để hỏi đôi lời buổi cuối năm<
>Được ôm em giữa vòng tay ấm<
>Để thấy thời gian rót nhịp đằm<
>Ngày mai đã bước sang năm mới<
>Em có vui không mộng có tròn?<
>Ngày cũng nhiều khi qua rất vội<
>Anh mơ gần mãi chiếc môi son.",Mong Em Ba Mươi Tết,https://isach.info/poem.php?poem=mong_em_ba_muoi_tet__bao_cuong,lục bát,hiện đại,,Bảo Cường
"(Tặng Phạm Ngọc, Nguyên Phương)<
>Anh về tự bao giờ<
>Trông chẳng khác gì xưa<
>Có trầm tư đôi chút<
>Bao cuộc sống gió mưa<
>Ngỡ ngàng gặp nhau đây<
>Tay xiết chặt vai gầy<
>Tưởng chừng như giấc ngủ<
>Mộng và thực hôm nay<
>Buồn cuộc đời dâu bể<
>Thương nhớ những người đi<
>Ngày tàn cơn binh chiến<
>Có người mãi không về<
>Quê mình giờ xơ xác<
>Buồn quá phải không anh<
>Còn đâu chiều tan học<
>Phượng đỏ thắm ngày xanh<
>Sông Hương còn mãi đó<
>Hoàng thành soi bóng mây<
>Lòng sao như rêu phủ<
>Lan tỏa bức tường dày<
>Chuyện cũ đã qua rồi<
>Còn kỷ niệm mà thôi<
>Biết bao giờ trở lại<
>Những tháng ngày xa xôi<
>Mừng gặp lại nhau đây<
>Bao tháng rộng năm dài<
>Dẫu cuộc đời hư ảo<
>Tình bạn vẫn không phai<
>Ngày mai anh lại đi<
>Về phương trời xứ lạ<
>Nhìn bến cũ đường quê<
>Lòng có còn nhung nhớ?<
>Dù ở phương trời nào<
>Dù lắm cuộc bể dâu<
>Tình anh là sóng nước<
>Vỗ về những nương dâu",Mừng Anh Về,https://isach.info/poem.php?poem=mung_anh_ve__bao_cuong,thơ tự do,hiện đại,,Bảo Cường
"(Tặng anh Kháng &amp; anh chị Sang)<
>Ngày xưa có mẹ bên con<
>Bây giờ mẹ mất héo hon cuộc đời<
>Ngày con đi trời sang thu vàng úa<
>Lá lìa cành rơi lả tả buồn tênh<
>Đường tương lai - sao mờ mịt vô hình<
>Đôi chân bước nghe thác ghềnh dậy sóng<
>Ngày con đi trời buồn không nắng ấm<
>Mẹ còng lưng gạt lệ tiễn con đi<
>Phương Nam xa xôi vất vả nửa đời<
>Chiều lưu lạc nghe lời ru nhớ mẹ<
>Quãng đường dài biết bao điều gian khổ<
>Bao dốc đèo đường hố thẳm vực sâu<
>Đã ra đi thì trăm sự cũng liều<
>Mặc giông bão cho sóng đời xô đẩy<
>Nơi quê người - chiều nay thương nhớ mẹ<
>Mỗi đông về bên bếp lửa chờ mong<
>Đốm lửa lụi tàn - đời mẹ gian truân<
>Bao cay đắng từ ngày rời xa mẹ.<
>Đã lớn khôn tâm hồn con nhỏ bé<
>Ước ngày xưa con có mẹ yêu thương<
>Chừ xa quê đời vất vả trăm đường<
>Mong khấm khá, mẹ con qua khổ cực<
>Giờ ấm no mẹ cha không còn nữa<
>Nghĩ cuộc đời sao lắm nỗi chua cay?<
>Địa vị công danh, liệu ích gì đây?<
>Không có mẹ cuộc đời sao tẻ lạnh<
>Quặn thắt lòng - nhớ công ơn trời biển<
>Viết bài thơ con tạ lỗi mẹ hiền<
>Đứa con hoang bỏ làng đi biền biệt<
>Biết bao giờ - có lại thuở chưa xa?",Ngày Xưa Mẹ Tiễn Con Đi,https://isach.info/poem.php?poem=ngay_xua_me_tien_con_di__bao_cuong,bảy chữ,hiện đại,,Bảo Cường
"Lấp lánh một góc trời<
>Văng vẳng nhạc vũ trường<
>Một tiếng hát sầu thương<
>Kiếp tằm tơ khổ lụy<
>Cúi đầu im lặng",Người Đàn Bà Quét Đường,https://isach.info/poem.php?poem=nguoi_dan_ba_quet_duong__bao_cuong,thơ tự do,hiện đại,,Bảo Cường
