content,title,url,genre,period,specific_genre,author
"Em cầm tờ lịch cũ<
>Ngày hôm qua đâu rồi<
>Ra ngoài sân hỏi bố<
>Xoa đầu em bố cười<
>Ngày hôm qua ở lại<
>Trong hạt lúa mẹ trồng<
>Cánh đồng chờ gặt hái<
>Chín vàng màu ước mong<
>Ngày hôm qua ở lại<
>Trên cành hoa trong vườn<
>Nụ hồng lớn thêm mãi<
>Đợi đến ngày tỏa hương<
>Ngày hôm qua ở lại<
>Trong vở hồng của con<
>Con học hành chăm chỉ<
>Là ngày qua vẫn còn.",Bóc Lịch,https://isach.info/poem.php?poem=boc_lich__be_kien_quoc,thơ tự do,hiện đại,,Bế Kiến Quốc
"Coi dăm ba bàn tay<
>Nói tầm bậy tầm bạ…<
>Mà em mắc lừa ngay<
>- Nè coi tay em thử!<
>Chao! Bàn tay xinh quá!<
>Những ngón nhỏ thanh dài…<
>“Thầy” giả vờ ngẫm nghĩ<
>Cốt được cầm ngắm hoài…<
>Anh là thầy tướng vụng<
>Tìm khắp bàn tay xinh<
>Mãi không ra biểu tượng<
>Nói rằng em thương anh…<
>Bình Thành, ngày 5-7-1984",Coi Tướng Tay,https://isach.info/poem.php?poem=coi_tuong_tay__be_kien_quoc,thơ tự do,hiện đại,,Bế Kiến Quốc
"Vươn mãi vào bề sâu<
>Cái rễ non tìm đường cho cây<
>Qua sỏi đá có khi tướp máu<
>Hướng mãi lên chiều cao<
>Cái cành non vượt mưa đông nắng hạ<
>Nảy chiếc lá như người sinh nở<
>Ai đang ngồi hát trước mùa xuân<
>Cuộc đời như thể tự nhiên xanh<
>Chỉ có đất yêu cây thì đất biết<
>Những nơi đau nơi cuối rễ đầu cành...",Cuối Rễ Đầu Cành,https://isach.info/poem.php?poem=cuoi_re_va_dau_canh__be_kien_quoc,bảy chữ,hiện đại,,Bế Kiến Quốc
"3. Moise là người nữ<
>Bỗng lửa trăng bừng cháy trên lùm cây...<
>Tôi lặng lẽ cúi hôn bàn tay người, rồi trả lời: ""Anh tin"".",Đất Hứa,https://isach.info/poem.php?poem=dat_hua__be_kien_quoc,lục bát,hiện đại,,Bế Kiến Quốc
"Trong một thời quá ít tình thương yêu<
>Đã thương yêu hết lòng<
>Giữa một đời quá nhiều điều phải nghĩ<
>Đã nghĩ suy tới cùng<
>(Dù khi đúng khi sai)<
>Mộ một người như thế ở trên núi Huỳnh Mai<
>Nhà từ khúc, nhà thơ, nhà viết kịch<
>Người đã sống một thời khó khăn cùng đất nước<
>Lòng vương mang gánh nghĩa gánh tình… (*)<
>Phải luôn luôn biết sợ thời gian<
>Những lỗi lầm trong đời có thể vì thời gian quá ít<
>Những thời gian qua đi, đem tới sự công bằng<
>Khi nhìn lại những lỗi lầm thuở trước.<
>Dẫu khi đúng khi sai, nhưng gắng giữ tâm hồn trong sạch<
>Chưa biết cách giúp dân, nhưng lòng đã thương dân<
>Cứu nước chưa thấy đường, nhưng xót xa với nước<
>Anh hùng chưa làm theo, nhưng khác lũ gian thần…<
>Ở trên núi Huỳnh Mai mộ một người như thế<
>Người đã ngóng phương trời gửi lại gánh non sông (*)<
>Non sông ấy chuyền vai thế hệ<
>Nay vàng đóa mai xuân. Đào Tấn hẳn vui lòng?<
>(*) Những câu thơ trong tuồng Đào Tấn",Dưới Núi Huỳnh Mai Nghĩ Về Đào Tấn,https://isach.info/poem.php?poem=duoi_nui_huynh_mai_nghi_ve_dao_tan__be_kien_quoc,thơ tự do,hiện đại,,Bế Kiến Quốc
"Hoa huệ trắng. Và bức tường cũng trắng.<
>Sao bóng hoa trên tường lại đen?<
>Em đừng nhìn đi đâu nữa em<
>Anh không biết vì sao anh có lỗi<
>Nhưng mãi mãi vẫn còn câu hỏi:<
>Sao bóng hoa trên tường lại đen…",Hoa Huệ,https://isach.info/poem.php?poem=hoa_hue__be_kien_quoc,lục bát,hiện đại,,Bế Kiến Quốc
"Đã bắt đầu nếm náp vị chia xa<
>Hai chữ biệt ly ngó chỗ nào cũng gặp.<
>Em ngồi đó – anh gắng dời ánh mắt<
>Anh tập nhìn không-gian-không-có-em…<
>Phải làm quen với ban ngày ban đêm<
>Với thời-gian-không-em sắp trải dài vợi vợi…<
>Lòng choáng rợn nữa rồi sao chịu nổi!<
>Nỗi buồn lên. Trăng lặn. Hết đêm rồi.<
>Chân đã dợm bước vào ranh giới của xa xôi<
>Và ký ức vội cuống cuồng thâu nhận<
>Hình với tiếng… để biến thành kỷ niệm<
>Đang ở gần đã nhớ lúc gần nhau…<
>Đang ở gần đã nói “một ngày sau…”<
>Ba tiếng “một ngày sau…” nhói đau mà chẳng biết…<
>Như đang nghe đoạn cuối cùng khúc hát<
>Vừa khẽ ngân vừa lặng tắt xa dần…",Không Đề 04,https://isach.info/poem.php?poem=khong_de_04__be_kien_quoc,bảy chữ,hiện đại,,Bế Kiến Quốc
"Cây một vòm xanh trên mái đầu<
>Trăng một vầng cao, đêm một sâu<
>Và mắt một đôi thăm thẳm ngó<
>Buổi tối cuối cùng được thấy nhau…<
>Rồi một mình anh trở lại đây<
>Cũng đến ngồi y một chỗ này<
>Buồn một nỗi buồn không thể vợi<
>Với một vầng trăng một bóng cây…",Không Đề 05,https://isach.info/poem.php?poem=khong_de_05__be_kien_quoc,lục bát,hiện đại,,Bế Kiến Quốc
"Không hy vọng có em về<
>Ra ngồi quán uống cà phê một mình.<
>Trời ơi Sa Đéc buồn tênh<
>Nhớ mong là sóng – ta bềnh bồng trôi.<
>Nhìn bao má phấn son môi<
>Biết không còn gặp lại rồi mắt em…<
>Người ta dọn quán – Ồ đêm!<
>Ngẩn ngơ đứng mãi ngoài thềm – Đi đâu?!<
>Một mình ở dưới trời sâu<
>Buồn như cái thuở ban đầu biết yêu.",Không Đề 06,https://isach.info/poem.php?poem=khong_de_06__be_kien_quoc,lục bát,hiện đại,,Bế Kiến Quốc
"Cần những nhành hoa mới<
>Nở cho anh và em<
>Cần những tuần trăng mới<
>Đưa ta vào trời đêm...<
>Không sa vào thói quen<
>Như những ngày đầu tiên<
>Cần có những hờn dỗi<
>Để nhớ và để quên<
>Cần có những gặng hỏi<
>Để nghi ngờ hờn ghen!<
>Cần những bài ca mới<
>Để hát về niềm tin,<
>Cần những chiều ngóng đợi<
>Cả con đường chờ em...<
>Không sa vào thói quen<
>Ngày qua rồi ngày tới<
>Tốt thêm và đẹp thêm<
>Mãi mãi ngày đầu tiên...",Mãi Mãi Ngày Đầu Tiên,https://isach.info/poem.php?poem=mai_mai_ngay_dau_tien__be_kien_quoc,thơ tự do,hiện đại,,Bế Kiến Quốc
