content,title,url,genre,period,specific_genre,author
"Mậu Thân 2.000 người xuống đồng bằng<
>Chỉ một đêm, còn sống có 30<
>Ai chịu trách nhiệm về cái chết 2.000 người đó?<
>Tôi - người viết những câu thơ cổ võ<
>Ca tụng người không tiếc mạng mình<
>trong mọi cuộc xung phong.<
>Một trong ba mươi người kia ở mặt trận về sau mười năm<
>Ngồi bán quán bên đường nuôi đàn con nhỏ<
>Quán treo huân chương đầy, mọi cỡ,<
>Chả huân chương nào nuôi được người lính cũ!<
>Ai chịu trách nhiệm vậy?<
>Lại chính là tôi!<
>Người lính cần một câu thơ giải đáp về đời,",Ai Tôi!,https://isach.info/poem.php?poem=ai_toi__che_lan_vien,thơ tự do,hiện đại,,Chế Lan Viên
"Bảo anh không còn có khả năng nhai<
>Và đưa anh từ nay ra khỏi tiệc...<
>Thế thì đâu còn dịp nhai thứ thiệt?<
>Rốt cuộc anh lại ngồi vào bàn<
>Như không có gì xảy ra hết<
>Và những người khác thấy anh ngồi,<
>Họ cũng ngồi thôi",Bánh Vẽ,https://isach.info/poem.php?poem=banh_ve__che_lan_vien,bảy chữ,hiện đại,,Chế Lan Viên
"Tôi từ xứ lắm bom<
>Giáp mặt nghìn lần cùng cái chết<
>Đứng trước chiếc bình con<
>Vẫn cứ bàng hoàng<
>Ồ! Ta đã nghe rao giảng về hư vô<
>Tro tàn, gió rét.<
>Ăn miếng buồn trong thơ<
>Uống nỗi đau ở triết,<
>Ờ, thế mà chả có gì mất hết<
>Chiếc bình kia vẫn còn<
>Vỏ ốc hóa vôi<
>Rễ cây bám bình hóa thạch<
>Nét hoa văn vẫn cười.<
>Dù hoa chỉ một ngày<
>Dù sóng kia vạn tuổi<
>Dù đời nhiều chuyện rủi<
>Mà rất nghèo cơ may<
>Chiếc bình xưa vẫn đó<
>Người này vứt để quên<
>Người kia cầm lại nhớ<
>Thời này dù vứt bỏ<
>Thì thời kia nhặt lên.",Bình Đựng Lệ,https://isach.info/poem.php?poem=binh_dung_le__che_lan_vien,thơ tự do,hiện đại,,Chế Lan Viên
"Từ có Bác cuộc đời chợt sáng<
>Bát cơm no ngày tám tháng ba<
>Cơm thơm ăn với cá kho<
>Công đức Bác Hồ bản nhớ nghìn năm<
>Bác thương dân chăm ăn chăm mặc<
>Em đi chợ đồng bằng bán hạt sa nhân.<
>Tháng giêng thêu áo,may quần,<
>Tháng hai trảy hội mừa xuân hãy còn<
>Lớp bình dân cuối thôn em học<
>Người thêm khô đất mọc thêm hoa<
>Chim khôn chim múa,chim ca<
>Bản em có Bác như nhà có trăng<
>Muối lên rừng tay bưng tay đặt<
>Bộ đội Bác lên rừng công tác em thương,<
>Khi xưa lên núi không đường<
>Giờ anh lên núi bản Mường đợi anh<
>Ra vườn xanh hái nhành vải đỏ,<
>Xuống ruộng vàng gặt bó lúa hương<
>Ngày vui nấu bữa cơm thường<
>Thết anh cán bộ lên Mường giúp dân.",Bữa Cơm Thường Trong Bản Nhỏ,https://isach.info/poem.php?poem=bua_com_thuong_trong_ban_nho__che_lan_vien,lục bát,hiện đại,,Chế Lan Viên
"Thôi không còn chờ mùa hoa phía trước<
>Mà ngoái đầu nhẩm lại các mùa hoa phía sau<
>Đấy là quy luật<
>Nhận mà không đau<
>Nhớ từ mùa hoa trong vườn mẹ<
>Lúc ấy là mai hay đào?<
>Lại nhớ mùa hoa xoan xứ Huế<
>Màu ngọc hồng trong chiêm bao…<
>Thôi cho ta khỏi đếm từng mùa hoa một<
>Ta có còn nó đâu?<
>Không phải hoa khuất mà ta khuất<
>Ta đi vào xứ không màu.<
>Cảm ơn một mùa ở trên trái đất<
>Cái hành tinh không vắng lặng giữa thiên hà<
>Không phải chỉ vì có hơi người ấm áp<
>Mà vì còn có các mùa hoa.<
>Dù là một chiếc hoa dại hoa vườn nhỏ nhặt<
>Ở trong cõi không màu, ta vẫn thấy nó từ xa.",Các Mùa Hoa,https://isach.info/poem.php?poem=cac_mua_hoa__che_lan_vien,bảy chữ,hiện đại,,Chế Lan Viên
"Này chiếc sọ người kia, mi hỡi!<
>Dưới làn xương mỏng mảnh của đầu mi;<
>Mi nhớ gì, tưởng gì trong đêm tối?<
>Mi trông mong ao ước những điều chi?<
>Mi nhớ đến cảnh pháp trường ghê rợn<
>Sọ muôn người lần lượt đuổi nhau rơi?<
>Hay mi nhớ những đêm mờ rùng rợn<
>Hồn mi bay trong đốm lửa ma trơi?<
>Có tìm chăng, những chiều không tiếng gió,<
>Của người mi thi thể rữa tan rồi?<
>Có tưởng lại mảnh hồn mi đau khổ<
>Đang lạc loài trong Cõi Chết xa xôi?<
>Hỡi chiếc sọ, ta vô cùng rồ dại<
>Muốn giết ta trong sức mạnh tay ta!<
>Để những giọt máu đào còn đọng lại<
>Theo hồn ta, tuôn chảy những lời thơ.<
>Ta muốn cắn mi ra từng mảnh nhỏ!<
>Muốn điên cuồng nuốt cả khối xương khô!<
>Để nếm lại cả một thời xưa cũ<
>Cả một dòng năm tháng đã trôi xa!",Cái Sọ Người,https://isach.info/poem.php?poem=cai_so_nguoi__che_lan_vien,bảy chữ,hiện đại,,Chế Lan Viên
"Canh cá tràu mẹ thường hay nấu khế<
>Khế trong vườn thêm một tý rau thơm<
>Ừ,thế đó mà một đời xa cách mẹ<
>Ba mươi năm trở lại nhà,nước mắt xuống mâm cơm!",Canh Cá Tràu,https://isach.info/poem.php?poem=canh_ca_trau__che_lan_vien,bảy chữ,hiện đại,,Chế Lan Viên
"Vịt gầy chưa đầy cân<
>Làm thịt ngày dân đói<
>Bữa ăn không tiếng nói<
>Cả nhà im mà ăn.",Cháo Vịt,https://isach.info/poem.php?poem=chao_vit__che_lan_vien,thơ tự do,hiện đại,,Chế Lan Viên
"Anh và bóng anh<
>Anh và bóng em<
>Anh và số phận<
>Anh đi một bước, nó đi một bước<
>Anh đi con mã, nó đi con xe<
>Anh ghềnh con sĩ, nó xơi con tốt<
>Chả còn biết ai sau, ai trước<
>Ăn, chả bao giờ ăn luôn<
>Mà lỡ thua thì thua tuốt<
>Đẩy cờ anh vào những thế chênh vênh<
>Chiếu tướng thình lình<
>Mà chẳng ai đến cùng anh",Cờ,https://isach.info/poem.php?poem=co__che_lan_vien,bảy chữ,hiện đại,,Chế Lan Viên
"Về với con trâu nghé ngọ<
>Có cặp sừng bỡ ngỡ<
>Chiều buồn không nghe hồn lau gọi nữa<
>Xe tiếng gió xạc xào<
>Xa mùi bùn, mùi trâu, rơm rạ…<
>Chỉ nghe danh vọng ầm ào<
>Vinh quang xí xố<
>Hoa Lư ở đâu?<
>Hoa lau ở đâu?<
>Hồn lau ở đâu?<
>Hồn ta ở đâu?",Cờ Lau Đinh Bộ Lĩnh,https://isach.info/poem.php?poem=co_lau_dinh_bo_linh__che_lan_vien,thơ tự do,hiện đại,,Chế Lan Viên
