content,title,url,genre,period,specific_genre,author
"Cỗ bài tam cúc mép cong cong<
>Rút trộm rơm nhà đi trải ổ<
>Chị gọi đôi cây!<
>Trầu cay má đỏ<
>Kết xe hồng đưa chị đến quê em<
>Nghé cây bài tìm hơi tóc ấm<
>Em đừng lớn nữa chị đừng đi<
>Tướng sĩ đỏ đen chui sấp ngửa<
>Ổ rơm thơm đọng tuổi đương thì",Cây Tam Cúc,https://isach.info/poem.php?poem=cay_tam_cuc__hoang_cam,bảy chữ,hiện đại,,Hoàng Cầm
"Đương độ tuổi Em<
>Vậy thì Em ngắt quãng tân hôn<
>Theo Chị lùa mưa đuổi nắng buồn<
>Hai đứa lung linh lơi yếm áo<
>Thuyền trăng dềnh sã cánh cô đơn<
>Chị vỡ pha lê. Bùn vấy tay<
>Hồn trong Em chuốc Chị chiều say<
>Là Em cưới Chị xanh thiêm thiếp<
>Sinh một đàn con",Chị Em Xanh,https://isach.info/poem.php?poem=chi_em_xanh__hoang_cam,lục bát,hiện đại,,Hoàng Cầm
"Tặng Trịnh Công Sơn<
>Anh đứng đây là đâu<
>Em cười như lá mỏng<
>Khép cửa vào chiêm bao<
>Anh đứng đây là đâu<
>Em nói như gió nghẹn<
>Chiều nghiêng mây Thị Mầu<
>Anh đứng đây là đâu<
>Em nhìn như mưa trắng<
>Năm năm bay ngang đầu<
>Anh đứng đây là em.",Chuyện Trăm Năm,https://isach.info/poem.php?poem=chuyen_tram_nam__hoang_cam,thơ tự do,hiện đại,,Hoàng Cầm
"Thòng lọng tơ gì quấn gót<
>Tua khăn buông còn buộc búp hoa lan<
>Ù ù gió thổi<
>Em vọng ai đâu mà hóa đá<
>Không trói mà không đi",Cỏ Bồng Thi,https://isach.info/poem.php?poem=co_bong_thi__hoang_cam,bảy chữ,hiện đại,,Hoàng Cầm
"May cho Em tấm áo sồi non<
>Làng không mở hội<
>Cất cho Em hương quế nước trầm<
>Thẫm đường má răn<
>Chim vàng phải tên dưới bụng<
>Giận mình bay quá cao<
>Bướm ngũ sắc rã rời tay trẻ xé<
>Trách mình quá lộng nắng tàn xuân<
>Trốn tiếng Chị cười<
>Nấp mắt Em trông<
>Trèo ngọn núi Neo đá chởm tai mèo<
>Mát chân rời rợi<
>Đừng ví thân Em hạt gạo tám xoan<
>Đừng vẽ hình Em hoa đào hoa lý<
>Đừng hát tình Em sóng vỗ mưa về<
>Đừng tạc mặt Em lệch mái thùy cung<
>Đợi sau khi Em qua đời<
>Sẻ đồng thành phượng núi<
>Cây đa đường xứ<
>Lớn lên ai hay<
>Vẫn cơn gió cũ<
>Bao nhiêu chiều vụn đá<
>Mắt nắng thay mùa mở lộc non",Đếm Giờ,https://isach.info/poem.php?poem=dem_gio__hoang_cam,bảy chữ,hiện đại,,Hoàng Cầm
"Anh ơi ! Đêm nay đầu người nhấp nhô như gợn sóng<
>Đang trào lên sức sống muôn đời<
>Niềm vui bát ngát trăng soi<
>Mảnh trăng úa máu chân trời Việt Nam<
>Đêm Liên Hoan! Trời ơi, đêm Liên Hoan!<
>Đầu người nhấp nhô như sóng bể ngang tàng<
>Ta muốn thét như vỡ toang lồng ngực<
>Vì say sưa tình thân thiết Việt Chính Đoàn<
>- Anh từ phương nào lại?<
>- Tôi từ đất dấy lên<
>Anh có nghe ngọn thủy triều Đông Hải<
>Đang hờn ghen cùng thúc máu triền miên<
>Thúc máu không tên dội tràn bốn nẻo<
>Cỏ không gầy, cây không già, hoa không héo<
>Ngàn năm đất nước vững bền<
>- Anh từ phương nào lại?<
>- Tôi từ đất dấy lên<
>Chúng ta cùng một mẹ hiền<
>Lúa thơm bầu sữa bông mềm áo tơ<
>Chúng ta chung một mối thù<
>Gươm tung uất hận đạn vù đắng cay<
>- Anh đi từ đâu đến đó?<
>- Tôi đi giết giặc đây<
>Đêm nay gặp bạn cùng nhau chén<
>Máu giặc đang nồng ta phải say<
>Đây ruộng đồng Trung Nam<
>Kia núi rừng Việt Bắc<
>Cỏ cây đang căm hờn như vùng lên đuổi giặc<
>Tôi với anh gặp nhau trong ngày hội Liên Hoan<
>Tay bắt tay, mừng trên giải đất Việt Nam<
>- Mẹ hiền tôi đã khuất<
>Nhưng trước khi nhắm mắt<
>Mẹ mừng cho đàn con<
>Máu tôi mai sẽ chảy<
>Trôi phăng hết kiếp ngựa trâu<
>Xương tôi, tôi bắt nên cầu<
>Cho đàn con bước lên lầu Tự Do!<
>- Anh giết bao nhiêu giặc mà mắt anh long lanh?<
>- Mời anh lên rừng xanh<
>Hỏi những cành lá biếc<
>Rừng âm u đang tưng bừng mở tiệc<
>Bằng thịt, xương và máu của quân thù<
>- Trong tiểu đội anh, những ai còn ai mất?<
>- Không, không ai còn ai mất<
>Ai cũng chết mà thôi!<
>Kẻ trước người sau lao vào giặc<
>Giữ vững ngàn thu một giống nòi<
>Dù cho thịt nát xương phơi<
>Cái còn vĩnh viễn là người Việt Nam!<
>Đêm Liên Hoan, trời ôi, đêm Liên Hoan!<
>Đầu người nhấp nhô như sóng vỗ ngang tàng<
>Ta muốn thét cho vỡ toang lồng ngực<
>Vì say sưa tình thắm thiết Việt Chính Đoàn<
>Người bạn mến thương ơi!<
>Nắm chặt lấy tay tôi<
>- Kìa, sao anh lại khóc?<
>- Tôi quá mừng anh đó thôi!<
>Lần thứ nhất trên đời<
>Tôi quay cuồng nhảy múa<
>Giặc kia ơi! Không bao giờ còn nữa<
>Ta đếm từng ngày<
>Ta trông từng phút, ta đợi từng giây<
>Lửa hờn nghi ngút chờ người đêm nay<
>Chờ người đến đây<
>Ta băm, ta giết!<
>Giặc kia phải chết<
>Núi đồng phơi thây<
>Anh đi hỏi núi<
>Anh về hỏi cây<
>Anh hỏi biển rộng<
>Anh hỏi sông dài<
>Anh hỏi ngô non<
>Anh hỏi lúa bé<
>Anh đi hỏi già, về nhà hỏi trẻ<
>Rằng ta là Việt Chính Đoàn<
>Đêm nay say tiệc liên hoan<
>Ngày mai xé xác moi gan quân thù!<
>Tiệc liên hoan lại tưng bừng hiển hiện<
>Giữa đoàn quân bách chiến<
>Đổ về thủ đô như nước vỡ bờ!<
>Từ mũi Cà Mau cho đến biên giới Lạng<
>Từ nắng sớm Sơn La cho đến mưa chiều Vạn Tượng!<
>Muôn đội đội hùng binh phất phới cờ bay<
>Đoàn quân bách chiến đi suốt đêm ngày<
>- Mẹ ơi! Con đã về đây!<
>Chị hiền từ tốn đưa tay đón mừng...<
>... Anh ơi! Anh tỉnh lại<
>Nước mắt tôi rưng rưng<
>Hình như tôi đã mơ màng<
>Phải rồi, anh Việt Chính Đoàn<
>Đêm nay say tiệc Liên Hoan<
>Ngày mai xé xác moi gan quân thù<
>Bao giờ thu lại tới thu<
>Liên Hoan bừng nở bốn mùa Non Sông!",Đêm Liên Hoan,https://isach.info/poem.php?poem=dem_lien_hoan__hoang_cam,bảy chữ,hiện đại,,Hoàng Cầm
"Cúi lạy mẹ con trở về Kinh Bắc<
>Chiều xưa giẻ quạt voi lồng<
>Thân cau cụt vẫy đuôi mèo trắng mốc<
>Chuồn chuồn khiêng nắng sang sông<
>Đê mười tám khúc Văn Giang<
>Chuông Bách môn đổ xô gò má<
>Mây thành thổi lửa<
>Nẻo Đông Triều khép mở gió kỳ lân<
>Chớp rạch dáng tiên vén xiêm xõa ngủ",Đêm Thổ,https://isach.info/poem.php?poem=dem_tho__hoang_cam,bảy chữ,hiện đại,,Hoàng Cầm
"Đi tuột vào trong Nam.<
>Từ khi lọt lòng mẹ<
>Ăn sữa, ngủ giường êm,<
>Áo hoa lót áo mềm.<
>Nào biết mình sung sướng.<
>Ngọn sóng đang trào lên<
>Ai nghĩ thân bèo bọt;<
>Nhưng người với con người<
>Vẫn sẵn lòng thương xót.<
>Có cụ già đói khổ<
>Lập cập đi mò cua:<
>Bố mẹ nó không còn,<
>Đứa trẻ này gầy còm,<
>Bỗng thương tình côi cút;<
>Cụ nhường cho miếng cơm.<
>Chân tay như cái que,<
>Bụng phình lại ngẳng cổ,<
>Mắt tròn đỏ hoe hoe<
>Đo nhìn đời bỡ ngỡ:<
>“Lạy bà xin bát cháo<
>Cháu miếng cơm, thầy ơi!”<
>Có một chị cán bộ<
>Đang phát động thôn ngoài,<
>Chợt nhìn ra phía ngõ<
>Nghe tiếng kêu lạc loài<
>Chị rùng mình nhớ lại<
>Năm đói kém từ lâu<
>Chị mới năm tuổi đầu<
>Liếm lá khoai giữa chợ.<
>Chạy vùng ra phía ngõ<
>Dắt em bé vào nhà,<
>Nắm cơm dành chiều qua<
>Bẻ cho em một nửa.<
>Chị bần cố nông cốt cán<
>Ứa nước mắt quay đi:<
>- “Nó là con địa chủ<
>Bé bỏng đã biết gì;<
>Hôm em cho bát cháo,<
>Chịu ba ngày hỏi truy”.<
>Chị đội bỗng lùi lại<
>Nhìn đứa bé mồ côi<
>Cố tìm vết thù địch.<
>Chỉ thấy một con người.<
>Em bé đã ăn no<
>Nằm lăn ra đất ngủ;<
>Chị nghĩ: “sau lấy chồng<
>Sinh con bồng bú sữa”.<
>Chị phải đình công tác<
>Vì câu chuyện trên kia.<
>Buồng tối lạnh đêm khuya<
>Thắp đèn lên kiểm thảo.<
>Do cái lưỡi không xương<
>Nên nhiều đường lắt léo;<
>Do con mắt bé téo<
>Chẳng nhìn xa chân trời;<
>Do bộ óc chây lười<
>Chỉ một màu sắt rỉ,<
>Đã lâu nằm ngủ kĩ<
>Trên trang sách im lìm;<
>Do mấy con người máy<
>Đầy gân, thiếu trái tim!<
>Nào “liên quan phản động”<
>“Mất cảnh giác lập trường”.<
>Mấy đêm khóc ròng rã<
>Ngọn đèn soi tù mù,<
>Lòng vặn lòng câu hỏi:<
>“Sao thương con kẻ thù?<
>Giá ghét được đứa bé<
>Lòng thảnh thơi bao nhiêu!”",Em Bé Lên 6 Tuổi,https://isach.info/poem.php?poem=em_be_len_6_tuoi__hoang_cam,thơ tự do,hiện đại,,Hoàng Cầm
"Em bé lên sáu tuổi<
>Lủi thủi tìm miếng ăn<
>Bố: cường hào nợ máu<
>Mẹ bỏ con lay lắt<
>Đi tuột vào trong Nam<
>Từ khi lọt lòng mẹ<
>Ăn sữa, ngủ giường êm<
>Áo hoa lót áo mềm<
>Nào biết mình sung sướng<
>Ngọn sóng đang trào lên<
>Ai nghĩ thân bèo bọt<
>Nhưng người với con người<
>Vẫn sẵn lòng thương xót<
>Có cụ già đói khổ<
>Lập cập đi mò cua;<
>Bố mẹ nó không còn<
>Đứa trẻ nay gầy còm<
>Bỗng thương tình côi cút<
>Cụ nhường cho miếng cơm<
>Chân tay như cái que<
>Bụng phình lại ngẳng cổ<
>Mắt tròn đỏ hoe hoe<
>Đo nhìn đời bỡ ngỡ :<
>""Lạy bà xin bát cháo<
>Cháu miếng cơm, thầy ơi!""<
>Có một chị cán bộ<
>Đang phát động thôn ngoài<
>Chợt nhìn ra phía ngõ<
>Nghe tiếng kêu lạc loài.<
>Chị rùng mình nhớ lại<
>Năm đói kém từ lâu<
>Chị mới năm tuổi đầu<
>Liếm lá khoai giữa chợ<
>Chạy vùng ra phía ngõ<
>Dắt em bé vào nhà<
>Nắm cơm dành chiều qua<
>Bẻ cho em một nửa.<
>Chị bần cố nông cốt cán<
>Ứa nước mắt quay đi:<
>""Nó là con địa-chủ<
>Bé bỏng đã biết gì<
>Hôm em cho bát cháo<
>Chịu ba ngày hỏi truy""<
>Chị đội bỗng lùi lại<
>Nhìn đưá bé mồ côi<
>Cố tìm vết thù địch<
>Chỉ thấy một con người<
>Em bé đã ăn no<
>Nằm lăn ra đất ngủ<
>Chị nghĩ: ""sau lấy chồng<
>Sinh con hồng bụ sữa"".<
>Chị phải đình công tác<
>Vì câu chuyện trên kia<
>Buồng tối lạnh đêm khuya<
>Thắp đèn lên kiểm thảo<
>Do cái lưỡi không xương<
>Nên nhiều đường lắt léo<
>Do con mắt bé tẻo<
>Chẳng nhìn xa chân trời<
>Do bộ óc chây lười<
>Chỉ một màu sắt rỉ,<
>Đã lâu năm ngủ kỹ<
>Trên trang sách im lìm<
>Do mấy con người máy<
>Đầy gân thiếu trái tim<
>Nào ""liên quan phản động""<
>""Mất cảnh giác lập trường""<
>Mấy đêm khóc ròng rã<
>Ngọn đèn soi tù mù<
>Lòng vặn lòng câu hỏi:<
>""Sao thương con kẻ thù?<
>Giá ghét được đứa bé<
>Lòng thảnh thơi bao nhiêu!""",Em Bé Lên Sáu,https://isach.info/poem.php?poem=em_be_len_sau__hoang_cam,thơ tự do,hiện đại,,Hoàng Cầm
"( Khấn hương hồn vợ Lê Hoàng Yừn )<
>Ðã hẳn em về xa mê tâm linh<
>Sao còn đứng nghiêng khói thiêng vươn mình<
>Ðã hẳn em lên thượng tầng khinh thanh<
>Sao còn rung rung cỏ mồ bình minh<
>Ðã hẳn em bay cõi im vô cực<
>Sao còn mưa mau quất đau lá cành<
>Ôm hết phiên canh tổng kho nhân tình<
>Sao còn nhập siêu nhiều chiêm bao anh<
>Anh vâng ý em vâng mệnh Ðào Hồng<
>Cưới người kế em hồi môn nắng đông<
>Xoá nhanh quầng thâm<
>nhặt thầm sợi tóc<
>Từ đêm tân hôn ghi âm cười khóc<
>Ghi nét mày chau ghi sắc môi nồng<
>Băng ngắn mật gấu băng dài mật ong<
>Một thời yêu anh...",Linh Hương,https://isach.info/poem.php?poem=linh_huong__hoang_cam,bảy chữ,hiện đại,,Hoàng Cầm
