content,title,url,genre,period,specific_genre,author
"Tặng Nguyễn Văn Y, chuyên gia gốm<
>Nắng lên hồng ban mai<
>Anh thợ gốm ngồi xoay<
>Đất mịn nhào với nắng<
>Hình đẹp nở trong tay.<
>Gió xuân man mác thổi<
>Cỏ non rờn ngoài đê<
>Mùa xuân đang tạo lại<
>Cây lá trên đồng quê.<
>Anh ngồi xoay ung dung<
>Ánh sáng rọi theo cùng<
>Ngực anh màu nắng đượm<
>Đẹp hồng như đất nung.<
>Bình đẹp nghìn xưa cũ<
>Tay ông cha giao về<
>Đang sống lại tươi tắn<
>Trong bàn tay vuốt ve....<
>Bình cao dáng trẻ thon<
>Lọ nhớn thân đẫy tròn<
>Đẹp phúc đầy của mẹ<
>Đẹp duyên hiền của con.<
>Xoay xoay bàn gỗ ơi,<
>Nước mát nhào đất tơi<
>Anh làm thêm cái đẹp<
>Chưa có ở trong đời....",Anh Thợ Gốm,https://isach.info/poem.php?poem=anh_tho_gom__huy_can,thơ tự do,hiện đại,,Huy Cận
"Em ở đâu? Anh xa em một nửa.<
>Một nửa hồn anh lẩn quất theo em,<
>Vào giấc ngủ nửa hồn anh bợ ngợ<
>Gió khuya hay em bước động bên thềm ?<
>Tình đôi ta là trăm nghìn ràng rịt<
>Của tâm hồn, của cả máu xương<
>Ai dám bảo hồn không là da thịt<
>Sắc hoa hồng không tách biệt làn hương.<
>Anh ở nơi em cùng trời cuối đất<
>Em ở nơi anh cõi thực cõi mơ<
>Em ở đâu mà hồn anh lẩn quất<
>Nhớ thương em lòng ngẩn tự bao giờ.",Anh Xa Em Một Nửa,https://isach.info/poem.php?poem=anh_xa_em_mot_nua__huy_can,bảy chữ,hiện đại,,Huy Cận
"Các vị La Hán chùa Tây Phương<
>Tôi đến thăm về lòng vấn vương.<
>Há chẳng phải đây là xứ Phật,<
>Mà sao ai nấy mặt đau thương?<
>Đây vị xương trần chân với tay<
>Có chi thiêu đốt tấm thân gầy<
>Trầm ngâm đau khổ sâu vòm mắt<
>Tự bấy ngồi y cho đến nay.<
>Có vị mắt giương, mày nhíu xệch<
>Trán như nổi sóng biển luân hồi<
>Môi cong chua chát, tâm hồn héo<
>Gân vặn bàn tay mạch máu sôi.<
>Có vị chân tay co xếp lại<
>Tròn xoe từa thể chiếc thai non<
>Nhưng đôi tai rộng dài ngang gối<
>Cả cuộc đời nghe đủ chuyện buồn….<
>Các vị ngồi đây trong lặng yên<
>Mà nghe giông bão nổ trăm miền<
>Như từ vực thẳm đời nhân loại<
>Bóng tối đùn ra trận gió đen.<
>Mỗi người một vẻ, mặt con người<
>Cuồn cuộn đau thương cháy dưới trời<
>Cuộc họp lạ lùng trăm vật vã<
>Tượng không khóc cũng đổ mồ hôi.<
>Mặt cúi nghiêng, mặt ngoảnh sau<
>Quay theo tám hướng hỏi trời sâu<
>Một câu hỏi lớn. Không lời đáp<
>Cho đến bây giờ mặt vẫn chau.<
>Có thực trên đường tu đến Phật<
>Trần gian tìm cởi áo trầm luân<
>Bấy nhiêu quằn quại run lần chót<
>Các vị đau theo lòng chúng nhân?<
>Nào đâu, bác thợ cả xưa đâu?<
>Sống lại cho tôi hỏi một câu:<
>Bác tạc bấy nhiêu hình khô hạnh<
>Thật chăng chuyện Phật kể cho nhau?<
>Hay bấy nhiêu hồn trong gió bão<
>Bấy nhiêu tâm sự, bấy nhiêu đời<
>Là cha ông đó bằng xương máu<
>Đã khổ, không yên cả đứng ngồi.<
>Cha ông năm tháng đè lưng nặng<
>Những bạn đương thời của Nguyễn Du<
>Nung nấu tâm can vò võ trán<
>Đau đời có cứu được đời đâu.<
>Đứt ruột cha ông trong cái thuở<
>Cuộc sống giậm chân hoài một chỗ<
>Bao nhiêu hi vọng thúc bên sườn<
>Héo tựa mầm non thiếu ánh dương.<
>Hoàng hôn thế kỷ phủ bao la<
>Sờ soạng, cha ông tìm lối ra<
>Có phải thế mà trên mặt tượng<
>Nửa như khói ám, nửa sương tà.<
>Các vị La Hán chùa Tây Phương!<
>Hôm nay xã hội đã lên đường<
>Tôi nhìn mặt tượng dường tươi lại<
>Xua bóng hoàng hôn, tản khói sương.<
>Cha ông yêu mến thời xưa cũ<
>Trần trụi đau thương bỗng hoá gần!<
>Những bước mất đi trong thớ gỗ<
>Về đây, tươi vạn dặm đường xuân.",Các Vị La Hán Chùa Tây Phương,https://isach.info/poem.php?poem=cac_vi_la_han_chua_tay_phuong__huy_can,lục bát,hiện đại,,Huy Cận
"Nứa anh đem phơi nắng<
>Chính ửng mặt trời hồng<
>Nứa anh đem hong bếp<
>óng ánh màu mật ong.<
>Anh bắc qua năm tháng<
>Chiếc cầu phao âm thanh<
>Đời hai đầu mưa nắng<
>Đàn mắc võng tâm tình<
>Mỗi câu em đậm đà<
>Mỗi tiếng lòng anh dội<
>Câu trầm bổng thiết tha<
>Võng ru lời rừng suối<
>Em cùng anh ta nối<
>Qua trăm núi nghìn đèo<
>Tiếng quê hương vời vợi<
>Như dậy rừng nứa reo<
>Tiếng đá lồng tiếng nứa(*)<
>Cung bậc hồn cha ông<
>Bậc cao như đỉnh núi<
>Bậc trầm hơn đáy sông<
>Đàn nói lòng Đam San<
>Đàn nói tình Xinh Nhã<
>Nói ân tình đôi ta<
>Tựa lửa bền trong đá.<
>(*) Tiếng đá lồng tiếng nứa",Đàn Tơ-rưng,https://isach.info/poem.php?poem=dan_torung__huy_can,thơ tự do,hiện đại,,Huy Cận
"Nay cuối thu rồi tôi đến đây,<
>Se se dáng liễu, nước hồ đầy...<
>Tầm Dương không phải khuya đưa khách<
>Mà tương tì bà gió chạm dây...<
>Tôi đi trên đường Bạch Cư Dị,<
>Người đã khuất mười hai thế kỉ<
>Nhưng phải chăng người còn bước đâu đây,<
>Trán còn gợn sóng Tây Hồ suy nghĩ.<
>Nhớ những khi đất trích người bị đuổi<
>Thổi véo von tâm sự bến Tầm Dương.<
>Tôi đọc lại những câu thơ nghìn tuổi<
>Trẻ như xưa. Cúc lại đón bên đường.<
>Những người bình dị người hay tả<
>Đã khổ nghìn năm trong thiên hạ,<
>Nghìn năm đói rách chỉ may còn<
>An ủi trong thơ người êm ả.<
>Ngày nay sự thế đã thay rồi<
>Những bạn khổ nghèo xưa của người<
>Đã từng vùng lên nắm vận mệnh,<
>Cơm no áo ấm với hoa cười.<
>Hàng Châu thêm đẹp, hồ thêm đẹp,<
>Đường thủa người đi bóng liễu che,<
>Có phải bóng người còn lẩn giữa<
>Nhân dân hôm sớm lúc đi về.<
>Tây Hồ (Hàng Châu), 24-11-1957",Đến Tây Hồ Nhớ Bạch Cư Dị,https://isach.info/poem.php?poem=den_tay_ho_nho_bach_cu_di__huy_can,lục bát,hiện đại,,Huy Cận
"Tặng Thạch Lam<
>Đường trong làng: hoa dại với mùi rơm...<
>Người cùng tôi đi dạo giữa đường thơm,<
>Lòng giắt sẵn ít hương hoa tưởng tượng.<
>Đất thêu nắng, bóng tre rồi bóng phượng<
>Lần lượt buông màn nhẹ vướng chân lâu:<
>Lên bề cao hay đi xuống bề sâu?<
>Không biết nữa - Có chút gì làm ngợp<
>Trong không khí... hương với màu hoà hợp...<
>Một buổi trưa không biết ở thời nào,<
>Như buổi trưa nhè nhẹ trong ca dao,<
>Có cu gáy, có bướm vàng nữa chứ,<
>Mà đôi lứa đứng bên vườn tình tự.<
>Buổi trưa này xưa kia ta đã đi,<
>Phải cùng chăng? Lòng nhớ rõ làm chi!<
>Chân bên chân, hồn bên hồn, yên lặng,<
>Người cùng tôi đi giữa đường rải nắng,<
>Trí vô tư cho da thở hương tình,<
>Người khẽ nắm tay, tôi khẽ nghiêng mình<
>Như sắp nói, nhưng mà không; - khóm trúc<
>Vừa động lá, ta nhận vào một lúc<
>Cả không gian hồn hậu rất thơm tho;<
>Gió hương đưa mùi, dìu dịu phất phơ...<
>Trong cảnh lặng, vẫn đưa mùi gió thoảng...<
>Trí bâng quơ nghĩ thoáng nhưng buồn nhiều:<
>""Chân hết đường thì lòng cũng hết yêu"".<
>Chân đang bước bỗng e dè đứng lại<
>- Ở giữa đường làng, mùi rơm, hoa dại...",Đi Giữa Đường Thơm,https://isach.info/poem.php?poem=di_giua_duong_thom__huy_can,bảy chữ,hiện đại,,Huy Cận
"Chủ nhật qua tôi gặp một người điên<
>Trên mặt ngây thơ nét nét dịu hiền<
>Lấp loáng dọi hai mắt đà mờ ảo.<
>Sự sống thọt, đời không tỉnh táo<
>Chị cầm roi nhưng nào biết đánh ai.<
>Các trẻ em bu quanh chị, đùa dai,<
>Chị vút gió rồi đứng cười rờn rợn.<
>Người qua phố xem lâu, cũng chán<
>Bỏ chị đi như chợ vãn chiều hôm.<
>Chị là ai? Đau khổ lắm? Tay ôm<
>Bó quần áo rách tươm như giẻ vụn.<
>Chị đứng đó, thuyền trôi mất hướng<
>Mà bỗng nhiên biển hoá đá mênh mông.<
>Hỡi tâm hồn mắc cạn giữa dòng<
>Có phải chị còn chờ mong hướng gió?<
>Ai nhìn được trong tâm hồn mờ tỏ,<
>Trong não cân đã loang loang lổ vùng đêm?<
>Mắt chị nhìn đâu leo lét ngọn đèn,<
>Tôi bất giác nhớ ngày nhật thực<
>Bóng tối ăn hoen mặt trời sáng rực.<
>Đời tôi đã gặp nhiều chết nhiều đau,<
>Đã thấy những thân người như hoa héo nhựa xàu<
>Sự sống khô đi như dòng nước cạn<
>Nhưng nói sao hết lòng tôi đau đớn<
>Thấy chị đứng, đi, da thịt hồng tươi<
>Nói năng mà như không sống nữa rồi…<
>Sương chiều xuống như xoá nhoà cây cỏ.<
>Trong mắt chị chút hồn còn mờ tỏ<
>Cũng dường như pha loãng biến trong sương.<
>Chị về đâu? Mẹ chị đến, yêu thương<
>Nâng đầu chị như tay già chống chọi<
>Với trái sắp rơi, với hồn sắp tối.<
>Chuyện đau thương mẹ chị kể đầu đuôi,<
>Chuyện gia tài xâu xé, tình nghĩa pha phôi,<
>Chuyện đời cũ hơi tiền làm lạnh máu…<
>Chị mất trí, bị “cuộc đời” lừa đảo.<
>Sau màn sương trắng đục mặt trời chiều<
>Đỏ bầm như cục máu uất ai treo,<
>Cả hồn chị đã tím bầm trong đó.<
>Tôi tưởng nghe trong hồn ai sụp đổ<
>Rít vang lên cả quá khứ bạo tàn<
>Trong buổi chiều sương trắng lạnh màu tang.<
>12/54 – 5/59",Gặp Chị Điên,https://isach.info/poem.php?poem=gap_chi_dien__huy_can,bảy chữ,hiện đại,,Huy Cận
"Ai chết đó? Nhạc buồn chi lắm thế!<
>Chiều mồ côi, đời rét mướt ngoài đường<
>Phố đìu hiu màu khói cũ lên sương<
>Sương hay chính bụi tàn phai lả tả<
>Từng tiếng lệ: ấy mộng sầu úa lá<
>Chim vui đâu cây đã gãy vài cành<
>Ôi chiều buồn! Sao nắng quá mong manh<
>Môi tái nhạt nào mà cười héo vậy?<
>Ai chết đó? Trục xoay và bánh đẩy<
>Xe tang đi về tận thế giới nào?<
>Chiều đông tàn, lạnh xuống tự trời cao<
>Không lửa ấm, chắc hồn buồn lắm đó<
>Thê lương vậy mà ai đành lìa bỏ<
>Trần gian sao? Đây thành phố đang quen<
>Nhưng chốc rồi nẻo vắng đã xa miền<
>Đường sá lạ thôi lạnh lùng biết mấy!<
>Và ngựa ơi, đi nhịp đằm chớ nhảy<
>Kẻo thân đau, chưa quên nệm giường đời<
>Ai đi đưa, xin đưa tận cuối trời<
>Chớ quay lại nửa đường mà làm tủi<
>Người đã chết - một vài ba đầu cúi<
>Dăm bảy lòng thương xót đến bên mồ<
>Để cho hồn khi sắp xuống hư vô<
>Còn được thấy trên mặt người ấm áp<
>Hình dáng cuộc đời từ nay xa tắp<
>Xe tang đi, xin đường chớ gập ghềnh<
>Không gian ơi, xin hẹp bớt mông mêng<
>Ảo não quá trời buổi chiều vĩnh biệt!<
>Và ngươi nữa, tiếng gió buồn thê thiết<
>Xin lặng giùm cho nhẹ bớt cô đơn<
>Hàng cờ đen là bóng quạ chập chờn<
>Báo tin xấu, dẫu hồn người đã xế...<
>Ai chết đó? Nhạc buồn chi lắm thế!<
>Kèn đám ma hay ấy tiếng đau thương<
>Của cuộc đời? Ai rút tự trong xương<
>Tiếng nức nở gởi gió đường quạnh quẽ!<
>Sầu chi lắm! Trời ơi chiều tận thế!",Nhạc Sầu,https://isach.info/poem.php?poem=nhac_sau__huy_can,bảy chữ,hiện đại,,Huy Cận
"Ôi! Những kẻ tôi chỉ chào một bận,<
>Chân xa mau, lòng chưa kịp giao thân,<
>Trên đường tôi nếu trở lại vài lần,<
>Chắc ta đã yêu nhau rồi, - hẳn chứ...<
>Một lời nói nếu có gan ướm thử;<
>Một bàn tay đừng lưỡng lự trao thơ;<
>Một lúc nhìn thêm, đôi lúc tình cờ,<
>Chắc có lẽ đã làm nên luyến ái...<
>Yêu biết mấy nếu có lần gặp lại!<
>Tôi vụng về, tôi ngơ ngác, nên chi<
>Người bên tôi mà để người đi,<
>Tôi làm nũng, quyết giữ lòng kiêu hãnh;<
>Người ở đó, tôi làm như ghẻ lạnh;<
>Người đi rồi, thôi mong mỏi gì đâu!<
>Những bàn tay đáng lẽ phải giao nhau,<
>Hờ hững thế! Không chịu cầm lưu luyến.<
>Ôi! Những kẻ cùng tôi không hứa hẹn!<
>Người không quen nhưng tôi chắc sẽ yêu;<
>Mặt vừa nhìn mà chân đã muốn theo;<
>Tình mới chép một hai dòng nhật ký;<
>Tên viết tắt, tin rằng lòng nhớ kỹ<
>Bạn một hôm đi đến rất tình cờ;<
>Tình quên đi ở trong những bức thơ<
>Viết không gửi, xếp nằm trong sách cũ;<
>Ôi! Bao kẻ chỉ một lần gặp gỡ!<
>Bởi vì sao lòng tôi rất thương đau<
>Khi nghĩ thầm: ""nếu ta đã gần nhau!...""",Tình Mất,https://isach.info/poem.php?poem=tinh_mat__huy_can,bảy chữ,hiện đại,,Huy Cận
"Sáng hôm nay hồn em như tủ áo<
>Ý trong veo là lượt xếp từng đôi.<
>Áo đẹp chưa anh! Hoa thắm thêu đời<
>Áo mơ ước anh bận giùm chiếc nhé.<
>Vàng rạng cùng xanh, hồng cười với tía,<
>Xin mời anh chọn hình sắc yêu đương.<
>Hồn em đây đủ muôn ánh nghê thường,<
>Anh hãy bận hồn em màu sáng chói.<
>Anh có biết hôm nay là ngày hội.<
>Của lòng ta. Em trần thiết, trang hoàng.<
>Anh đã về; em nghe dưới chân vang<
>Hoa lá nở với chuông rền giọng thắm<
>Thủa chờ đợi, ôi, thời gian rét lắm.<
>Đời tàn rơi cùng sao rụng cảnh canh thâu;<
>Và trăng lu xế nửa mái tình sầu,<
>Gió than thở biết mấy lời van vỉ?<
>Lòng em nhớ lòng anh từ vạn kỉ.<
>Gặp hôm nay nhưng hẹn đã ngàn xưa<
>Yêu giữa đời mà hồn ở trong mơ<
>Tình rộng quá, đời không biên giới nữa.<
>Đây cửa mộng lòng em, anh hãy mở<
>Màu thanh thiên rời rợi, gió long lanh:<
>Hồn nhớ thương em dệt áo dâng anh",Tình Tự,https://isach.info/poem.php?poem=tinh_tu__huy_can,bảy chữ,hiện đại,,Huy Cận
