content,title,url,genre,period,specific_genre,author
"Nắng hạn đường xa nối chân mây...<
>Còn đi đâu, đi mãi hỡi ai?<
>Mặc gánh nặng oằn, hai vai chịu,<
>Dưới trời mưa lửa chỉ chau mày.<
>Mẹ ơi! Cảnh ấy dẫu trăm năm,<
>Ngàn năm, hay muôn vạn ngàn năm<
>Một phút sau này con còn sống<
>Cảnh kia còn đốt mãi lòng con.<
>Con đường xe cong uống trên đồng khô,<
>Xóm làng xa, nắng chang, lim dim ngủ,<
>Trời cao, cao vút điểm mây khô,<
>Từ giữa trời xanh: nguồn nắng đổ.<
>Trên đường cát xa thăm thảm ấy,<
>Bà bán cau, gánh nặng trên vai oằn,<
>Lẹ làng đi, dưới chân cát cháy<
>Nón, dù đâu? Nắng đốt chiếc khăn rằn.<
>Gió bốc khói tung lên cuồn bụi trắng,<
>Xóm mờ xa khuất dạng sau rừng tre.<
>Mồ hôi chảy vòng quanh đôi má rám<
>Bà bán cau bước mãi dưới trưa hè.<
>Động lòng, bóng cây thầm nhắc nhủ.<
>“Bà má ơi! Ghé gánh nghỉ chân già!”<
>Nhưng không nghe, bà cứ đi, đi mãi,<
>Nhớ chiều nay, trước ngõ, đám con chờ.",Bà Bán Cau,https://isach.info/poem.php?poem=ba_ban_cau__huynh_van_nghe,lục bát,hiện đại,,Huỳnh Văn Nghệ
"Bốn ngàn năm tranh sống với thời gian<
>Máu anh hùng tô non sông cẩm tú<
>Mồ hôi dân kết đọng ngọn lúa vàng<
>Mẹ Việt Nam tuổi bốn mươi thế kỷ<
>Gót Cà Mau đầu tận ải Nam Quan<
>Cửu Long Giang, buông dài làn sóng tóc<
>Dựa Trường Sơn, đứng gác Thái Bình Dương.<
>Ngàn thuở trước làm dâu nhà Hồng Lạc<
>Một giòng con hăm lăm triệu Tiên Rồng<
>Con trung hiếu, trai khôn và gái đẹp<
>Cùng mẹ hiền lo xây dựng non sông<
>Có biển rộng, sông dài, rừng núi đẹp<
>Đồng phì nhiêu, lúa mía ngập mênh mang<
>Và âm thầm bao nhiêu vàng, than thép<
>Dưới mỏ sâu chờ đợi bước vinh quang.<
>Giặc cướp nước đánh hơi từ bốn phía<
>Kéo về đây thực hiện mộng tham tàn<
>Tên núi sông trờ thành tên chiến địa<
>Chống xâm lăng thành truyền thống nhân dân.<
>Gặp thời loạn, mẹ phất cờ khởi nghĩa<
>Bầy con ngoan đứng dậy diệt quân thù.<
>Lũ cướp nước đã bao phen khiếp vía<
>Trở về quê không rửa kịp máu đầu.<
>Nay giặc Pháp lại mang đầu trở lại.<
>Dù tầm vông phải chọi với xe tăng<
>Mẹ vững tin nơi bầy con trung hiếu<
>Ngày mai đây diệt chúng cứu giang sơn.<
>Rồi Việt Nam của rừng vàng biển bạc<
>Của bình yên sáng lạng tiếng chim quyên<
>Sẽ nguyên vẹn, mẹ nghe chăng khúc hát<
>Khải hoàn ca từng nhịp đã vang lên.<
>Chiến khu Đ, cuối 1946",Bà Mẹ Việt Nam,https://isach.info/poem.php?poem=ba_me_viet_nam__huynh_van_nghe,bảy chữ,hiện đại,,Huỳnh Văn Nghệ
"Mất cả bờ sông xanh<
>Mất luôn con đường đá đỏ<
>Thôi hết rồi nước ngọt<
>Thôi hết rồi gió mát bờ tre<
>Gái Tân Uyên ứa lệ trưa hè<
>Thương vườn cũ dâu, chè không ai tưới.<
>Trai Tân Tịch về bờ sông hái bưởi<
>Cũng chết oan dưới mũi súng quân thù.<
>Mỏi mòn thương nhớ người xa,<
>Vườn xơ xác gốc trầu buồn ủ rũ<
>Dây kẽm gai rối nuồi đường bến cũ<
>Mắc cỡ tây chụp phủ bãi rau lang<
>Hàng tháp canh như chó dữ nhe răng<
>Từng loạt súng dọa ánh trăng, dòng nước.<
>Tàu há mồm, chuyển xuôi, chuyển ngược<
>Chỉ sâu thêm mặt nước, vết căm hờn.<
>Mất bờ sông là mất một nửa chiến khu<
>Mất nước ngọt, bờ tre gió mát.<
>Thuyền tiếp tế, lúa khoai chìm đáy nước<
>Đường giao thông liên lạc đứt đôi bờ.<
>Nhưng quân thù vẫn sợ lòng chiến khu<
>Cờ đỏ vẫn phất cao cành cổ thụ<
>Giữa lòng dân hoa vẫn nở niềm tin:<
>Việt Minh còn sẽ chiếm lại sông xanh.<
>Chiến khu Đ - 1950",Bờ Sông Bị Chiếm,https://isach.info/poem.php?poem=bo_song_bi_chiem__huynh_van_nghe,bảy chữ,hiện đại,,Huỳnh Văn Nghệ
"Bức thư ai từ Sài Gòn yêu mến<
>Vượt bót đồn về đến chiến khu.<
>Dấu lệ rơi trên nét chữ đã mờ<
>Lời êm ả, dịu dàng và tha thiết:<
>“Chốn thị thành hoa thôi nở từ lâu<
>Mây trắng bay tuôn về nẻo chiến khu<
>Nên thương nhớ cũng dồn về hướng đó.<
>Nơi cờ đỏ sao vàng còn rạng rỡ<
>Phải chăng anh, người chiến sĩ hiên ngang<
>Gửi theo đây, này áo ấm, khăn len<
>Anh đỡ mệt những đêm ngoài sương gió...”<
>Một trời thương trong một phong bì nhỏ<
>Mở ra xem nức nở cả lòng ta<
>Đây chiến khu nơi suối hát, chim ca<
>Nhưng ta vẫn cứ nhớ nhung thành thị.<
>Nơi lần đầu tiên ta cầm vũ khí<
>Theo bóng cờ son dứt áo ra đi.<
>Lệ người thương còn ướt chiếc khăn tay.<
>Nơi thuở ấy ôi đau lòng thế kỷ<
>Ngọn tầm vông, xông vào đầu súng máy.<
>Xương anh hùng còn gửi đất Thị Nghè.<
>Ngày báo cừu lưỡi kiếm cứ lăm le<
>Mỗi sáng chào cờ nhìn về hướng ấy.<
>Thề lấy lại Thủ đô và Thành thị<
>Máu xâm lăng phải tưới đỏ quê hương.<
>Giải phóng Sài Gòn trăm nhớ, ngàn thương.<
>Đây chiến khu, biết bao chiều lau súng.<
>Ta nhớ em, hỡi xa vắng Thị Thành<
>Em tủi nhục ở trong vòng tạm chiếm<
>Biết bao giờ nguôi hận chiến khu xanh.<
>Chiến khu Đ 1947",Bức Thư Thành,https://isach.info/poem.php?poem=buc_thu_thanh__huynh_van_nghe,bảy chữ,hiện đại,,Huỳnh Văn Nghệ
"Anh Xiểng mở mắt tròn xoe<
>Trừng trừng nhìn lũ giặc<
>Đang trói vòng anh<
>Giữa biển nắng trưa vàng<
>Ngoảnh đầu nhìn ngọn núi Chứa Chan<
>Nhớ lại ngày anh trúng cử:<
>Đồng bào Xuân Lộc<
>Từ rừng xanh, núi đỏ kéo về đây.<
>Tiệc mừng anh, đêm ấy cả rừng say<
>Trăng lảo đảo, trên chăn mây, gối núi.<
>Mới hôm qua, chia tay trên bờ suối<
>Mừng mừng, tủi tủi, mến thương.<
>Từng con chim, cái sóc, cành hương<
>Cũng thỏ thẻ vuốt ve, lưu luyến...<
>Một dây siết hai cổ tay tê điếng<
>Nhựa đường trưa như điện đốt bàn chân<
>Nhưng ngọn núi Chứa Chan<
>Vẫn cao đầu hiên ngang dưới nắng.<
>Lời kêu gọi của núi rừng<
>Còn vang lừng trong từng tiếng suối, lời chim.<
>Anh vẫn đứng lặng im,<
>Trước bao nhiêu lời dụ, dọa:<
>“Không biết nói thì cúi đầu cũng được<
>Chịu đầu Tây, cho về huyện làm quan<
>Không thì xe sẽ kéo xác trên đường”.<
>Anh vẫn đứng lặng im<
>Hiên ngang như ngọn núi.<
>Máu căm thù dâng lên trong mắt đỏ<
>Nhìn lũ giặc như hùm thiêng nhìn chó<
>Bỗng gầm lên mấy tiếng vang trời:<
>“Không, không đầu Tây<
>Tao thề chết tại đây!”<
>Chiếc xe hốt hoảng rồ ga<
>Phóng tới như điên, kéo anh ngã gục<
>Từ cao xa ngọn Chứa Chan còn thấy<
>Thây một anh hùng dân tộc<
>Đuổi theo xe như một khối căm hờn<
>Máu anh đỏ mãi ruộng vườn<
>Núi rừng Xuân Lộc nhớ thương đời đời.",Cái Chết Của Anh Xiểng,https://isach.info/poem.php?poem=cai_chet_cua_anh_xieng__huynh_van_nghe,bảy chữ,hiện đại,,Huỳnh Văn Nghệ
"Dưới bóng cây thông già<
>Anh thợ rừng nghỉ trưa<
>Gác đầu trên cán búa<
>Nghe chim hát vu vơ...<
>Mơ thấy thông thành người<
>Một lão già râu bạc<
>Ngồi kể lể chuyện đời<
>Lời ôn tồn tha thiết:<
>“Lưỡi búa anh bén quá<
>Chặt tôi đành sao anh<
>Chúng mình nào xa lạ...<
>Cùng khổ trong chiến tranh.<
>Cả họ rừng tôi đây<
>Con sóc đến cây cầy<
>Không một người theo Tây<
>Không một ai theo Mỹ<
>Chúng tôi quyết bám rễ<
>Đứng giữ mảnh đất này<
>Dù đội bom chịu lửa<
>Một bước chẳng hề lui<
>Rừng ta che bộ đội<
>Rừng ta vây quân thù<
>Tuy rừng chưa biết nói<
>Chuyện rừng đã nên thơ.<
>Quân thù đã phá hủy<
>Hai triệu mẫu rừng xanh<
>Mối thù này phải trả<
>Hỡi loài người văn minh<
>Đất rừng còn nhức nhối<
>Hố bom khoét thân mình<
>Cây dầu còn rỉ máu<
>Vết đạn vẫn chưa lành.<
>Rừng đang kêu cấp cứu<
>Ú ớ chẳng nên lời<
>Tiếng rừng nào ai hiểu<
>Chỉ gió thổi, thông reo.<
>Anh hãy thương rừng với<
>Chặt nhẹ búa mà thôi<
>Để núi rừng đâm chồi<
>Sống cho đời thêm đẹp<
>Vì lợi ích cả nước<
>Trước mắt và lâu dài<
>Nghĩ kỹ mới ra tay<
>Kẻo ngày mai ân hận.<
>Lời Bác Hồ căn dặn<
>“Phải trồng cây, gây rừng”<
>Khó khăn cùng ráng chịu<
>Tiêu diệt rừng sao đang.<
>Rừng chết dễ như chơi<
>Vừa ngã xuống, vừa cười<
>Thương đời không bóng mát<
>Ai che đất, che trời.<
>Chim thú không chỗ sống<
>Bước lưu vong ngậm ngùi<
>Mất rừng tan tổ ấm<
>Của tổ tiên loài người.<
>Dân mình còn gian khổ<
>Hòa bình chưa ăn mừng<
>Lo thiếu gạo, thiếu gỗ<
>Nhưng phải bảo vệ rừng.<
>Ngày mai rừng tươi lại<
>Cho người đỡ nắng mưa<
>Thêm lúa thơm, gỗ quý<
>Suối trong veo, bốn mùa...”<
>Anh thợ rừng tỉnh giấc<
>Ngơ ngác nhìn mênh mông<
>Tìm ông già râu bạc<
>Chỉ chim hót cành thông.<
>Đường về lúa ngoảnh lại<
>Chỉ thấy ngọn thông già<
>Như một chàng dũng sĩ<
>Đứng gác rừng bao la.",Cây Thông Già Và Anh Thợ Rừng,https://isach.info/poem.php?poem=cay_thong_gia_va_anh_tho_rung__huynh_van_nghe,thơ tự do,hiện đại,,Huỳnh Văn Nghệ
"Rùng rợn giữa đêm mưa<
>Tiếng vợ khóc gọi chồng chới với:<
>“Con trôi rồi, con trôi theo bè chuối...!”<
>Không tiếng trả lời<
>Chỉ từ nóc nhà tranh<
>Tiếng chó đứng sủa hời.<
>Trời sáng rồi, mưa vẫn cứ rơi<
>Những nóc nhà trôi<
>Những thân cây đổ.<
>Suối ngập thành sông, sông tràn thành biển<
>Mênh mông sóng vỗ chân trời.<
>Thôi hết rồi, hết lúa, hết khoai<
>Chiến khu Đồng Nai lại đói.<
>Con ngậm củ mài, cha nhơi củ chuối.<
>Ứớt mắt chồng nhìn vợ nuốt vỏ khoai<
>Đứt ruột mẹ tiếng con thơ đòi bú.<
>Voi cũng trôi tận Cù lao Phố<
>Mấy con trâu vướng cột cầu Gành.<
>Một tượng Phật dời lên nóc đình<
>Đành chắp tay nhìn dòng nước lũ.<
>Trút cả hũ, còn không đầy nắm muối<
>Cho ngày ăn cả đại đội Lam Sơn.<
>Ba người chia một vắt cơm.<
>Tạm đỡ dạ cả tiểu đoàn chủ lực.<
>Chèo chống ngày đêm, lênh đênh trên mặt nước.<
>Vớt của, vớt người.<
>Thân trần chèo chống dưới mưa.<
>Tiếng cười vẫn nô đùa sóng gió.<
>Từng manh chiếu, quả dừa, chiếc bừa, bó đũa.<
>Vớt lên mang trả lại từng người.<
>Đồn Rạch Đông nước ngập sắp trôi<
>Lính ngụy lên nóc đồn kêu cầu cứu:<
>“Huyện đội Vĩnh Cửu ơi... Vĩnh Cửu,<
>Cứu chúng em, ơn trả, nghĩa đền”.<
>Chiến sĩ ta, cười reo lên<
>Nghe lệnh đồng chí chính trị viên:<
>“Chèo nhanh lên, cứu chúng nó...”<
>Nhưng giặc Pháp muốn thừa cơ trận bão<
>Đánh chiến khu, một trận cho tiêu tan<
>Dồn sức tấn công, lừa bịp, chiêu hàng.<
>Tăng cường truyền đơn và bom pháo.<
>Cả chiến khu đêm nay không ngủ<
>Tụ năm, tụ ba,<
>Bàn tán về tiểu đoàn ba trăm ba:<
>“Dù thiếu cơm, dù thiếu áo<
>Đánh giặc càng hay,<
>Ăn củ mì cũng giỏi<
>Thế nào cũng thắng, và... phải thắng!”<
>Bỗng được tin loa:<
>“Ta tiêu diệt hoàn toàn đồn Bến Sắn”.<
>Tiệc liên hoan có bát cơm gạo trắng<
>Tiếng cười, tiếng hát, vang rừng.",Chiến Khu Đ Chống Bão,https://isach.info/poem.php?poem=chien_khu_d_chong_bao__huynh_van_nghe,bảy chữ,hiện đại,,Huỳnh Văn Nghệ
"Đám ma ai giữa mưa dầm gió lạnh!<
>Bốn người khiêng lắt lẻo chiếc quan tài<
>Người vợ kêu trời khan cả giọng<
>Ẵm con thơ lần bước dưới mưa rơi.<
>Sau góa phụ còn hai con trẻ dại<
>Dắt díu nhau, nheo nhóc khóc không thôi.<
>Và sau nữa... không còn ai nữa hết.<
>Bầy chó theo sủa mãi đám ma côi.",Đám Ma Nghèo,https://isach.info/poem.php?poem=dam_ma_ngheo__huynh_van_nghe,bảy chữ,hiện đại,,Huỳnh Văn Nghệ
"Tay anh hé mờ<
>Lệ du kích Đồng Nai thấm vào vải đỏ.<
>Giữa mùa thu mà hoa nở thình lình.<
>Đọc truyền đơn như đọc bức thư tình<
>Từng chữ một đánh vần đến thuộc<
>Chiến khu xanh đêm vui đỏ đuốc<
>Suối mừng reo, tiếng guốc nhịp đều đều.<
>Chợ Tân Uyên bỗng lên giá lụa điều<
>Mua lụa đỏ cũng bị tra, bị đánh.<
>Cờ Việt Minh, ngôi sao năm cánh<
>Như tim vàng ngự giữa lòng son.<
>Cách mạng đến giữa mùa trăng tháng Tám<
>Chiến khu Đ, rừng vắng bóng tưng bừng.<
>Sợi dây thừng thắt bao đạn quanh lưng<
>Áo rách vai, đầu trần, đi khởi nghĩa.<
>Những tròng mắt bừng bừng ánh lửa<
>Gót chân chai giậm vỡ nhựa đường.<
>Cờ đỏ sao vàng<
>Đã ngập trời Nam Bộ:<
>Những đoàn người như thác đổ<
>Tiếng hò reo đất lở nghiêng trời<
>Bọn giặc Nhật rụng rời<
>Quỳ dâng lại Sài Gòn và lục tỉnh<
>Người du kích Đồng Nai gác tòa thị sảnh<
>Ngỡ từ nay hết nghe lạnh rừng sâu.",Du Kích Đồng Nai,https://isach.info/poem.php?poem=du_kich_dong_nai__huynh_van_nghe,bảy chữ,hiện đại,,Huỳnh Văn Nghệ
"Bắt được anh du kích<
>Thằng Tây xồm vểnh râu<
>Tuốt dao găm hăm dọa<
>Hỏi dồn dập mấy câu:<
>“Mầy ăn gì để sống,<
>Đánh với ông bấy lâu<
>Chiến khu bị phong tỏa<
>Gạo, cơm hết còn đâu?<
>Mầy ăn gì để sống?<
>Trâu bò chết hết rồi<
>Cầy bừa bị đốt sạch<
>Đập nát hết lúa rồi.<
>Mầy ăn gì để sống?<
>Củ chụp hay củ nần<
>Ăn cái gì là chính<
>Sống được mãi trong rừng.<
>Nói thì ông sẽ thả.<
>Không thì đừng trách trời<
>Dao găm này mổ bụng<
>Cũng lòi ra mà thôi...”.<
>Anh du kích không nói.<
>Răng cắn chặt lấy môi<
>Trước mưa roi đẫm máu<
>Miệng anh cứ như cười.<
>Thằng Tây càng căm tức:<
>“Tao quyết sẽ giết mầy,<
>Khám phá điều bí mật.<
>Mổ bụng mầy rõ ngay.<
>Anh du kích không nói<
>Dao găm rạch dạ dày<
>Thằng Tây trợn mắt trắng.<
>Nhìn mấy mảnh khoai mì!<
>Anh du kích đã chết rồi<
>Đồng bào thương tiếc, cúng xôi mỗi mùa.",Giữ Bí Mật,https://isach.info/poem.php?poem=giu_bi_mat__huynh_van_nghe,thơ tự do,hiện đại,,Huỳnh Văn Nghệ
