content,title,url,genre,period,specific_genre,author
"Nắng vàng em mới lại<
>Ôi! ngóng trông sao buồn.<
>Tôi đi và đứng mãi,<
>Mắt tìm xa xôi luôn...<
>Tôi mơ chân trên đường,<
>Áo màu trong lá thắm;<
>Đường và cây mát lắm,<
>Riêng lòng tôi đau thương.<
>Tôi không hề yêu đương,<
>Sao sầu tôi vương vương,<
>Sao tình tôi bát ngát,<
>Sao hồn tôi thê lương?<
>Nhẽ nào trên Hà nội,<
>Ngày vàng chia sáng, tối<
>Không thấy nắng bay reo,<
>Em quên gi đến nỗi?<
>Đây, em tôi đây rồi!<
>Màu áo mơ da trời,<
>Mùa xuân bừng môi tươi,<
>Nắng dồn theo gót bước.<
>Đôi mắt long lanh cười<
>- Ôi! đời hôm nay vui,<
>Chim gió đừng mách nhé!<
>Ta xé thơ đi rồi...",Buổi Hẹn,https://isach.info/poem.php?poem=buoi_hen__ho_dzenh,thơ tự do,hiện đại,,Hồ Dzếnh
"Ngày Tết mải chơi tam cúc<
>Không hay anh tới sau lưng<
>Ghé lại gần em mách nước<
>Kết luôn xe pháo mã hồng<
>Ồ ván bài em đỏ quá<
>Đỏ như đôi má ngày xuân<
>Em có ăn trầu đâu nhỉ<
>Mà sao người thấy bâng khuâng?<
>Nắng mới rọi vào song cửa<
>Rung rinh bóng lá cành doi<
>Năm ấy em mười sáu tuổi<
>Trăng tròn – anh chẵn đôi mươi<
>Từ đó mỗi mùa đào nở<
>Pháo xe lại rộn cây bài<
>Có độ anh về, có độ<
>Vắng anh, em nhớ mong hoài<
>Mấy chục mùa xuân thấm thoát<
>Nhớ thương hờn giận chen nhau<
>Một bức tranh thơ bát ngát<
>Quý thay cái thuở ban đầu!<
>Nay tóc đời ta điểm bạc<
>Bể đâu thời thế phôi pha<
>Em ạ, cỗ bài tam cúc<
>Vẫn thơm nguyên vẹn tình ta.",Cỗ Bài Tam Cúc,https://isach.info/poem.php?poem=co_bai_tam_cuc__ho_dzenh,bảy chữ,hiện đại,,Hồ Dzếnh
"Phút linh cầu mãi không về<
>Phân vân giấy trắng chưa nề mực đen<
>Khói trầm bén giấc mơ tiên<
>Bâng khuâng trăng giãi qua miền quạnh hiu<
>Tô Châu lớp lớp phù kiều<
>Trăng đêm Dương Tử mây chiều Giang Nam<
>Rạc rời vó ngựa quá quan<
>Cờ treo ý cũ mây giàn mộng xưa<
>Biển chiều vang tiếng nhân ngư<
>Non xanh tha thiết trời thu rượi sầu<
>Nhớ thương bạc nửa mái đầu<
>Lòng nương quán khách nghe màu tà huân<
>Buồn Tư Mã nhớ Chiêu Quân<
>Nét hoa thấp thoáng ý thần đê mê<
>Phút linh cầu mãi không về<
>Phân vân giấy trắng chưa nề mực đen",Đợi Thơ,https://isach.info/poem.php?poem=doi_tho__ho_dzenh,lục bát,hiện đại,,Hồ Dzếnh
"Đừng buồn nhưng cũng đừng vui,<
>Êm êm nắng nhẹ qua trời rộn mưa.<
>Hỡi người, tôi nói gì chưa?<
>Tôi đương sắp nói, hay vừa nói ra?<
>Trời đừng cho búp lên hoa,<
>Cho khi gần đến, tôi xa mãi nàng;<
>Cho tôi thoáng cảm mùi nhang,<
>Hình dung xa vắng cung đàn rồi thôi.<
>Chập chờn bướm nửa, hoa đôi<
>Tình nên chỉ mộng khi đời sẽ thơ.<
>Ước gì bạn mãi là cô<
>Để duyên hai đứa bao giờ cũng tươi.<
>Đừng buồn nhưng cũng đừng vui,<
>Êm êm nắng nhẹ qua trời rộn mưa...",Duyên Ý,https://isach.info/poem.php?poem=duyen_y__ho_dzenh,lục bát,hiện đại,,Hồ Dzếnh
"Một câu ấy nói lên là lá rụng,<
>Là mây chìm, là gió sẽ thay xanh,<
>Là cây tươi sẽ mở nụ trên cành<
>Và chim chóc sẽ bồi hồi nghe ngóng.<
>Anh thấy gió một chiều thu xao động,<
>Nghe mơ màng vin nặng mái mây cao,<
>Trời trở buồn - ai hiểu nghĩa làm sao?<
>Mây lạc nẻo, tim nghe chừng thất vọng.<
>Một câu ấy nói lên là rợn sóng<
>Cả một màu mây kín bốn phương xa;<
>Trên bao lơn của năm tháng sầu qua,<
>Anh ngậm miệng để chết dần theo Mộng!<
>Một câu ấy nói lên là tuyệt vọng,<
>Cây chính mùa, nhưng lá đã quên xanh<
>Bướm đương vui, nhưng bướm sẽ xa cành,<
>Một câu ấy nói lên là... hết sống !",Giữ Gìn,https://isach.info/poem.php?poem=giu_gin__ho_dzenh,bảy chữ,hiện đại,,Hồ Dzếnh
"Ta biết Ngươi là hoa xuân đất Việt!<
>Tuổi xanh thắm nhưng lòng sôi chính huyết,<
>Tóc bừng bừng nhưng ngút chí Non sông,<
>Ngươi thèm say vũ bão, khát xung phong,<
>Mơ chinh chiến vỡ tung lòng tủi cực.<
>Ôi Nam Việt! Ôi hờn Non nước nhục,<
>Tám mươi năm đau xót, tám mươi năm!...<
>Một Giang sơn lầy lụa dấu thương tâm,<
>Cả Thế kỷ vằn đen màu bại liệt!<
>Niên thiếu hỡi, hỡi hồn trai đất Việt,<
>Đứng lên đi, vì Tổ quốc vinh quang,<
>Máu Ngươi bồi lên lớp máu lênh lang,<
>Đời Ngươi họa nhịp đời mãnh liệt.<
>Mùa xuân sáng bừng reo trong khí tiết,<
>Ánh lê minh chói lọi nạm sơn hà,<
>Ngươi đứng lên, làn mắt đắm phương xa,<
>Tim rung động, tay lần trang Sử đẹp!...<
>Ngươi phải chết, Ngươi cần tha thiết chết,<
>Trở về chi, hoa bướm rụng từ lâu.<
>Sau lưng Ngươi, rền rĩ vạn mồ đau,<
>Gót đã trở, đây là giờ Đoạn tuyệt!...<
>Niên thiếu hỡi, hỡi hồn trai đất Việt,<
>Ta cầu mong một buổi sáng tinh sương,<
>Nến chập chờn, hoa lạnh suốt âm dương,<
>Đem cung kính đặt lên mồ Chiến sĩ,<
>Nghe phơi phới khắp năm trời Chính khí<
>Tiếng Sơn hà vang nhịp khúc Quân ca!<
>Vì máu thần, Ngươi tưới đã lên hoa,<
>Mùa Vinh hạnh kết khung đời rực rỡ!<
>Ta đứng lặng, mỉm cười trong lệ nhỏ,<
>Lòng bâng khuâng thầm vọng bóng ai xa...<
>Mắt rung rinh ánh Đẹp của Sơn hà!",Hoa Xuân Đất Việt,https://isach.info/poem.php?poem=hoa_xuan_dat_viet__ho_dzenh,bảy chữ,hiện đại,,Hồ Dzếnh
"Trên đường về nhớ đầy...<
>Chiều chậm đưa chân ngày,<
>Tiếng buồn vang trong mây...<
>Chim rừng quên cất cánh,<
>Gió say tình ngây ngây,<
>Có phải sầu vạn cổ<
>Chất trong hồn chiều nay?<
>Tôi là người lữ khách,<
>Mầu chiều khó làm khuây,<
>Ngỡ lòng mình là Rừng,<
>Ngỡ hồn mình là Mây,<
>Nhớ nhà châm điếu thuốc,<
>Khói xanh bay lên cây... (1)",Mầu Cây Trong Khói,https://isach.info/poem.php?poem=mau_cay_trong_khoi__ho_dzenh,thơ tự do,hiện đại,,Hồ Dzếnh
"Quê em xa thẳm màu mây gió,<
>Buồn vút không gian, mất định kỳ.<
>Em có mơ về năm tháng cũ,<
>Âm thầm nghe tiếc phút giây đi?<
>Nước chảy đôi giòng cuốn sóng mau,<
>Bao phen lá úa rụng chân cầu,<
>Lá theo giòng nước, ngày theo tháng<
>Lặng lẽ như mang nỗi cảm sầu.<
>Mây nước vô tình, lãnh đạm trôi,<
>Tình không giống nước, tình không xuôi;<
>Bao lần lá thắm xuôi theo nước,<
>Nước chảy, tình duyên ở với người.<
>Chân cầu cắm giữ ngày ly biệt,<
>Mây nước vô tình, lãnh đạm trôi...<
>Nước chảy mây tan, tình bất diệt,<
>Tình theo bước khách bốn phương trời.",Nước Chảy Chân Cầu,https://isach.info/poem.php?poem=nuoc_chay_chan_cau__ho_dzenh,lục bát,hiện đại,,Hồ Dzếnh
"Ta trả lại cho đàn cung nhớ tiếc,<
>Cho mùa thu những xác lá vàng rơi.<
>Ta trả lại cả u hoài, thống thiết,<
>Khi xuân về bừng sáng nên cây tươi.<
>Ta nghiêng kính trước Xuân hồng đất nước,<
>Lửa yêu đời thiêu cháy chuyện ngày xưa,<
>Như sóng cả tràn lan niềm mộng ước,<
>Ta kiêu căng xây lại tháng năm thừa.<
>Đây là lúc ánh gươm linh bén chớp,<
>Ta màng chi mây liễu cuốn phong ba;<
>Nếu rượu mạnh lên đường ta cạn hớp<
>Để say sưa nghe dội tiếng Sơn hà!<
>Hỡi người bạn mà hồn thôi muốn trẻ,<
>Mất tin yêu, lầm lạc giữa tình đau;<
>Người hãy dậy nghe hồn thiêng Thế hệ,<
>Khắp non sông vang hát buổi xuân đầu.<
>Ân phúc cả sẽ tưng bừng, vạn đại,<
>Lòng muôn dân rào rạt sóng Tin Yêu.<
>Tiếng ca thần vang bóng Quốc kỳ reo.",Tiếng Sơn Hà,https://isach.info/poem.php?poem=tieng_son_ha__ho_dzenh,bảy chữ,hiện đại,,Hồ Dzếnh
"Giở lần trang sách xưa,<
>Nhớ thời áp bức,<
>Giang sơn ơi! lòng Ngươi nguội đau chưa?<
>Mộng đời Ngươi đã thức?<
>Cõi trần ai đêm nay ta bơ vơ<
>Giật mình cảm xúc...<
>Hận muốn toát ra thơ,<
>Tình tan vào uất ức.<
>Hồn đau run mơ tưởng bóng cờ<
>Ghi dấu những ngày quốc nhục.<
>Bừng sáng mau lên Xuân,<
>Cho Vinh quang quét sạch dấu phong trần,<
>Cho Non nước sáng tươi ngày trẻ mãi;<
>Và Giang sơn... Giang sơn thiên vạn đại,<
>Trước khi tàn ta muốn thấy Ngươi vui,<
>Hỡi Vô cùng Yêu dấu - Nước - Ta ơi!",Trang Sách Xưa,https://isach.info/poem.php?poem=trang_sach_xua__ho_dzenh,bảy chữ,hiện đại,,Hồ Dzếnh
