content,title,url,genre,period,specific_genre,author
"Cho em bài thơ tình ko đứt đoạn<
>Viết trong đêm những giọt quỳnh nồng uống hạt trăng rơi<
>Viết cho em trong hương sớm hoa lài<
>Trong nắng chiều: ngo ngoe con bọ ngựa<
>Em với cuộc đời:<
>Như đôi bóng sinh đôi<
>Trong gương nhỏ mỗi ngày!<
>Và cả ba đứa mình<
>Em, anh và cuộc sống<
>Trong một vòng tay nóng bỏng<
>Ôi! ba giọt nắng vàng<
>Trên mái tóc thời gian<
>Em, anh và cuộc sống.",Ba Đứa Mình,https://isach.info/poem.php?poem=ba_dua_minh__luu_trong_lu,thơ tự do,hiện đại,,Lưu Trọng Lư
"Cái màu nhiệm vô biên<
>Qua bàn tay em mỗi ngày hiển hiện<
>Đàn đã qua bao cung gió chuyển<
>Còn vọng vang tiếng nhấn tơ đầu<
>Sáng nay, em nghĩ gì, nghĩ gì anh biết<
>Khi giữa giờ bão tố hoa vẫn toả một mùi hương<
>Và đêm nay, bàn tay em ở đâu, ở đâu anh biết<
>Khi anh đang ngồi lặng, trước ngọn đèn chong<
>Em là ánh trăng khuya.<
>Vẫn là của anh mặt trời mỗi sáng<
>Có những thu lá vàng tơi tả<
>Em chải lại đời anh<
>Em kéo từng nút khăn, em đơm từng khuy áo<
>Mà với trăng sao, em đi trọn khúc ân tình.",Chải Lại Đời Anh,https://isach.info/poem.php?poem=chai_lai_doi_anh__luu_trong_lu,thơ tự do,hiện đại,,Lưu Trọng Lư
"Tặng ba nhà thi sĩ trẻ tuổi...<
>Giờ đây hoa hoang dại<
>Bên sông rụng tơi bời<
>Đã qua rồi cơn mộng,<
>Đừng vỗ nữa, tình ơi!<
>Lòng anh đã rời rụng<
>Trên sông ngày tàn rơi.<
>Tình anh đà xế bóng,<
>Còn chi nữa, em ơi?<
>Còn đâu ánh trăng vàng<
>Mơ trên làn tóc rối?<
>Chân nâng trên đường sỏi,<
>Sương lá đổ rộn ràng.<
>Trăng nội vẫn mơ màng<
>Trên những vòng tóc rối?<
>Đêm ấy xuân vừa sang<
>Em vừa hai mươi tuổi<
>Còn đâu những giờ nhung lụa:<
>Mộng trùm trên bông<
>Tình ấp trong gối<
>Rượu tân hôn không uống cũng say nồng?<
>Còn đâu mùi cỏ lạ<
>Ướp trong mớ tóc mây?<
>Một chút tình thơ ngây<
>Không còn trên đôi má.",Còn Chi Nữa,https://isach.info/poem.php?poem=con_chi_nua__luu_trong_lu,thơ tự do,hiện đại,,Lưu Trọng Lư
"Hoa lan quên nở trên giàn,<
>Nhớ ai em để tiếng đàn ngừng đưa?<
>Tiếc gì em, nửa đường tơ!<
>Cho hoa quên nở, trăng mờ quạnh soi....<
>Chờ em đêm đã khuya rồi<
>Rộn ràng lá đổ, vàng rơi đầy thềm",Đã Khua Rồi,https://isach.info/poem.php?poem=da_khua_roi__luu_trong_lu,lục bát,hiện đại,,Lưu Trọng Lư
"Lắng nghe tiếng hát chị đò đưa,<
>Trong ánh trăng vời vợi...<
>Tiếng hát lẳng lơ đưa,<
>Làm xao động những làn da mát rợi.<
>Tiếng hát lẳng lơ<
>Một đoàn gái tơ<
>Nằm mơ trên bờ cỏ nõn.<
>Một đoàn nai tung tăng đùa giỡn<
>Theo điệu hát giòn ở cạnh sườn non...<
>Ai nghe tiếng hát chị đò đưa<
>Mà không cảm thương người quả phụ<
>Nằm ấp bóng trăng thưa Luồn qua song cửa sổ!",Điệu Hát Lẳng Lơ,https://isach.info/poem.php?poem=dieu_hat_lang_lo__luu_trong_lu,bảy chữ,hiện đại,,Lưu Trọng Lư
"Những điệu huyền bay, lạc khắp thôn,<
>Từng nhà, đây đó hẹn nhau buồn,<
>Có cô dâu mới nhìn sông nước<
>Sực nhớ quê nhà giọt lệ tuôn.",Điêu Huyền,https://isach.info/poem.php?poem=dieu_huyen__luu_trong_lu,lục bát,hiện đại,,Lưu Trọng Lư
"Hỡi em khăn đỏ bao nhiêu tuổi<
>Rằng em vừa đúng tuổi lên mười.<
>Hỏi ông tóc bạc bao nhiêu tuổi<
>Rằng: lão trời cho đúng tám mươi.<
>Em nói: Gió mùa xuân thổi áo đẹp rũ lên đường.",Giữa Mùa Gió Thổi,https://isach.info/poem.php?poem=giua_mua_gio_thoi__luu_trong_lu,lục bát,hiện đại,,Lưu Trọng Lư
"Ta là nàng Ly Dao<
>Ngồi bến Hoa Giang, khóc trăng sầu,<
>Đếm giọt sương gieo,<
>Lắng nghe rĩ rầu giọng dế,<
>Trời đất quạnh hiu,<
>Một mình ta tuôn thắm dòng lệ...<
>Gỡ mối sầu, ta sẽ lựa mấy đường tơ.<
>Ngọn lửa chài, con sông trắng,<
>Bóng sao mờ lấp láy,<
>Hồn nghệ sĩ lạnh lùng tê tái,<
>Ngón cầm giăng tơ phiếm lung lay,<
>Khi lâm li, khi dồn vồ vập,<
>Khi gieo nặng, khi cao bay...<
>Rồi một kiếp khóc mướn<
>Thương vay cho thiên hạ.<
>Cảnh đêm khuya trời giá,<
>Lạnh lùng thấy một bóng Ly Dao<
>Ngồi bến Hoa Giang khóc trăng sầu.",Hồn Nghệ Sỹ,https://isach.info/poem.php?poem=hon_nghe_sy__luu_trong_lu,bảy chữ,hiện đại,,Lưu Trọng Lư
"Tình em như tuyết vương chân ngựa<
>Hoặc có vừng trăng muôn dặm soi<
>Đã lâu anh không đến vườn em nữa!<
>Các lối đi, gai cỏ mọc đầy,<
>Chim không hạ cánh,<
>Lá rụng không buồn bay,<
>Những chiều thu em không buồn tựa cửa.<
>Hoa em đầy giậu, bóng anh tuyệt vời<
>Cỏ em đầy vườn, ngựa anh không tới<
>Đã lâu ngày, ngõ ùn: lá bàng rơi,<
>Đón ai vào mà ngõ kia em phải xới?<
>Hôm nào đây, bầy chim con ngần trắng<
>Biết tự quãng nào, trong chốn rừng xanh<
>Bay về đây - trên cành xoan, im lặng<
>Không con nào mách hộ bóng tin anh!",Lòng Cô Phụ,https://isach.info/poem.php?poem=long_co_phu__luu_trong_lu,bảy chữ,hiện đại,,Lưu Trọng Lư
"Thơ - Lưu Trọng Lư: Đôi Dòng Tiểu Sử - Lưu Trọng Lư<
>Tôi biết giá trị của thành công: cống hiến, làm việc chăm chỉ, và sự hy sinh không cần bù đắp cho những việc bạn muốn nó xảy ra.<
>Nguyễn Nhật Ánh<
>Hoàng Thu Dung<
>Nguyễn Ngọc Tư<
>Quỳnh Dao<
>Hồ Biểu Chánh<
>Cổ Long<
>Ngọa Long Sinh<
>Ngã Cật Tây Hồng Thị<
>Trần Thanh Vân<
>Trung Nghị<
>Thu Hiền<
>Bá Trung<
>Mạnh Linh<
>Bạch Lý<
>Hướng Dương<
>Dương Liễu<
>Ngô Hồng<
>Ngọc Hân<
>Phương Minh<
>Shep O’Neal<
>Hồi Ký<
>Tùy But<
>Thơ ▼<
>Nguyễn Bính<
>Hồ Xuân Hương<
>Trần Đăng Khoa<
>Phùng Quán<
>Xuân Diệu<
>Lưu Trọng Lư<
>Tố Hữu<
>Xuân Quỳnh<
>Nguyễn Khoa Điềm<
>Vũ Hoàng Chương<
>Hàn Mặc Tử<
>Huy Cận<
>Bùi Giáng<
>Hồ Dzếnh<
>Trần Quốc Hoàn<
>Bùi Chí Vinh<
>Lưu Quang Vũ<
>Bảo Cường<
>Nguyên Sa<
>Tế Hanh<
>Hữu Thỉnh<
>Thế Lữ<
>Hoàng Cầm<
>Đỗ Trung Quân<
>Chế Lan Viên<
>Trịnh Công Sơn<
>Quốc Bảo<
>Phạm Duy<
>Anh Bằng<
>Võ Tá Hân<
>Hoàng Trọng<
>Trầm Tử Thiêng<
>Lương Bằng Quang<
>Song Ngọc<
>Hoàng Thi Thơ<
>Trần Thiện Thanh<
>Thái Thịnh<
>Phương Uyên<
>Khánh Ly<
>Cẩm Ly<
>Hương Lan<
>Như Quỳnh<
>Đan Trường<
>Lam Trường<
>Đàm Vĩnh Hưng<
>Minh Tuyết<
>Tuấn Ngọc<
>Trường Vũ<
>Quang Dũng<
>Mỹ Tâm<
>Bảo Yến<
>Toán Học<
>Tiếng Anh<
>Tin Học<
>Âm Nhạc<
>Lưu Trọng Lư: Đôi Dòng Tiểu Sử<
>Lưu Trọng Lư<
>Học trường Quốc Học Huế đến năm thứ ba thì bỏ ra Hà Nội học tư, rồi bỏ đi làm thơ, làm báo, viết văn.<
>Chủ trương Ngân Sơn Tùng Thư tại Huế năm 1933-1934. Sau 1954, ông làm vụ trưởng Vụ Sân Khấu Bộ Văn Hóa, và là Tổng thư ký Hội Nghệ Sĩ Sân Khấu Việt Nam.<
>Mặc dù Lưu là một trong những người cổ động cho Thơ Mới ồn ào nhất, đọc thơ ông, người ta vẫn có cảm tưởng nó chẳng mới bao nhiêu. Thơ Lưu Trọng Lư vẫn là một khúc đàn xưa, giàu tình cảm lẫn nhạc điệu với những rung động chân tình, dễ gây ấn tượng trong người đọc.<
>Nhận xét của Hoài Thanh - Hoài Chân: ""... thơ Lư nhiều bài thực không phải là thơ, nghĩa là những công trình nghệ thuật, mà chính là tiếng lòng thổn thức cùng hòa theo tiếng thổn thức của lòng ta"".",Lưu Trọng Lư: Đôi Dòng Tiểu Sử,https://isach.info/poem.php?poem=luu_trong_lu_doi_dong_tieu_su__luu_trong_lu,thơ tự do,hiện đại,,Lưu Trọng Lư
