content,title,url,genre,period,specific_genre,author
"Mưa chẳng nhảy valse trên đường nữa<
>Vàng chi lắm thế nắng mai ơi<
>Hình như có điệu tango mới<
>Đưa bước em qua ngõ nhà người<
>Đông biếc đã phai ngoài dậu trúc<
>Tết hồng xác pháo cuối hiên mai<
>Có chàng nghiêng ngó xuân sau trước<
>Rồi chợt thấy mình đi theo ai<
>Dòng sông uốn lượn theo chân sáo<
>Chim lợp vòm me khúc nhạc vui<
>Đi lễ chùa xa nên em vội<
>Quên cả giấu duyên trên miệng cười<
>Màu áo hoa ngâu như là sóng<
>Tóc mơ se mộng với mây trời<
>Thầm cuốn lòng ai lên tận núi<
>Chùa xa chuông điểm nhịp sương rơi<
>Lóng ngóng ẩn mình sau hương khói<
>Với cành hoa nói hộ trên tay<
>Sao anh chẳng dám trao thiên hạ<
>Để hồng úa rụng chỉ còn gai<
>Bông hồng chưa nhận em đâu biết<
>Có kẻ khật khùng suốt Tết nay<
>Trái tim thôi nhảy soul trong ngực<
>Bởi đã hoá thành bong bóng bay...",Bông Hồng Đầu Năm,https://isach.info/poem.php?poem=bdong_hong_dau_nam__muong_man,lục bát,hiện đại,,Mường Mán
"Chào mưa quen chừng như bỗng lạ<
>Bầy sẻ ngoan về dưới hiên nhà<
>Tặng em chuỗi hót xanh mùa hạ<
>Thơm mơ gần và cả mộng xa<
>Chào mưa những hàng mi chớp vội<
>Rụng rất thầm kỷ niệm ngày qua<
>Vẫn còn mảnh gương con giữ lại<
>Để dành soi nỗi nhớ phôi pha<
>Chào mưa chiều lang thang quên lối<
>Con sáo buồn đứng trú gốc me<
>Mơ áo trắng ngày xưa quay lại<
>Chắp cánh bay qua phố ngàn hoa<
>Chào mưa, chào mưa, chào mưa bay<
>Qua sông bịn rịn nào ai hay<
>Em về một nửa mưa bên ấy<
>Buồn tôi chợt nắng phía bên này.",Chào Mưa,https://isach.info/poem.php?poem=chao_mua__muong_man,lục bát,hiện đại,,Mường Mán
"Chậm bước theo mưa chiều đại nội<
>Luồn qua cửa phủ ngắm thu phai<
>Đường xưa khoát áo rêu phong ngủ<
>Còn thức đâu đây những dấu hài?<
>Trầm mặc bên hồ bông sứ rụng<
>Mơ màng công chúa hát nam ai<
>Phím vỡ tơ chùng tình dẫu muộn<
>Tạ lòng nhau một thoáng hương bay",Chiều Đại Nội,https://isach.info/poem.php?poem=chieu_dai_noi__muong_man,lục bát,hiện đại,,Mường Mán
"Mười ngón pha phôi<
>Chợt thấy đôi khi lòng là sóng<
>Cuốn tim bay theo bước chân người<
>Ngã bảy ngã ba",Chợt Thấy,https://isach.info/poem.php?poem=chot_thay__muong_man,bảy chữ,hiện đại,,Mường Mán
"Răng mờ cứ theo tui hoài rứa<
>Cái ông ni có dị chưa tề<
>Sáng chiều trưa hai buổi đi về<
>Đưa với đón làm răng không biết<
>Oâi đôi mắt sao mà tha thiét<
>Đừng nhìn làm ngượng bước chân tui<
>Lá thơ tình ông gởi làm chi<
>Thầy mạ biết rầy la tui chết<
>Oâng tán tỉnh làm chi không biết<
>Tui như ma qủy dưới âm ty<
>Nói hoài lời hoa mỹ làm chi<
>Tui còn nhỏ chuyện tình răng biết được<
>Tội tui lắm cách cho vài bước<
>Đừng đi gần hai bóng chung đôi<
>Xa xa cho kẻo bạn tui cười<
>Mai vào lớp cả trường dị nghị<
>Thôi được rồi đưa lá thơ đây<
>Mai tan trường đợi ở gốc cây<
>Tui sẽ tới trả lời cho biết.",Đồng Khánh Ngày Xưa,https://isach.info/poem.php?poem=dong_khanh_ngay_xua__muong_man,lục bát,hiện đại,,Mường Mán
"Tháng Giêng gió lộng qua cành biếc<
>Đánh thức trong vườn bao nụ thơm<
>Hình như có thoáng hương quỳnh muộn<
>Sóng sáng nghiêng lòng, đôi hạt sương<
>Phố xá thênh thang muà lễ hội<
>Trăm hồng nghìn tía vẽ tranh xuân<
>Riêng em yểu điệu màu thiên lý<
>Nón múa cho trời bỗng thêm duyên<
>Thuyền chở trăng xưa về bến cũ<
>Hay mãi rong chơi trăm ngả sông<
>Đêm qua có cánh hồng chợt tím<
>Lả xuống tim người, vay chút hương<
>Đầu năm có điều gì rất lạ<
>Níu không đành, buông chẳng nỡ buông<
>Hình như cứ bâng khuâng nhè nhẹ<
>Theo bước chân ai về lối quen.....",Hương Sắc Tháng Giêng,https://isach.info/poem.php?poem=huong_sac_thang_gieng__muong_man,lục bát,hiện đại,,Mường Mán
"Nì O tê răng mờ đứng đó<
>Lớp anh tan buổi học chưa về<
>Sáng vàng Thu trời mưa nho nhỏ<
>Chờ ai răng O nơ ù! mưa tề<
>Đôi mắt nhỏ ngác ngơ đến tội<
>Sợ chi mô lũ bạn anh hiền<
>Sao O để gío bay tóc rối<
>Bạn bè mô mà đứng một mình riêng<
>Cặp của O màu xanh lá mạ<
>Vở của anh bọc giấy hồng điều<
>Răng nhìn anh đỏ hồng đôi má<
>Tên chi nì nói để anh kêu<
>Tường trường anh có hàng rêu tím<
>Đẹp chi mô mờ cứ nhìn hoài<
>Tà áo O làm chi nên tội<
>Sao cứ vò nhăn giữa bàn tay<
>Bạn bè anh về rồi O nớ<
>Còn ai mô mà phải ngại ngùng<
>Trời mưa lớn ôm giùm sách vở<
>Anh giăng dù hai đứa che chung<
>O cảm ơn anh làm chi rứa<
>Răng không về hai đứa có đôi<
>Mà đi giữa mùa thu tức tưởi<
>Trời làm mưa ướt aó O rồi.",Không Biết Tên,https://isach.info/poem.php?poem=khong_biet_ten__muong_man,lục bát,hiện đại,,Mường Mán
"Đưa tay hái mấy lá mồng tơi<
>Bỗng thấy trời tan đất ngậm ngùi<
>Soi từng sợi tóc nhìn mây nổi<
>Không dưng bắt được một niềm vui<
>Giữa núi rừng hoang nói với ai<
>Nói với cây ư? cây gẫy rồi<
>Cười với hoa ư? hoa nát nhụy<
>Thôi đành nói với một mình thôi<
>Một mình nói mãi cho mình nghe<
>Lời thật thà như thóc lúa, và<
>Lời điêu ngoa trót đong đầy lưỡi<
>Lời yêu ai chưa hề nói ra<
>Giữa rú truông hoang hát với ai<
>Hát với trăng ư? trăng lặn rồi<
>Hát với sương ư? sương vừa rụng<
>Thôi đành chỉ hát một mình thôi<
>Một mình hát mãi cho mình nghe<
>Khúc hát ngày cha đưa mẹ về<
>Có con bướm lượn mừng dâu mới<
>Rơi phấn thu vàng trong cánh che<
>Giữa bụi bờ hoang biết ru ai<
>Ru gió ngủ ư? gió tan rồi<
>Ru lá ngủ ư? lá thở dài<
>Thôi đành ru mình ngủ đi thôi<
>Một mình ru mãi cho mình quên<
>Ru cho chân cứng với đá mềm<
>Ru thương đời mỏi trên tay nặng<
>Một mình ru mãi dỗ mình quên",Khúc Hát Dưới Núi,https://isach.info/poem.php?poem=khuc_hat_duoi_nui__muong_man,lục bát,hiện đại,,Mường Mán
"Sáng nay anh thấy mộng rất đâỳ<
>Mộng về theo những cánh me bay<
>Bay từ vai quên sang vai nhớ<
>Xanh cả hồn anh bé có hay?<
>Sáng nay anh thấy hai sao mai<
>Một trong mắt bé một trên trơì<
>Tim vui anh thốt lên thành tiếng<
>Chợt thấy tình cươì trong miệng ai<
>Sáng nay anh thất mưa rất dài<
>Mưa từ quá khứ tơí tương lai<
>Mưa trong coĩ vắng anh ngồi đợi<
>Mưa ngập ngừng chân bé coĩ ngoài<
>Sáng nay anh thấy một cánh diêù<
>Mang tiếng cươì ai vút lên cao<
>Anh vội xếp lòng thành đôi cánh<
>Ước đươc làm chim để bay theo<
>Sáng nay anh thấy một trơì hương<
>Hương dâng lụt lội cả tâm hồn<
>Ô hay! mắt bé là thuyền giấy<
>Vưà chở Thu về đậu bến hương<
>Theo trong mắt bé một vầng trăng<
>Sáng từ mồng một đến đêm rằm<
>Soi đường tình ái cho anh tớí<
>Dẫn lối cho hoa tìm đến ong<
>Quàng lên vai bé một giòng sông<
>Mêng mông non nước thuở tang bồng<
>Sông ru tóc ngủ sầu xa ngái<
>Sông chở phù sa ươm mắt trong<
>Vẽ lên trán bé những ngày mưa<
>Khăn quàng áo lụa dài rất thơ<
>Đôi bàn tay yếu như lá cỏ<
>Lùa xuống lòng anh lửa bốn mùa<
>Gắn giưã môi bé một măt trời<
>Đỏ chùm mộng chín tuổi lên mươì<
>Cùng bâng khuâng nhớ năm mươì bảy<
>Và nụ hôn tròn thơm ô mai<
>Thổi vào lòng bé một tiếng đàn<
>Anh nghe chầm chậm bước Xuân sang<
>Những đường tơ nõn rung như nắng<
>Thứ nắng không màu nhưng rất nhung<
>Lăn vào hồn bé một cỗ xe<
>Hai con ngựa trắng bước trong mê<
>Nhạc vàng khuya rộn đôi vòng ngọc<
>Nhủ bé rằng anh sẽ trở về",Lá Tương Tư,https://isach.info/poem.php?poem=la_tuong_tu__muong_man,lục bát,hiện đại,,Mường Mán
"Mưa thân ái trên tay<
>Tay mỏi rời trong tóc<
>Tóc nhớ ai mọc dài<
>Mắt nhớ ai muốn khóc",Một Chút Mưa Thơm,https://isach.info/poem.php?poem=mot_chut_mua_thom__muong_man,thơ tự do,hiện đại,,Mường Mán
