content,title,url,genre,period,specific_genre,author
"Rồi ngày mai trong một giấc mơ nào<
>Em có gặp lại những gì đã mất<
>Trường lớp lạ ngày nào ta biết mặt<
>Bạn bè đông tan học rủ nhau về<
>Những tên người vô cớ gọi trong mê<
>Sáng thức dậy thấy lòng vui rộn rã<
>Những bài thơ chuyền tay nhau vội vã<
>Bỗng ngày nào anh chợt nhận ra em<
>Một tên người xa lạ tự nhiên quen<
>Từ lúc ấy lòng anh như trẻ mãi<
>Và lòng em cũng vô cùng thơ dại<
>Ta yêu nhau không một lí do nào<
>Khắp đất trời mới mẻ lạ lùng sao<
>Thế giới đẹp như trang hoàng trở lại<
>Những chiếc lá rụng trong chiều lộng lẫy<
>Cũng nghiêng mình thủ thỉ lúc ta qua<
>Và một điều huyền bí được sinh ra.<
>Như tất cả, hẳn là em cũng có<
>Những ngăn kéo của lòng mình nho nhỏ<
>Ngăn giấu ô mai, ngăn giấu vui buồn<
>Và ngăn nào cất giữ những nụ hôn<
>Ngăn nào nữa cất những lời hứa hẹn<
>Dẫu lời hứa không bao giờ đúng hẹn<
>Những chuyến tàu lỡ bến đã từ lâu<
>Giữa những mặt người thấp thoáng qua mau<
>Em có thấy bóng ai đang sững lại<
>Ấy là anh của một thời trẻ dại.<
>Rồi ngày mai trong một giấc mơ nào<
>Em có gặp lại những gì đã mất<
>Những thanh kẹo nguyên màu trong kí ức<
>Vẫn chưa bong lớp giấy cuối cùng<
>Một bầu trời lặng lẽ đến bao dung<
>Tiếng chân bước nôn nao ngoài cửa lớp<
>Trong ánh mắt bao niềm vui choáng ngợp<
>Mỗi ngày qua như một chuyến đi dài<
>Tiếng cuộc đời giục giã ở bên tai.<
>Kỉ niệm cũ xếp đầy trong trí nhớ<
>Như nét mực thấm qua từng trang vở<
>Bàn tay em hờ hững lật qua dần<
>Có lúc nào em dừng lại, bâng khuâng<
>Như bóng nắng ngoài kia chưa nỡ tắt<
>Mặt trời xuống sợ ngày vui sẽ hết.<
>Rồi ngày mai một buổi chiều nào<
>Trên con đường bóng tối phủ từ lâu<
>Em mệt mỏi giữa dòng đời khắc nghiệt<
>Những lúc ấy có bao giờ em biết<
>Những tháng ngày tươi đẹp đã trôi qua<
>Có một phần lầm lỗi của đôi ta?",Có Một Buổi Chiều Nào,https://isach.info/poem.php?poem=co_mot_buoi_chieu_nao__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Thuở nhỏ tôi ra Cống Na câu cá<
>Níu váy bà đi chợ Bình Lâm<
>Bắt chim sẻ ở vành tai tượng Phật<
>Và đôi khi ăn trộm nhãn chùa Trần<
>Thuở nhỏ tôi lên chơi đền cây Thị<
>Chân đất đi đêm xem lễ Đền Sòng.<
>Mùi huệ trắng quyện khói trầm thơm lắm<
>Điệu hát văn lảo đảo bóng cô đồng.<
>Tôi đâu biết bà tôi cơ cực thế<
>Bà mò cua, xúc tép ở đồng Quan<
>Bà đi gánh chè xanh Ba Trại<
>Quán cháo, Đồng Giao thập thững những đêm hàn<
>Tôi trong suốt giữa đôi bờ hư thực<
>Giữa bà tôi và tiên phật thánh thần<
>Cái năm đói củ giong riềng luộc sượng.<
>Cứ nghe thơm mùi huệ trắng, hương trầm<
>Bom Mỹ giội nhà bà tôi bay mất<
>Đền Sòng bay, bay tuốt cả chùa chiền<
>Thánh với Phật rủ nhau đi đâu hết<
>Bà tôi đi bán trứng ở ga Lèn<
>Tôi đi lính, lâu không về quê ngoại<
>Dòng sông xưa vẫn bên lở bên bồi<
>Khi tôi biết thương bà thì đã muộn<
>Bà chỉ còn là một nấm cỏ thôi!",Đò Lèn,https://isach.info/poem.php?poem=do_len__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Em thanh xuân như ngày xưa của anh<
>Duới sân trường có một viên sỏi xanh rất nhỏ<
>Anh cất dấu tuổi trẻ mình ở đó<
>Có khi nào em xới cỏ vườn trường<
>Mảnh ốc xà cừ lóng lánh ánh lửa<
>Anh cất dấu tuổi trẻ mình ở đó<
>Em còn đi ngang dòng Nông Giang<
>Hòn đá tảng kê làm bậc rửa chân<
>Anh cất dấu tuổi trẻ mình ở đó<
>Cái hố tránh bom anh đào trước nhà Dòng<
>Ẩn nấp cùng anh có một người bạn nữa<
>Anh cất dấu tuổi trẻ mình ở đó<
>… Tuổi trẻ anh áo nâu, chân đất<
>Bữa cháo, bữa khoai, đi cày và đi học<
>Bụng cồn cào con chữ chạy xiêu xiêu<
>Đâu rồi… lũ bạn trai trời đánh thánh vật<
>Ông Dậu lao công quang quác la<
>Nhất quỉ nhì ma, thứ ba học trò!…<
>Đâu rồi… lớp học đêm le lói đèn dầu<
>Tiếng phản lực xẹt ngang bài thơ cổ<
>Những câu thơ đầu tiên lặng lẽ gửi loài người<
>Đâu rồi… phút chia li không ai tiễn đưa<
>Trường sơ tán vào Đông Văn, Đông Phú<
>Lũ anh đi mỗi đứa một chiến trường<
>Đâu rồi… đứa xanh cỏ, đứa đỏ ngực<
>Đứa thành lãnh đạo, đứa về làm thuê<
>Còn anh nghễnh ngãng làm nghề mộng du<
>Chiến tranh đi qua – thời trai anh đi qua<
>Những ngả đường đạn bom mịt mù thăm thẳm lắm<
>Về lại trường xưa tìm lại chút ngày xưa<
>Sẽ còn mãi những gì không thể mất<
>Em vô tư đâu có thấy anh nhìn<
>Kỷ niệm anh chìm lấp dưới chân em<
>Em có bắt được thì cho anh xin<
>Anh ngắm lại chứ không sao lấy lại<
>Mảnh vụn thời gian chắp nối đời người<
>Thế nào em cũng lặp lại anh thôi<
>Phán xử buồn vui từng mẩu quá khứ<
>Em thanh xuân như ngày xưa của anh ơi…",Gửi Về Lam Sơn,https://isach.info/poem.php?poem=gui_ve_lam_son__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Tôi gõ cửa ngôi nhà tranh nhỏ bé ven đồng chiêm<
>Bà mẹ đón tôi trong gió đêm<
>- Nhà mẹ hẹp nhưng còn mê chỗ ngủ<
>Mẹ chỉ phàn nàn chiếu chăn chả đủ<
>Rồi mẹ ôm rơm lót ổ tôi nằm<
>Rơm vàng bọc tôi như kén bọc tằm<
>Tôi thao thức trong hương mật ong của ruộng<
>Trong hơi ấm hơn nhiều chăn đệm<
>Của những cọng rơm xơ xác gầy gò<
>Hạt gạo nuôi hết thảy chúng ta no<
>Riêng cái ấm nồng nàn như lửa<
>Cái mộc mạc lên hương của lúa<
>Đâu dễ chia cho tất cả mọi người<
>Bình Lục – một đêm lỡ đường",Hơi Ấm Ổ Rơm,https://isach.info/poem.php?poem=hoi_am_o_rom__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Học trò con trai ma quỷ<
>Học trò con gái thần tiên<
>Thầy bắt thần tiên ngồi kèm ma quỷ<
>Bén hơi ma quỉ ghẹo thần tiên<
>Lập lòe đom đóm vĩnh cửu<
>Ô mai đổi kẹo bạc hà<
>Lấm láp trang đời mỗi dày mỗi kịch<
>Thời gian không mất trắng bao giờ<
>Câu chuyện học trò không đầu không cuối<
>Tình ý học trò quả me chua loét<
>Lưu bút mùa hoa phượng cháy không nguôi<
>Lá thư học trò vu vơ dấm dúi<
>Nỗi nhớ học trò chấp chới suốt đời nhau<
>Đẹp như là không đâu vào đâu",Kính Gửi Tuổi Học Trò,https://isach.info/poem.php?poem=kinh_gui_tuoi_hoc_tro__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Em đi bỏ lửng sân đình<
>Trống chèo ngắc ngoải thùng thình gọi ai<
>Chòng chành kiếp nón không quai<
>Hai mà một một mà hai một mình<
>Em đi bỏ lửng dòng sông<
>Biệt tăm con cá lông nhông thuyền chài<
>Gió lêu lổng sóng dông dài<
>Hai mà một một mà hai một mình<
>Em đi bỏ lửng trúc xinh<
>Thầy đồ cóc dạy yêu tinh học bài<
>Nằm nghe ếch nhái thi tài<
>Hai mà một một mà hai một mình<
>Em đi bỏ lửng chân trời<
>Một người chiều ngóng một người ban mai<
>Hình là ta bóng là ai<
>Hai mà một một mà hai một mình<
>Em đi bỏ lửng cái tình<
>Tâm toang hoác rỗng rối tinh hình hài<
>Ruột rêu mọt gặm lai rai<
>Hai mà một một mà hai một mình",Mỗi,https://isach.info/poem.php?poem=moi__nguyen_duy,lục bát,hiện đại,,Nguyễn Duy
"Con rùa vàng gửi bóng ở trên mây<
>Cây si mọc chúc cành xuống nước<
>Thê Húc cong cong một nét lông mày<
>Tóc em dài cho ta nhìn thấy gió<
>Áo em bay cho mờ tỏ thân hình<
>Em sâu sắc như kinh thành cổ kính<
>Gốc si già da mốc ngói rêu xanh<
>Em nhẹ nhõm đi về trong phố cũ<
>Tường nhà lở vôi cửa gỗ bức bàn<
>Ta lặn lội như một thằng ăn trộm<
>Nơm nớp lo mình bị bắt quả tang<
>Lần lữa mãi thế là ta lỡ dại<
>Thế là ta mồ côi em mãi mãi<
>Cái vu vơ chết đuối dưới sương chiều<
>Cửa gỗ cài then….bóng em mất hút<
>Xe cúp đã thay cho ngựa tía võng điều<
>Ta trở lại gốc si già…và làm lại<
>Làm thơ tình tặng những lứa đang yêu…",Một Góc Chiều Hà Nội,https://isach.info/poem.php?poem=mot_goc_chieu_ha_noi__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Người bạn tôi rung võng cười khoái trá<
>Ấy là lúc những cánh rừng trút lá<
>Mùa khô năm một ngàn chín trăm bảy tư<
>Ăn tết rừng xong, từ giã chú tắc kè<
>Chúng tôi xuôi, ào ào cơn lũ đổ<
>Các binh đoàn tràn vào thành phố<
>Đang mùa thay lá những hàng me<
>Lá me vàng lăn tăn trải thảm phố hè<
>Chồi non lăn tăn nơi đầu cành run rẩy<
>Cơn gió thoảng chút hương rừng đâu đấy<
>Hạt mưa đầu mùa trong suốt giữa lòng tay<
>Người bạn tôi không về tới nơi này<
>Anh gục ngã bên kia cầu Xa lộ<
>Anh nằm lại trước cửa vào thành phố<
>Giây phút lạnh lùng chấm dứt cuộc chiến tranh<
>Đồng đội, bao người không về tới như anh<
>Nằm lại Cầu Bông, Đồng Dù và xa nữa<
>Tất cả họ, suốt một thời máu lửa<
>Đều ước ao thật giản dị:",Nghe Tắc Kè Kêu Trong Thành Phố,https://isach.info/poem.php?poem=nghe_tac_ke_keu_trong_thanh_pho__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Rũ ruột gan ra đếm<
>Chích một giọt máu thường xét nghiệm<
>Tí trí thức – tí thợ cày – tí điếm<
>Tí con buôn – tí cán bộ – tí thằng hề<
>Phật và ma mỗi thứ tí ti…<
>Khốn nạn thân nhau<
>Nặng kiếp phân thân mặt nạ<
>Thì lột mặt đi lần lữa mãi mà chi<
>Dù dối nữa cũng không lừa được nữa<
>Khôn và ngu đều có tính mức độ<
>Bụng dạ cồn cào bất ổn làm sao<
>Miếng quá độ nuốt vội vàng sống sít<
>Mất vệ sinh bội thực tự hào<
>Sự thật hôn mê – ngộ độc ca ngợi<
>Bệnh và tật bao nhiêu năm ủ lại<
>Biết thế nhưng mà biết làm thế nào<
>Chả lẽ bây giờ bốc thang chửi bới<
>Thầy chửi bới nhe giàn nanh cơ hội<
>Chả lẽ bốc thang cỏ khô nhai lại<
>Lạy ông-cơ-chế lạy bà-tư-duy<
>Xin đừng hót những lời chim chóc mãi<
>Ðừng lớn lối khi dân lành ốm đói<
>Vẫn còng làm cho thẳng lưng ăn<
>Ðổi mới thật không hay giả vờ đổi mới?<
>Máu nhiễm trùng ta có thể thay chăng?<
>Thật đáng sợ ai không có ai thương<
>Càng đáng sợ ai không còn ai ghét<
>Ngày càng hiếm hoi câu thơ tuẫn tiết",Nhìn Từ Xa… Tổ Quốc!,https://isach.info/poem.php?poem=nhin_tu_xa_to_quoc__nguyen_duy,bảy chữ,hiện đại,,Nguyễn Duy
"Tiếng pháo rền vang xa<
>Có một lão bị gậy<
>Khóc khàn trên sân ga<
>Cả thành phố như cháy<
>Lập lòe ánh hỏa châu<
>Có bà già bới rác<
>Nằm co ro gầm cầu<
>Cả thành phố như khói<
>Khét lẹt mờ mịt mây<
>Có một em điếm ế<
>Đón giao thừa gốc cây<
>Cả thành phố như toác<
>Xác pháo dày vỉa hè<
>Có chú bé đi bụi<
>Khoèo mé hiên lắng nghe<
>Toác, khói, cháy, nổ, tởn…<
>Trận mạc nào đang qua?<
>Có một người nạng gỗ<
>Ngồi bên sông nhớ nhà…",Pháo Tết,https://isach.info/poem.php?poem=phao_tet__nguyen_duy,thơ tự do,hiện đại,,Nguyễn Duy
