content,title,url,genre,period,specific_genre,author
"Trong thiên hạ có anh giả điếc,<
>Khéo ngơ ngơ ngác ngác, ngỡ là ngây!<
>Chẳng ai ngờ ""sáng tai họ, điếc tai cày"",<
>Lối điếc ấy sau này em muốn học.<
>Toạ trung đàm tiếu, nhân như mộc<
>Dạ lí phan viên, nhĩ tự hầu. (1)<
>Khi vườn sau, khi ao trước; khi điếu thuốc, khi miếng trầu.<
>Khi chè chuyên năm bảy chén, khi Kiều lẩy một đôi câu;<
>Sáng một chốc, lâu lâu rồi lại điếc<
>Điếc như thế ai không muốn điếc?<
>Điếc như anh dễ bắt chước ru mà!<
>Hỏi anh, anh cứ ậm à.",Anh Giả Điếc,https://isach.info/poem.php?poem=anh_gia_diec__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Tháng chạp hai mươi bốn chợ Đồng,<
>Năm nay chợ họp có đông không?<
>Dở trời, mưa bụi còn hơi rét.<
>Nếm rượu, tường đền (1) được mấy ông?<
>Hàng quán người về nghe xáo xác,<
>Nợ nần năm hết hỏi lung tung.<
>Dăm ba ngày nữa tin xuân tới.<
>Pháo trúc (2) nhà ai một tiếng đùng.",Chợ Đồng,https://isach.info/poem.php?poem=cho_dong__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Thiên hạ bao giờ cho hết đĩ?<
>Trời sinh ra cũng để mà chơi!<
>Dễ mấy khi làm đĩ gặp thời,<
>Chơi thủng trống long dùi âu mới thích<
>Đĩ bao tử càng chơi càng lịch,<
>Tha hồ cho khúc khích chị em cười:<
>Người ba đấng, của ba loài,<
>Nếu những như ai thì đĩ mốc.<
>Đĩ mà có tàn, có tán, có hương án, có bàn độc (2)<
>Khá khen thay làm đĩ có tông (3)<
>Khắp giang hồ chẳng chốn nào không.<
>Suốt Nam Bắc Tây Đông đều biết tiếng.<
>Đĩ mười phương chơi cho đủ chín,<
>Còn một phương để nhịn lấy chồng.<
>Chém cha cái kiếp đào hồng, (4)<
>Bạn với kẻ anh hùng cho đứng số.<
>Vợ bợm, chồng quan, danh phận đó,<
>Mai sau ngày giỗ có văn nôm.<
>Cha đời con Đĩ Cầu Nôm.",Đĩ Cầu Nôm,https://isach.info/poem.php?poem=di_cau_nom__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Trong thiên hạ có người giả điếc,<
>Khéo ngơ ngơ ngác ngác ngỡ là ngây,<
>Chẳng ai ngờ sáng tai họ, điếc tai cày, (1)<
>Rở lối điếc, để sau này em út học.<
>Tọa trung đàm tiếu nhan như mộc,<
>Dạ bán phan viên thủ tự hầu. (2)<
>Khi vườn sau, khi ao trước, khi điếu thuốc, khi miếng trầu.<
>Khi chè chuyên năm bảy chén, khi<
>Kiều lẩy một đôi câu;<
>Tỉnh một lúc, lâu lâu rồi lại điếc.<
>Điếc như thế, ai không muốn điếc?<
>Điếc như anh dễ bắt chước ru mà!<
>Hỏi anh, anh cứ ậm à.",Giả Cách Điếc,https://isach.info/poem.php?poem=gia_cach_diec__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Chàng chẳng biết gái này gái góa<
>Buồn nằm suông, suông cả áo cơm<
>Khéo thay cái mụ tá ơm<
>Đem chàng tuổi trẻ ép làm lứa đôi<
>Chàng tuổi trẻ chơi bời quên nhọc<
>Gái già này sức vóc được bao?<
>Muốn sao, chiều chẳng được sao<
>Trước tuy sum họp, sau nào được lâu?<
>Lấy chồng vốn nhờ câu ăn mặc<
>Chẳng ngờ rằng đói rách hổ ngươi<
>Vốn xưa cha mẹ dặn lời<
>Tư bôn lại phải kẻ cười người chê<
>Hỡi mụ hỡi, thương chi thương thế?<
>Thương thì hay, nhưng kế chẳng hay<
>Thương thì gạo vải cho vay<
>Lấy chồng thì gái góa này xin van!",Lời Gái Góa,https://isach.info/poem.php?poem=loi_gai_goa__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Xóm bên đông có phường chèo trọ,<
>Đương nửa đêm gọi vợ chuyện trò:<
>Rằng: ""ta thường làm quan to,<
>Sao người coi chẳng ra trò trống chi?""<
>Vợ giận lắm mắng đi mắng lại:<
>""Tuổi đã già sao dại như ri?<
>Đêm hôm ai chẳng biết chi,<
>Người ta biết đến thiếp thì hổ thay!<
>Ở đời có hai điều nên sợ:<
>Sống chết người, quyền ở trong tay.<
>Thế mà chàng đã chẳng hay.<
>Còn ai sợ đến phường này nữa chăng?<
>Vả chàng vẫn lăng nhăng túng kiết,<
>Cuộc sinh nhai chèo hát qua thì,<
>Vua chèo còn chẳng ra gì,<
>Quan chèo vai nhọ (1) khác chi thằng hề"".",Lời Vợ Anh Phường Chèo,https://isach.info/poem.php?poem=loi_vo_anh_phuong_cheo__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"So danh giá ai bằng mẹ Mốc,<
>Ngoài hình hài, gấm vóc chẳng thêm ra; (1)<
>Tấm hồng nhan đem bôi lấm xoá nhoà,<
>Làm thế để cho qua mắt tục.<
>Ngoại mạo bất cầu như mĩ ngọc,<
>Tâm trung thường thủ tự kiên kim (2)<
>Nhớ chồng con muôn dặm xa tìm,<
>Giữ son sắt êm đềm một tiết. (3)<
>Sạch như nước, trắng như ngà, trong như tuyết,<
>Mảnh gương trinh vằng vặc quyết không nhơ,<
>Đắp tai ngảnh mặt làm ngơ,<
>Rằng khôn cũng kệ, rằng khờ cũng thây.<
>Khôn kia dễ bán dại này!",Mẹ Mốc,https://isach.info/poem.php?poem=me_moc__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Nghĩ ta, ta cũng sướng ru mà,<
>Mừng thấy con ta dựng được nhà<
>Năm mới lệ thường thêm tuổi một,<
>Cỗ phe ngôi đã chốc bàn ba. (1)<
>Rượu ngon đến bữa nghiêng bầu dốc,<
>Chữ ""dại"" đầu năm xổ túi ra. (2)<
>Một khóm thủy tiên năm bảy cụm,<
>Xanh xanh như sắp thập thò hoa.",Mừng Con Dựng Được Nhà,https://isach.info/poem.php?poem=mung_con_dung_duoc_nha__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Ông làm đốc học bấy lâu nay,<
>Gần đó mà tôi vẫn chửa hay.<
>Tóc bạc răng long chừng đã cụ,<
>Khăn thâm áo thụng cũng ra thầy.<
>Học trò kẻ chợ trầu dăm miếng,<
>Khảo khóa ngày xưa quyển một chầy. (1)<
>Bổng lộc như ông không mấy nhỉ?<
>Ăn tiêu nhờ được chiếc lương Tây.",Mừng Đốc Học Hà Nam,https://isach.info/poem.php?poem=mung_doc_hoc_ha_nam__nguyen_khuyen,bảy chữ,trung đại,,Nguyễn Khuyến
"Tuổi thêm, thêm được tóc râu phờ,<
>Nay đã năm mươi có lẻ ba.<
>Sách vở ích gì cho buổi ấy,<
>áo xiêm nghĩ lại thẹn thân già.<
>Xuân về ngày loạn càng lơ láo,<
>Người gặp khi cùng cũng ngất ngơ.<
>Lẩn thẩn lấy chi đền tấc bóng,<
>Sao con đàn hát vẫn say sưa?",Ngày Xuân Dặn Các Con,https://isach.info/poem.php?poem=ngay_xuan_dan_cac_con__nguyen_khuyen,lục bát,trung đại,,Nguyễn Khuyến
