content,title,url,genre,period,specific_genre,author
"Khi anh vừa sinh ra<
>Oe oe dăm tiếng khóc<
>Lúc ấy em ở đâu<
>Làm sao mà anh biết<
>Làm sao mà anh biết<
>Em còn chưa ra đời<
>Mẹ là người duy nhất<
>Biết được điều đó thôi!<
>Hai nhà ở hai nơi<
>Cách nhau nghìn cây số<
>Mẹ vẫn biết anh buồn<
>Nên sinh em từ đó<
>Em hồn nhiên như cỏ<
>Lớn lên dưới mặt trời<
>Anh như mây như gió<
>Suốt bốn mùa rong chơi<
>Gặp nhau giữa cuộc đời<
>Là duyên hay là nợ<
>Anh yêu em lâu rồi<
>Sao vẫn còn bỡ ngỡ<
>Bao chàng trai qua ngõ<
>Sao em chẳng chạnh lòng<
>Hai mươi năm chờ đợi<
>Một bóng hình xa xăm<
>Bây giờ em yêu anh<
>Mẹ là người duy nhất<
>Hiểu được điều đó thôi",Chuyện Cổ Tích,https://isach.info/poem.php?poem=chuyen_co_tich__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Lần thứ nhất gặp anh, em nói:<
>-Chỉ xin làm em gái của anh<
>Lần thứ hai gặp em, anh nói:<
>-Muốn xin em làm vợ của anh<
>Lần trước, anh cười chẳng nói<
>Lần sau, em cười quay đi",Chuyện Lâu Rồi,https://isach.info/poem.php?poem=chuyen_lau_roi__nguyen_nhat_anh,lục bát,hiện đại,,Nguyễn Nhật Ánh
"Có hạt khô nằm chết<
>Bên bờ rào không tên<
>Ngày hôm sau chỗ ấy<
>Chắc là hoa mọc lên.<
>Có buổi chiều nằm chết<
>Trên đồi thông cỏ dày<
>Chắc hôm sau chỗ ấy<
>Mọc lên một sớm mai.<
>Hôm nào cạnh dòng sông<
>Biết mai sau chỗ ấy<
>Có còn gì hay không",Chuyện Ngày Sau,https://isach.info/poem.php?poem=chuyen_ngay_sau__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Rồi ngày mai trong một giấc mơ<
>Em có gặp lại những gì đã mất<
>Trường lớp lạ ngày nào ta biết mặt<
>Bạn bè đông tan học rủ nhau về<
>Những tên người vô cớ gọi trong mê<
>Sáng thức dậy thấy lòng vui rộn rã<
>Những bài thơ chuyền tay nhau vội vã<
>Bỗng ngày nào anh chợt nhận ra em<
>Một tên người xa lạ tự nhiên quen<
>Từ lúc ấy lòng anh như trẻ mãi<
>Và lòng em cũng vô cùng thơ dại<
>Ta yêu nhau không có một lí do nào<
>Khắp đất trời mới mẻ lạ lùng sao<
>Thế giới đẹp như trang hoàng trở lại<
>Những chiếc lá rụng trong chiều lộng lẫy<
>Cũng nghiêng mình thủ thí lúc ta qua<
>Và một điều huyền bí được sinh ra<
>Như tất cả, hẳn là em cũng có<
>Những ngăn kép của lòng mình nho nhỏ<
>Ngăn giấu ô mai, ngăn giấu vui buồn<
>Và ngăn nào cất giữ những nụ hôn<
>Ngăn nào nữa cất những lời hứa hẹn<
>Dẫu lời hứa không bao giờ đúng hẹn<
>Những chuyến tàu lỡ bến đã từ lâu<
>Giữa những mặt người thấp thoáng qua mau<
>Em có thấy bóng ai đang sững lại<
>Ấy là anh của một thời trẻ dại<
>Rồi ngày mai trong một giấc mơ nào<
>Em có gặp lại những gì đã mất<
>Những thanh kẹo nguyên màu trong kí ức<
>Vẫn chưa bong lớp giấy cuối cùng<
>Một bầu trời lặng lẽ đến bao dung<
>Tiếng chân bước nôn nao ngoài cửa lớp<
>Trong ánh mắt bao niềm vui choáng ngợp<
>Mỗi ngày qua như một chuyến đi dài<
>Tiếng cuộc đời giục giã ở bên tai<
>Kỉ niệm cũ xếp đầy trong trí nhớ<
>Như nét mực thấm qua từng trang vở<
>Bàn tay em hờ hững lật qua dần<
>Có lúc nào em dừng lại, bâng khuâng<
>Như bóng nắng ngoài kia chưa nỡ tắt<
>Mặt trời xuống sợ ngày vui sẽ hết .<
>Rồi ngày mai trong một buổi chiều nào<
>Trên con đường bóng tối phủ từ lâu<
>Em mệt mỏi giữa dòng đời khắc nghiệt<
>Những lúc ấy có bao giờ em biết<
>Những tháng ngày tươi đẹp đã trôi qua<
>Có một phần lầm lỗi của đôi ta?",Có Một Buổi Chiều Nào,https://isach.info/poem.php?poem=co_mot_buoi_chieu_nao__nguyen_nhat_anh,bảy chữ,hiện đại,,Nguyễn Nhật Ánh
"Thơ - Có Một Ngày Đã Đến - Nguyễn Nhật Ánh<
>Nguyễn Nhật Ánh<
>Hoàng Thu Dung<
>Nguyễn Ngọc Tư<
>Quỳnh Dao<
>Hồ Biểu Chánh<
>Cổ Long<
>Ngọa Long Sinh<
>Ngã Cật Tây Hồng Thị<
>Trần Thanh Vân<
>Trung Nghị<
>Thu Hiền<
>Bá Trung<
>Mạnh Linh<
>Bạch Lý<
>Hướng Dương<
>Dương Liễu<
>Ngô Hồng<
>Ngọc Hân<
>Phương Minh<
>Shep O’Neal<
>Hồi Ký<
>Tùy But<
>Thơ ▼<
>Nguyễn Bính<
>Hồ Xuân Hương<
>Trần Đăng Khoa<
>Phùng Quán<
>Xuân Diệu<
>Lưu Trọng Lư<
>Tố Hữu<
>Xuân Quỳnh<
>Nguyễn Khoa Điềm<
>Vũ Hoàng Chương<
>Hàn Mặc Tử<
>Huy Cận<
>Bùi Giáng<
>Hồ Dzếnh<
>Trần Quốc Hoàn<
>Bùi Chí Vinh<
>Lưu Quang Vũ<
>Bảo Cường<
>Nguyên Sa<
>Tế Hanh<
>Hữu Thỉnh<
>Thế Lữ<
>Hoàng Cầm<
>Đỗ Trung Quân<
>Chế Lan Viên<
>Trịnh Công Sơn<
>Quốc Bảo<
>Phạm Duy<
>Anh Bằng<
>Võ Tá Hân<
>Hoàng Trọng<
>Trầm Tử Thiêng<
>Lương Bằng Quang<
>Song Ngọc<
>Hoàng Thi Thơ<
>Trần Thiện Thanh<
>Thái Thịnh<
>Phương Uyên<
>Khánh Ly<
>Cẩm Ly<
>Hương Lan<
>Như Quỳnh<
>Đan Trường<
>Lam Trường<
>Đàm Vĩnh Hưng<
>Minh Tuyết<
>Tuấn Ngọc<
>Trường Vũ<
>Quang Dũng<
>Mỹ Tâm<
>Bảo Yến<
>Toán Học<
>Tiếng Anh<
>Tin Học<
>Âm Nhạc<
>Có Một Ngày Đã Đến<
>Nguyễn Nhật Ánh<
>Có những lúc<
>Tôi ngỡ ngàng<
>Tự hỏi<
>Tại vì sao<
>Tôi lại yêu em<
>Khi mặt trời<
>Sắp lẫn vào đêm<
>Không gì cả<
>Sao lòng tôi<
>Lại nhớ<
>Chiếc lá rơi<
>Trong chiều nổi gió<
>Tôi nhặt lên<
>Mà chẳng để làm gì<
>Và chiều nào sững bước<
>Giữa chân đi<
>Lòng không hiểu<
>Vì sao mình đứng lại<
>Ngậm trên môi<
>Một nhành cỏ dại<
>Chợt hiểu rằng<
>Tôi đã khác tôi xưa<
>Trong nỗi buồn vô cớ<
>Lúc trời mưa<
>Trong mơ mộng<
>Khi hiên ngoài nhạt nắng<
>Tôi chợt biết<
>Có một ngày<
>Đã đến",Có Một Ngày Đã Đến,https://isach.info/poem.php?poem=co_mot_ngay_da_den__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Đừng như công chúa<
>Ngủ mê trong rừng<
>Nằm hoài trên cỏ<
>Có ngày đau lưng<
>Mà như cô Tấm<
>Ngồi bên hiên nhà<
>Để anh qua ngõ<
>Có người trông ra<
>Đừng như trái thị<
>Rớt bị bà già<
>Cất trong hũ gạo<
>Coi chừng chuột tha<
>Mà như hoa thắm<
>Lung linh trong vườn<
>Một lần lỡ ngắm<
>Một đời lỡ thương<
>Đừng như, em nhé<
>Đông xám lạnh lùng<
>Mà như, em nhé<
>Xuân hồng bâng khuâng<
>Để anh qua ngõ<
>Em còn trông ra<
>Để em pháo đỏ<
>Anh còn hương hoa...",Đừng Như Công Chúa,https://isach.info/poem.php?poem=dung_nhu_cong_chua__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Lòng tôi là cây khế<
>Em là chim về chơi<
>Vàng kia em chẳng trả<
>Chỉ nhả hạt xuống thôi<
>Hạt rớt xuống thành cây<
>Cây cũng toàn cây khế<
>Từ khi em đi rồi<
>Vườn tôi thành lặng lẽ<
>Biết bao giờ trở lại<
>Cánh chim em ngày nào<
>Lòng tôi hoa khế rụng<
>Xuống nỗi buồn nôn nao.",Hoa Khế,https://isach.info/poem.php?poem=hoa_khe__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Anh muốn viết bài thơ về Hương Thủy<
>Nơi dòng song thao thức đợi ta về<
>Nơi hoàng hôn bịn rịn tiễn ta đi<
>Nơi chiếc lá cũng trở mình khe khẽ<
>Nắng tắt hiu hiu<
>Chiều rơi nhè nhẹ<
>Tiếng chân người như chạm phải chiêm bao<
>Trời đầy mây và đêm đầy sao<
>Anh chợt nhớ những lần ta đến đó<
>Tóc me ngắn nên không bay trong gió<
>Nhưng lòng anh giông bão đến bao lần<
>Môi kề môi sao quá đỗi ngại ngần<
>Anh chạm vào em hay chạm vào sương đấy<
>Ta không trở về con đường quen vẫn vậy<
>Chỉ sợ dòng sông nằm ốm suốt mùa thu...",Hương Thủy,https://isach.info/poem.php?poem=huong_thuy__nguyen_nhat_anh,bảy chữ,hiện đại,,Nguyễn Nhật Ánh
"Để mọc lên trái đắng<
>Chút tình tôi thầm lặng<
>Hát thành lời ve kêu",Lặng Lẽ Mùa Hè,https://isach.info/poem.php?poem=lang_le_mua_he__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Em về trưa vắng<
>Ngôi trường mọi khi<
>Nghe trong bóng nắng<
>Mùa xuân thầm thì:<
>Này cô tóc ngắn<
>Ai là bảnh trai<
>Để cho kiếng cận<
>Tự nhiên thở dài?<
>Này cô tóc bím<
>Mười sáu ngọt ngào<
>Con trai mặt mụn<
>Con gái thì sao?<
>Ai là răng chuột<
>Gặm bịch bắp rang<
>Có tha hột mít<
>Đem giấu trong hang?<
>Con nai có mắt<
>Nên gọi mắt nai<
>Cây tiêu có hạt<
>Mép thì có ria<
>Mùa xuân đừng hỏi<
>Bạn em rất nhiều<
>Tại chưa nói hết<
>Đâu chỉ bấy nhiêu!",Ngôi Trường Mọi Khi,https://isach.info/poem.php?poem=ngoi_truong_moi_khi__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Tôi đi qua phố nắng<
>Tôi đi qua phố mưa<
>Phố bây giờ đã khác<
>Tôi bây giờ đã xưa<
>Khi tôi chưa ra đời<
>Phố bây giờ đã có<
>Đến lúc tôi lìa đời<
>Phố mãi là phố trẻ<
>Xin những người đi lẻ<
>Hãy nhập thành chung đôi<
>Phố vẫn còn mới mẻ<
>Tình sao nỡ cũ rồi?",Phố Trẻ,https://isach.info/poem.php?poem=pho_tre__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Dưới giàn hoa thiên lý<
>Một mình anh đang ngồi<
>Không dưng em bước tới<
>Anh bỗng thành song đôi",Song Đôi,https://isach.info/poem.php?poem=song_doi__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Hàng me xanh ngắt<
>Có tự bao giờ<
>Mà nay đứng đó<
>Cho em làm thơ<
>Con đường ta qua<
>Đến nay bao tuổi<
>Em qua trăm tuổi<
>Em lại nghìn lần<
>Sao còn bối rối<
>Khi cầm tay anh.<
>Bầu trời hình vuông<
>Nằm trên cao ốc<
>Mặt trời đứng nấp<
>Sau những mái nhà<
>Để dành bóng mát<
>Cho người đi xạ.<
>Em ơi, lắng tai<
>Nghe thành phố thở<
>Bằng tiếng sóng vỗ<
>Dưới những thân tàu<
>Bằng hương rừng già<
>Trên vai bộ đội<
>Bằng hương đồng nộị<
>Thanh niên xung phong<
>Bằng mùi dầu xăng<
>Bằng bao tiếng động<
>Âm thanh cuộc sống.<
>Gõ đến ngày đêm<
>Anh đi cùng em<
>Qua trăm góc phố<
>Lòng chẳng hề quên<
>Từng viên đá nhỏ.<
>Nay chiến trường xa<
>Dẫu nhiều gian khổ<
>Trái tim thành phố<
>Vẫn đập trong người<
>Như là cuộc sống<
>Như là nỗi nhớ<
>Suốt đời mang theo.",Thành Phố Tình Yêu Và Nỗi Nhớ,https://isach.info/poem.php?poem=thanh_pho_tinh_yeu_va_noi_nho__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Thà như ngày thơ ấu<
>Những điều lòng muốn nói<
>Sao chẳng nói được gì<
>Những điều không muốn nói<
>Lại nói mãi em nghe<
>Nhớ ngày xưa tuổi nhỏ<
>Ta suốt ngày bên nhau<
>Kể bao điều thầm kín<
>Lòng có ngại gì đâu<
>Bây giờ sao quá khó<
>Lòng anh và tình em<
>Chút hương thầm trong gió<
>Biết ngày nào bay lên<
>Nếu biết tình như thế<
>Chẳng lớn lên làm gì<
>Thà như ngày thơ ấu<
>Hai đứa cầm tay đi",Thà Như Ngày Thơ Ấu,https://isach.info/poem.php?poem=tha_nhu_ngay_tho_au__nguyen_nhat_anh,thơ tự do,hiện đại,,Nguyễn Nhật Ánh
"Có một buổi em cùng anh hò hẹn<
>Không răng long ít nhất cũng bạc đầu<
>Rồi một buổi em đột nhiên lỗi hẹn<
>Để anh buồn bãi bể với nương dâu<
>Nay vô cớ em chạnh lòng quay lại<
>Chưa kịp mừng anh đã vội phân vân<
>Tình vẫn thế nhưng lòng đầy hoảng sợ<
>Tảng đá kia không nỡ vấp hai lần<
>Trái tim nhỏ ai đành lòng đặt cược<
>Tình đã thua là thua trắng hai tay<
>Thôi em ạ cuộc này may rủi lắm<
>Thà riêng anh thui thủi ở nơi này",Thôi Em Ạ,https://isach.info/poem.php?poem=thoi_em_a__nguyen_nhat_anh,bảy chữ,hiện đại,,Nguyễn Nhật Ánh
"Thương nhau mấy núi cũng trèo<
>Nhà em lầu chín khó leo quá chừng<
>Chân đi một bước lại dừng<
>Ngó lên, lại nhủ: hay đừng yêu em!<
>Dành cho anh một chỗ buổi chiều<
>Dành thêm một chỗ cho anh đứng<
>Bên cạnh đời em lúc quạnh hiu.<
>Trái tim nằm ở trong người<
>Đâu như quần áo mà phơi ra ngoài<
>Nếu em còn trách anh hoài<
>Thôn Đông ngại nói, thôn Đoài nói đi!<
>Ghé thăm em một chút rồi đi<
>Ngồi thêm cũng chẳng nói năng chi<
>Lòng em cửa khép then cài lắm<
>Chẳng biết ngày xuân sắp lỡ thì<
>Ngày mai xa cách nhau rồi<
>Đừng quên anh đã từng ngồi bên em<
>Sau này, ai nói yêu thêm<
>Chỉ là nhắc lại điều em nghe rồi...<
>Hình như trong gió có mưa theo<
>Nghìn núi xanh xa có vạn đèo<
>Trái tim em cũng hình như có<
>Con đường qua đó rất cheo leo?",Tứ Tuyệt Cho Nàng,https://isach.info/poem.php?poem=tu_tuyet_cho_nang__nguyen_nhat_anh,bảy chữ,hiện đại,,Nguyễn Nhật Ánh
