content,title,url,genre,period,specific_genre,author
"Phu thê nếu phải nợ rồi<
>Thì tôi đâu ngại ngỏ lời yêu em<
>Như con chim mới tập chuyền<
>Bâng khuâng gấm luạ thánh hiền em ra<
>Mặt trời rực rỡ phương xa<
>Ở đây hạnh phúc chỉ là đau thương<
>Những đôi mắt ngó lườm lườm<
>Những nanh vuốt thú ẩn trong dáng người<
>Cách gì tôi nhủ khuyên tôi<
>Sống cho ra vẻ cần đời, trang nghiêm<
>Sống không khinh lũ thấp hèn<
>Thế nên từ đó cơn điên xé đời<
>Cách gì tôi nhủ khuyên tôi<
>Sống không dữ dội, sống nguôi hận thù<
>(Tôi duy tâm, rất nhân từ<
>Thế nhưng thời đại suy tư đã... tàn!)<
>Phu thê nếu đã buộc ràng<
>Thì xin nhẫn nhục cưu mang vợ chồng<
>Tôi, quanh năm sống hoang đàng<
>Cũng xin nhỏ lệ hoàn lương khóc tình!",1978 Ở Việt Nam,https://isach.info/poem.php?poem=1978_o_viet_nam__nguyen_tat_nhien,lục bát,hiện đại,,Nguyễn Tất Nhiên
"Em hết thương ta rồi phải không ?<
>Thôi thế cho ta bớt não nùng<
>Thôi thế cho đời ta ngậm đắng<
>Còn nghe vị ngọt của tình nhân !<
>Ta có gì đâu ngoài khốn khổ<
>Ngoài vết thương thấm thía u tình<
>Yêu ai ta quấn dây oan nghiệt<
>Mặc sức nhân gian siết bạo tàn<
>Ta có gì đâu ngoài trái tim<
>Đem phơi hệ lụy giữa thanh thiên<
>Ngờ đâu thiên hạ vô tâm quá<
>Mua vui trên những nỗi đoạn trường<
>Thế nhân khắc nghiệt hơn ta tưởng<
>Em cũng vô tình nghiệt ngã theo<
>Yêu ai ta đốt thời niên thiếu<
>Bây giờ mang thảm kịch tàn tro<
>Em hết thương ta rồi phải không ?<
>Thôi thế cho ta chút mát lòng<
>Thôi thế cho ta còn bác ái<
>Còn tưởng tin người vì tưởng tin em...",Bài Hạnh Ngộ,https://isach.info/poem.php?poem=bai_hanh_ngo__nguyen_tat_nhien,lục bát,hiện đại,,Nguyễn Tất Nhiên
"Bất thần sáng mắt yêu ai<
>Khác chi mời người bứt ruột<
>Khúc ruột nào ứa men thơ<
>Nhớt tay làm em muốn khóc<
>Quả tình ta nhiều sâu độc.<
>(1970 - Thiên Tai)",Bài Hối Trên Tay Duyên,https://isach.info/poem.php?poem=bai_hoi_tren_tay_duyen__nguyen_tat_nhien,bảy chữ,hiện đại,,Nguyễn Tất Nhiên
"Năm năm trời... ta làm tên quái đản<
>Cầu danh trên nước mắt của người tình<
>Năm năm trời có nhục có vinh<
>Có chua, chát, ngọt, bùi, cay, đắng...<
>Có hai mái đầu chia nhau thù oán<
>Có thằng ta trút nạn xuống vai em !<
>Năm năm trời... có một tên Duyên<
>Ta ca tụng, rồi chính ta bôi lọ<
>Tình ta đẹp nhưng tính ta còn nít nhỏ<
>Nên lỗi lầm đã đục màu sông<
>Nếu em còn thương mến tuổi mười lăm<
>Xin nuốt hận mĩm môi cười xí xóa<
>Hồn ta đẹp nhưng đời ta thảm quá<
>Nên tị hiềm nhen nhúm giữa ngây thơ<
>Nếu em còn chút đỉnh mộng mơ<
>Xin rộng lượng thứ dung người lỡ dại !<
>Năm năm trời... ta là tên chiến bại<
>Tìm mưu thâm hạ thủ đê hèn<
>Và lần nào ta lén lút đâm em<
>Bằng những ngọn dao mù lòng quáng dạ<
>Duyên oàn oại cũng là Duyên sáng giá<
>Bởi trước đây ta đã tự đâm mình !<
>Năm năm trời... đeo đuổi hư danh<
>Ta mấy kiếp vẫn là ta mắc nợ<
>Mình hậu thế cách chi mà gặp gỡ ?<
>Bởi vì ta không dễ được đầu thai !<
>Nếu được đầu thai, không dễ được làm người !<
>(Dù chỉ làm người trên đất... mọi !)<
>Ta háo thắng nên tưởng mình cứng cỏi<
>Tưởng đâu mình Quan Đế tuyệt đường siêu<
>Giờ ngã ngựa, tiểu nhân như... Tào Tháo<
>Ta háo thắng nên thành người trâng tráo<
>Bị đời khinh lại giở giọng khinh đời!<
>Kỷ niệm đầu thơm ngát cả đôi môi<
>Ta nông nỗi đưa tay cầm chén máu!<
>Năm năm trời... có tình giông nghĩa bão<
>Có con sông chờ cuốn kẻ-quên-bờ<
>Có trăm ngàn cánh lá trúc đào khô<
>Rơi rụng trước sân nhà em thổn thức<
>Duyên kiêu hãnh cũng là Duyên chết giấc!<
>Sau năm năm... hồn chắc cũng lạnh mồ (?)<
>Ta ngày nay, tạ lỗi một bài thơ<
>Em hãy ráng thuộc lòng... cho trẻ lại!<
>Thơ Nguyễn Tất Nhiên, Nxb Nam Á, Paris 1982)",Bài Tạ Lỗi Cùng Người,https://isach.info/poem.php?poem=bai_ta_loi_cung_nguoi__nguyen_tat_nhien,bảy chữ,hiện đại,,Nguyễn Tất Nhiên
"Tình mới lớn phải không em rất thích ?<
>Cách tập tành nào cũng thật dễ thương<
>Thuở đầu đời chú bé soi gương<
>Và mê mải dĩ nhiên làm lạ<
>Tình mới lớn phải không em rất lạ ?<
>Cách tập tành nào cũng ngượng như nhau<
>Thuở đầu đời chú bé ôm phao<
>Và nhút nhát, dĩ nhiên ngộp nước<
>Tôi có cánh buồm tấp về ký ức<
>Em có chỗ ngồi quên lãng như mây<
>Dù cát bụi có nhiều phen dấy loạn<
>Cũng yên nằm mang phân bón cho cây<
>Nên bao giờ tôi cũng phải thương tôi<
>(Những ích kỷ nảy sinh sau lần thảm bại !)<
>Tuổi mười lăm giữa con trai, con gái<
>Đã rõ ràng ai khờ khạo hơn ai<
>Nên bao giờ tôi cũng phải thương tôi<
>(Những ích kỷ nảy sinh sau lần nhục nhã !)<
>Em có một đời rong xanh mơ đá<
>Tôi có ngàn năm say khướt hận thù !<
>Tình mới lớn phải không em rất mỏng ?<
>Cách tập tành nào cũng dễ hư hao<
>Thuở đầu đời cầm đũa thấp cao<
>Và nâng chén, dĩ nhiên, đổ vỡ<
>Khi mỏi mòn nghe đời mình trắc trở<
>Hơn lúc nào tôi quá đỗi thương tôi !<
>(1970 - Thiên Tai)",Bài Thấm Mệt Đầu Tiên,https://isach.info/poem.php?poem=bai_tham_met_dau_tien__nguyen_tat_nhien,bảy chữ,hiện đại,,Nguyễn Tất Nhiên
"Bởi yêu em nên sầu khổ dịu dàng<
>Những kỉ niệm đời xin hãy còn xanh<
>Có một ngày mình bỏ trường bỏ lớp<
>Cùng ra đi như định luật Trời dành<
>Nắng bờ sông như màu trang vở cũ<
>Thuở học trò em làm khổ ai chưa?<
>Anh muốn khóc trong buổi đầu niên học<
>Bàn tay xương cầm hờ hững văn bằng<
>Em hãy đứng trước gương làm dáng<
>Tự khen minh: ""đẹp quá!"" đi em<
>Lỡ mai kia mốt nọ theo chồng<
>Còn đôi chút luyến lưu thời con gái<
>Em hãy ra bờ sông nhìn nắng trải<
>Nhớ cho mình dáng dấp người yêu<
>Lỡ dòng đời tóc điểm muối tiêu<
>Còn giây phút chạnh lòng như mới lớn.<
>Mình hãy trách đời nhau nhiều hư hỏng<
>Rồi giận hờn cho kỉ niệm đầy tay<
>Thu miền Nam không thấy lá vàng bay<
>Anh phải nói: buồm chúng ta màu trắng<
>Tình cứ đuổi theo người như chiếc bóng<
>Người thì không bắt bóng được bao giờ<
>Anh muốn khóc trong buổi đầu niên học<
>Bởi yêu em nên sầu khổ dịu dàng.",Bởi Yêu Em Sầu Khổ Dịu Dàng,https://isach.info/poem.php?poem=boi_yeu_em_sau_kho_diu_dang__nguyen_tat_nhien,bảy chữ,hiện đại,,Nguyễn Tất Nhiên
"Người yêu tôi khóc ngất<
>Chiều Quân Đội nghĩa trang<
>Rạt rào hơi gió nóng<
>Cho đau tà áo tang<
>Người yêu tôi khóc ngất<
>Chiều Quân Đội nghĩa trang<
>Ngập ngừng hơi xác ướp<
>Bay pha mùi áo nhang<
>Người yêu tôi khóc ngất<
>Trước quan tài sĩ quan<
>Trước hai chàng lính đứng<
>Thao diễn nghỉ lạnh lùng<
>Người yêu tôi khóc ngất<
>Trung úy thản nhiên cười<
>Lồng trong khung ảnh đẹp<
>Dựng sau bình bông tươi<
>Sự vinh thăng bất ngờ<
>Là đem theo nước mắt<
>Là danh dự xót xa<
>Là một lần đắp mặt<
>Một lá cờ quốc gia<
>Tờ thư nào cuối cùng<
>Nơi chiến trường Cam Bốt<
>Tờ thư nào cuối cùng<
>Dùng làm câu trăn trối<
>""Nhớ gởi lời giùm anh<
>Ai cũng thăm nhắn hết<
>Nhớ cho Duyên hai nghìn<
>Nó mừng hôm sinh nhật ! ... ""<
>Chiều Quân Đội nghĩa trang<
>Chiều mệnh danh Tổ Quốc<
>Có muôn ngàn câu kinh<
>Có muôn ngàn tiếng khóc<
>Có chuyến xe nhà binh<
>Đưa ""Thiên Thần"" xuống đất<
>Còn ai, còn ai chăng ?<
>Mua cờ bằng tính mệnh<
>Cho tôi đừng biết tên<
>Cho tôi đừng nhận diện<
>Cho tôi đừng chứng kiến<
>Xác ""thiên thần"" rã manh<
>Người yêu tôi khóc ngất<
>Chiều Quân Đội nghĩa trang<
>Vài dặm bụi lang thang ...<
>Thơ Nguyễn Tất Nhiên, Nxb Nam Á, Paris 1982)",Chiều Mệnh Danh Tổ Quốc,https://isach.info/poem.php?poem=chieu_menh_danh_to_quoc__nguyen_tat_nhien,thơ tự do,hiện đại,,Nguyễn Tất Nhiên
"Ngày thi sắp gần kề rồi đó nhỏ<
>Nhỏ lo năm mà ta ngại tới mười<
>Sợ bài thi làm nhỏ biếng môi cười<
>Ta thật sự nghe lòng đau khôn xiết<
>Ta tưởng tượng nếu nhỏ mà thi rớt<
>Nhỏ sẽ buồn như những lá thu bay<
>Lệ thắm nồng ướt đẫm chiếc khăn tay<
>Như có dạo nhỏ buồn ta phải đổ<
>Ta tưởng tượng nếu nhỏ mà thi đỗ<
>Nhỏ có mừng chưa chắc đã hơn ta<
>Nụ nhỏ cười sẽ rực rỡ như hoa<
>Nỗi sung sướng ửng hồng đôi má đỏ<
>Ngày thi đã gần kề rồi đó nhỏ<
>Ta không thi nhưng hồi hợp lạ thường<
>Đêm ta nằm cầu mong Chúa xót thương<
>Cho nhỏ đổ dẫu ta... người ngoại đạo",Cho Nhỏ Ngày Thi,https://isach.info/poem.php?poem=cho_nho_ngay_thi__nguyen_tat_nhien,bảy chữ,hiện đại,,Nguyễn Tất Nhiên
"Và nói nó còn nhỏ dại<
>Không hiểu nó thương mày chỗ nào<
>Tôi trả lời chỗ con làm thi sĩ<
>Tuy nhiên tôi vừa đau nhói trái tim",Chổ Tôi,https://isach.info/poem.php?poem=cho_toi__nguyen_tat_nhien,bảy chữ,hiện đại,,Nguyễn Tất Nhiên
"﻿Đôi mắt tròn, đen, như búp bê<
>Cô đã nhìn anh rất ... Bắc Kỳ<
>Anh vái trời cho cô dễ dạy<
>Để anh đừng uổng mớ tình si<
>Anh vái trời cho cô thích mộng<
>Để anh ngồi kể chuyện nằm mơ<
>""Đêm qua có một chàng bươm bướm<
>Nguyện chết khô trên giấy học trò""<
>Anh chắc rằng cô sinh trong nam<
>Cảnh tượng di cư chắc lạ lùng ?<
>Khi nghe ai luyến thương Hà Nội<
>Chắc cô nghe bằng tim dửng dưng<
>Anh vái trời cho cô dửng dưng<
>Coi như Hà Nội - xứ hoang đường<
>Để anh còn dắt cô đi dạo<
>Còn rủ cô vào rạp cải lương<
>Anh vái trời cô thích cải lương<
>""Thích kẻ anh hùng diệt bạo tàn"" (*)<
>Mốt mai thê thảm quanh đời sống<
>Cô sẽ còn đôi chút lạc quan<
>Đôi mắt tròn, đen, như búp bê<
>Cô nhớ nhìn thiên hạ lận lường<
>Mà hãy nhìn anh cay lắm chuyện<
>Nhưng còn con trẻ chuyện yêu đương<
>Thơ Nguyễn Tất Nhiên, Nxb Nam Á, Paris 1982)",Cô Bắc Kỳ Nho Nhỏ,https://isach.info/poem.php?poem=co_bac_ky_nho_nho__nguyen_tat_nhien,lục bát,hiện đại,,Nguyễn Tất Nhiên
