content,title,url,genre,period,specific_genre,author
"Mùa thu giăng buồn trên lá<
>Tiếng đàn ai vỡ trong đêm<
>Con sóng xô vào nỗi nhớ<
>Nỗi buồn từ phía sông Seine<
>Giữa miền thơ nhạc miên man<
>Đêm nay thức cùng thành phố<
>Còn em và căn gác nhỏ<
>Ngoài kia nửa mảnh trăng tàn<
>Dây lời ru giữa không gian<
>Ơi em! Hình như gió hát<
>Đêm hoang đời ta cánh vạc<
>Bất chợt mùa thu có em<
>Paris - rồi nhớ hay quên<
>Cali - hồn ta bão tố<
>Đam mê về như thác đổ<
>Bất chợt mùa thu có em...",Bất Chợt Mùa Thu,https://isach.info/poem.php?poem=bat_chot_mua_thu__pham_ngoc,bảy chữ,hiện đại,,Phạm Ngọc
"Con nước lạc xa nguồn<
>Trong lặng im dâng ngàn cơn sóng nhỏ<
>Có buồn chăng cũng chỉ là nỗi nhớ",Bên Kia Nỗi Nhớ,https://isach.info/poem.php?poem=ben_kia_noi_nho__pham_ngoc,lục bát,hiện đại,,Phạm Ngọc
"Anh đi về phía cuối ngày<
>Nỗi buồn thổi tung cơn gió<
>Cánh chiều nằm lơi ráng đỏ<
>Lá vàng rơi giữa mùa say<
>Em đi về phía tương lai<
>Áo soan hồng hoa sen trắng<
>Giấc mơ ngày xuân quá vãng<
>Mắt nhìn đuổi lúc chia tay<
>Cuối đường hai phiá chia hai<
>Trái tim hình như muốn vỡ<
>Chiều xuống bao giờ không nhớ<
>Nhớ người nắng rụng đầy vai<
>Đèn đêm nửa ánh trăng cài<
>Dế buồn hát vang góc phố<
>Nỗi buồn thổi tung cơn gió<
>Về theo từ những cánh chiều...",Cánh Chiều,https://isach.info/poem.php?poem=canh_chieu__pham_ngoc,bảy chữ,hiện đại,,Phạm Ngọc
"Mùa thu không thấy em về nữa<
>Con phố dài thêm những bước chân<
>Ngọn gió cuối chiều buồn hiu hắt<
>Thổi ngược đời ta rất ân cần.<
>Em ở bên trời nơi xa lắm<
>Ngày đã chìm theo những ước mơ<
>Ngàn dặm đường bay dài nỗi nhớ<
>Còn mãi chờ nhau đến bao giờ.<
>Tình cũng tàn phai như tháng năm<
>Và chút nỗi niềm nào ai biết<
>Im lặng cùng ta chiếc lá vàng.<
>Mùa thu không thấy em về nữa<
>Tiếng đàn ai dạo khúc chờ mong<
>Chỉ có mình ta trên lối cũ<
>Chợt thấy heo may với muộn màng.",Chờ Nhau Đến Bao Giờ,https://isach.info/poem.php?poem=cho_nhau_den_bao_gio__pham_ngoc,lục bát,hiện đại,,Phạm Ngọc
"Thành phố đó bao giờ em trở lại<
>Huế ngàn năm như Huế vẫn bây giờ<
>Em Tôn Nữ mang tấm lòng e ngại<
>Để Cấm Thành xa mãi một dòng thơ.<
>Huế và tôi lầm lũ những cơn mưa<
>Đâu kỷ niệm còn thơm mùa phượng cũ<
>Em ngày xưa môi trầm hương tóc gió<
>Tôi ngày xưa bối rối phút đợi chờ.<
>Hương Giang ơi! Thương lắm những chuyến đò<
>Có em về soi hình trên sóng nước<
>Áo em bay trong chiều thu gió ngược<
>Tim bồi hồi ánh mắt thuở làm quen.<
>Huế bây giờ đã vắng bước chân chim<
>Tôi ngơ ngẩn nhớ mùa trăng Vỹ Dạ<
>Biết không em giữa trời xuân xứ lạ<
>Nghe vọng từ Thiên Mụ những hồi chuông...",Chút Tình Với Huế,https://isach.info/poem.php?poem=chut_tinh_voi_hue__pham_ngoc,bảy chữ,hiện đại,,Phạm Ngọc
"Xuân hồng giọt nắng yêu thương<
>Mùa xanh lá biếc ngát hương tự tình<
>Đêm dài khao khát bình minh<
>Quỳnh như nở đóa vô hình xôn xao.<
>Đời từ hẹn ước mai sau<
>Là câu thề nguyện qua cầu gió trăng<
>Bàn tay năm ngón ngại ngần<
>Mắt môi xưa đã lặng thầm gọi nhau<
>Này em chung bước ban đầu<
>Theo em xuân bỗng ngạt ngào cỏ hoa<
>Ngại gì phố lạ đường xa<
>Một lần thôi nhé cũng là trăm năm.<
>Thương em gió núi trên ngàn<
>Ta thân cát bụi giữa hàng mây bay<
>Tiếc chi một cuộc sum vầy<
>Có em ta vẫn mộng đầy tuổi xuân...",Có Em Ta Vẫn Mộng Đầy Tuổi Xuân,https://isach.info/poem.php?poem=co_em_ta_van_mong_day_tuoi_xuan__pham_ngoc,lục bát,hiện đại,,Phạm Ngọc
"Em đi rồi anh mới biết mất nhau<
>Hoa vẫn nở mùa hoa vàng cuối phố<
>Em đi rồi bỏ nơi này nỗi nhớ<
>Nhánh sông buồn mây trắng bỗng giăng ngang.<
>Một cuộc đời bao nhiêu cuộc ly tan<
>Lá chưa xanh sao vội vàng lá uá<
>Ta yêu nhau không dài lâu hạnh ngộ<
>Để tình mình giãy chết giữa mùa thu.<
>Mất nhau rồi từ đó một cơn mưa<
>Em quay gót cho nỗi buồn giấu mặt<
>Anh chơ vơ bàn tay nào đã mất<
>Để nỗi đau trăm mảnh vỡ vơi đầy<
>Vết tích nào còn vướng lại trên vai<
>Anh biết em là một điều cần có<
>Đoá hoa yêu trong vườn anh vẫn nở<
>Con bướm buồn chắp cánh cuối ngày bay...",Con Bướm Buồn Chắp Cánh Cuối Ngày Bay,https://isach.info/poem.php?poem=con_buom_buon_chap_canh_cuoi_ngay_bay__pham_ngoc,bảy chữ,hiện đại,,Phạm Ngọc
"Em mãi là cơn mưa<
>Qua đời tôi nắng hạn<
>Em mãi là ánh sáng<
>Cuối đường tôi bóng đêm<
>Nỗi nhớ khắc thành tên<
>Mùa thu dài ngọn gió<
>Mang theo cơn mưa nhỏ<
>Bay trên giòng sông trôi<
>Còn đây chiếc lá rơi<
>Đã vàng trang ký ức<
>Giọt mưa nào sũng ướt<
>Nhạt nhòa thêm đớn đau<
>Mai về giữ tình nhau<
>Em đừng qua lối cũ<
>Để tôi và nỗi nhớ<
>Còn xanh tuổi yêu người...",Còn Xanh Tuổi Yêu Người,https://isach.info/poem.php?poem=con_xanh_tuoi_yeu_nguoi__pham_ngoc,thơ tự do,hiện đại,,Phạm Ngọc
"Nắng tháng ba ươm vàng ngọn cỏ<
>Ngày đầu xuân gió cũng tìm về<
>Ta quẩn quanh nơi thành phố cổ<
>Đếm thời gian vỗ nhịp lê thê<
>Thôi vẫy tay chào yêu thương cũ<
>Lối xưa giờ còn lại thinh không<
>Khi buổi chiều tàn bên khung cửa<
>Âm vọng về nốt nhạc cô đơn<
>Nắng tháng ba buồn như vô tận<
>Chẳng còn gì để giữ được nhau<
>Trăm ngọn sóng xô bờ lận đận<
>Trôi dạt đời biết sẽ về đâu<
>Xa thật rồi lại xa thêm nữa<
>Ta và em hai nửa điạ cầu<
>Chỉ tháng ba về đưa tay vẫy<
>Xuân nơi này hẹn đến mùa sau.",Khúc Tháng Ba,https://isach.info/poem.php?poem=khuc_thang_ba__pham_ngoc,lục bát,hiện đại,,Phạm Ngọc
"Những ngọn nắng về theo em tháng bảy<
>Nhớ phượng xưa ve hát hạ sang mùa<
>Vẫn bập bùng trong ta ngàn ánh lửa<
>Đã xa rồi kỷ niệm dấu buồn xưa<
>Bao nhiêu năm còn tiếc buổi tiễn đưa<
>Hoa phượng đỏ em cài trên mái tóc<
>Và nụ cười trên môi buồn hiu hắt<
>Đôi mắt nào u uẩn nỗi niềm riêng<
>Tháng bảy theo cơn mộng những ưu phiền<
>Ta đứng lại giữa mùa hoa đã vỡ<
>Có còn chăng không gian đầy những gió<
>Thổi ngược chiều bao vết chém cưu mang<
>Tiếng ve sầu còn lại chỉ âm vang<
>Khi góc phố không là nơi hò hẹn<
>Thành âm vang của một lời đưa tiễn<
>Tháng bảy về tôi đứng phía không em...",Khúc Tháng Bảy,https://isach.info/poem.php?poem=khuc_thang_bay__pham_ngoc,bảy chữ,hiện đại,,Phạm Ngọc
