content,title,url,genre,period,specific_genre,author
"Khói thu xây thành.<
>Lá thu rơi tụng đầu ghềnh<
>Sông thu đưa lá bao ngành biệt ly.<
>Nhạn về én lại bay đi,<
>Đêm thì vượn hót, ngày thì ve ngâm.<
>Lá sen tàn tạ trong đầm,<
>Nặng mang giọt lệ âm thầm khóc hoa.<
>Sắc đậu nhuộm ố quanh hà<
>Cỏ vàng cây đỏ bóng tà tà dương.<
>Nào người cố lí tha phương,<
>Cảm thu ai có tư lường hỡi ai?","Cảm Thu, Tiễn Thu",https://isach.info/poem.php?poem=cam_thu_tien_thu__tan_da,bảy chữ,hiện đại,,Tản Đà
"Chữ nghĩa Tây, Tàu trót dở dang<
>Nôm na phá nghiệp kiếm ăn xoàng.<
>Nửa ngòi bút ngỗng ba sinh lụy<
>Một mối tơ tằm mấy đoạn vương.<
>Có kẹo có câu là sách vở<
>Chẳng lề chẳng lối cũng văn chương<
>Còn non còn nước còn trăng gió<
>Còn có thơ ca bán phố phường.<
>""Đề Khối Tình Con"" Tên một tập văn của Tản Đà",Đề Khối Tình Con,https://isach.info/poem.php?poem=de_khoi_tinh_con__tan_da,lục bát,hiện đại,,Tản Đà
"Đêm thu trăng sáng một trời<
>Một mình ngồi tưởng sự đời nghĩ quanh.<
>Nghĩ cho muôn vật hoá sinh<
>ở trong vũ trụ cái hình ra chi!<
>Trăng kia tròn được mấy khi,<
>Hoa kia nở được mấy thì hỡi hoa ?<
>Gái tơ quá lứa đã già,<
>Con tằm rút ruột thời là dộng non.<
>Khúc sông bồi lấp nên cồn,<
>Dâu xanh bãi bể, đá mòn nước khe.<
>Đồng không con đóm lập loè,<
>Khách trần lối ấy đi về những ai?<
>Hình kia đúc tự thợ trời,<
>Tình kia hoạ mới ra ngoài khuôn xanh.<
>Vọng phu còn đá còn trinh,<
>Tiền Đường còn sóng, trung trinh hãy còn.<
>Dẫu cho sông cạn đá mòn,<
>Trung hồn khôn thác, trinh hồn khôn tan.<
>Cho hay những khách trần hoàn,<
>Nghìn xưa ở lại thế gian mấy mà?<
>Trông lên một mảnh trăng tà,<
>Soi chung kim cổ biết là những ai?<
>Mà người kim cổ những ai?...",Đêm Thu Trông Trăng,https://isach.info/poem.php?poem=dem_thu_trong_trang__tan_da,lục bát,hiện đại,,Tản Đà
"Đêm qua chẳng biết có hay không,<
>Chẳng phải hoảng hốt, không mơ mòng.<
>Thật hồn! Thật phách! Thật thân thế!<
>Thật được lên tiên - sướng lạ lùng.<
>Nguyên lúc canh ba nằm một mình,<
>Vắt chân dưới bóng ngọn đèn xanh.<
>Nằm buồn, ngồi dậy đun nước uống,<
>Uống xong ấm nước, nằm ngâm văn.<
>Chơi văn ngâm chán lại chơi trăng<
>Ra sân cùng bóng đi tung tăng<
>Trên trời bỗng thấy hai cô xuống<
>Miệng cười tủm tỉm cùng nói rằng:<
>- ""Trời nghe hạ giới ai ngâm nga,<
>Tiếng ngâm vang cả sông Ngân Hà!<
>Làm Trời mất ngủ, Trời đương mắng<
>Có hay lên đọc, Trời nghe qua"".<
>Ước mãi bây giờ mới gặp tiên!<
>Người tiên nghe tiếng lại như quen!<
>Văn chương nào có hay cho lắm<
>Trời đã sai gọi thời phải lên.<
>Theo hai cô tiên lên đường mây<
>Vù vù không cánh mà như bay.<
>Cửa son đỏ chói, oai rực rỡ<
>Thiên môn đế khuyết như là đây!<
>Vào trông thấy Trời, sụp xuống lạy<
>Trời sai tiên nữ dắt lôi dâ.y.<
>Ghế bành như tuyết vân như mây<
>Truyền cho văn sĩ ngồi chơi đấy.<
>Chư tiên ngồi quanh đã tĩnh túc<
>Trời sai pha nước để nhấp gio.ng.<
>Truyền cho ""văn sĩ đọc văn nghe!""<
>- ""Dạ bẩm lạy Trời con xin đọc"".<
>Đọc hết văn vần lại văn xuôi<
>Hết văn thuyết lý lại văn chơi<
>Đương cơn đắc ý đọc đã thích<
>Chè trời nhấp giọng càng tốt hơi.<
>Văn dài hơi tốt ra cung mây!<
>Trời nghe, Trời cũng lấy làm hay,<
>Tâm như nở dạ, Cơ lè lưỡi<
>Hằng Nga, Chúc Nữ chau đôi mày<
>Song Thành, Tiểu Ngọc lắng tai đứng<
>Đọc xong mỗi bài cũng vỗ tay.<
>- ""Bẩm con không dám man cửa Trời<
>Những áng văn con in cả rồi<
>Hai quyển ""Khối tìng"" văn thuyết lý<
>Hai ""Khối tình"" con làvăn chơi<
>""Đài gương"", ""Lên sáu"" văn vị đời<
>Quyển ""Đàn bà Tàu"" lối văn dịch<
>Đến quyển ""Lên tám"" nay là mười<
>Nhờ Trời văn con còn bán được<
>Chữ biết con in ra mấy mươi?""<
>Văn đã giàu thay, lại lắm lối<
>Trời nghe Trời cũng bật buồn cười!<
>Chư tiên ao ước tranh nhau dặn:<
>- ""Anh gánh lên đây bán chợ Trời!""<
>Trời lại phê cho: ""Văn thật tuyệt!<
>Văn trần được thế chắc có ít!<
>Nhời văn chuốt đẹp như sao băng!<
>Khí văn hùng mạnh như mây chuyển!<
>Êm như gió thoảng! Tinh như sương!<
>Đầm như mưa sa, lạnh như tuyết!<
>Chẳng hay văn sĩ tên họ gì?<
>Người ở phương nào, ta chưa biết"".<
>- ""Dạ, bẩm lạy Trời con xin thưa<
>Con tên Khắc Hiếu họ là Nguyễn<
>Quê ở Á Châu và Địa cầu<
>Sông Đà núi Tản nước Nam Việt"".<
>Nghe xong Trời ngợ một lúc lâu<
>Sai bảo thiên tào lấy sổ xét.<
>Thiên tào tra sổ xét vừa xong<
>Đệ sổ lên trình Thượng đế trông<
>- ""Bẩm quả có tên Nguyễn Khắc Hiếu<
>Đày xuống hạ giới vì tội ngông"".<
>Trời rằng: ""Không phải là Trời đày,<
>Trời định sai con một việc này<
>Là việc ""thiên lương"" của nhân loại,<
>Cho con xuống thuật cùng đời hay"".<
>- ""Bẩm Trời, cảnh con thực nghèo khó<
>Trần gian thước đất cũng không có<
>Nhờ Trời năm xưa học ít nhiều<
>Vốn liếng còn một bụng văn đó.<
>Giấy người mực người thuê người in<
>Mướn cửa hàng người bán phường phố.<
>Văn chương hạ giới rẻ như bèo<
>Kiếm được đồng lãi thực rất khó.<
>Kiếm được thời ít, tiêu thời nhiều<
>Làm mãi quanh năm chẳng đủ tiêu.<
>Lo ăn lo mặc hết ngày tháng<
>Học ngày một kém tuổi ngày cao<
>Sức trong non yếu ngoài chen rấp<
>Một cây che chống bốn năm chiều.<
>Trời lại sai con việc nặng quá<
>Biết làm có được mà dám theo"".<
>Rằng: ""Con không nói Trời đã biết<
>Trời dẫu ngồi cao, Trời thấu hết<
>Thôi con cứ về mà làm ăn<
>Lòng thông chớ ngại chi sương tuyết!""<
>Vâng nhời Trời dạy, lạy xin ra<
>Trời sai Khiên Ngưu đóng xe tiễn<
>Xe trời đã chực ngoài thiên môn<
>Chư tiên theo ra cùng tiễn biê.t.<
>Hai hàng lụy biệt giọt sương rơi<
>Trông xuống trần gian vạn dặm khơi.<
>Thiên tiên ở lại, trích tiên xuống<
>Theo đường không khí về trần ai.<
>Đêm khuya khí thanh sao thưa vắng<
>Trăng tà đưa lối về non Đoài.<
>Non Đoài đã tới quê trần giới,<
>Trông lên chư tiên không còn ai.<
>Tiếng gà xao xác, tiếng người dậy<
>Giữa sân còn đứng riêng ngậm ngùi<
>Một năm ba trăm sáu mươi đêm<
>Sao được mỗi đêm lên hầu Trời.",Hầu Trời,https://isach.info/poem.php?poem=hau_troi__tan_da,lục bát,hiện đại,,Tản Đà
"Một hôm trăm ngẩn mười ngơ<
>Ngồi buồn lấy giấy viết thơ hỏi trời<
>Xem thơ trời cũng bược cười<
>Cười cho hạ giới có người oái oăm<
>Khách hà nhân giả<
>Cớ làm sao suồng sã dám đưa thơ<
>Chốn thiên cung ai kén rẻ bao giờ<
>Chi những sự ngẩn ngơ mà giấy má<
>Chức Nữ tảo tùng giai tế giá<
>Hằng Nga bất nại bảo phu niên<
>Mở then mây quăng trả bức hồng tiên<
>Mời khách hãy ngồi yên trong cõi tục<
>Người đâu kiếp trước Đông Phương Sóc<
>Trộm đào tiên quen học thói ngày xưa<
>Trần gia đầy mãi không chừa",Hỏi Vợ,https://isach.info/poem.php?poem=hoi_vo__tan_da,bảy chữ,hiện đại,,Tản Đà
"Người đâu? Cũng giống đa tình,<
>Ngỡ là ai, lại là mình với ta.<
>Mình với ta dẫu hai như một,<
>Ta với mình tuy một mà hai?<
>Năm nay mình mới ra đời, mà ta ra trước đã ngoài đôi mươi.<
>Cuộc nhân thế câu cười tiếng khóc,<
>Nghề sinh nhai lối dọc đường ngang.<
>Đầu xanh ai điểm hơi sương,<
>Những e cùng thẹn, những thương cùng sầu.<
>Đôi ta vốn cùng nhau một tướng,<
>Lạ cho mình sung sướng như tiên,<
>Phong tư tài mạo thiên nhiên<
>Không thương không sợ, không phiền không lo.<
>Xuân bất tận trời cho có mãi,<
>Mảnh gương trong đứng lại với tình.<
>Trăm năm ta lánh cõi trần<
>Nghìn năm mình giữ tinh thần chớ phai.",Nói Chuyện Với Ảnh,https://isach.info/poem.php?poem=noi_chuyen_voi_anh__tan_da,bảy chữ,hiện đại,,Tản Đà
"Sinh kí đau lòng kẻ tử qui!<
>Sóng bạc ngàn trùng<
>Âm dương cách trở<
>Chiêu hồng một tấm<
>Phu thê xướng tuỳ.<
>Ơi mây, ơi nước, ơi trời!<
>Đũa ngọc mâm vàng giọt lụy rơi.<
>Nước sông trong đục,<
>Lệ thiếp đầy vơi.<
>Bể bể dâu dâu khóc nỗi đời!<
>Trời ơi! Nước hỡi! Mây hời!<
>Nước chảy mây bay, trời ở lại,<
>Để thiếp theo chồng mấy dặm khơi!",Tâm Sự Nàng Mị Ê,https://isach.info/poem.php?poem=tam_su_nang_mi_e__tan_da,bảy chữ,hiện đại,,Tản Đà
"Nguyên tác chữ Hán của Tản Đà,<
>Nguyễn Thiện Kế dịch nôm<
>Cô ơi cô đẹp nhất đời,<
>Mà cô mệnh bạc, thợ trời cũng thua!<
>Một đi từ biệt cung vua,<
>Có về đâu nữa! Đất Hồ nghìn năm!<
>Mả xanh còn dấu còn căm,<
>Suối vàng lạnh lẽo, cô nằm với ai?<
>Má hồng để tiếc cho ai,<
>Đời người như thế có hoài mất không?<
>Khóc than nước mắt ròng ròng,<
>Xương không còn vết, giận không có kì!<
>Mây mờ trăng bạc chi chi,<
>Hôi tanh thôi có mong gì khói nhang!<
>ới hồng nhan, hỡi hồng nhan!<
>Khôn thiêng cũng chẳng ai van ai mời.<
>Trời Nam thằng kiết là tôi<
>Chùa Tiên, đất khách, khóc người bên Ngô.<
>Cô với tôi, tôi với cô<
>Trước sân lễ bạc có mồ nào đây.<
>Hồn cô ví có ở đây<
>Đem nhau đi với, lên mây cũng đành!",Tế Chiêu Quân,https://isach.info/poem.php?poem=te_chieu_quan__tan_da,lục bát,hiện đại,,Tản Đà
"(Thu khuê oán làm theo điệu hành)<
>Gió thu lạnh lẽo mây trời quang<
>Sân thu đêm khuya rơi lá vàng,<
>Trăng tà chim lặng, nhạn kêu sương<
>Gối chiếc chăn đơn thiếp nhớ chàng.<
>Chàng đi xa cách nhớ quê hương<
>Quê hương đất khách người một phương<
>Mong chàng chẳng thấy lòng ngùi thương.<
>Buồng không canh vắng bóng in tường<
>Chỉ chỉ tơ tơ rối vẩn vương<
>Nước mắt đầm đìa trôi quanh giường.<
>Tháng cũ đã qua tháng mới sang<
>Tháng sau tuần nữa những tư lường<
>Ngày tháng đi chóng năm canh trường<
>Lác đác sao tàn, lấp lánh gương.<
>Trên trời Chức Nữ cùng Ngưu Lang<
>Một dải sông Ngân lệ mấy hàng.",Thu Khuê Hành,https://isach.info/poem.php?poem=thu_khue_hanh__tan_da,lục bát,hiện đại,,Tản Đà
"Nước non nặng một lời thề,<
>Nước đi, đi mãi, không về cùng non.<
>Nhớ lời ""nguyện nước thề non"",<
>Nước đi chưa lại, non còn đứng không.<
>Non cao những ngóng cùng trông,<
>Suối tuôn dòng lệ chờ mong tháng ngày,<
>Xương mai một nắm hao gầy,<
>Tóc mây một mái đã đầy tuyết sương.<
>Trời tây ngã bóng tà dương,<
>Càng phơi vẻ ngọc nét vàng phôi pha.<
>Non cao tuổi vẫn chưa già,<
>Non thời nhớ nước, nước mà quên non.<
>Dù cho sông cạn đá mòn,<
>Còn non, còn nước, hãy còn thề xưa.<
>Non cao đà biết hay chưa?<
>Nước đi ra bể lại mưa về nguồn.<
>Nước non hội ngộ còn luôn,<
>Bảo cho non chớ có buồn làm chi.<
>Nước kia dù hãy còn đi,<
>Ngàn dâu xanh tốt non thì cứ vui.<
>Nghìn năm giao ước kết đôi,<
>Non non nước nước không nguôi lời thề.",Tình Non Nước,https://isach.info/poem.php?poem=tinh_non_nuoc__tan_da,lục bát,hiện đại,,Tản Đà
