content,title,url,genre,period,specific_genre,author
"Anh đến với em là lẽ tất nhiên<
>Như con sông trở về với biển<
>Như qua mùa đông mùa xuân lại đến<
>Như sau cơn mưa là lúc mặt trời lên<
>Anh đến với em là lẽ tất nhiên<
>Như cái hoa đến ngày kết quả<
>Như con chim buổi chiều quay về tổ<
>Như máu trong người trở lại tim<
>Anh đến với em là lẽ tất nhiên<
>Như cây kim địa bàn quay về hướng bắc<
>Cuộc đời anh hướng đến cuộc đời em<
>Anh đến với em là lẽ tất nhiên.",Anh Đến Với Em Là Lẽ Tất Nhiên,https://isach.info/poem.php?poem=anh_den_voi_em_la_le_tat_nhien__te_hanh,bảy chữ,hiện đại,,Tế Hanh
"Anh xa em càng nhớ thêm em<
>Trăng Tây Hồ vời vợi thâu đêm<
>Trời Hàng Châu bốn bề êm ái<
>Mùa thu đã đi qua còn gửi lại<
>Một ít vàng trong nắng trong cây<
>Một ít buồn trong gió trong mây<
>Một ít vui trên môi người thiếu nữ…<
>Ðường Tô Ðông Pha làm phú<
>Ðường Bạch Cư Dị đề thơ<
>Hồn người xưa vương vấn tự bao giờ<
>Còn thao thức trên cành đào ngọn liễu<
>Phong cảnh đẹp nhưng lòng anh thấy thiếu<
>Bức tranh kia anh muốn điểm thêm màu<
>Có hai ta cùng tựa bên cầu<
>Cho mặt nước Tây Hồ trong sáng nữa<
>Lá phong đỏ như mối tình đượm lửa<
>Hoa cúc vàng như nỗi nhớ day dưa<
>Làn nước qua ánh mắt ai đưa<
>Cơn gió đến bàn tay em vẫy<
>Chúng mình đã yêu nhau từ độ ấy<
>Có núi sông và có trăng sao<
>Có giận hờn và có chiêm bao<
>Cay đắng ngọt bùi cuộc đời kháng chiến<
>Nói sao hết em ơi bao kỉ niệm…<
>Những ngày buồn nghĩ đến thấy vui vui<
>Những ngày vui sao lại thấy bùi ngùi<
>Anh không muốn hỏi nhiều quá khứ<
>Ngày đẹp nhất là ngày rồi gặp gỡ<
>Rời Tây Hồ trăng xuống Bắc Cao Phong<
>Chỉ mình anh với im lặng trong phòng<
>Anh ngước nhìn bức thêu trên vách:<
>Hai bóng người đi<
>Một hàng tùng bách<
>Bàn tay nào đã dệt nỗi lòng anh?<
>Tiếng mùa xuân đem sóng vỗ bên mình<
>Vơ vẩn tình chăn<
>Chập chờn mộng gối<
>Anh mơ thấy Hàng Châu thành Hà Nội<
>Nước Tây Hồ bỗng hóa nước Hồ Tây<
>Hai chúng mình cùng bước dưới hàng cây.",Bài Thơ Tình Ở Hàng Châu,https://isach.info/poem.php?poem=bai_tho_tinh_o_hang_chau__te_hanh,bảy chữ,hiện đại,,Tế Hanh
"Cánh đồng bao la<
>Giãi ra xa xa<
>Hàng tre tha thướt,<
>Lòng ta thướt tha.<
>Phất phơ trong gió<
>Hương vị thơm tho<
>Của buổi hẹn hò;<
>Em ơi! có rõ...<
>Em trông đám dậu<
>Cao hơn đám lúa<
>Như anh cao hơn<
>Em nửa cái đầu.<
>Đường đi thì nhỏ<
>Bờ cỏ thì xanh<
>Trời cao thì thanh;<
>Em ơi! có rõ...<
>Anh mang trong lòng<
>Cả một cánh đồng<
>Anh nghe nặng nề<
>Bao mối tình quê...<
>Đồng quê ngát tình:<
>Lòng anh ngát xanh:<
>Kìa đôi chim hót<
>Em ơi! yêu anh...",Cánh Đồng Bao La,https://isach.info/poem.php?poem=canh_dong_bao_la__te_hanh,thơ tự do,hiện đại,,Tế Hanh
"In rõ rệt chân trời quá khứ,<
>Chùa không thôi tình tự thuở xa xăm<
>Tuổi thơ tôi là cả một đêm rằm<
>Trăng tỏ rạng sáng chầu quanh đức Phật<
>Hồn thanh thoát chưa hề vương vật chất<
>Đồng vọng xa cùng nhịp tiếng chuông bay<
>Này hai cây bạch lạp ánh hai tay<
>Đôi mắt chói này rung trong ngọn nến<
>Niềm tin cẩn tượng hình nên trái chín<
>Phút tâm thành ngào ngạt tỏa hương hoa<
>Ôi buổi lớn khôn! Ơi buổi xa nhà<
>Tôi đâu biết cách xa chùa đến thế!<
>Gió lãng mạn thổi qua buồn thế hệ<
>Sóng thị thành tan rã cả lòng tin<
>Thuyết hoài nghi mờ xóa những kinh nguyền<
>Buồn số kiếp đưa về cơn gió lạnh<
>Bước chán nản trên những đường hiu quạnh<
>Chiều hôm nay tôi chạnh nhớ chùa xa<
>Tiếng chuông kêu như mẹ gọi chan hòa<
>Tôi ôm ngực tưởng chừng tim sắp vỡ<
>Bóng đêm xuống bao trùm trong tín mộ<
>Đường sương ơi! Người chạy đến thời xưa?<
>Dắt ta đi trở lại viếng thăm chùa.",Chùa,https://isach.info/poem.php?poem=chua__te_hanh,bảy chữ,hiện đại,,Tế Hanh
"Còn gì sướng cho bằng trông cặp mắt<
>Êm như nhung, sưng tím, lệ tràn trề;<
>Ngắm bộ ngực tròn xinh đau quằn quại<
>Nặng nề buông trong hơi thở đê mê!<
>Nguồn vui thú hãy tìm trong tiếng khóc.<
>Rách đau thương như lụa xé tơi bời;<
>Trên cặp mắt môi đỏ tươi như vết máu<
>Kiếm nụ cười héo hắt tựa hoa rơi.<
>Vì ta quá yêu em - nhưng thất vọng!<
>(Ngàn muôn năm, yêu chỉ nghĩa là điên)<
>Nên ta mong lấp vùi lòng đau đớn<
>Trong những giờ vui thú nhọn như kim.",Độc Ác,https://isach.info/poem.php?poem=doc_ac__te_hanh,bảy chữ,hiện đại,,Tế Hanh
"Em đến với anh như tia nắng ấm<
>Giữa những ngày mây phủ bốn phương trời<
>Cơn gió lạnh mỗi giờ mỗi thấm<
>Nắng lên đi đẹp quá nắng ơi !<
>Em đến với anh như cơn gió mát<
>Cho một người ở giữa quãng đường xa<
>Chân đã mỏi mà cổ thì đói khát<
>Cơn gió về như nước xối chan hoà<
>Em đến với anh như thêm nguồn an ủi<
>Đau khổ thế nào vẫn giữ tấm lòng thơ<
>Đêm sắp hết và bình minh đang đến<
>Hạnh phúc không xa hãy đợi chờ<
>Em đến với anh thêm một lần thử thách<
>Tâm hồn anh còn rung cảm hay không<
>Khi quanh ta toàn những người thiết thực<
>Thấy bó rau xanh không thấy đóa hoa hồng<
>Trở thành thiên nga bay khắp trời xanh<
>Anh ra khỏi nỗi buồn tật bệnh<
>Chào đón mùa xuân-Em đến với anh",Em Đến Với Anh,https://isach.info/poem.php?poem=em_den_voi_anh__te_hanh,bảy chữ,hiện đại,,Tế Hanh
"Anh như người bốn phía mưa rơi<
>Em bỗng đến và cuộc đời hửng nắng<
>Giữa hai ta còn muôn ngàn im lặng<
>Anh vẫn nghe xao động bao lời<
>Tưởng con sông đến lúc trôi em<
>Mùa hạ hết và mùa thu sắp đến<
>Anh lại thấy lòng mình xao xuyến<
>Bởi một cái nhìn sâu thẳm của em<
>Em biết không? Giữa anh và em<
>Không nói được nhiều hơn là nói được<
>Như khi chúng ta nhìn dòng nước<
>Giữa thuyền và bến, giữa bến và thuyền<
>Ngày mai kia trong biến động liên hồi<
>Anh không thể giữ cả những gì yêu quý nhất<
>Nhưng tình anh đối với em không thể mất",Giữa Anh Và Em,https://isach.info/poem.php?poem=giua_anh_va_em__te_hanh,lục bát,hiện đại,,Tế Hanh
"Làng ấy, buồn ủ rũ một bên sông<
>Hồn thương nhớ đắm chìm trong dĩ vãng<
>Thuở phong lưu, sắc đời đầy tươi sáng<
>Tơ lụa vàng chói rạng khắp bao thôn<
>Dưới trời xanh, soi biếc cả tâm hồn<
>Dâu tăm tắp từ đồng ra đến bãi<
>Đi hái lá, buổi chiều về cô gái<
>Vẳng lời ca ân ái khúc xuân tình<
>Tiếng chim ca nô nức với bình minh<
>Người thôn nữ thấy lòng như lụa mướt<
>Tay đưa thoi, ngồi dệt tình mơ ước<
>Đời thanh bình mây gió giục yêu đương<
>Đôi chàng trai lơ đãng để tơ vương<
>Đem tâm sự gửi vào giây chỉ mộng<
>Và con sông tưng bừng theo nhịp sống<
>Cũng rộn ràng lộng bóng những Tây Thi...<
>Nhưng một hồi tơ lụa phải ra đi<
>Hàng ngoại hóa giết dần hàng nội hóa<
>Vắng bóng kẻ sớm chiều đi hái lá<
>Dáng dâu mềm lả lướt đã nhường cho<
>Vẻ nặng nề không sắc của khoai ngô<
>Cỏ từ đây hắt hiu niềm nhớ tiếc<
>Những đôi lứa bỗng nhiên đành vĩnh biệt<
>Thôi còn đâu tha thiết với đường tơ<
>Việc hàng ngày vất vả, quá thô sơ<
>Đời lam lũ lấy gì thơ với mộng<
>Trước khung cửi nằm im chờ nhện đóng<
>Phận con tằm lỡ dở nghĩ mà thương<
>Bao trái tim goá bụa giữa tầm thường<
>Một thế hệ hao mòn trong lặng lẽ<
>Cho đến nỗi cháu nghe bà kể lể<
>Hạnh phúc xưa như thể chuyện hoang đường<
>Chỉ làng buồn còn giữ một màu tang<
>Và đất nhớ võ vàng mơ ước cũ<
>Và con sông âm thầm trong nước ngủ<
>Vẻ mồ côi của một xứ buồn tênh",Một Làng Thương Nhớ,https://isach.info/poem.php?poem=mot_lang_thuong_nho__te_hanh,bảy chữ,hiện đại,,Tế Hanh
"Kính dâng cha tôi<
>Chim quyên xuống đất ăn trùn<
>Anh hùng lỡ vận lên nguồn đốt than(1)<
>Tôi đã sống võng nôi trong tiếng hát<
>Của người cha thất chí trở về quê<
>Khi trưa vắng cây buồn lay bóng nhạt<
>Khi đêm im gió bạt ánh trăng hè.<
>Tiếng trầm nặng vang âm như lệ ứ<
>Tháng năm đầy tâm sự giải khôn ra<
>Đôi mắt rộng vọng xa về quá khứ<
>Trên trán sầu vơ vẩn bóng ngày qua<
>Bóng đau thương mấy mươi năm về trước<
>Núi sông buồn trang sử mở suy vong<
>Đường số mệnh là con đường của nước<
>Nợ nam nhi canh cánh giục bên lòng...<
>Bao hoài vọng xa xôi dần nhạt mắt,<
>Phôi pha rồi bao ý nghĩ hiên ngang!<
>Con chim quyên có ngày ăn dưới đất<
>Người anh hùng lỡ vận phải bán than<
>Hương hoa thơm một mai trong kẽ vách<
>Mặc thế thường lầm lẫn sạch cùng nhơ<
>Tìm tri kỷ nơi vài ba quyển sách<
>Ru tâm tình theo tiếng võng đung đưa<
>Tôi cảm thấy tỏa trong không khí nóng<
>Một nỗi buồn u uất trĩu trên mi<
>Trưa sao gắt gao như niềm thất vọng<
>Đêm sao não nề như buổi chia ly!<
>Và bao ai oán ngậm ngùi ngột ngạt<
>Bao ước mơ xưa, bao xót xa lòng,<
>Đều lần lượt lên giây trong tiếng hát<
>Đưa hồn tôi vào nỗi nhớ hưng vong.<
>Quảng Ngãi - Huế - Đà Nẵng 44",Một Nỗi Niềm Xưa,https://isach.info/poem.php?poem=mot_noi_niem_xua__te_hanh,bảy chữ,hiện đại,,Tế Hanh
"Em bảo anh: ""em không yêu anh nữa!""<
>Em đành lòng, anh biết nói làm sao?<
>Nhưng em ơi, em nên suy nghĩ lại:<
>Không có anh, em sẽ mất dường nào.<
>Không có anh, em đem đôi mắt ngọc<
>Sáng long lanh so sánh với vì sao,<
>Ai đem ví làn mây cùng mái tóc?<
>Vừng trán trong ai ví với trời cao?<
>Hàm răng trắng hết cười ra ánh sáng,<
>Làn môi son thôi nở những bông hoa.<
>Trên đôi má bình minh không tỏ rạng,<
>Trong giọng vàng không có tiếng chim ca.<
>Ai sẽ bảo: ""Cả mùa xuân hương sắc<
>Nở tưng bừng trong một phút em vui,<
>Khúc nhạc nổi theo bước đi dìu dặt,<
>Cả mùa thu trong dáng điệu bùi ngùi?<
>Không có anh rồi đây em sẽ mất<
>Vẻ thiêng liêng vàng ngọc cũng tiêu tan;<
>Bước vội vã không làm rung trái đất,<
>Mặt lệ mờ không ám cả không gian.<
>Và đời em phút giây ai nhắc nhở?<
>Ai sống giùm từng tý khổ, phần đau?<
>Và đời em phút giây ai tưởng nhớ?<
>Nỗi buồn chiều lạnh lẽo những ngày sau.<
>Sao em không, sao em không cảm thấy<
>Mối tình thơ rộng rãi tựa trăng sao<
>Mà nỡ nói những lời đau đớn vậy?<
>Không có anh em mất đến dường nào...",Ngụy Biện,https://isach.info/poem.php?poem=nguy_bien__te_hanh,bảy chữ,hiện đại,,Tế Hanh
