content,title,url,genre,period,specific_genre,author
"Kèm cho cả nhà học<
>Đã có thày giáo riêng.<
>Anh qua lại khuya sớm<
>Chỉ vì: ""Anh yêu em.""<
>Nhà đông người vui nhộn<
>Chẳng ai còn nhớ ra<
>Nơi này anh có mặt<
>Vì đâu? Từ bao giờ?<
>Em là gái lớn nhất<
>Mà chưa lớn bao nhiêu<
>Cậu mợ so đôi tuổi<
>Thì anh hơn em nhiều<
>Một Tết, hai, ba Tết,<
>Thời gian như rượu say<
>Thấm bao giờ không hay...<
>Bài toán khó, em hỏi,<
>Trêu cợt, anh lắc đầu:<
>""Em hỏi thày giáo chứ;<
>Anh biết làm toán đâu!""<
>Em giận không cười nữa:<
>""Thôi thế anh về đi!""<
>- ""Trời! anh về sao được,<
>Bên ngoài đêm đã khuya!""<
>""Ờ nhỉ!"" em hốt hoảng<
>Trông ra phía hàng hiên...<
>Mây trời như nín thở,<
>Trăng hạ tuần vừa lên.<
>Bên này phía bàn học<
>Anh không nhìn thấy trăng<
>Nhưng mắt em vời vợi<
>Chứa cả mấy cung Hằng.<
>Thẫn thờ anh đứng dậy<
>Đến gần em, dỗ dành.<
>Hiểu ý người trong cuộc<
>Mây ngoài trời bay nhanh.<
>Trăng vơi mà vẫn tỏ,<
>Giận nhau càng yêu thêm.<
>Run rẩy, anh ngâm khẽ<
>Rằng: Hăm-mốt nửa đêm!<
>Chuông đồng hồ phụ họa<
>Thành bản nhạc Tình-si.<
>Hai đứa lại ngồi học<
>Nay mai rồi sắp thi.<
>Chẳng bài toán nào khó<
>Hơn bài toán đôi ta:<
>Nhân lên hay cộng lại<
>Cho đêm dài mãi ra?<
>Sao không đêm bất tận?<
>Để anh ngồi luôn đây<
>Nhìn em và vuốt tóc<
>Chờ môi dâng rượu đầy!<
>Anh đặt lại con số<
>Em vẽ lại góc vuông...<
>""Xong rồi!"" Anh ném bút,<
>Cười vui như điên cuồng.<
>""Này nhé, anh hăm-mốt;<
>Em cũng tròn mười lăm.<
>Chỉ có mỗi một cách:<
>Từ đây duyên trăm năm.""<
>""Trăm năm!"" em hỏi lại;<
>""Đêm dài đến thế sao?""<
>Đồng hồ điểm hai tiếng<
>Giữa hai bàn tay trao...<
>Giòng đời rót hạnh phúc,<
>Bao nhiêu đêm ngồi kề<
>Bấy nhiêu vòng khăng khít<
>Buộc đôi hồn si mê.<
>Rất nhiều sớm chủ nhật<
>Anh xuống phố lang thang<
>Rồi đến chiều, đến tối<
>Cũng không về ""rừng hoang"".<
>Ôi, khu rừng Bách-thảo,<
>Quán trọ đời thư sinh,<
>Hươu nai hoa cỏ đẹp<
>Nhưng bằng đâu Quê Tình!<
>Những trưa hè nóng bức<
>Cả nhà đều ngủ yên<
>Phòng học mênh mang quá,<
>Chỉ còn anh với em.<
>Những chiều đông rét mướt<
>Cả nhà ngồi vây quanh<
>Bàn ăn khói nghi ngút,<
>Gần em vẫn có anh.<
>Những tối đi coi hát<
>Cải-lương từ Nam ra,<
>Hẹn hò nhau hai đứa<
>Cùng đi với cả nhà.<
>Hà-nội sân khấu lớn",Ba Chữ Mê Hoặc,https://isach.info/poem.php?poem=ba_chu_me_hoac__vu_hoang_chuong,thơ tự do,hiện đại,,Vũ Hoàng Chương
"Đổ xuôi chiều vươn ngược hướng<
>Bao trùm lên đầu cuối Thời Gian.<
>Bóng ấy đã ghi sâu vào tâm tưởng<
>Khắc sâu vào trí nhớ dân gian<
>Một bành voi che lấp mấy ngai vàng.<
>Ôi Nguyễn Huệ người anh hùng áo vải<
>Muôn chiến công, một chiến công dồn lại<
>Một tấm lòng, muôn vạn tấm lòng mang.<
>Ngọn kiếm trỏ, bao cánh tay hăng hái<
>Ngọn cờ vung, bao tính mệnh sẵn sàng.<
>Người cất bước, cả non sông một dải<
>Vươn mình theo - dãy Hoành Sơn mê mải<
>Chạy dọc lên thông cảm ý ngang tàng.<
>Cũng chồm dậy đáp lời hô vĩ đại<
>Chín con rồng bơi ngược Cửu Long giang<
>Người ra Bắc, oai thanh mờ nhật nguyệt<
>Khí thế kia làm rung động càn khôn.<
>Lệnh ban xuống, lời lời tâm huyết<
>Nẻo trường chinh ai dám bước chân chồn.<
>Gươm thiên cựa vỏ,<
>Giặc không mồ chôn.<
>Voi thiên chuyển vó,<
>Nát lũy, tan đồn<
>Ôi một hành ca hề, gào mây, thét gió,<
>Mà ý tướng, lòng quân hề, bền sắt, tươi son.<
>Hưởng ứng sông hồ giục núi non<
>«Thắt vòng vây lại» tiếng hô ròn<
>Tơi bời máu giặc, trăng liềm múa<
>Tan tác xương thù, ngựa đá bon.<
>Sim rừng, lúa ruộng, tre thôn,<
>Lòng say phá địch, khúc dồn tiến quân<
>Vinh quang hẹn với phong trần<
>Đống Đa gò ấy, mùa xuân năm nào.<
>Nhớ trận Đống Đa hề thương mùa xuân tới<
>Sầu xuân vời vợi<
>Xuân tứ nao nao<
>Nghe đêm trừ tịch hề, máu nở hoa đào,<
>Ngập giấc Xuân tiêu hề, lửa trùm quan tái<
>Trời đất vô cùng hề, một khúc hát ngao<
>Chí khí cũ gầm trong da thịt mới<
>Vẳng đáy sâu tiềm thức, tiếng mài dao,<
>Đèo Tam Điệp hề, lệnh truyền vang dội<
>Sóng Sông Mã hề, ngựa hí xôn xao<
>Mặt nước Lô Giang hề, lò trầm biếc khói,<
>Mây núi Tản Viên hề, lọng tía giương cao...<
>Rằng: «Đây bóng kẻ anh hào<
>Đã về ngự trên ngã ba thời đại»<
>Gấm vóc giang san hề, còn đây một dải<
>Thì nghiệp lớn vẻ vang<
>Thì mộng lớn huy hoàng<
>Vẫn ngàn thu còn mãi...<
>Ôi ngàn người áo vải đất Qui Nhơn!<
>Nay cuộc thế sao nhòa, bụi vẩn,<
>Lũ chúng ta trên ngã ba đường<
>Ghi ngày giỗ Trận<
>Mơ Bắc Bình Vương<
>Lòng đấy thôn trang hề, lòng đây thị trấn<
>Mười ngã tâm tư hề, một nén hương<
>Đồng thanh rằng: «Quyết noi gương!»<
>Để một mai bông thắm, cỏ xanh rờn<
>Ca trống trận thôi lay bóng nguyệt.<
>Mừng đất trời gió bụi tan cơn<
>Chúng ta sẽ không hổ với người xưa<
>Một trận Đống Đa ngàn thu oanh liệt<
>Vì ta sau trước lòng kiên quyết<
>Vàng chẳng hề phai, đá chẳng sờn",Bài Ca Bình Bắc,https://isach.info/poem.php?poem=bai_ca_binh_bac__vu_hoang_chuong,bảy chữ,hiện đại,,Vũ Hoàng Chương
"Mùa đã sắp thu rồi, trăng ướt sương<
>Nến bụi chiêm bao, nằm xa nhớ thương<
>Hơi tiếng xưa, còn gió thơm canh trường<
>Em Kiều Thu giờ, lầu ai phấn hương<
>Ôi tóc xõa buông mây - trầm, tuổi nguyệt tròn gương<
>Mỏi mắt tương tư hoài, riêng đầu sông Tương<
>Máu rụng cánh hoa lề phố cũ<
>Tan tác thuở ân tình chớm nụ<
>Trăng xế lan can - ồ, vai kề yêu đương<
>Nửa giấc cô miên - này, bóng hoa động tường<
>Một phen tan vỡ miếu đường<
>Ôi mây mùa thu, nguyệt mùa thu<
>Dĩ vãng sầu cao vời vợi<
>Tháng sáu mười hai rồi, em hỡi Kiều Thu<
>Ta đốt tâm hương mà phương trời gọi em<
>Hồn phách khuya nay chừng gối chăn êm đềm<
>Có gợn cảm thông nào, làn da tuyết trinh<
>Nơi vết hôn xưa từng cháy men đa tình<
>Trăng sầu rung sáng rèm the<
>Một chút kỳ hương ta gửi đó<
>Hồn ta đã ta vào hơi gió<
>Quanh quất mình em rồi, hồn em có nghe<
>Mười năm rụng ước phai thề<
>Ôi hoa đầu tiên, mộng đầu tiên<
>Lòng ấy sông bồi núi lở<
>Tháng sáu mười hai rồi, em nhớ hay quên<
>Chớm thu ngày bước sang thuyền<
>Lại đã mười hai tháng sáu<
>Nghe mờ hận cũ hoa sen<
>Ngút ánh trăng phơi ngoài giậu<
>Bốn hiên khuya tà nguyệt bạch lên sương<
>Chiếc áo năm qua - hừ, buổi mai tựu trường<
>Vạt mỏng manh the - này, ta quỳ dưới chân<
>Đôi gót san hô còn vắng tin bụi trần<
>Tuổi thiêng rụng cánh thiên thần<
>Ôi thôi - còn chi, em là ai<
>Giọt lệ chiều nay đẫm máu<
>Gọi hồn em ngày-chưa-tháng-sáu mười-hai<
>Ta đã mất em rồi, Kiều Thu ngày xưa<
>Hào quang đã phai rồi, tóc mun dòng thơ<
>Đã hết tìm em, dù chỉ tìm trong mơ<
>Thuở trước tinh anh mà thể phách bây giờ<
>Hãy tự hủy đêm nay vào dĩ vãng<
>Xuất thần cho tận nhập với hư vô<
>Lòng hết trần gian, đời thôi năm tháng<
>Ôi Kiều Thu! Hồn em cũ ngây thơ<
>Ta sẽ gặp chính-em-mùa-thệ-ước<
>Con đường Tận Thế trăng lu<
>Vì ta vẫn là ta-thuở-trước<
>Kiều Thu ơi hỡi Kiều Thu",Bài Ca Hoài Tố,https://isach.info/poem.php?poem=bai_ca_hoai_to__vu_hoang_chuong,bảy chữ,hiện đại,,Vũ Hoàng Chương
"Màu xanh cây lúa mờ xa cánh đồng<
>Hoàng hôn nhuộm úa thu già trên sông<
>Lênh đênh trời nước bềnh bồng<
>Thuyền trôi như lướt hư không<
>Vòm cao dìu dặt<
>Chen sắc lam hồng.<
>Ai xòe chiếc quạt mênh mông<
>Đỏ cháy non Đoài?<
>Vằng vặc phương Đông<
>Chén vàng ai cất dâng mời?<
>Ta say chén nguyệt, tình ơi<
>Lời ca ta gửi xa vời thăm thẳm buồng thêu...<
>Cầm ngang mái chèo<
>Buông theo dòng lạnh<
>Một con thuyền trong ánh tà dương<
>Hồn nương tiếng hát<
>Trôi giạt về đâu<
>Gió đưa giùm nhé qua lầu cô gái đài trang<
>Rằng ta vò võ yêu nàng<
>Song hoa bằn bặt khép<
>Nghìn dặm trong tấc gang<
>Hỡi người thâm khuê lụa gấm son vàng<
>Đây một kẻ si tình áo lá<
>Cuồng vọng mê nàng<
>Thao thức giữa trời cao nước cả<
>Dạo con thuyền ngư phủ ngược xuôi trường giang.<
>Tiền thân một giấc huy hoàng<
>Đào nguyên còn lộng hào quang đến giờ<
>Hỡi người nhan sắc vô tình ấy<
>Ta đã lòng son cháy ước mơ<
>Đắm say rồi nàng ôi<
>Dừng chèo lên tiếng hát<
>Vang lừng trăng gió phượng bay tìm đôi.",Bài Ca Ngư Phủ,https://isach.info/poem.php?poem=bai_ca_ngu_phu__vu_hoang_chuong,bảy chữ,hiện đại,,Vũ Hoàng Chương
"Đời lắng nghe đây trầm tư hồn bể dâu<
>Bàng bạc trường giang lạnh khói<
>Đìu hiu điệp khúc ly sầu<
>Đã mấy thời gian nằm u hoài sông Dịch<
>Tiễn kẻ một đi nguời kiếm khách Đông Châu<
>Ôi sông ngát dư linh! Trải bao đời có biết<
>Hào khí ai xưa giờ vang bóng nơi đâu<
>Phải chăng ngươi! Phải chăng kìa dấu vết<
>Tinh anh rờ rỡ ngàn sau<
>Nước trôi đây nước trôi bờ cõi Việt<
>Âm u gợn tiếng ghê màu<
>Ai tráng sĩ bao năm mài gươm dưới nguyệt<
>Còn tưởng nghe hồn thép múa sông sâu<
>Kinh Kha hề Kinh Kha<
>Vinh cho người hề! Ba nghìn tân khách<
>Tiễn người đi tiếng trúc nhịp lời ca<
>Biên thùy trống giục<
>Nẻo Tần sương sa<
>Gió thê lương quằn quại khói chiêu hà<
>Buồn xưa giờ chưa tan<
>Phong tiêu tiêu hề Dịch thủy hàn<
>Bạch vân! Bạch vân! Kìa ngang rừng phất phới<
>Ôi màu tang khăn gói lũ người Yên<
>Nhịp vó câu nẻo Hàm Dương tung bụi<
>Ta nghe, ta nghe! Này cuồng phong dấy lên<
>Tám phương trời khói lửa<
>Một mũi dao sang Tần<
>Ai trách Kinh Kha rằng việc người đã lỡ<
>Ai khóc Kinh Kha rằng thềm cao táng thân<
>Ai tiếc đường gươm tuyệt diệu<
>Mà thương cho cánh tay thần",Bài Ca Sông Dịch,https://isach.info/poem.php?poem=bai_ca_song_dich__vu_hoang_chuong,thơ tự do,hiện đại,,Vũ Hoàng Chương
"Xuân có sang mà hoa không tươi<
>Ý ngát hoài chăng hề tuổi chớm ba mươi<
>Nằm say ngõ lạnh<
>Buồn nghe mưa rơi<
>Chiều xuống chênh song hề gió lên đầy trời<
>Ta đợi bóng hoa nào hiện<
>Ta lắng tin hương nào đến<
>Duyên kiếp gì đâu hề ta có chờ ai<
>Hương một sớm đã tan hề hoa đã phai<
>Đời họ bỏ ta hề riêng gì kẻ ấy<
>Tình trót lầm trao hề ta hỡi ta ơi<
>Đốt lửa mà lên hề về đâu chẳng vậy<
>Chới với hư vô hề ném xa hồn người<
>A ha - đập cho nát vụn<
>Tuôn châu òa bật lên cười<
>Ta có là ta chăng hề ai chứ là ngươi<
>Chậu sành tiếng đập ngàn năm cũ<
>Họa điệu chiều nay xác rã rời<
>Họa điệu chiều nay lòng rạn vỡ<
>Bi thương xưa hề đột nhập hồn tan tác rơi<
>Ta đã say hề men chếnh choáng<
>Ta đã mê hề khói chơi vơi",Bài Hát Cuồng,https://isach.info/poem.php?poem=bai_hat_cuong__vu_hoang_chuong,thơ tự do,hiện đại,,Vũ Hoàng Chương
"Đằng xa mây tán loạn<
>Gió Bắc thổi không ngừng<
>Rặng núi còn đâu nữa<
>Dải lụa quấn ngang lưng<
>Mặt trời xuống bụi trúc<
>Mây nhẹ đua nhau trôi<
>Tiếng trống trên chòi huyện<
>Thu không đã đổ hồi<
>Ánh vàng lây lứt vướng<
>Trên đồng lúa bao la<
>Màu tím hồng tan nát<
>Từng mảnh trên sông Đà<
>Dưới chân sóng nức nở<
>Ta ngồi nghe buổi chiều<
>Bên tai gió nức nở<
>Ta ngồi mong người yêu<
>Một cánh buồm vải trắng<
>Trôi theo nước lững lờ<
>Từ khoang thuyền lanh lảnh<
>Tiếng hát bỗng cao đưa<
>Cánh buồm ngày một nhỏ<
>Tiếng hát ngày thêm xa<
>Ta nhìn theo không chớp<
>Ta lắng mãi lời ca<
>Phải đương đầu với gió<
>Phải bơi ngược dòng sông<
>Tiếng ca dần đuối sức<
>Còn thoi thóp não nùng<
>Rồi sau chìm tắt hẳn<
>Như ánh nắng chiều đông<
>Đã tắt trên đầu núi<
>Đã chìm trên mặt sông<
>Rồi từ cao ập xuống<
>Rồi từ xa dồn về<
>Bóng đêm dần chiếm cứ<
>Tràn ngập nơi thôn quê<
>Nhưng trong khung cảnh vật<
>Cứ từng phút tối hoài<
>Xa xa cánh buồm nhỏ<
>Màu trắng vẫn chưa phai<
>Nào tím vàng lá mạ<
>Với hồng tía còn đâu<
>Chỉ còn một điểm trắng<
>Hấp hối trong đêm sầu<
>Em ơi ta trằn trọc<
>Khắc khoải đã bao đêm<
>Nhớ mong rồi ngờ vực<
>Đến cả tấm hình em<
>Vì những điều mơ ước<
>Của tuổi trẻ yêu đời<
>Thắm tươi như ánh nắng<
>Đã phai rồi em ơi<
>Giấc uyên ương liền cánh<
>Mộng trăm năm lứa đôi<
>Êm đềm như tiếng hát<
>Đã tan rồi em ơi<
>Trong lo buồn chán ngán<
>Trong hoàn cảnh éo le<
>Tuy ta còn nhận rõ<
>Lòng em yêu xưa kia<
>Nhưng mai ngày bóng tối<
>Sẫm mãi trên đường đi<
>Biết đâu còn có nữa<
>Lòng em yêu xưa kia<
>Ta đâu còn giữ được<
>Lòng em yêu như xưa<
>Em ơi cánh buồm trắng<
>Sắp biến trong đêm mờ",Cánh Buồm Trắng,https://isach.info/poem.php?poem=canh_buom_trang__vu_hoang_chuong,thơ tự do,hiện đại,,Vũ Hoàng Chương
"Mãi hôm nay lá úa ngập lòng ta<
>Lệ ngâu đã bắt đầu gieo thánh thót<
>Sen từng cánh với sương trinh từng giọt<
>Bắt đầu rơi Thu đã tới lòng ta<
>Mãi hôm nay ôi nửa kiếp trông chờ<
>Nàng mới đến tay chèo khua nhẹ sóng<
>Tóc trễ nải trên lưng còn bỏ thõng<
>Vòng hoa đào ôm lệch trán ngây thơ<
>Mãi hôm nay một buổi sớm thu mờ<
>Nắng đã tắt nơi lòng ta lạnh lẽo<
>Hương đã nhạt mà hoa dần đã héo<
>Còn chi đâu nồng thắm để yêu mơ<
>Có ai đem xây đắp một bàn thờ<
>Với những mảnh bình tan trâm gẫy nát<
>Có ai tặng để cho người đỡ khát<
>Một vò không hay một trái tim khô<
>Bao nhiêu năm tưởng đã phí công chờ<
>Ta xé vụn ân tình gieo rắc mãi<
>Nay dẫu muốn thu về khâu chắp lại<
>Cũng không sao toàn vẹn được như xưa<
>Lòng ta ơi xin trở lại bên mồ<
>Để thương xót những hoa tàn lá rụng<
>Và đôi cánh vô duyên đừng nở rộng<
>Đón đưa người nhan sắc đến lầu Thơ<
>Kìa đã thôi rún rẩy cặp vai ngà<
>Nàng quăng mái chèo đi rồi đấy nhé<
>Tay đương vẫy miệng nhung đào sắp hé<
>Bốn trời sương sắp vọng bốn tên ta<
>Lánh đi thôi nàng đã bước lên bờ<
>Giấu đi nữa cả không gian sầu muộn<
>Ta chẳng nỡ trời ơi ta chẳng muốn<
>Của lòng ta nàng đến lúc thu sơ",Chậm Quá Rồi,https://isach.info/poem.php?poem=cham_qua_roi__vu_hoang_chuong,bảy chữ,hiện đại,,Vũ Hoàng Chương
"Đáy sông chìm tiếng sóng<
>Lời gió ngủ trên cao<
>Quanh thuyền ngơ ngác bầy sao<
>Nàng Trăng còn mải xứ nào xe duyên<
>Nhưng đêm nay dịu quá<
>Không trăng có hề chi<
>Say sưa tràn miệng cốc<
>Cùng nâng hãy uống đi<
>Trùng lai đâu dễ hẹn kỳ<
>Đò ngang một chuyến chắc gì mai sau<
>Tối nay còn họp mặt<
>Ngày mai đã cách xa<
>Vàng xanh thay sắc cỏ<
>Tươi úa đổi màu hoa<
>Đường trần muôn vạn ngã ba<
>Nhớ nhung muốn gặp biết là có nên<
>Giờ đây chia đôi ngả<
>Sông nước càng tiêu sơ<
>Hồn men cay như thế<
>Hồn men đắng như mơ<
>Đắng cay này chén tiễn đưa<
>Uống đi uống để say sưa ngập lòng<
>Cạn đi và lại cạn<
>Say rồi gắng thêm say<
>Bao nhiêu mơ mà đắng<
>Bao nhiêu quế mà cay<
>Đắng cay trút xuống bàn tay<
>Nắm tay lần chót thuyền qua mũi rồi<
>Thuyền anh đi thôi nhé<
>Xa nhau dần xa nhau<
>Tôi về trên lưng rượu<
>Đến đâu thì đến đâu<
>Có ai say để quên sầu<
>Lòng ta lảo đảo càng sâu vết buồn",Chén Rượu Đôi Đường,https://isach.info/poem.php?poem=chen_ruou_doi_duong__vu_hoang_chuong,thơ tự do,hiện đại,,Vũ Hoàng Chương
"Bước đã mỏi mà trông càng đã mỏi<
>Ta dừng chân nhắm mắt một đêm nay<
>Thải chiếc bách không chèo trên bể khói<
>Mặc trôi về đâu đó nước non say<
>Kìa một cõi trăm hình muôn vạn tiếng<
>Đương dần phai dần hiện tắt rồi vang<
>Ta cố gọi những giác quan lười biếng<
>Để ghi cho hậu thế phút mơ màng<
>Nhưng vũ trụ hư huyền tuy rộng mở<
>Ta đê mê cảm được chút gì đâu<
>Hồn với xác chỉ còn thoi thóp thở<
>Trong hai bàn tay sắt bọc nhung nâu",Chết Nửa Vời,https://isach.info/poem.php?poem=chet_nua_voi__vu_hoang_chuong,bảy chữ,hiện đại,,Vũ Hoàng Chương
