content,title,url,genre,period,specific_genre,author
"Anh đã giết em, anh chôn em vào trái tim anh<
>Từ đây anh không được yêu em ở trong sự thật<
>Một cái gì đã qua, một cái gì đã mất<
>Ta nhìn nhau, bốn mắt biết làm sao?<
>Ôi! Em mến yêu! Em vẫn là người anh yêu mến nhất.<
>Cho đến bây giờ ruột anh vẫn thắt<
>Tim anh vẫn đập như vấp thời gian,<
>Nhớ bao nhiêu yêu mến nồng nàn,<
>Nhớ đoạn đời hai ta rạng rỡ<
>Nhớ trời đất em cho anh mở<
>Muôn thưở thần tiên<
>Ôi! Xa em, anh rơi vào vực không cùng<
>Đời anh không em, lạnh lùng tê buốt<
>Nhưng còn anh, còn em, mà đôi ta đã khác<
>Ta: hai người xa lạ - phải đâu ta!<
>Anh đã giết em, anh chôn em vào trái tim anh<
>Anh vẫn ước được em tha thứ<
>Anh vẫn yêu em như thưở ban đầu<
>Thế mà tại sao ta vẫn xa nhau?<
>Tại em cố chấp<
>Tại anh đã mất<
>Con đường đi tới trái tim em<
>Anh đã giết em rồi, anh vần ngày đêm yêu mến<
>Em đã giết anh rồi, em vứt xác anh đâu?",Anh Đã Giết Em,https://isach.info/poem.php?poem=anh_da_giet_em__xuan_dieu,thơ tự do,hiện đại,,Xuân Diệu
"Anh đợi em về ăn cơm<
>Trăng đã lên rồi, trăng sáng<
>Mảnh ngọc trên cây hoàng lan<
>Chắc thấy em trên đường vắng<
>Hẳn em đang còn đạp xe<
>Ba bề bốn phía em nghe<
>Hoàng hôn lan trên đồng rộng<
>Mà em đạp gấp chưa về<
>Hẳn em nghĩ đến ở nhà<
>Bếp chín cơm rồi đang đợi<
>Em nghe ấm ngọn đèn ta<
>Thấy đèn một chấm từ xa<
>Anh đứng dưới cây hoàng lan<
>Hoàng hôn như chiếc áo quàng<
>Bỗng mảnh trăng thu sáng quắc<
>Anh đợi em về ăn cơm....<
>Xuân Diệu 23/9/1966",Anh Đợi Em Về Ăn Cơm,https://isach.info/poem.php?poem=anh_doi_em_ve_an_com__xuan_dieu,bảy chữ,hiện đại,,Xuân Diệu
"Ngẫm cho kỹ anh là người bạc bẽo,<
>Em yêu rồi, anh đã vội quên ngay<
>Mới hôm kia tình tự đến mê say<
>Sang bữa nay anh làm như mất hết<
>Anh đòi mãi như một kẻ keo kiệt,<
>Trong hồn anh tình ái chẳng lâu sao?<
>Anh không chắt chiu dành dụm tí nào,<
>Là đất xấu hạt gieo không nảy nở<
>Nên anh mới luôn luôn nghèo khổ<
>Giận hờn như anh chẳng được em yêu<
>Mà thật ra em yêu dấu rất nhiều<
>Ngẫm cho kỹ anh là người bạc bẽo",Anh Là Người Bạc Bẽo,https://isach.info/poem.php?poem=anh_la_nguoi_bac_beo__xuan_dieu,bảy chữ,hiện đại,,Xuân Diệu
"Anh thương em khi ngủ<
>Phong thái rất hồn nhiên.<
>Em ngủ như trẻ nhỏ<
>Ngon say một giấc liền.<
>Tay em thả xuôi xuôi<
>Như bơi vào cõi mộng<
>Mắt em khép dài dài<
>Dưới trán em lồng lộng.<
>Em nằm in trẻ nhỏ<
>Trong chiếc võng yêu thương<
>Anh dệt giăng khắp chỗ<
>Trong phòng, quanh quất giường.<
>Anh thức nhìn em ngủ,<
>Anh canh giấc cho em;<
>Anh lắng nghe nhịp thở<
>Ngực em điều xuống lên.<
>Trở mình, tay ấp má<
>Anh thương em dáng người<
>Tin cậy vào cuộc sống,<
>Tin ở anh trong đời<
>Sau một ngày đầy việc<
>Chúc em tôi giấc lành!<
>Anh vô cùng sung sướng<
>Nếu em mơ thấy anh.",Anh Thương Em Khi Ngủ,https://isach.info/poem.php?poem=anh_thuong_em_khi_ngu__xuan_dieu,thơ tự do,hiện đại,,Xuân Diệu
"Tặng Nguyễn Xuân Khoát<
>Chúng tôi ngồi, vây phủ bởi trăng thâu,<
>Sương bám hồn, gió cắn mặt buồn rầụ<
>Giờ biệt ly cứ đến gần từng phút,<
>Chúng tôi thấy đã xa nhau một chút...<
>Người lặng im, và tôi nói bâng quơ,<
>Chúng tôi ngồi ở giữa một bài thơ,<
>Một bài thơ mênh mông như vũ tru,<
>Đầy khói hương xưa, tràn ân ái cũ.<
>Chúng tôi ngồi, vây phủ bởi trăng thâu,<
>Tay trong tay, đầu tựa sát bên đầu.<
>Các ngươi sẽ đoàn viên trong mộng ngọc!!! ""<
>Cứ nhìn nhau rồi lại vẫn nhìn nhau,<
>Hạnh phúc ngừng giữa đôi trái tim đau.",Biệt Ly Êm Ái,https://isach.info/poem.php?poem=biet_ly_em_ai__xuan_dieu,bảy chữ,hiện đại,,Xuân Diệu
"Bữa tiệc đôi ta sáng nước mây<
>Ta mời trời dự, đất vui lây<
>Trải hàng cây cỏ xăm xăm biếc<
>Lượn khúc đường non thắm thắm hây<
>Cá bạc thung thăng lội dưới dòng<
>Bỗng con chiền chiện hát từng không<
>Sớm nay ta đã ra ngoài nội<
>Mở tiệc tâm hồn đãi núi sông<
>Bữa tiệc đôi ta mới mẻ hoài<
>Thêm màu lên cả sắc hoa tươi<
>Nghe say tiếng nói người trên bến<
>Say bước người đi chợ sớm mai<
>Bữa tiệc đôi ta sao lấp lánh<
>Bởi vì đôi mắt em đen nhánh<
>Hàng mi chớp chớp ánh dương tung<
>Lá cỏ, hạt sương đều mọc cánh<
>Trời có mây cao với gió thanh<
>Đất đầy sự nghiệp những tay lành<
>Cũng như phơi phới đi vào tiệc<
>Bữa tiệc đôi ta: một tấm tình...",Bữa Tiệc Đôi Ta,https://isach.info/poem.php?poem=bua_tiec_doi_ta__xuan_dieu,lục bát,hiện đại,,Xuân Diệu
"Trăng, vú mộng đã muôn đời thi sĩ<
>Giơ hai tay mơn trớn vẻ tròn đầy;<
>Trăng, hoa vàng lay lắt cạnh bờ mây;<
>Trăng, đĩa ngọc giữa mâm trời huyền bí;<
>Trăng, vú mộng đã muôn đời thi sĩ<
>Giơ hai tay mơn trớn vẻ tròn đầy.<
>Trăng, nguồn sương làm ướt cả gió hây,<
>Trăng, võng rượu khiến đêm mờ chếnh choáng!<
>Ngươi ám ảnh hương thơm bằng ánh sáng,<
>Ru màu êm, mà gọi thức lòng ngây;<
>Trăng, nguồn sương làm ướt cả gió hây,<
>Trăng, võng rượu khiến đêm mờ chếnh choáng!<
>Trăng thánh thoát, hoạ đàn tơ lấp loáng,<
>Trăng nghiêng nghiêng, suy nghĩ chuyện ưu phiền;<
>Ngươi làm ma, rồi ngươi lại làm tiên;<
>Ngươi tạo lập những đền đài mỏng thoáng;<
>Trăng thánh thoát, họa đàn tơ lấp loáng,<
>Trăng nghiêng nghiêng, suy nghĩ chuyện ưu phiền...<
>Ngươi là trăng, hỡi trăng dẹp bình yên;<
>Hỡi trăng đẹp, ngươi là trăng náo nức;<
>Ngươi hay khóc, ngươi không cần sự thực,<
>Nhớ thương luôn, nên mắt có quầng viền,<
>Ngươi là trăng, hỡi trăng đẹp bình yên,<
>Hỡi trăng đẹp, ngươi là trăng náo nức.<
>Rừng xõa tóc để ngươi thành chiếc lược;<
>Biển nhân ngươi thành ức triệu vòng khuyên;<
>Gió căng ngươi trên những cánh buồm thuyền;<
>Người định nhịp cho sóng triều xuôi ngược;<
>Rừng xõa tóc để ngươi thành chiếc lược;<
>Biển nhân ngươi thành ức triệu vòng khuyên...<
>Trăng của xa xôi, trăng của hão huyền,<
>Ngươi vĩnh viễn như lòng trăng, ý gió;<
>Trăng của mắt, trăng của hồn rạng tỏ,<
>(Trăng rất trăng là trăng của tình duyên)<
>Trăng của xa xôi, trăng của hão huyền,<
>Trăng, vú mộng của muôn đời thi sĩ",Ca Tụng,https://isach.info/poem.php?poem=ca_tung__xuan_dieu,bảy chữ,hiện đại,,Xuân Diệu
"Mọi lí thuyết đều màu xám<
>Và cây đời vĩnh viễn xanh tươi<
>Vĩnh viễn chim ca, vĩnh viễn nắng cười<
>Vĩnh viễn anh yêu em, như yêu sự thật<
>Và cây đời mãi mãi xanh tươi<
>Mãi mãi em ơi<
>Cây đời trĩu trái<
>Gió trong lá mùa thu rồi trở lại<
>Rì rào đôi ta tình ái muôn đời<
>Trong mắt đen em mãi mãi ánh trời<
>Ngời qua một sợi tóc buông rũ trán<
>Mãi mãi môi em nhuỵ đời vô hạn<
>Và cây đời ôi! Xán lạn xanh tươi",Cây Đời Mãi Mãi Xanh Tươi,https://isach.info/poem.php?poem=cay_doi_mai_mai_xanh_tuoi__xuan_dieu,bảy chữ,hiện đại,,Xuân Diệu
"Cha đàng ngoài, mẹ ở đàng trong.<
>Ông đồ Nghệ đeo khăn gói đỏ<
>Vượt đèo Ngang, kiếm nơi cần chữ.<
>Cha đàng ngoài, mẹ ở đàng trong.<
>Hai phía đèo Ngang: một mối tơ hồng.<
>Quê cha Hà Tĩnh đất hẹp khô rang,<
>Đói bao thuở, cơm chia phần từng bát.<
>Quê mẹ gió nồm thổi lên tươi mát.<
>Bình Định lúa xanh ôm bóng tháp Chàm.<
>Cha đàng ngoài, mẹ ở đàng trong.<
>Ông đồ nho lấy cô làm nước mắm.<
>Làng xóm cười giọng ông đồ trọ trẹ,<
>Nhưng quý ông đồ văn vẻ giỏi giang.<
>Bà ngoại nói: tôi trọng người chữ nghĩa,<
>Dám gả con cho cách tỉnh, xa đàng.<
>Tiếng đàng trong, tiếng đàng ngoài quấn quít<
>Vào giữa mái tranh, giường chõng, cột nhà.<
>Rứa, mô, chừ? cha hỏi điều muốn biết.<
>Ngạc nhiên gì, mẹ thốt: úi chui cha!<
>Con trong võng êm lành kêu kẽo kẹt<
>Ru tuổi thơ theo hai điệu bổng trầm.<
>Mẹ thảnh thót: Qua nhớ thương em bậu;<
>Cha hát dặm bài Phụ tử tình thâm<
>Cha đàng ngoài, mẹ ở đàng trong.<
>Muốn ăn nhút, thì về quê với bố.<
>Muốn ăn quýt, ăn hồng, theo cha mày mà về ngoài đó,<
>Muốn uống nước dừa, ăn xoài chín đỏ,<
>Muốn ăn bánh tét, bánh Tổ,<
>Thì theo tao, ở mãi trong này.<
>Đội ơn Thầy, đội ơn Má sinh con.<
>Cảm ơn Thầy vượt đèo Ngang bất kể!<
>Cảm ơn Má biết yêu người xứ Nghệ:<
>Nên máu con chung hòa cả hai miền.",Cha Đàng Ngoài Mẹ Ở Đàng Trong,https://isach.info/poem.php?poem=cha_dang_ngoai_me_o_dang_trong__xuan_dieu,bảy chữ,hiện đại,,Xuân Diệu
"Em cho anh chén nước<
>Anh biến thành rượu nho<
>Rượu triền miên mộng ước,<
>Rượu nồng nàn thơm tho.<
>Cái men trong mắt em<
>Anh để vào chén nước;<
>Hương hơi thở của mình<
>Đã hóa thành rượu chuốc.<
>Anh thêm vào chén nước<
>Rượu cất của hồn anh,<
>Rượu cười sao lấp lánh<
>Như ánh mắt trời xanh.<
>Ôi! Chén rượu ân tình<
>Từ bình minh sự sống<
>Rót mãi tới vô cùng<
>Của cuộc đời lồng lộng.<
>Anh lại nâng chén nước<
>Mời em nhắp môi cho<
>Em ơi, đừng uống hết<
>Kẻo say chết bay giờ.",Chén Nước,https://isach.info/poem.php?poem=chen_nuoc__xuan_dieu,thơ tự do,hiện đại,,Xuân Diệu
