content,title,url,genre,period,specific_genre,author
"Gia tài em chỉ có bàn tay,<
>Em trao tặng cho anh từ ngày ấy,<
>Những năm tháng cùng nhau anh chỉ thấy<
>Quá khứ dài là mái tóc em đen.<
>Vui, buồn trong tiếng nói, nụ cười em,<
>Qua gương mặt anh hiểu điều lo lắng,<
>Qua ánh mắt anh hiểu điều mong ngóng,<
>Anh nghĩ gì khi nhìn xuống bàn tay?<
>Bàn tay em ngón chẳng thon dài,<
>Vết chai cũ, đường gân xanh vất vả.<
>Em đánh chắt, chơi thuyền thuở nhỏ,<
>Hái rau dền, rau rệu nấu canh,<
>Tập vá may, tết tóc một mình,<
>Rồi úp mặt lên bàn tay khóc mẹ.<
>Đường tít tắp, không gian như bể,<
>Anh chờ em, cho em vịn bàn tay<
>Trong tay anh, tay của em đây<
>Biết lặng lẽ vun trồn gìn giữ.<
>Trời mưa lạnh, tay em khép cửa,<
>Em phơi mền, vá áo cho anh.<
>Tay cắm hoa, tay để treo tranh,<
>Tay thắp sáng ngọn đèn đêm anh đọc.<
>Năm tháng đi qua, mái đầu cực nhọc,<
>Tay em dừng trên vầng trán lo âu.<
>Em nhẹ nhàng xoa dịu nỗi đau<
>Và góp nhặt niềm vui từ mọi ngã.<
>Khi anh vắng, bàn tay em biết nhớ<
>Lấy thời gian đan thành áo mong chờ.<
>Lấy thời gian em viết những dòng thơ<
>Để thấy được chúng mình không cách trở.<
>Bàn tay em, gia tài bé nhỏ,<
>Em trao anh cùng với cuộc đời em.",Bàn Tay Em,https://isach.info/poem.php?poem=ban_tay_em__xuan_quynh,lục bát,hiện đại,,Xuân Quỳnh
"Những bông hoa nho nhỏ<
>Chỉ có chút hương đêm<
>Ẩn vào trong kẽ lá<
>Như mối tình lặng câm<
>Vượt qua tháng qua năm<
>Vượt qua đồi qua suối<
>Bỗng gặp một mùi hương<
>Như lời yêu thầm gọi<
>Như ánh đèn chờ đợi<
>Như ánh mắt bao dung<
>Trong cơn khát cháy lòng<
>Bỗng tìm ra nguồn nước<
>Mùi hương không hẹn trước<
>Em đâu biết bao giờ<
>Mùa hoa ngâu ấy nở<
>Anh như cây đàn khóa<
>Sợi dây còn ngân vang<
>Em đi hết lòng em<
>Lại gặp lời hát đó<
>Hoa ngâu ở nơi nào<
>Em cũng không biết nữa<
>Em chỉ biết tình em<
>Như ngâu vàng vẫn nở.",Bao Giờ Ngâu Nở Hoa,https://isach.info/poem.php?poem=bao_gio_ngau_no_hoa__xuan_quynh,thơ tự do,hiện đại,,Xuân Quỳnh
"(Chuyện của một chú gà con)<
>Tôi kể với các bạn<
>Một màu trời đã lâu<
>Đó là một màu nâu<
>Bầu trời trong quả trứng<
>Không có gió có nắng<
>Không có lắm sắc màu<
>Một vòm trời như nhau:<
>Bầu trời trong quả trứng.<
>Tôi chưa kêu “chiếp chiếp”<
>Chẳng biết tìm giun, sâu<
>Đói no chẳng biết đâu<
>Cứ việc mà yên ngủ…<
>Tôi cũng không hiểu rõ<
>Tôi sinh ra vì sao<
>Tôi đạp vỡ màu nâu<
>Bầu trời trong quả trứng<
>Bỗng thấy nhiều gió lộng<
>Bỗng thấy nhiều nắng reo<
>Bỗng tôi thấy thương yêu<
>Tôi biết là có mẹ<
>Đói, tôi tìm giun dế<
>Ăn no xoải cánh phơi…<
>Bầu trời ở bên ngoài<
>Sao mà xanh đến thế!<
>Trời xanh mà tôi nghĩ<
>Trời xanh mà tôi yêu<
>Trời xanh ấy mang theo<
>Cả nỗi lo nỗi sợ<
>Tôi lo bão lo gió<
>Tôi sợ cắt sợ diều<
>Thoáng bóng nó nơi nào<
>Tôi nấp ngay cánh mẹ…<
>Nhưng ngoài trời xanh thế<
>Sao tôi lại ẩn đây!…<
>Khi đó tôi nghĩ ngay<
>Bầu trời trong quả trứng<
>Không có diều có cắt<
>Không có bão có mưa<
>Không biết đói biết no<
>Không bao giờ biết sợ…<
>Nhưng trời ấy chưa vỡ<
>Thì tôi cũng chẳng về<
>Tôi đâu còn như xưa<
>Tôi ngày nay đã lớn<
>Tôi ngồi trong chắc chật<
>Thế tôi cựa làm sao!<
>Còn nỗi nhớ gắt gao<
>Màu trời xanh này nữa<
>Nhớ anh em nhớ mẹ<
>Tôi nhớ vui nhớ buồn…<
>Biết bao điều lớn hơn<
>Nỗi lo và nỗi sợ.<
>Này trời xanh tôi ở<
>Biết rằng tôi lớn khôn?",Bầu Trời Trong Quả Trứng,https://isach.info/poem.php?poem=bau_troi_trong_qua_trung__xuan_quynh,thơ tự do,hiện đại,,Xuân Quỳnh
"Thằng em thì hay hỏi<
>Không kể chuyện như anh<
>(Tuy con, má chẳng sinh<
>Con vẫn quen gọi má)<
>- Má ơi ai sinh cá<
>Ai làm ra cái kem<
>Đêm sao lại màu đen<
>Ban ngày sao màu trắng?...<
>- Ban ngày làm bằng nắng<
>Màu xanh làm bằng cây<
>Quả ớt làm bằng cay<
>Tiếng ồn sinh tàu điện<
>Gió trong cơn lốc biển<
>Ghé tai nghe mà xem...<
>A lại còn cái kem<
>Thì làm bằng mùa rét<
>Bông hoa làm bằng tết<
>Tết làm cho hương thơm<
>Con làm bằng yêu thương<
>Của cha và của mẹ<
>Của bà và của ông<
>Của má nữa - biết không<
>Con làm bằng tất cả",Cắt Nghĩa,https://isach.info/poem.php?poem=cat_nghia__xuan_quynh,thơ tự do,hiện đại,,Xuân Quỳnh
"Đã xa rồi căn phòng nhỏ của em<
>Nơi che chở những người thương mến nhất<
>Con đường nắng, dòng sông trước mặt<
>Chuyến phà đông. Nỗi nhớ cứ quay về<
>Đêm tháng năm hoa phượng nở bên hè<
>Trang giấy trắng bộn bè bao ký ức<
>Ngọn đèn khuya một mình anh thức<
>Nghe tin đài báo nóng, lại thương con<
>Anh yêu ơi, hãy tha lỗi cho em<
>Nếu đôi lúc giận hờn ânh vô cớ<
>Những bực dọc trong ngày vất vả<
>Làm anh buòn mà em có vui đâu<
>Chỉ riêng điều được sống cùng nhau<
>Niềm sung sướng với em là lớn nhất<
>Trái tim nhỏ nằm trong lồng ngực<
>Giấy phút nào tim đập chẳng vì anh.<
>Một trời xanh, một biển tận cùng xanh<
>Và gió thổi và mây bay về núi<
>Lời thương nhớ ngàn lần em muốn nói<
>Nhưng bây giờ chỉ có sóng và em...",Chỉ Có Sóng Và Em,https://isach.info/poem.php?poem=chi_co_song_va_em__xuan_quynh,bảy chữ,hiện đại,,Xuân Quỳnh
"Dưới hai hàng cây<
>Tay ấm trong tay<
>Cùng anh sóng bước<
>Nắng đùa mái tóc<
>Chồi biếc trên cây<
>Lá vàng bay bay<
>Như ngàn cánh bướm<
>(Lá vàng rụng xuống<
>Cho đất thêm màu<
>Có mất đi đâu<
>Nhựa lên chồi biếc)<
>Này anh, em biết<
>Rồi sẽ có ngày<
>Dưới hàng cây đây<
>Ta không còn bước<
>Như người lính gác<
>Đã hết phiên mình<
>Như lá vàng rụng<
>Cho chồi thêm xanh<
>Và đời mai sau<
>Trên đường này nhỉ<
>Những đôi tri kỷ<
>Sóng bước qua đây<
>Lá vàng vẫn bay<
>Chồi non lại biếc",Chồi Biếc,https://isach.info/poem.php?poem=choi_biec__xuan_quynh,thơ tự do,hiện đại,,Xuân Quỳnh
"Lại gặp lại cánh chuồn ngày thơ bé<
>Bay đan nhau dệt mảnh nắng cuối cùng<
>Con chuồn ngô hay làm dáng<
>Chao mình soi mặt ao trong<
>Đốt cháy lòng một nét chờ mong<
>Con chuồn đỏ thân ngời như ngọn lửa<
>Con chuồn vằn mang những điều kì lạ<
>Với đứa trẻ nào chưa biết bơi<
>ơi cánh chuồn gợi những buồn vui<
>Cánh chuồn nào bay vào những nỗi nhớ?<
>Ngon sào thưa cánh buồm ai ngái ngủ<
>Gió heo may hôm nay về chăng<
>Mà chuồn chuồn bay về dăng dăng<
>Báo cơn bão phương nào thổi tới?<
>Đường sẽ vắng nếu trời bão nổi<
>Cánh cửa nhà sập lại trước khi mưa<
>Con chim tìm tránh bão sẽ về xa<
>Con kiến nhỏ cũng ẩn mình trong tổ<
>Không còn trời xanh chỉ mưa và gió<
>Những dòng sông không nhà cửa miên man<
>Và mây, mây khắp chốn lang thang<
>Chặn bốn phía những cỏ cây tội nghiệp<
>Cho cơn lốc dữ tợn về bẻ nát<
>Trái đất này sẽ nhấn chìm trong mưa<
>Không tìm đâu một chỗ nương nhờ!<
>Mỏng manh thế chịu làm sao nổi<
>Chuồn chuồn ơi báo làm chi bão tới<
>Trời bão lên rồi mày ở đâu?",Chuồn Chuồn Báo Bão,https://isach.info/poem.php?poem=chuon_chuon_bao_bao__xuan_quynh,bảy chữ,hiện đại,,Xuân Quỳnh
"Trời sinh ra trước nhất<
>Chỉ toàn là trẻ con<
>Trên trái đất trụi trần<
>Không dáng cây ngọn cỏ<
>Mặt trời cũng chưa có<
>Chỉ toàn là bóng đêm<
>Không khí chỉ màu đen<
>Chưa có màu sắc khác<
>Mắt trẻ con sáng lắm<
>Nhưng chưa thấy gì đâu!<
>Mặt trời mới nhô cao<
>Cho trẻ con nhìn rõ<
>Màu xanh bắt đầu cỏ<
>Màu xanh bắt đầu cây<
>Cây cao bằng gang tay<
>Lá cỏ bằng sợi tóc<
>Cái hoa bằng cái cúc<
>Màu đỏ làm ra hoa<
>Chim bấy giờ sinh ra<
>Cho trẻ nghe tiếng hót<
>Tiếng hót trong bằng nước<
>Tiếng hót cao bằng mây<
>Những làn gió thơ ngây<
>Truyền âm thanh đi khắp<
>Muốn trẻ con được tắm<
>Suối bắt đầu làm sông<
>Sông cần đến mênh mông<
>Biển có từ thuở đó<
>Biển thì cho ý nghĩ<
>Biển sinh cá sinh tôm<
>Biển sinh những cánh buồm<
>Cho trẻ con đi khắp<
>Đám mây cho bóng rợp<
>Trời nắng mây theo che<
>Khi trẻ con tập đi<
>Đường có từ ngày đó<
>Nhưng còn cần cho trẻ<
>Cho nên mẹ sinh ra<
>Để bế bồng chăm sóc<
>Mẹ mang về tiếng hát<
>Từ cái bống cái bang<
>Từ cái hoa rất thơm<
>Từ cánh cò rất trắng<
>Từ vị gừng rất đắng<
>Từ vết lấm chưa khô<
>Từ đầu nguồn cơn mưa<
>Từ bãi sông cát vắng…<
>Biết trẻ con khao khát<
>Chuyện ngày xưa, ngày sau<
>Không hiểu là từ đâu<
>Mà bà về ở đó<
>Kể cho bao chuyện cổ:<
>Chuyện con cóc, nàng tiên<
>Chuyện cô Tấm ở hiền<
>Thằng Lý Thông ở ác…<
>Mái tóc bà thì bạc<
>Con mắt bà thì vui<
>Bà kể đến suốt đời<
>Cũng không sao hết chuyện<
>Muốn cho trẻ hiểu biết<
>Thế là bố sinh ra<
>Bố bảo cho biết ngoan<
>Bố dạy cho biết nghĩ<
>Rộng lắm là mặt bể<
>Dài là con đường đi<
>Núi thì xanh và xa<
>Hình tròn là trái đất…<
>Chữ bắt đầu có trước<
>Rồi có ghế có bàn<
>Rồi có lớp có trường<
>Và sinh ra thầy giáo…<
>Cái bảng bằng cái chiếu<
>Cục phấn từ đá ra<
>Thầy viết chữ thật to:<
>“Chuyện loài người” trước nhất.",Chuyện Cổ Tích Loài Người,https://isach.info/poem.php?poem=chuyen_co_tich_loai_nguoi__xuan_quynh,thơ tự do,hiện đại,,Xuân Quỳnh
"Trời sinh ra trước nhất<
>Chỉ toàn là trẻ con<
>Trên trái đất trụi trần<
>Không dáng cây ngọn cỏ<
>Mặt trời cũng chưa có<
>Chỉ toàn là bóng đêm<
>Không khí chỉ màu đen<
>Chưa có màu sắc khác<
>Mắt trẻ con sáng lắm<
>Nhưng chưa thấy gì đâu !<
>Mặt trời mới nhô cao<
>Cho trẻ con nhìn rõ<
>Màu xanh bắt đầu cỏ<
>Màu xanh bắt đầu cây<
>Cây cao bằng gang tay<
>Lá cỏ bằng sợi tóc<
>Cái hoa bằng cái cúc<
>Màu đỏ làm ra hoa<
>Chim bấy giờ sinh ra<
>Cho trẻ nghe tiếng hót<
>Tiếng hót trong bằng nước<
>Tiếng hót cao bằng mây<
>Những làn gió thơ ngây<
>Truyền âm thanh đi khắp<
>Muốn trẻ con được tắm<
>Sóng bắt đầu làm sông<
>Sông cần đến mênh mông<
>Biển có từ thuở đó<
>Biển thì cho ý nghĩ<
>Biển sinh cá sinh tôm<
>Biển sinh những cánh buồm<
>Cho trẻ con đi khắp<
>Đám mây cho bóng rợp<
>Trời nắng mây theo che<
>Khi trẻ con tập đi<
>Đường có từ ngày đó<
>Nhưng còn cần cho trẻ<
>Cho nên mẹ sinh ra<
>Để bế bồng chăm sóc<
>Mẹ mang về tiếng hát<
>Từ cái bống cái bang<
>Từ cái hoa rất thơm<
>Từ cánh cò rất trắng<
>Từ vị gừng rất đắng<
>Từ vết lấm chưa khô<
>Từ đầu nguồn cơn mưa<
>Từ bãi sông cát vắng...<
>Biết trẻ con khao khát<
>Chuyện ngày xưa, ngày sau<
>Không hiểu là từ đâu<
>Mà bà về ở đó<
>Kể cho bao chuyện cổ:<
>Chuyện con cóc, nàng tiên<
>Chuyện cô Tấm ở hiền<
>Thằng Lý Thông ở ác...<
>Mái tóc bà thì bạc<
>Con mắt bà thì vui<
>Bà kể đến suốt đời<
>Cũng không sao hết chuyện<
>Muốn cho trẻ hiểu biết<
>Thế là bố sinh ra<
>Bố bảo cho biết ngoan<
>Bố dạy cho biết nghĩ<
>Rộng lắm là mặt bể<
>Dài là con đường đi<
>Núi thì xanh và xa<
>Hình tròn là trái đất...<
>Chữ bắt đầu có trước<
>Rồi có ghế có bàn<
>Rồi có lớp có trường<
>Và sinh ra thầy giáo...<
>Cái bảng bằng cái chiếu<
>Cục phấn từ đá ra<
>Thầy viết chữ thật to:<
>""Chuyện loài người"" trước nhất.",Chuyện Cổ Tích Về Loài Người,https://isach.info/poem.php?poem=chuyen_co_tich_ve_loai_nguoi__xuan_quynh,thơ tự do,hiện đại,,Xuân Quỳnh
"Có một thời vừa mới bước ra<
>Mùa xuân đã gọi mời trước cửa<
>Chẳng ngoái lại vết chân trên cỏ<
>Vườn hoa nào cũng ở phía mình đi<
>Đường chẳng xa, núi không mấy cách chia.<
>Trong đáy mắt trời xanh là vĩnh viễn<
>Trang nhật ký xé trăm lần lại viết<
>Có một thời ngay cả nỗi đau<
>Cũng mạnh mẽ ồn ào không giấu nổi<
>Mơ ước viễn vông, niềm vui thơ dại<
>Tuổi xuân mình tưởng mãi vẫn tươi xanh<
>Người trai mới vài lần thoáng gặp<
>Luôn hy vọng để rồi luôn thất vọng<
>Tôi đã cười đã khóc những không đâu<
>Một vầng trăng niên thiếu ở trên đầu<
>Một vạt đất cỏ xanh rờn trước mặt...<
>Mái tóc xanh bắt đầu pha sợi bạc<
>Nỗi vui buồn cũng khác những ngày xưa<
>Chi chút thời gian từng phút từng giờ<
>Như kẻ khó tính từng hào keo kiệt<
>Tôi biết chắc mùa xuân rồi cũng hết<
>Hôm nay non, mai cỏ sẽ già .<
>Tôi đã đi mấy chặng đường xa<
>Vượt mấy núi mấy rừng qua mấy biển<
>Niềm mơ ước gửi vào trang viết<
>Nỗi đau buồn dồn xuống đáy tâm tư<
>Em yêu anh hơn cả thời xưa<
>(Cái thời tưởng chết vì tình ái)<
>Em chẳng chết vì anh, em chẳng đổi<
>Em cộng anh vào với cuộc đời em<
>Em biết quên những chuyện đáng quên<
>Em biết nhớ những điều em phải nhớ<
>Hoa cúc tím trong bài hát cũ<
>Dẫu vẫn là cung bậc của ngày xưa<
>Quá khứ đáng yêu, quá khứ đáng tôn thờ<
>Nhưng đâu phải là điều em luyến tiếc.",Có Một Thời Như Thế,https://isach.info/poem.php?poem=co_mot_thoi_nhu_the__xuan_quynh,bảy chữ,hiện đại,,Xuân Quỳnh
