content,title,url,genre,period,specific_genre,author
"Thu thật hiền anh nhỉ<
>Chỉ có gió mát lành<
>Em sẽ là nắng xanh<
>Hong chân tình anh nhé<
>Xuân cũng về rất nhẹ<
>Như vòng tay em_anh<
>Em sẽ là mộng lành<
>Ru êm mùa hiu hắt<
>Đông cồn cào gió bấc<
>Đừng sợ lạnh nghen anh<
>Em là 1 cành xanh<
>Xua tan mùa băng giá<
>Rồi cháy trời mùa hạ<
>Lúc này em là sông<
>Anh hãy cởi tấm lòng<
>Trầm vào tim em nhé!<
>Sao một năm ngắn thế<
>Dường vẫn sót 1 mùa<
>Anh đã đoán ra chưa?<
>Còn mùa : Yêu thương nữa!<
>Mùa yêu em là lửa<
>Mùa yêu em bão giông<
>Mùa yêu em ấm nồng<
>Mùa yêu em hiu hắt<
>Mùa yêu em Chân thật<
>Mùa yêu em giận hờn<
>Mùa yêu để yêu hơn<
>Yêu anh nhiều. Thật đấy!",Bốn Mùa Yêu Anh,https://isach.info/poem.php?poem=bon_mua_yeu_anh__dang_hoai_anh,thơ tự do,hiện đại,,Ðặng Hoài Anh
"Khi đã làm em đơn lẻ suốt canh thâu<
>Chờ đợi mãi 1 người không thể đến<
>Ký ức cũ giờ quên lời ước hẹn<
>Nên nông nổi 1 thời chìm trong tiếng mưa rơi",Đủ Chưa Anh,https://isach.info/poem.php?poem=du_chua_anh__dang_hoai_anh,bảy chữ,hiện đại,,Ðặng Hoài Anh
"Đừng hỏi vì sao em lại yêu anh<
>Có hàng ngàn lý do để người ta thích _ghét<
>Bởi trái tim có lý lẽ của mình<
>Đừng hỏi tại sao em lại yêu anh<
>Để những phút nhớ mong vỡ òa nước mắt<
>Đường chúng mình đi giờ mình em hiu hắt<
>Vẫn khắc khoải 1 niềm : Yêu thế , vì yêu<
>Đừng hỏi tại sao em lại viết thật nhiều<
>Viết cho anh mà em nào dám gửi<
>Những vần thơ , tiếng lòng em vụng dại<
>Em viết an ủi mình và ru những nhớ mong<
>Đừng hỏi tại sao em vẫn mãi ngóng trông<
>Dù quá khứ trong anh chẳng thể nào tắt lịm<
>Em vẫn chờ mong 1 ngày anh sẽ đến<
>Rót những yêu thương cho bỏng cháy môi mềm",Đừng Hỏi,https://isach.info/poem.php?poem=dung_hoi__dang_hoai_anh,thơ tự do,hiện đại,,Ðặng Hoài Anh
"Em phải bắt đầu quên anh từ đâu?<
>Khi tất cả cùng gọi tên "" kỷ niệm ""<
>Quên đi heo may trong 1 chiều anh đến<
>Hay quên những trưa hè ta sánh bước bên nhau?<
>Em phải bắt đầu quên anh từ đâu?<
>Vết chân cũ em ướm còn vừa vặn<
>Con đường xưa dấu vết còn lành lặn<
>Sao tim mình đã rách toạc nỗi đau<
>Em phải bắt đầu quên anh từ đâu?<
>Nắng vẫn cháy lòng từng đốm phượng<
>Ve vẫn gọi tên anh giữa trưa hè như trước<
>Sao chỉ mình em phải lặng câm?<
>Em phải bắt đầu quên anh từ đâu?<
>Ghế đá công viên phủ bụi chờ anh đó<
>Hàng cây cũng xôn xao chiều hò hẹn<
>Sao chỉ mình em phải đơn lẻ đi về?<
>Em không thể quên anh cả trong những cơn mê",Em Phải Bắt Đầu Quên Anh Từ Đâu,https://isach.info/poem.php?poem=em_phai_bat_dau_quen_anh_tu_dau__dang_hoai_anh,bảy chữ,hiện đại,,Ðặng Hoài Anh
"Em vẫn mơ mà anh<
>Giấc mơ ngày gặp gỡ<
>Trải lòng trong niềm nhớ<
>Rồi 1 mình....buồn tênh<
>Em vẫn mơ về anh<
>Dù chỉ là sương khói<
>Ngày xưa em chưa nói<
>"" Em Yêu Người "", thật sao?<
>Anh ơi! dẫu chiêm bao<
>Vẫn là anh _riêng một<
>Thôi! Để em mơ nốt<
>Đêm đã tàn đâu anh.....",Em Vẫn Mơ,https://isach.info/poem.php?poem=em_van_mo__dang_hoai_anh,thơ tự do,hiện đại,,Ðặng Hoài Anh
"1 buổi chiều đầy nắng<
>Anh bỏ rơi em trên bến vắng hẹn hò<
>Nếu anh bảo em chờ<
>Thì em sẽ đem cả cuộc đời đánh cược<
>Nhưng mà anh cứ bước<
>Chẳng nói lại câu nào<
>Hạnh phúc không phải là lời nói dối đó sao?<
>Em đã từng tin hạnh phúc ở trên cao",Hạnh Phúc Chỉ Là Lời Nói Dối,https://isach.info/poem.php?poem=hanh_phuc_chi_la_loi_noi_doi__dang_hoai_anh,thơ tự do,hiện đại,,Ðặng Hoài Anh
"Anh bỏ lại nụ cười<
>Phía sau dòng nước mắt<
>Giọt yêu thương trong vắt<
>Giờ nhuốm màu đau thương<
>Anh bỏ lại con đường<
>Nắng dỗi hờn khung cửa<
>Nụ hôn ngày xưa...vỡ<
>Hòa vào dòng thời gian<
>Anh bỏ lại hoang mang<
>Vương trên làn tóc rối<
>Góc phố mưa giăng vội<
>Ướt mềm dòng yêu thương<
>Anh đi , gió lạc phương<
>Từng giọt buồn rớt xuống<
>Em đưa tay gầy guộc<
>Sờ ngực mình.....Quặn đau",Khúc Tình 21,https://isach.info/poem.php?poem=khuc_tinh_21__dang_hoai_anh,thơ tự do,hiện đại,,Ðặng Hoài Anh
"Có một mùa trăng khuyết như em<
>Gầy hao mãi để tháng năm bật khóc<
>Hàng cây ôm hình thời gian trằn trọc<
>Giấc ngủ hững hờ trên khóe mắt ướt mưa<
>Có 1 mùa chẳng phải của ngày xưa<
>Mưa thôi rớt trên môi hồng tháng 9<
>Ghế đá công viên vắng bóng người hò hẹn<
>Tiếng khóc vỡ òa cùng giọt nắng bên hiên<
>Có 1 tiếng cười giữa không gian lặng im<
>Để hàng cây xanh xao lời cầu nguyện<
>Tháng 7 đừng mưa và xin anh đừng đến<
>Nụ hôn ngọt ngào đừng đọng lại vành môi<
>Có 1 người vẫn thả gió về trời",Lãng Đãng Chiều Nhạt Nắng,https://isach.info/poem.php?poem=lang_dang_chieu_nhat_nang__dang_hoai_anh,bảy chữ,hiện đại,,Ðặng Hoài Anh
"Em chẳng giận trời vì đã trót đổ mưa<
>Những giọt mặn hoen nồng trên mi mắt<
>Em chẳng trách trời trong dỗi hờn một chốc<
>Mà trút mưa giăng ngập lối em về<
>Em chỉ trách vô tình xen vào những cơn mê<
>Để những nhớ mong vượt ra ngoài thổn thức<
>Tay trong tay mà ngỡ xa ngàn dặm<
>Anh hỡi anh! Chữ ""TÌNH"" đó là gì?<
>Mưa ướt mắt em hay giọt mặn tái tê<
>Òa vỡ cả một khoảng trời thương nhớ<
>Anh nhé! Đừng quên : Trái tim em để ngỏ<
>Chờ anh về xoa dịu những nỗi đau....",Mưa Và Em,https://isach.info/poem.php?poem=mua_va_em__dang_hoai_anh,bảy chữ,hiện đại,,Ðặng Hoài Anh
"Anh dắt em chạy ngược dốc yêu thương<
>Nên rát mặt em mái tóc dày gió thổi<
>Nước mắt tuôn như xối<
>Ướt cả vai người.....<
>Anh dắt em chạy ngược một con đường<
>Em giằng tay anh và đứng lại<
>Mắt anh nhìn em bỏng cháy<
>Sao giọt yêu thương lại tan chảy thế anh?<
>Anh dắt em chạy ngược một khúc quanh<
>Nắng hất xuống mặt anh (tương phản từng góc tối )<
>Yêu nhau ư? tại sao anh nỡ dối<
>Em biết được giọt u hoài trên khoảng tối mặt anh<
>Đừng dắt em chạy ngược chiều yêu thương<
>Hãy để em đứng yên _một mình_ lưng chừng dốc<
>Gió sẽ cuốn yêu thương và cả anh đi mất<
>Em sẽ một mình....",Ngược Chiều Yêu Thương,https://isach.info/poem.php?poem=nguoc_chieu_yeu_thuong__dang_hoai_anh,thơ tự do,hiện đại,,Ðặng Hoài Anh
