content,title,url,genre,period,specific_genre,author
"Chúng ta ai nấy đầu mắc bệnh:<
>Chúng ta cứ tưởng mình tỉnh táo<
>Anh có còn chút trí nhớ nào không?<
>Chúng ta đi ngược thì nhanh<
>Đi bình thường thì chậm<
>Phía trước là bầu trời<
>Phía trước là tương lai<
>Đơn giản thế thôi<
>Nhưng chúng ta phải ngoái nhìn lại<
>Để khỏi bị thổi còi<
>Chúng ta mất trí nhớ<
>Chúng ta kém tưởng tượng<
>Chúng ta không còn khát vọng<
>Chỉ toàn hoài vọng",Anh Có Còn Chút Trí Nhớ Nào Không,https://isach.info/poem.php?poem=anh_co_con_chut_tri_nho_nao_khong__do_trung_quan,thơ tự do,hiện đại,,Đỗ Trung Quân
"Quê hương là gì hả mẹ<
>Mà cô giáo dạy hãy yêu?<
>Quê hương là gì hả mẹ<
>Ai đi xa cũng nhớ nhiều?<
>Quê hương là chùm khế ngọt<
>Cho con trèo hái mỗi ngày<
>Quê hương là đường đi học<
>Con về rợp bướm vàng bay<
>Quê hương là con diều biếc<
>Tuổi thơ con thả trên đồng<
>Quê hương là con đò nhỏ<
>Êm đềm khua nước ven sông<
>Quê hương là cầu tre nhỏ<
>Mẹ về nón lá nghiêng che<
>Là hương hoa đồng cỏ nội<
>Bay trong giấc ngủ đêm hè<
>Quê hương là đêm trăng tỏ<
>Hoa cau rụng trắng ngoài thềm<
>Tiếng ếch râm ran bờ ruộng<
>Con nằm nghe giữa mưa đêm<
>Quê hương là bàn tay mẹ<
>Dịu dàng hái lá mồng tơi<
>Bát canh ngọt ngào tỏa khói<
>Sau chiều tan học mưa rơi<
>Quê hương là vàng hoa bí<
>Là hồng tím giậu mồng tơi<
>Là đỏ đôi bờ dâm bụt<
>Màu hoa sen trắng tinh khôi<
>Quê hương mỗi người đều có<
>Vừa khi mở mắt chào đời<
>Quê hương là dòng sữa mẹ<
>Thơm thơm giọt xuống bên nôi<
>Quê hương mỗi người chỉ một<
>Như là chỉ một mẹ thôi<
>Quê hương nếu ai không nhớ<
>Sẽ không lớn nổi thành người.",Bài Học Đầu Cho Con,https://isach.info/poem.php?poem=bai_hoc_dau_cho_con__do_trung_quan,bảy chữ,hiện đại,,Đỗ Trung Quân
"""Nơi nào có em, nơi ấy là thiên đường!"" - Mark Twain<
>Nếu như đêm nay anh ngồi gác một mình<
>Chỉ riêng anh và những vì sao còn thức<
>Anh sẽ chọn một vì sao đẹp nhất<
>Để bảo rằng - đấy chính là em<
>Nếu trưa nào anh qua một khoảng đường êm<
>Chỉ có nắng và chân mình đạp lá<
>Trời thành phố khép hàng mi êm ả<
>Anh đi cùng chiếc bóng của mình<
>Anh sẽ chọn một bóng râm dịu mát<
>Để bảo rằng - đấy chính là em<
>Nếu khuya nào anh vào xưởng ca đêm<
>Giờ ngon giấc của em trong giấc ngủ<
>Anh sẽ gọi hương ngọc lan đầu phố<
>Theo dọc đường và bảo - đấy là em<
>Ở nơi nào mà anh chẳng có em<
>Có cả lúc một mình đi xuống phố<
>Đi theo anh chỉ lá me và gió<
>Thì lá me và gió chính là em<
>Anh nghiêng mình cảm tạ Mark Twain<
>Đã phát biểu tuyệt vời về đôi lứa<
>Đã cho anh những thiên đường mở cửa<
>Khắp mọi nơi trong cuộc sống của mình<
>Ở nơi nào mà anh chẳng có em<
>Có khi ngủ nữa là khi anh thức<
>Anh đưa tay là chạm vào hạnh phúc<
>Trái táo hồng treo giữa những cành êm<
>Em là ban mai, là chiều vắng, là đêm...",Bài Thơ Về Đôi Lứa,https://isach.info/poem.php?poem=bai_tho_ve_doi_lua__do_trung_quan,bảy chữ,hiện đại,,Đỗ Trung Quân
"Xin cảm ơn những con đường ven biển<
>Cho rất nhiều đôi lứa dẫn nhau đi<
>Cám ơn sóng nói thay lời dào dạt<
>Hàng thùy dương nói hộ tiếng thầm thì<
>Anh như núi đứng suốt đời ngóng biển<
>Em là sóng nhưng xin đừng như sóng<
>Ðã xô vào xin chớ ngược ra khơi<
>Anh như núi đứng nghìn năm chung thủy<
>Không ngẩng đầu dù chạm tới mây bay<
>Yêu biển vỗ dưới chân mình dào dạt<
>Dẫu đôi khi vì sóng núi hao gầy…<
>Cám ơn em dịu dàng đi bên cạnh<
>Biển ngoài kia xanh quá nói chi nhiều<
>Núi gần quá – sóng và em gần quá","Biển, Núi, Em Và Sóng",https://isach.info/poem.php?poem=bien_nui_em_va_song__do_trung_quan,bảy chữ,hiện đại,,Đỗ Trung Quân
"Buổi chiều đi uể oải<
>Như một điệu blues buồn<
>Những buổi chiều ngơ ngác<
>Nắng trên phố mênh mông<
>Vàng lên một ngọn khói<
>Người đán ông mắt buồn<
>Đong đưa trên ghế dựa<
>Hoa tím lại tím hơn<
>Những hoàng hôn ngoài cửa<
>Người đàn ông mắt buồn<
>Một hôm không trẻ nữa<
>Những buổi chiều ngồi im<
>Lá rụng đầy hai vai<
>Lá rụng trên tóc dài<
>Ngày đi qua lặng lẽ<
>Một điệu blues buồn quá<
>Đâu đó ở trong hồn<
>Người đàn ông mắt buồn<
>Ngủ thiu hay là chết<
>Hoa tím đã tím hơn<
>Từ buổi chiều ly biệt",Blues,https://isach.info/poem.php?poem=blues__do_trung_quan,thơ tự do,hiện đại,,Đỗ Trung Quân
"Huế cuối năm 1989<
>Ngựa xe nào khuất nẻo<
>Thành xưa loang bóng chiều<
>Hồn ai trong lá rụng<
>Dấu hài mờ sân rêu<
>Lòng ta như thành quách<
>Nhớ một nàng ái phi<
>Giật mình nghe... áo động<
>Nắng rớt trên hoa quì<
>Ta tìm vườn ngự uyển<
>Cỏ hoang che dấu rồi<
>Tiếng chim chiều đại nội<
>Tụng xuống chiều mồ côi<
>Lòng ta như sương khói<
>Đậu vào tường đá rêu<
>Dấu thời gian im ngủ<
>Dấu thời gian tịch liêu<
>Chiều cuối năm chớm lạnh<
>Vàng phai nhuốm mái hiên<
>Ai mộng làm quan trạng<
>Ngựa qua vườn ngự Viên?<
>Giật mình nghe gió động<
>Nón bài thơ... qua thềm...",Chiều Đại Nội,https://isach.info/poem.php?poem=chieu_dai_noi__do_trung_quan,thơ tự do,hiện đại,,Đỗ Trung Quân
"Thuở chẳng ai hay thầm lặng - mối tình đầu<
>Mối tình đầu của tôi có gì?<
>Chỉ một cơn mưa bay ngoài cửa lớp<
>Là áo người trắng cả giấc ngủ mê<
>Là bài thơ cứ còn hoài trong cặp<
>Giữa giờ chơi mang đến lại mang về<
>Mối tình đầu của tôi là anh chàng tội nghiệp<
>Mùa hạ leo cổng trường khắc nỗi nhớ lên cây<
>Người con gái mùa sau biết có còn gặp lại<
>Ngày khai trường áo lụa gió thu bay...<
>Mối tình đầu của tôi có gì?<
>Chỉ một cây đàn nhỏ<
>Rất vu vơ nhờ bài hát nói giùm<
>Ai cũng hiểu - Chỉ một người không hiểu<
>Nên có một gã khờ ngọng ngịu mãi...",Chút Tình Đầu,https://isach.info/poem.php?poem=chut_tinh_dau__do_trung_quan,bảy chữ,hiện đại,,Đỗ Trung Quân
"Chòi lá dựng xong thì bão tố<
>Lửa âm ỉ trong xương dưới những mộ phần<
>Biển rã mục đêm xuống tàu định mệnh<
>Sum họp nơi này<
>Nơi kia ly tan<
>Ngôi nhà ấy như phạm lời bùa chú<
>Nên mồ hôi sôi vầng trán cha già<
>Nên trẻ thơ ra đời trong lửa đạn<
>Lưng mẹ như vòm trời úp trọn phong ba<
>Ngôi nhà ấy như khoảnh vườn hoang dại<
>Cây đau thương không hạt cũng đâm chồi<
>Hạt nghi kỵ không gieo mà đậu quả<
>Những dấu chân trôi góc bể chân trời<
>Đấy là ngày nào đó của một năm nào đó<
>Người đàn ông làm một kẻ không nhà<
>Lầm lủi gập mình trên sỏi đá<
>Bới tìm trong định mệnh",Chuyện Kể Của Một Gã Lang Thang,https://isach.info/poem.php?poem=chuyen_ke_cua_mot_ga_lang_thang__do_trung_quan,bảy chữ,hiện đại,,Đỗ Trung Quân
"Có thể chấm dứt được rồi những nụ cười giễu cợt<
>Rằng những ai nói về cỏ hoa là những kẻ<
>không chạm hai chân trên mặt đất này<
>Anh vẫn đến thăm em bằng bước chân có thật<
>Vẫn không quên chùm hoa cúc cầm tay.<
>Anh không dửng dưng trước hạt gạo khó khăn ngày hai bữa<
>Anh không quên những vất vả đời thường<
>Anh biết rõ những giọt nước mắt em đôi khi thành chất độc<
>Nhỏ xuống lòng mình loang lỗ vết thương<
>Nhưng anh vẫn cần nói cùng em về hoa cỏ<
>Về những vòm me không ai có thể đốn mất của mình<
>Về những chiếc chuồng bồ câu màu hồng trên mái ngói<
>Về tím đỏ ráng chiều,<
>Về vạt nắng bình minh...<
>Dẫu hoa đã từ lâu không có mặt trên những bàn ăn đạm bạc.<
>Dẫu bóng mát vòm me chưa che tròn lưng<
>những đứa trẻ con lượm rác ven đường.<
>Dẫu đã xuất hiện quá nhiều kẻ vác súng săn<
>tìm bầy chim thành phố.<
>Và có người lạnh nhạt nhìn nhau nhân danh áo cơm<
>Thì những kẻ mơ mộng còn rất cần đấy chứ<
>Anh sợ vật giá leo thang nhưng cũng lo vầng trăng<
>không mọc nữa đêm rằm<
>Hay sợ trăng đã mọc rồi mà đầu anh vẫn cúi<
>Bởi trái tim mình đã thành đá tảng rêu phong<
>Nên anh vẫn muốn nói cùng em về hoa cỏ<
>Ta xanh xao - nhưng hãy rất con người<
>Ta phẫn nộ - nhưng chớ thành trái độc<
>Ai vấp ngã ven đường, không một giọt lệ rơi<
>Không một giọt lệ rơi vì mắt nhìn ráo hoảnh<
>Vì mắt đã lạnh tanh những dung tục đời thường<
>Nên anh cứ muốn nói hoài về hoa cỏ<
>Để còn biết giật mình khi chạm một làn hương",Cỏ Hoa Cần Gặp,https://isach.info/poem.php?poem=co_hoa_can_gap__do_trung_quan,thơ tự do,hiện đại,,Đỗ Trung Quân
"Không thể nói khác hơn rằng hôm nay - buổi sáng rất buồn.<
>Anh mất nửa giờ ở ngã tư quen thuộc,<
>Chỉ vì một gã đụng người rồi bỏ chạy luôn...<
>Gã đụng người chạy luôn còn anh đứng lại.<
>Rồi một ""người anh em"" đến làm chứng lập lờ.<
>Anh mất nửa giờ và mất luôn... nửa phần lương tháng<
>- Hỏi em có thấy buồn không?<
>Hỏi em có thấy buồn không rằng chiều nay<
>Anh đã có lần dừng trước người con gái hỏng xe<
>Rất lịch sự xin được làm anh chàng hào hiệp<
>Người con gái giật mình với cái nhìn nghi hoặc<
>Rồi bỏ mặc anh chàng cụt hứng đứng ngẩn ngơ<
>Có những lúc lòng buồn anh tự hỏi<
>Liệu lòng tin có cần chứng minh thư?<
>Ví dụ như em lỡ độ đường và anh dừng xe lại<
>Em có... mà thôi!...<
>Anh đã có những ngày buồn như thế<
>Trang thơ viết ra không có nổi chú bướm vàng<
>Nhưng anh vẫn tin một hôm nào xuống phố<
>Còn gặp những lòng người hóa bướm bay sang...",Có Một Bài Thơ Không Bươm Bướm,https://isach.info/poem.php?poem=co_mot_bai_tho_khong_buom_buom__do_trung_quan,thơ tự do,hiện đại,,Đỗ Trung Quân
