title,content,genre,url,author,period,specific_genre
Bên Bờ Sông Xanh,"Tôi về nhìn nước sông buồn<
>Trôi theo mây trắng mấy cồn đìu hiu<
>Dòng sông hoang phế tiêu đìều<
>Đò ngang tách bến, mây chiều ngẩn ngơ<
>Tôi về tìm lại ước mơ<
>Và bao kỷ niệm bên bờ sông xanh<
>Còn đâu một giấc mộng lành<
>Còn đâu hai mái đầu xanh dại khờ<
>Còn đâu đợi, còn đâu chờ<
>Còn đâu hờn dỗi ngu ngơ thuở nào<
>Tôi về trong giấc chiêm bao<
>Giựt mình thức giấc mà đau đớn lòng<
>Thẫn thờ mở cửa ra trông<
>Tuyết rơi trắng cả một dòng sông xa!",lục bát,https://isach.info/poem.php?poem=ben_bo_song_xanh__bach_loan,Bạch Loan,hiện đại,
Bến Cỏ,"Chiều qua bến cỏ<
>Dòng sông tuổi thơ<
>Đường xưa lối cũ<
>Một thời mộng mơ<
>Lâu rồi một thuở<
>Đi học sang đò<
>Lục bình nở rộ<
>Tím dòng sông mơ<
>Chiều qua bến cỏ<
>Nhớ mấy cho vừa<
>Em, tôi còn nhỏ<
>Đội nắng dầm mưa<
>Dòng sông còn đó<
>Vắng bóng đò xưa<
>Thiếu làn tóc xỏa<
>Người về ngẩn ngơ<
>Chiều qua bến cỏ<
>Sóng nhấp nhô bờ<
>Nắng mang nổi nhớ<
>Mây chiều bơ vơ<
>Lục bình vẫn nở<
>Tím cả đôi bờ<
>Xa xa dáng nhỏ<
>Ngỡ người năm xưa!",thơ tự do,https://isach.info/poem.php?poem=ben_co__bach_loan,Bạch Loan,hiện đại,
Bến Xưa,"Em về ghé bến sông xưa<
>Bờ hoang bãi quạnh gió mưa bời bời<
>Mùa thu xỏa tóc bên trời<
>Con thuyền năm cũ ra khơi chẵng về<
>Cồn hoang mây nước hẹn thề<
>Cây mơ bóng biếc nảo nề giọt thu<
>Trường giang khói sóng mịt mù<
>Thuyền anh lơ đãng phiêu du bến nào?<
>Em về góp gió, nhặt sao<
>Giữ làm kỷ vật thuở nào yêu anh!",lục bát,https://isach.info/poem.php?poem=ben_xua__bach_loan,Bạch Loan,hiện đại,
Biệt Ly,"Thảng thốt mắt nai chiều tiễn biệt<
>Con thuyền ly xứ lạc trùng khơi<
>Bến xa bờ lạ buồn da diết<
>Người đợi chân mây kẻ cuối trời<
>Ngàn lau xao xác thuyền xa khuất<
>Biển động trùng trùng khói sóng bay<
>Nước biếc mênh mông, sầu chất ngất<
>Hương tình ngày cũ tan như mây<
>Cánh mỏi đường xa chim lẻ bạn<
>Nhớ cành liễu cũ, nhánh sông xưa<
>Bốn phương lồng lộng, mây phiêu lãng<
>Cố quận, trời ơi, khói buị mờ!",lục bát,https://isach.info/poem.php?poem=biet_ly__bach_loan,Bạch Loan,hiện đại,
Bóng Chiều Sa,"Chiều nay sầu rụng mãi trong tôi<
>Tuyết trắng thôi giăng, nắng ngập đồi<
>Gió lặng trời yên, chim một bóng<
>Chân mây ngàn dặm cố hương ơi!<
>Hiu hắt hoàng hôn ánh nhật tà<
>Thẫn thờ lặng lẽ bóng chiều sa<
>Ngày qua vội quá, tôi ngồi lặng<
>Ngắm áng mây trời bay thật xa...",lục bát,https://isach.info/poem.php?poem=bong_chieu_sa__bach_loan,Bạch Loan,hiện đại,
Bóng Đêm,"Đêm xuống chập chờn chiếc bóng lay<
>Hiên khuya lặng lẽ dáng ai gầy<
>Bên thềm lốm đốm hoa trăng rụng<
>Trước ngõ thì thào ngọn gió bay<
>Sáo trúc não nùng trên sóng nước<
>Nguyệt cầm réo rắt giữa ngàn cây<
>Vẳng xa tiếng hát nghe buồn lạ<
>Ấp ủ hồn côi nhung nhớ đầy",lục bát,https://isach.info/poem.php?poem=bong_dem__bach_loan,Bạch Loan,hiện đại,
Buồn,"Chợt thấy đời qua như tuyết rơi<
>Người đi ngày ấy đã lâu rồi<
>Buồn tôi bỗng nhớ mùa hạ cũ<
>Mây trắng đi hoang lạc cuối trời<
>Chợt thấy buồn xưa trong tiết đông<
>Tuyết về nhè nhẹ trắng bên sông<
>Buồn tôi bỗng nhớ mùa thu trước<
>Chiếc lá vàng trôi lạc mấy dòng?<
>Chợt thấy sa mù trên núi cao<
>Ngờ như áo trắng của năm nào<
>Buồn tôi bỗng nhớ mùa đông ấy<
>Lối cũ đi về không có nhau!<
>Chợt thấy người đi bước thẩn thơ<
>Bên kia phố nhỏ có ai chờ?<
>Buồn tôi bỗng nhớ muà xuân đó<
>Kỷ niệm phai tàn với tuổi thơ!",lục bát,https://isach.info/poem.php?poem=buon__bach_loan,Bạch Loan,hiện đại,
Buồn Chiều,"Thẩn thơ dạo bước buổi chiều tà<
>Cây cỏ bơ phờ biếng trổ hoa<
>Khói trắng lang thang vờn vách núi<
>Chiều lam bàng bạc tỏa sân nhà<
>Ngậm ngùi nhung nhớ trời cô quận<
>Khắc khoải sầu thương vận quốc gia<
>Thản thốt chim kêu bên xóm vắng<
>Buồn chiều thơ thẩn một mình ta",lục bát,https://isach.info/poem.php?poem=buon_chieu__bach_loan,Bạch Loan,hiện đại,
Buồn Như Lệ,"Lâu lắm tình tôi đã ngủ say<
>Em đến trao chi giấc mộng này?<
>Tình bỗng bâng khuâng ngày hạ cũ<
>Của thời áo trắng, tóc mây bay<
>Em đến tình cờ tựa giấc mơ<
>Lời em nửa thật nửa trăng thơ<
>Êm như gió mới về trong nắng<
>Trên lối đi xưa thuở học trò<
>Ta đã hẹn nhau tự thuở nào?<
>Đôi lòng phơi phới lúc bên nhau<
>Nụ xuân vừa chớm trên cành biếc<
>Ta dìu nhau đến cõi chiêm bao!<
>Mỗi tối em về trong ý thơ<
>Tôi ngồi ngơ ngẩn giữa đêm khuya<
>Bài thơ dang dở buồn như lệ<
>Tôi sợ tình kia sớm nhạt nhoà",lục bát,https://isach.info/poem.php?poem=buon_nhu_le__bach_loan,Bạch Loan,hiện đại,
Chia Ly,"Mắt ướt tay buông lặng lẽ<
>Nẻo về nhịp bước chân hoang<
>Hững hờ cây nghiêng bóng ngả<
>Chiều rơi phố cổ hoang tàn<
>Võ vàng lối xưa một bóng<
>Đêm về vỗ giấc cô miên<
>Song thưa trăng gầy gió lộng<
>Chiếu chăn lạnh lẽo muộn phiền<
>Trở trăn đếm hờ kỷ niệm<
>Ngày xanh héo úa vội vàng<
>Vói tay nâng cành hoa muộn<
>Sắc hương thoáng đã phai tàn<
>Ai đi nghìn trùng vạn lý<
>Ai ngồi mơ bóng xuân phai<
>Hoa cau rơi đầy lối nhớ<
>Ráng chiều rực đỏ chân mây",bảy chữ,https://isach.info/poem.php?poem=chia_ly__bach_loan,Bạch Loan,hiện đại,
Chiều,"Sương khói chiều lên phủ núi đồi<
>Hoàng hôn lặng lẽ áng mây trôi<
>Song thưa gió thoảng, lòng ray rứt<
>Hiên vắng vàng rơi , dạ rối bời<
>Nợ nước bạc đầu còn mãi nặng<
>Tình nhà mỏi gối vẫn chưa phôi<
>Tha phương chạnh nhớ trời quê mẹ<
>Ngơ ngẩn nhìn theo chiếc lá rơi!",lục bát,https://isach.info/poem.php?poem=chieu__bach_loan,Bạch Loan,hiện đại,
Chiều Tím Bên Sông,"Sáo trúc êm đềm dệt tiếng tơ<
>Sông xanh dào dạt nhấp nhô bờ<
>Đò trôi lờ lững, đò không hẹn<
>Khách dạo lang thang, khách chẳng chờ<
>Tâm sự lao xao vờn sóng nước<
>Hương tình bát ngát đượm vần thơ<
>Chiều lên quạnh quẽ lòng hiu hắt<
>Tim tím hoàng hôn, tím mộng mơ",lục bát,https://isach.info/poem.php?poem=chieu_tim_ben_song__bach_loan,Bạch Loan,hiện đại,
