title,content,genre,url,author,period,specific_genre
Áo Trắng Ngày Xưa,"(Tặng Thùy Mai, Lâm Thị Mỹ Dạ)<
>Ngày xưa áo lụa tung bay<
>Tóc em theo gió vờn mây cuối trời<
>Trường Tiền áo trắng tinh khôi<
>Em nghiêng nón... giấu nụ cười làm duyên",bảy chữ,https://isach.info/poem.php?poem=ao_trang_ngay_xua__bao_cuong,Bảo Cường,hiện đại,
Bến Cô Liêu,"Chiều nắng úa gió về trên bến vắng<
>Bước sông hồ dừng lại bến cô liêu<
>Thuyền trôi xa văng vẳng tiếng chuông chiều<
>Nghe âm vọng một vương triều đã khuất...",bảy chữ,https://isach.info/poem.php?poem=ben_co_lieu__bao_cuong,Bảo Cường,hiện đại,
Biển Gọi,"Một mình nơi xứ biển<
>Lòng chợt thấy nhớ ai<
>Ước gì em ở lại<
>Để tình xây hải đài<
>Biển muôn đời réo gọi<
>Sao người vẫn mãi xa?<
>Đến bao giờ mới gặp?<
>Để tình lên trăng ngà",thơ tự do,https://isach.info/poem.php?poem=bien_goi__bao_cuong,Bảo Cường,hiện đại,
Ca Dao Mẹ,"À ơi! giọng Huế ngọt ngào<
>Ca dao của mẹ thấm vào quê hương<
>Hoa cau thơm ngát sau vườn<
>Xa quê vẫn nhớ mùi hương theo hoài<
>Chiều nay đất khách quê người<
>Lần tay bấm đốt nhớ thời ấu thơ<
>Ngày mai biết nắng hay mưa?<
>Đời dâu bể, ngọn gió lùa về đâu?<
>Thương quê nắng dãi, mưa dầu<
>Câu ca ví dặm xanh màu tình quê<
>Bát canh khế buổi chiều về<
>Bữa cơm thanh đạm dân quê mát lòng<
>Đời lam lũ kiếp nhà nông<
>Thức khuya dậy sớm ruộng đồng làm vui<
>Giêng hai mưa bụi sụt sùi<
>Cái tơi che tạm mảnh đời trống không<
>Chừ xa quê nhớ quặn lòng<
>Tuổi thơ gắn với cánh đồng diều bay<
>Cuộc đời như áng mây bay<
>Tụ tan, tan tụ đổi thay lẽ đời<
>Mong cho biển lặng sóng vơi<
>Tình quê êm ả vẳng lời ca dao<
>Lời ru của mẹ thuở nào<
>Đưa con qua khỏi sóng đào biển dâu",lục bát,https://isach.info/poem.php?poem=ca_dao_me__bao_cuong,Bảo Cường,hiện đại,
Cát Bụi (2),"Ta một mình giữa dòng đời xuôi ngược<
>Kiếm tìm em... em mất hút cuối trời<
>Đường em đi - bao hoa lạ đón mời<
>Ta lận đận suốt một đời tay trắng<
>Dẫu có em vẫn thấy đời trống vắng<
>Tương lai mờ - hạnh phúc cuối tầm tay<
>Đời cát bụi biết đâu là nguồn cội<
>Ta gã khờ hát dạo tuổi chiều phai",bảy chữ,https://isach.info/poem.php?poem=cat_bui_2__bao_cuong,Bảo Cường,hiện đại,
Cát Bụi,"Đời như phiên chợ họp rồi tan<
>Ngày đến rồi đi đêm cũng tàn<
>Mà vết thời gian còn ghi dấu<
>Trăng cũ vười xưa cũng úa vàng<
>Đất lạ quê người con sóng bạc<
>Đêm nghe còi rúc phía trời xa<
>Giật mình tỉnh giấc... ngày xa lắc<
>Ngó mình tóc đã điểm sương pha",lục bát,https://isach.info/poem.php?poem=cat_bui__bao_cuong,Bảo Cường,hiện đại,
Chiếc Cầu,"Chiếc cầu bắc nhịp đôi bờ<
>Người đi để lại cầu trơ một mình<
>Sông Hương nước vẫn còn xanh<
>Người đi biệt! để ngày xanh úa tàn.",lục bát,https://isach.info/poem.php?poem=chiec_cau__bao_cuong,Bảo Cường,hiện đại,
Chiều Về,"Chiều về nắng tắt bên sông<
>Xa nghe bìm bịp não nùng khóc than<
>Sương giăng lãng đãng cuối làng<
>Trời xa con nhạn lẻ đàn bơ vơ",lục bát,https://isach.info/poem.php?poem=chieu_ve__bao_cuong,Bảo Cường,hiện đại,
Chiều Xa,"Nắng thu qua nghe chiều xa vời vợi<
>Đông lại về gợi nhớ dáng mơ buồn<
>Nửa đời người ngược xuôi không bến đỗ<
>Còn lại gì... chút nắng quái chiều hôm",bảy chữ,https://isach.info/poem.php?poem=chieu_xa__bao_cuong,Bảo Cường,hiện đại,
Chút Tình Xưa,"Mai sau ta về thăm chốn cũ<
>Đi tìm kỷ niệm cuộc tình qua<
>Em có quên thề ta vẫn nhớ<
>Lòng nầy luôn giữ chút hương xưa",lục bát,https://isach.info/poem.php?poem=chut_tinh_xua__bao_cuong,Bảo Cường,hiện đại,
