title,content,genre,url,author,period,specific_genre
Bên Bờ Kinh,"Trôi qua cả một dòng kinh<
>Một chiều hai đứa chúng mình bên nhau.<
>Có gì, nào có gì đâu<
>Mà chùm sao trên mái đầu lung liêng<
>Chiếc xuồng ai buộc chung chiêng<
>Sóng xô bên ấy lại nghiêng bên này…<
>Riết rồi đến lúc chia tay<
>Lấy đâu thương nhớ lấp đầy xa xôi?<
>Lời em đã nói chi rồi<
>Sớm nay sao lục bình trôi quá nhiều…<
>Long Hưng, ngày 5-7-1984",lục bát,https://isach.info/poem.php?poem=ben_bo_kinh__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Bóc Lịch,"Em cầm tờ lịch cũ<
>Ngày hôm qua đâu rồi<
>Ra ngoài sân hỏi bố<
>Xoa đầu em bố cười<
>Ngày hôm qua ở lại<
>Trong hạt lúa mẹ trồng<
>Cánh đồng chờ gặt hái<
>Chín vàng màu ước mong<
>Ngày hôm qua ở lại<
>Trên cành hoa trong vườn<
>Nụ hồng lớn thêm mãi<
>Đợi đến ngày tỏa hương<
>Ngày hôm qua ở lại<
>Trong vở hồng của con<
>Con học hành chăm chỉ<
>Là ngày qua vẫn còn.",thơ tự do,https://isach.info/poem.php?poem=boc_lich__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Chiếc Vòng Đá Nhỏ,"Chiếc vòng đá nhỏ cổ tay ai<
>Chẳng biết đầu tiên ai đẽo mài<
>Rồi ai mua tặng, ai âu yếm<
>Trao vòng đá nhỏ cổ tay ai…<
>Xui khiến chiều nay anh lặng im<
>Giấu điều muốn nói tận trong tim<
>Gặp gỡ muộn màng thương biếc biếc<
>Chiếc vòng đá nhỏ cổ tay em.<
>Long Hưng, ngày 4-7-1984",lục bát,https://isach.info/poem.php?poem=chiec_vong_da_nho__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Coi Tướng Tay,"Coi dăm ba bàn tay<
>Nói tầm bậy tầm bạ…<
>Mà em mắc lừa ngay<
>- Nè coi tay em thử!<
>Chao! Bàn tay xinh quá!<
>Những ngón nhỏ thanh dài…<
>“Thầy” giả vờ ngẫm nghĩ<
>Cốt được cầm ngắm hoài…<
>Anh là thầy tướng vụng<
>Tìm khắp bàn tay xinh<
>Mãi không ra biểu tượng<
>Nói rằng em thương anh…<
>Bình Thành, ngày 5-7-1984",thơ tự do,https://isach.info/poem.php?poem=coi_tuong_tay__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Cuối Rễ Đầu Cành,"Vươn mãi vào bề sâu<
>Cái rễ non tìm đường cho cây<
>Qua sỏi đá có khi tướp máu<
>Hướng mãi lên chiều cao<
>Cái cành non vượt mưa đông nắng hạ<
>Nảy chiếc lá như người sinh nở<
>Ai đang ngồi hát trước mùa xuân<
>Cuộc đời như thể tự nhiên xanh<
>Chỉ có đất yêu cây thì đất biết<
>Những nơi đau nơi cuối rễ đầu cành...",bảy chữ,https://isach.info/poem.php?poem=cuoi_re_va_dau_canh__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Đất Hứa,"3. Moise là người nữ<
>Bỗng lửa trăng bừng cháy trên lùm cây...<
>Tôi lặng lẽ cúi hôn bàn tay người, rồi trả lời: ""Anh tin"".",lục bát,https://isach.info/poem.php?poem=dat_hua__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Dưới Núi Huỳnh Mai Nghĩ Về Đào Tấn,"Trong một thời quá ít tình thương yêu<
>Đã thương yêu hết lòng<
>Giữa một đời quá nhiều điều phải nghĩ<
>Đã nghĩ suy tới cùng<
>(Dù khi đúng khi sai)<
>Mộ một người như thế ở trên núi Huỳnh Mai<
>Nhà từ khúc, nhà thơ, nhà viết kịch<
>Người đã sống một thời khó khăn cùng đất nước<
>Lòng vương mang gánh nghĩa gánh tình… (*)<
>Phải luôn luôn biết sợ thời gian<
>Những lỗi lầm trong đời có thể vì thời gian quá ít<
>Những thời gian qua đi, đem tới sự công bằng<
>Khi nhìn lại những lỗi lầm thuở trước.<
>Dẫu khi đúng khi sai, nhưng gắng giữ tâm hồn trong sạch<
>Chưa biết cách giúp dân, nhưng lòng đã thương dân<
>Cứu nước chưa thấy đường, nhưng xót xa với nước<
>Anh hùng chưa làm theo, nhưng khác lũ gian thần…<
>Ở trên núi Huỳnh Mai mộ một người như thế<
>Người đã ngóng phương trời gửi lại gánh non sông (*)<
>Non sông ấy chuyền vai thế hệ<
>Nay vàng đóa mai xuân. Đào Tấn hẳn vui lòng?<
>(*) Những câu thơ trong tuồng Đào Tấn",thơ tự do,https://isach.info/poem.php?poem=duoi_nui_huynh_mai_nghi_ve_dao_tan__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Giản Dị,"Anh đã đến cùng em - chân thành và giản dị<
>Mình đoán được lời nhau ngay từ trong ý nghĩ<
>Anh nhìn em và em hiểu: Anh yêu.<
>Người ta đã tặng em biết bao lời ca ngợi<
>Những hoa giấy lắm mầu, những trận mưa pháo hoa...<
>Anh chỉ đến tặng em hai bàn tay rắn rỏi<
>Để sống và để yêu - không phải để chơi đùa!<
>Người ta hát quanh em những điệu buồn cũ kỹ<
>Trong cô đơn em lá héo trên cành...<
>Anh chỉ đến làm một điều giản dị<
>Nắm tay em và tuyên bố rõ rành:<
>- Em thuộc về ánh sáng, thuộc về anh!",thơ tự do,https://isach.info/poem.php?poem=gian_di__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Hoa Huệ,"Hoa huệ trắng. Và bức tường cũng trắng.<
>Sao bóng hoa trên tường lại đen?<
>Em đừng nhìn đi đâu nữa em<
>Anh không biết vì sao anh có lỗi<
>Nhưng mãi mãi vẫn còn câu hỏi:<
>Sao bóng hoa trên tường lại đen…",lục bát,https://isach.info/poem.php?poem=hoa_hue__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Hoa Tầm Xuân,"Tầm xuân hoa nở bên rào<
>Mưa phơn phớt ngõ, gió xao xuyến chiều<
>Ngày đang khuất, mắt trông theo<
>Cánh chim bé tẻo tèo teo cuối trời<
>Ngây ngây chút nhớ xa vời<
>Giơ bàn tay, vói ra ngoài không gian<
>Chạm vào một nhánh tầm xuân<
>Vẫn xanh biếc nụ, dẫu ngần ấy quên<
>Lích cha lích chích vành khuyên<
>Mổ từng hạt nắng đọng nguyên sắc vàng<
>Thấy thương con nhện lang thang",lục bát,https://isach.info/poem.php?poem=hoa_tam_xuan__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Khoảng Cách,"Những nàng công chúa trong truyền thuyết<
>Bao giờ cũng đáng yêu<
>Và người thiếu nữ chưa hề gặp<
>Bao giờ cũng đẹp?<
>Và những gì chỉ đến trong mơ<
>Mãi mãi đáng tôn thờ?<
>Anh giã từ những ảo vọng ngây thơ<
>Với cuộc đời anh muốn nhìn thẳng mặt<
>Anh không sợ thấy những điều vụn vặt<
>Chỉ lo cuộc đời không có gì đáng yêu!<
>Anh trải qua tất cả mọi điều:<
>Có dung tục, có dối lừa bội bạc,<
>Có đê tiện, có đớn hèn, có oán thù, độc ác...<
>Cái xấu trong đời này anh có lạ gì đâu!<
>Nhưng những gì chỉ gặp giữa chiêm bao<
>Là vô ích! Những mẫu người thần tượng<
>Cũng vô ích! - Không phải là người sống,<
>Trong đời này họ chẳng ở cùng ta!<
>Anh muốn yêu một vẻ đẹp hài hoà<
>Trong đời thực. Anh muốn yêu khuôn mặt<
>Ngay trước mình không có gì ngăn cách<
>Vì cuối cùng, đời vẫn đẹp hơn mơ!",bảy chữ,https://isach.info/poem.php?poem=khoang_cach__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Không Đề 04,"Đã bắt đầu nếm náp vị chia xa<
>Hai chữ biệt ly ngó chỗ nào cũng gặp.<
>Em ngồi đó – anh gắng dời ánh mắt<
>Anh tập nhìn không-gian-không-có-em…<
>Phải làm quen với ban ngày ban đêm<
>Với thời-gian-không-em sắp trải dài vợi vợi…<
>Lòng choáng rợn nữa rồi sao chịu nổi!<
>Nỗi buồn lên. Trăng lặn. Hết đêm rồi.<
>Chân đã dợm bước vào ranh giới của xa xôi<
>Và ký ức vội cuống cuồng thâu nhận<
>Hình với tiếng… để biến thành kỷ niệm<
>Đang ở gần đã nhớ lúc gần nhau…<
>Đang ở gần đã nói “một ngày sau…”<
>Ba tiếng “một ngày sau…” nhói đau mà chẳng biết…<
>Như đang nghe đoạn cuối cùng khúc hát<
>Vừa khẽ ngân vừa lặng tắt xa dần…",bảy chữ,https://isach.info/poem.php?poem=khong_de_04__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Không Đề 05,"Cây một vòm xanh trên mái đầu<
>Trăng một vầng cao, đêm một sâu<
>Và mắt một đôi thăm thẳm ngó<
>Buổi tối cuối cùng được thấy nhau…<
>Rồi một mình anh trở lại đây<
>Cũng đến ngồi y một chỗ này<
>Buồn một nỗi buồn không thể vợi<
>Với một vầng trăng một bóng cây…",lục bát,https://isach.info/poem.php?poem=khong_de_05__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Không Đề 06,"Không hy vọng có em về<
>Ra ngồi quán uống cà phê một mình.<
>Trời ơi Sa Đéc buồn tênh<
>Nhớ mong là sóng – ta bềnh bồng trôi.<
>Nhìn bao má phấn son môi<
>Biết không còn gặp lại rồi mắt em…<
>Người ta dọn quán – Ồ đêm!<
>Ngẩn ngơ đứng mãi ngoài thềm – Đi đâu?!<
>Một mình ở dưới trời sâu<
>Buồn như cái thuở ban đầu biết yêu.",lục bát,https://isach.info/poem.php?poem=khong_de_06__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Lục Bát Số 25,"Hôm qua thao thức một đêm<
>Hôm nay hồi hộp chờ em một ngày<
>Thắm vàng nắng dát vườn cây<
>Giữa thu dào dạt nắng đầy nâng niu<
>Lâng lâng sáng chuyển sang chiều<
>Mây dờn man mác trong veo đất trời<
>Trên bàn hoa đợi kém tươi<
>Đường xa chưa đến. Hoa ơi chớ tàn!<
>Bâng khuâng ngồi gõ phím đàn<
>Nghe rơi từng miếng không gian óng buồn",lục bát,https://isach.info/poem.php?poem=luc_bat_so_25__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Lý Qua Cầu,"Bằng lòng đi em…<
>Nhưng má anh đã mất<
>Mịt mù xa Nam – Bắc khó đưa dâu.<
>Bằng lòng đi em…<
>Nữa mai rồi cách mặt<
>Chuyên tâm tình muốn nói dễ chi đâu.<
>Bằng lòng đi em…<
>Dẫu chỉ nhờ câu hát<
>Có chiếc xuồng ba lá của riêng nhau.<
>Bằng lòng đi em…<
>Mỗi khi buồn muốn khóc<
>Một mình anh ca điệu lý qua cầu…",thơ tự do,https://isach.info/poem.php?poem=ly_qua_cau__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Mãi Mãi Ngày Đầu Tiên,"Cần những nhành hoa mới<
>Nở cho anh và em<
>Cần những tuần trăng mới<
>Đưa ta vào trời đêm...<
>Không sa vào thói quen<
>Như những ngày đầu tiên<
>Cần có những hờn dỗi<
>Để nhớ và để quên<
>Cần có những gặng hỏi<
>Để nghi ngờ hờn ghen!<
>Cần những bài ca mới<
>Để hát về niềm tin,<
>Cần những chiều ngóng đợi<
>Cả con đường chờ em...<
>Không sa vào thói quen<
>Ngày qua rồi ngày tới<
>Tốt thêm và đẹp thêm<
>Mãi mãi ngày đầu tiên...",thơ tự do,https://isach.info/poem.php?poem=mai_mai_ngay_dau_tien__be_kien_quoc,Bế Kiến Quốc,hiện đại,
Ngày Kỷ Niệm,"Trong thời gian một đóa ngày đã nở<
>Ngày yêu nhau ngày ấy sẽ không tàn<
>Trên trời cao nguyên vẹn một trăng vàng<
>Giữa cây cành nguyên vẹn nhịp thu sang<
>Ngày anh hứa tặng em những ngày sau nguyên vẹn<
>Ngày yêu nhau ngày ấy sẽ không tàn<
>Và mỗi năm lại một lần hiện lên<
>Ngày kỷ niệm ngày đầu tiên, ngày ấy<
>Cứ trở về (bất chấp mọi nguôi quên)<
>Và cứ nở cho đôi mình cùng hái<
>Lời yêu mến với em anh nhắc lại<
>Cho trời cao nhắc lại một trăng vàng<
>Cho cây cành nhịp thu sang nhắc lại<
>Ngày yêu nhau ngày ấy sẽ không tàn<
>Một đóa ngày thắm nở giữa thời gian.",bảy chữ,https://isach.info/poem.php?poem=ngay_ky_niem__be_kien_quoc,Bế Kiến Quốc,hiện đại,
