title,content,genre,url,author,period,specific_genre
Chỉ Em Và Chiếc Bình Pha Lê Biết,"Em chẳng biết vì sao em yêu anh?<
>Dù bao năm chiếc bình hoa của em không có hoa hồng anh đến cắm<
>Dù những lần chúng ta gặp gỡ<
>Tính bằng tháng năm.<
>Em chẳng biết vì sao em yêu anh<
>Dù chỉ có bông hoa cất từ nước mắt<
>Nở trong lòng em hai chữ vô tình.<
>Và đôi khi một mình hong tóc<
>Em thương chiếc bình hoa của em<
>Chiếc bình pha lê…<
>Gìn giữ nó khó khăn như giữ gìn hạnh phúc<
>Nếu rớt xuống nó sẽ vỡ thành trăm giọt nước mắt…<
>Giọt buồn vui, giọt kiêu hãnh, giọt hiến dâng<
>Nhưng đơn độc làm sao!<
>Để rồi sau những cơn đau<
>Chiếc bình nhẫn nại nở đoá hoa màu tuyệt vọng?<
>Em đã tưới hoa bằng nước mắt của em<
>Điều đó chỉ em và chiếc bình pha lê biết.",thơ tự do,https://isach.info/poem.php?poem=chi_em_va_chiec_binh_pha_le_biet__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Chiều Mưa Nhớ Mẹ,"Canh cánh lòng con tất tưởi một vùng quê<
>Gương mặt mẹ là cánh đồng bão tố<
>Hạt mẩy rời quê hạt lép nằm trong ổ<
>Có rơm vàng ấm tay mẹ chở che<
>Người ta nói con đã quên đường về<
>Và câu thơ đã tắt mùi cỏ dại<
>Cơn mưa chiều không làm con tê tái<
>Về một con đường trơn trượt bấm chân đi<
>Mưa ngoài trời mà sao con ướt mi<
>Con đã khóc vì con đang nhớ mẹ<
>Dẫu không thể, dẫu mưa nhiều mờ lối<
>Triền đê xưa cũng đã nhói hoa vàng<
>Cánh bèo nói gì trong màu tím thở than<
>Những dòng sông cũng dài như số phận<
>Mẹ đừng ngậm ngùi vì con lận đận<
>Những ngả đường chưa biết về đâu<
>Ngôi nhà ấu thơ còn lại chút gì<
>Than đã tắt mà không người cời lửa<
>Rêu đã phủ từng mảng màu vôi vữa<
>Bong xuống tường nhà rơi xuống lòng con<
>Có thể bao năm một thứ duy nhất còn<
>An ủi mẹ là chú mèo tam thể<
>Nó đã quá già nó nương tựa mẹ<
>Trong hiu hắt ngày dài mẹ có nó mà vui<
>Con sẽ sống làm sao nếu một sớm trong đời<
>Người ta nói rằng ta không còn có mẹ<
>Mẹ rất kính yêu! Con là đứa trẻ<
>Tấm lòng mẹ bao dung sẽ dắt con về.",bảy chữ,https://isach.info/poem.php?poem=chieu_mua_nho_me__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Cửa Sổ,"Cửa sổ để em nhìn vào khoảng trống<
>Để mở ra trời nắng<
>Để khép lại trời mưa<
>Và trong những ngày sương mù<
>Em chờ anh gõ cửa<
>Dẫu rằng em không còn anh nữa<
>Hề chi mà buồn với lẽ ở&nbsp;- đi<
>Hề chi mà đau<
>Hề chi mà xa xót<
>Căn phòng em những ngày mộng mị<
>Là những ngày trống vắng niềm tin<
>Ô cửa sổ vẫn sơn màu xanh<
>Vẫn vì anh mà xanh<
>Và trong cơn mưa lá rũ không đành<
>Em ngồi hát lời cây từ cửa sổ<
>Ngay cả lúc nỗi đợi chờ tan vỡ<
>Em nghiêng đời em qua mỗi chấn song<
>Trên trời cao còn có một dòng sông<
>Còn tha thiết yêu một vì sao lạc<
>Em dẫu không còn anh<
>Dẫu là anh đã khác<
>Rồi hư ảo như trời<
>Rồi cứ thế căn phòng vừa khép cửa<
>Người mở lòng ra mà bước tới không cùng",bảy chữ,https://isach.info/poem.php?poem=cua_so__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Đợi,"Vì sao em lại đợi anh?<
>Như người yêu đợi một người yêu<
>Như trời xanh mơ một cánh diều<
>Như người bộ hành mơ về dòng suối mát<
>Thành phố lên đèn và hàng cây đẫm ướt<
>Một đêm hè mỏi mệt<
>Sao em ngồi một mình<
>Thương con tàu sắp sửa rời ga<
>Không nghĩ về anh như một mái nhà<
>Chở che em những ngày mưa nắng<
>Không nghĩ về anh như một bến bờ yên lặng<
>Em con đò sẽ bớt cô đơn<
>Chỉ đợi anh và không nghĩ gì hơn<
>Em đâu cần anh tới<
>Em đâu cần anh nói<
>Và đâu cần anh biết nỗi đợi này<
>Sao em còn ngồi mãi đây?<
>Dằng dặc trên đầu một nỗi niềm chưa tỏ<
>Trăng mười lăm mà lòng em vẫn khuyết<
>Mà ngổn ngang một dải Ngân Hà<
>Anh quá gần và anh quá xa<
>Chỉ ý nghĩ mang hình đôi cánh<
>Em bề bộn trong ngàn lời câm lặng<
>Tháng ngày đi như một tiếng thở dài<
>Như một chiều đè nặng đôi vai<
>Lẽ nào em lại nhớ anh nhiều đến thế?<
>Đôi mắt ấy đừng về trong nỗi buồn sắp vỡ<
>Cho lòng em bớt chút đa đoan.",bảy chữ,https://isach.info/poem.php?poem=doi__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Khi Anh Đi,"Em còn lại một mình<
>Em thừa ra gấp đôi và thiếu đi một nửa<
>Hạnh phúc ơi lầm lạc đến bao giờ<
>Xin anh đừng về trong cơn mơ<
>Mắt em ướt suốt cả thời con gái<
>Khi anh đi em thành loài hoa dại<
>Nở kiệt cùng trong góc một phòng đơn.",bảy chữ,https://isach.info/poem.php?poem=khi_anh_di__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Màu Hoa Không Gửi (ii),"Dù chỉ xôn xao trong lời ru mẹ hát<
>Biết nâng niu giọt mồ hôi đắng chát<
>Hoa bìm ơi trong cát có niềm đau?<
>Mình chẳng gọi tên hoa khi thầm nhớ về nhau<
>Màu tím ấy dễ bầm thành vết cứa<
>Chỉ bâng khuâng bằng loài hoa thắp lửa<
>Mắt bạn nồng nàn cháy giữa tháng năm xa.<
>Những dải âm thầm không gọi là phố xá<
>Mà nỗi buồn vương màu tím tuổi thơ tôi<
>Làm sao yên với khoảng trời mười bảy<
>Khi mười lăm, ngày ấy đã xa rồi?<
>Làm sao nói rằng điều gì đó đang rơi<
>Điều gì đó đang đầy lên thành lo toan, diệu vợi?<
>Làm sao khóc khi kỷ niệm riêng biến thành lời nói dối<
>Không thể gửi về cho bạn một màu hoa?<
>Tôi nâng niu một điều mãi mãi xa<
>Tôi gìn giữ cho tim màu hoa thuở bé<
>Nói giùm nhau điều muôn thuở vẫn là như thế<
>Không thể gửi về cho bạn một miền quê.",thơ tự do,https://isach.info/poem.php?poem=mau_hoa_khong_gui_ii__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Mẹ Ơi Mùa Xuân,"Và con sợ đến mùa giông bão<
>Làng quê hắt hiu nỗi buồn như hoa gạo<
>Rụng âm thầm xuống bến một dòng kênh.<
>Mẹ lái con đò vớt cánh bèo nổi lênh<
>Nghe thấm thía lời khẩn cầu con gái<
>Ngôi nhà nhỏ qua tháng năm dầu dãi<
>Sang mùa mưa thương mẹ trắng đầu.",bảy chữ,https://isach.info/poem.php?poem=me_oi_mua_xuan__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Mối Tình Đầu,"Ngày quắt quay nỗi nhớ<
>Đêm dằng dặc niềm mong<
>Trăng mười lăm đang vỡ<
>Tan vào ta âm thầm<
>Cuối con đường mùa đông<
>Những cột đèn không ngủ<
>Như mắt người năm cũ<
>Còn dư âm đến giờ<
>Người đi như chuyện xưa<
>Không một lần ngoái lại<
>Tháng năm lùi xa mãi<
>Ngỡ chìm vào bình yên<
>Ta ngỡ lòng đã quên<
>Chút tình xưa khờ dại<
>Thế mà dằng dặc đêm<
>Thế mà ngày tê tái<
>Thế mà chân đi mãi<
>Không qua mối tình đầu.",thơ tự do,https://isach.info/poem.php?poem=moi_tinh_dau__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Một Đoá Hoa Vàng,"Và trước nhà em cây khế chín<
>Đàn chim náo nức tìm về<
>Em đã cô đơn những ngày không bạn bè<
>Không phố xá và anh không đến nữa<
>Mùa đã mới mà nỗi buồn vẫn cũ<
>Lòng tan hoang như ô cửa gió lùa<
>Những cột đèn nhòe đi trong mưa<
>Đã đơn độc băng qua nhiều năm tháng<
>Đã chờ đợi hồn nhiên như một đóa hoa vàng<
>Em đã mặc lòng trong mưa gió<
>Đêm tràn vào phòng em<
>Đêm dày như nỗi nhớ<
>Em mường tượng những nẻo đường đã cũ<
>Bàn chân người bước thấp bước cao<
>Chúng mình chưa từng nói với nhau về một bức tường rào<
>Mà năm tháng cứ dần xây thành lũy<
>Đã từng nghĩ chia ly chỉ là cơn mộng mị<
>Mà sao hôm nay quá thật nỗi buồn này<
>Em biết làm gì khi mùa đã giăng mây<
>Những góc phố dài thêm<
>Con chim trú mưa trước hiên nhà nhìn em<
>Lẽ nào em lại khóc<
>Bài thơ dở dang hai chữ một mình…",bảy chữ,https://isach.info/poem.php?poem=mot_doa_hoa_vang__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
Một Ngày,"Như là một người điên<
>Phải đi cho tới<
>Những miền rất xa",thơ tự do,https://isach.info/poem.php?poem=mot_ngay__binh_nguyen_trang,Bình Nguyên Trang,hiện đại,
