title,content,genre,url,author,period,specific_genre
Ai Đi Tu,"Trời sầu đất muộn thế ru<
>Ban đầu em đã đi tu vội vàng<
>Chân trời oán hận tràn lan<
>Lỗi từ phương trượng u hàn niềm hoa<
>Bây giờ ngó lại người ta<
>Gẫm rằng thiên hạ ai là đi tu.",lục bát,https://isach.info/poem.php?poem=ai_di_tu__bui_giang,Bùi Giáng,hiện đại,
Anh Lùa Bò Vào Đồi Sim Trái Chín,"Anh lùa bò vào đồi sim trái chín<
>Cho bò ăn cỏ giữa rừng sim<
>Anh nhìn lên trời xanh đỏ chín<
>Anh ngó bốn bề cây lá gió rung rinh<
>Anh nằm xuống để nhìn lên cho thỏa<
>Anh thấy lòng mở rộng đón trời xanh<
>Chim ngây ngất vào trong đôi mắt lả<
>Anh lim dim cho chết lịm hồn mình<
>Anh quên mất bò đương gặm cỏ<
>Anh chỉ nghe tiếng cỏ rì rào<
>Có hay không? Bò đương gặm đó?<
>Hay là đây tiếng gió thì thào?<
>Hay là đây tiếng suối lao xao<
>Giữa giòng cỏ xuôi ghềnh chảy xuống?<
>Mùi thoang thoảng lách lau sương đượm<
>Mùi gây gây gấy gấy của hương rừng<
>Mùi lên men phủ ngập mông lung<
>Không biết nữa mà cần chi biết nữa<
>Cây lá bốn bên song song từng lứa<
>Sánh đôi nhau như ứa lệ ngàn ngàn<
>Hạnh phúc trời với đất mang mang<
>Với bò giữa rừng hoang đương gặm cỏ<
>Với người ngó ngất ngây đương nằm đó<
>Không biết trời đất có ngó mình không<
>Vĩnh Trinh - Thạch Bàn 1950",bảy chữ,https://isach.info/poem.php?poem=anh_lua_bo_vao_doi_sim_trai_chin__bui_giang,Bùi Giáng,hiện đại,
Anh Sực Nhớ,"Anh sực nhớ Sơn Chà Phường Rạnh<
>Anh sực nghe mưa tạnh gió chiều<
>Hoàng hôn trút mộng hoang liêu<
>Sông dài biển rộng ngọn triều đang dâng<
>Mà em ở cô đơn khóm trúc<
>Một xóm làng hiu hắt xa xôi<
>Anh mang nhung nhớ cuối trời<
>Ngóng về thôn ổ đầu đời quạnh hiu<
>Anh biết rõ từ chiều qua sớm<
>Sớm chiều em vui chớm chợt buồn<
>Một mình nhìn bóng sương buông<
>Vui là vui gượng yêu thương đau ngầm<
>Cũng có lúc sương đầm lá cỏ<
>Gió vi vu bày tỏ nỗi niềm<
>Mỉm cười môi thắm mắt tiên<
>Niềm vui rất mực thuyền quyên muôn đời<
>Anh ướm hỏi rồi thôi không dám<
>Quen thân gì mà gạn gùng gì<
>Thõng tay chân bước bước đi<
>Buồn tênh niệm tưởng nhu mỳ giai nhân",lục bát,https://isach.info/poem.php?poem=anh_suc_nho__bui_giang,Bùi Giáng,hiện đại,
Anh Và Em Vào Rừng,"Vào rừng nhặt củi cùng em<
>Đói lòng ăn đỡ trái sim, hột chà là<
>Khát lòng uống suối ngọc ngà<
>Trưa chói chang nắng suối ngà tắm chơi<
>Rồi đến lúc nắng chiều trời xế<
>Củi bó rồi, bệ vệ đưa vai<
>Nâng lên, lưng thẳng, dặm dài<
>Xuống rừng kĩu kịt miệt mài về thôn<
>Em bước trước , bồn chồn ngoảnh lại<
>Anh đi sau gánh trái vai đau<
>Nhìn anh nhăn nhó mệt đừ<
>Ghé vai em bảo hãy nhường cho em",lục bát,https://isach.info/poem.php?poem=anh_va_em_vao_rung__bui_giang,Bùi Giáng,hiện đại,
Áo Xanh,"Lên mù sương xuống mù sương<
>Bước xa bờ cỏ xa đường thương yêu<
>Tuổi thơ em có buồn nhiều<
>Hãy xin cứ để bóng chiều bay qua<
>Biển dâu sực tỉnh giang hà<
>Còn sơ nguyên mộng sau tà áo xanh",lục bát,https://isach.info/poem.php?poem=ao_xanh__bui_giang,Bùi Giáng,hiện đại,
Bao Giờ,"Bằng bút chì đen<
>Tôi chép bài thơ<
>Trên tường vôi trắng<
>Bằng bút chì trắng<
>Tôi chép bài thơ<
>Trên lá lục hồng<
>Bằng cục than hồng<
>Tôi đốt bài thơ<
>Từng phút từng giờ<
>Tôi cười tôi khóc bâng quơ<
>Người nghe người khóc có ngờ chi không.",thơ tự do,https://isach.info/poem.php?poem=bao_gio__bui_giang,Bùi Giáng,hiện đại,
Bé Con Ơi,"Rong rêu ngày tháng rong chơi<
>Tìm xuân tinh thể chốn nơi nào là<
>Hồn nhiên như thể như là hài nhi?<
>Chiêm bao tóc thuận tơ tùy<
>Tồn sinh nặng nhọc nhu mỳ ở đâu<
>Ngữ ngôn khép kín mặc dầu<
>Hùng tâm tim máu óc đầu mở ra<
>Dịu dàng cuối lá đầu hoa<
>Mười về châu lệ chín sa dòng dòng<
>Miêu Cương mạc ngoại hoài mong<
>Hồng hoang chíb bệ tấm lòng đầu thai<
>Mùa xuân hiện giữa ngàn mai<
>Nguyên hình Nữ Chúa trên ngày phù du.",bảy chữ,https://isach.info/poem.php?poem=be_con_oi__bui_giang,Bùi Giáng,hiện đại,
Bờ Lúa,"Em chết trên bờ lúa<
>Để lại trên đường mòn<
>Một dấu chân bước của<
>Một bàn chân bé con<
>Anh qua miền cao nguyên<
>Nhìn mây trời bữa nọ<
>Đêm cuồng mưa khóc điên<
>Trăng cuồng mưa trốn gió<
>Mười năm sau xuống ruộng<
>Đếm lại lúa bờ liền<
>Máu trong mình mòn ruỗng<
>Xương trong mình rã riêng<
>Anh đi về đô hội<
>Ngó phố thị mơ màng<
>Anh vùi thân trong tội lỗi<
>Chợt đêm nào gió bờ nọ bay sang",thơ tự do,https://isach.info/poem.php?poem=bo_lua__bui_giang,Bùi Giáng,hiện đại,
Bờ Xuân,"Thơ - Bờ Xuân - Bùi Giáng<
>Nguyễn Nhật Ánh<
>Hoàng Thu Dung<
>Nguyễn Ngọc Tư<
>Quỳnh Dao<
>Hồ Biểu Chánh<
>Cổ Long<
>Ngọa Long Sinh<
>Ngã Cật Tây Hồng Thị<
>Trần Thanh Vân<
>Trung Nghị<
>Thu Hiền<
>Bá Trung<
>Mạnh Linh<
>Bạch Lý<
>Hướng Dương<
>Dương Liễu<
>Ngô Hồng<
>Ngọc Hân<
>Phương Minh<
>Shep O’Neal<
>Hồi Ký<
>Tùy But<
>Thơ ▼<
>Nguyễn Bính<
>Hồ Xuân Hương<
>Trần Đăng Khoa<
>Phùng Quán<
>Xuân Diệu<
>Lưu Trọng Lư<
>Tố Hữu<
>Xuân Quỳnh<
>Nguyễn Khoa Điềm<
>Vũ Hoàng Chương<
>Hàn Mặc Tử<
>Huy Cận<
>Bùi Giáng<
>Hồ Dzếnh<
>Trần Quốc Hoàn<
>Bùi Chí Vinh<
>Lưu Quang Vũ<
>Bảo Cường<
>Nguyên Sa<
>Tế Hanh<
>Hữu Thỉnh<
>Thế Lữ<
>Hoàng Cầm<
>Đỗ Trung Quân<
>Chế Lan Viên<
>Trịnh Công Sơn<
>Quốc Bảo<
>Phạm Duy<
>Anh Bằng<
>Võ Tá Hân<
>Hoàng Trọng<
>Trầm Tử Thiêng<
>Lương Bằng Quang<
>Song Ngọc<
>Hoàng Thi Thơ<
>Trần Thiện Thanh<
>Thái Thịnh<
>Phương Uyên<
>Khánh Ly<
>Cẩm Ly<
>Hương Lan<
>Như Quỳnh<
>Đan Trường<
>Lam Trường<
>Đàm Vĩnh Hưng<
>Minh Tuyết<
>Tuấn Ngọc<
>Trường Vũ<
>Quang Dũng<
>Mỹ Tâm<
>Bảo Yến<
>Toán Học<
>Tiếng Anh<
>Tin Học<
>Âm Nhạc<
>Bờ Xuân<
>Bùi Giáng<
>Ánh sáng xa đâu gió cây mù mịt trăng trời vòng cửa khép tiếng sóng vỗ ngoài linh hồn lạc bước người em người chị người bạn người thù ngồi lại bên nhau<
>Vào sâu không đợi nữa mong chờ từ buổi đó nhầm lẫn rách nát xương da. Nhìn không nhớ mặt vui buồn ganh nặng đá và vàng son và phấn bên tơi bời cát bụi em ồ em! xin nắm lại bàn tay<
>Bữa trước đi đâu ngày sau úa cỏ bờ tràng giang im lặng gió thổi từ đầu non ải người lưng ngựa yên cương hố thẳm vùi thây<
>Bữa trước đi đâu chạy nhìn không thấy chân và chân gối và gối xương mỏi mệt trong một ngàn nhịp bước trao lại cha ông. Một ngàn. Trăng xanh đầu núi đếm lại giùm người nhắc lại với con<
>Ai ngồi một trăm vòng quay xa biết mấy đêm dài. Ngọn đèn dầu khóc sáng và chiều em chạy bên hàng ngò bụi ớt luống cải nắng hồng vào trong tóc không khuây. Mùa xuân bữa trước mùa xuân bữa sau mùa xuân bốn bên trong hiện tại vây hãm tấn công đời hạnh phúc lạnh như băng không làm sao nhúc nhích<
>Nắm hai bàn tay lại khi một trời sao đỏ lấm tấm đập cánh bay qua",thơ tự do,https://isach.info/poem.php?poem=bo_xuan__bui_giang,Bùi Giáng,hiện đại,
Bữa Nay Ruộng Nhớ,"Ruộng đồng mọc lúa<
>Ruộng đồng mọc lúa quanh năm<
>Em về đại lộc tôi nằm Bình Dương<
>K ra hai nẻo lộn đưng<
>Sầu riêng châu chấu một nưng năm xưa<
>Ruộng đồng không mọc<
>Ruộng đồng không mọc lúa mùa<
>Từ hôm cánh tr¡ng cò lưa tiếng buồn<
>Đêm nào nhỏ giọt khe mương<
>Đêm này rớt hột mù sương bây giờ.<
>Bữa nay ruộng nhớ<
>Bữa nay ruộng nhớ lưng tri<
>Thông ngàn lũng tạ núi ngồi chiêm bao<
>Ra đi mang hận hội nào<
>Cổng xô còn vọng điệu chào bay ngang.",bảy chữ,https://isach.info/poem.php?poem=bua_nay_ruong_nho__bui_giang,Bùi Giáng,hiện đại,
