title,content,genre,url,author,period,specific_genre
Ai Tôi!,"Mậu Thân 2.000 người xuống đồng bằng<
>Chỉ một đêm, còn sống có 30<
>Ai chịu trách nhiệm về cái chết 2.000 người đó?<
>Tôi - người viết những câu thơ cổ võ<
>Ca tụng người không tiếc mạng mình<
>trong mọi cuộc xung phong.<
>Một trong ba mươi người kia ở mặt trận về sau mười năm<
>Ngồi bán quán bên đường nuôi đàn con nhỏ<
>Quán treo huân chương đầy, mọi cỡ,<
>Chả huân chương nào nuôi được người lính cũ!<
>Ai chịu trách nhiệm vậy?<
>Lại chính là tôi!<
>Người lính cần một câu thơ giải đáp về đời,",thơ tự do,https://isach.info/poem.php?poem=ai_toi__che_lan_vien,Chế Lan Viên,hiện đại,
Bác,"Là chân lý,Bác chẳng nói nhiều hơn chân lí<
>Cả nước nghe khi,im lặng,Bác cười.<
>Chẳng phải lật sách nào ra tìm hiểu Bác,<
>Bác sống trong ta,Bác ở giữa đời.",bảy chữ,https://isach.info/poem.php?poem=bac__che_lan_vien,Chế Lan Viên,hiện đại,
Bánh Vẽ,"Bảo anh không còn có khả năng nhai<
>Và đưa anh từ nay ra khỏi tiệc...<
>Thế thì đâu còn dịp nhai thứ thiệt?<
>Rốt cuộc anh lại ngồi vào bàn<
>Như không có gì xảy ra hết<
>Và những người khác thấy anh ngồi,<
>Họ cũng ngồi thôi",bảy chữ,https://isach.info/poem.php?poem=banh_ve__che_lan_vien,Chế Lan Viên,hiện đại,
Bình Đựng Lệ,"Tôi từ xứ lắm bom<
>Giáp mặt nghìn lần cùng cái chết<
>Đứng trước chiếc bình con<
>Vẫn cứ bàng hoàng<
>Ồ! Ta đã nghe rao giảng về hư vô<
>Tro tàn, gió rét.<
>Ăn miếng buồn trong thơ<
>Uống nỗi đau ở triết,<
>Ờ, thế mà chả có gì mất hết<
>Chiếc bình kia vẫn còn<
>Vỏ ốc hóa vôi<
>Rễ cây bám bình hóa thạch<
>Nét hoa văn vẫn cười.<
>Dù hoa chỉ một ngày<
>Dù sóng kia vạn tuổi<
>Dù đời nhiều chuyện rủi<
>Mà rất nghèo cơ may<
>Chiếc bình xưa vẫn đó<
>Người này vứt để quên<
>Người kia cầm lại nhớ<
>Thời này dù vứt bỏ<
>Thì thời kia nhặt lên.",thơ tự do,https://isach.info/poem.php?poem=binh_dung_le__che_lan_vien,Chế Lan Viên,hiện đại,
Bữa Cơm Thường Trong Bản Nhỏ,"Từ có Bác cuộc đời chợt sáng<
>Bát cơm no ngày tám tháng ba<
>Cơm thơm ăn với cá kho<
>Công đức Bác Hồ bản nhớ nghìn năm<
>Bác thương dân chăm ăn chăm mặc<
>Em đi chợ đồng bằng bán hạt sa nhân.<
>Tháng giêng thêu áo,may quần,<
>Tháng hai trảy hội mừa xuân hãy còn<
>Lớp bình dân cuối thôn em học<
>Người thêm khô đất mọc thêm hoa<
>Chim khôn chim múa,chim ca<
>Bản em có Bác như nhà có trăng<
>Muối lên rừng tay bưng tay đặt<
>Bộ đội Bác lên rừng công tác em thương,<
>Khi xưa lên núi không đường<
>Giờ anh lên núi bản Mường đợi anh<
>Ra vườn xanh hái nhành vải đỏ,<
>Xuống ruộng vàng gặt bó lúa hương<
>Ngày vui nấu bữa cơm thường<
>Thết anh cán bộ lên Mường giúp dân.",lục bát,https://isach.info/poem.php?poem=bua_com_thuong_trong_ban_nho__che_lan_vien,Chế Lan Viên,hiện đại,
Các Mùa Hoa,"Thôi không còn chờ mùa hoa phía trước<
>Mà ngoái đầu nhẩm lại các mùa hoa phía sau<
>Đấy là quy luật<
>Nhận mà không đau<
>Nhớ từ mùa hoa trong vườn mẹ<
>Lúc ấy là mai hay đào?<
>Lại nhớ mùa hoa xoan xứ Huế<
>Màu ngọc hồng trong chiêm bao…<
>Thôi cho ta khỏi đếm từng mùa hoa một<
>Ta có còn nó đâu?<
>Không phải hoa khuất mà ta khuất<
>Ta đi vào xứ không màu.<
>Cảm ơn một mùa ở trên trái đất<
>Cái hành tinh không vắng lặng giữa thiên hà<
>Không phải chỉ vì có hơi người ấm áp<
>Mà vì còn có các mùa hoa.<
>Dù là một chiếc hoa dại hoa vườn nhỏ nhặt<
>Ở trong cõi không màu, ta vẫn thấy nó từ xa.",bảy chữ,https://isach.info/poem.php?poem=cac_mua_hoa__che_lan_vien,Chế Lan Viên,hiện đại,
Cái Sọ Người,"Này chiếc sọ người kia, mi hỡi!<
>Dưới làn xương mỏng mảnh của đầu mi;<
>Mi nhớ gì, tưởng gì trong đêm tối?<
>Mi trông mong ao ước những điều chi?<
>Mi nhớ đến cảnh pháp trường ghê rợn<
>Sọ muôn người lần lượt đuổi nhau rơi?<
>Hay mi nhớ những đêm mờ rùng rợn<
>Hồn mi bay trong đốm lửa ma trơi?<
>Có tìm chăng, những chiều không tiếng gió,<
>Của người mi thi thể rữa tan rồi?<
>Có tưởng lại mảnh hồn mi đau khổ<
>Đang lạc loài trong Cõi Chết xa xôi?<
>Hỡi chiếc sọ, ta vô cùng rồ dại<
>Muốn giết ta trong sức mạnh tay ta!<
>Để những giọt máu đào còn đọng lại<
>Theo hồn ta, tuôn chảy những lời thơ.<
>Ta muốn cắn mi ra từng mảnh nhỏ!<
>Muốn điên cuồng nuốt cả khối xương khô!<
>Để nếm lại cả một thời xưa cũ<
>Cả một dòng năm tháng đã trôi xa!",bảy chữ,https://isach.info/poem.php?poem=cai_so_nguoi__che_lan_vien,Chế Lan Viên,hiện đại,
Canh Cá Tràu,"Canh cá tràu mẹ thường hay nấu khế<
>Khế trong vườn thêm một tý rau thơm<
>Ừ,thế đó mà một đời xa cách mẹ<
>Ba mươi năm trở lại nhà,nước mắt xuống mâm cơm!",bảy chữ,https://isach.info/poem.php?poem=canh_ca_trau__che_lan_vien,Chế Lan Viên,hiện đại,
Cành Đào Nguyễn Huệ,"Hẳn nhớ Thăng Long,hẳn nhớ đào?<
>Mai vàng xứ Huế có khuây đâu?<
>Đào phi theo ngựa về cung nhé!<
>Nở cạnh đài gương sắc chiến bào.",lục bát,https://isach.info/poem.php?poem=canh_dao_nguyen_hue__che_lan_vien,Chế Lan Viên,hiện đại,
Cháo Vịt,"Vịt gầy chưa đầy cân<
>Làm thịt ngày dân đói<
>Bữa ăn không tiếng nói<
>Cả nhà im mà ăn.",thơ tự do,https://isach.info/poem.php?poem=chao_vit__che_lan_vien,Chế Lan Viên,hiện đại,
Chia,"Tôi còn cái xác không hồn<
>Cái chai không rượu tôi còn vỏ chai<
>Chia cho em một đời say",lục bát,https://isach.info/poem.php?poem=chia__che_lan_vien,Chế Lan Viên,hiện đại,
Chơi,"Ở đâu chơi chiến tranh, chơi cờ, chơi cờ người, chơi cờ giết người...<
>Chơi những cuộc giết người cắm cờ,<
>Chơi bi, chơi bi-a, chơi bi kịch, bi thảm...<
>Chơi phong cảnh, chơi non bộ, chơi làm bộ...<
>Ở đây chơi chữ<
>Đem chữ ra mà chơi<
>Chữ trá hình đang là ta nó, hoá ra mình<
>Chữ đa nghĩa ở bên bờ vô nghĩa<
>Để (1)trò chơi ấy<
>Những kẻ đã sống thật, đem đời mình thật<
>Ra mà chơi trong chữ<
>Đầu chơi, sau thật<
>Vờ khóc cho thiên hạ khóc<
>Hoá ta mình là người đau nhất<
>Chơi cười, để cho thiên hạ cười<
>Thiên hạ chả thèm cười<
>Mình bày trò nên cứ phải cười liên thiêng, liên tiếp, liên hồi...<
>Không thể ngừng chơi.",thơ tự do,https://isach.info/poem.php?poem=choi__che_lan_vien,Chế Lan Viên,hiện đại,
Chùm Nhỏ Thơ Yêu,"Anh cách em như đất liền xa cách bể<
>Nửa đêm sâu nằm lắng sóng phương em<
>Em thân thuộc sao thành xa lạ thế<
>Sắp gặp em rồi, sóng lại đẩy xa thêm<
>Anh không ngủ. Phải vì em đang nhớ<
>Một trời sao rực cháy giữa đôi ta<
>Em nhắm mắt cho lòng anh lộng gió<
>Cho trời sao yên rụng một đêm hoa.",bảy chữ,https://isach.info/poem.php?poem=chum_nho_tho_yeu__che_lan_vien,Chế Lan Viên,hiện đại,
Cờ,"Anh và bóng anh<
>Anh và bóng em<
>Anh và số phận<
>Anh đi một bước, nó đi một bước<
>Anh đi con mã, nó đi con xe<
>Anh ghềnh con sĩ, nó xơi con tốt<
>Chả còn biết ai sau, ai trước<
>Ăn, chả bao giờ ăn luôn<
>Mà lỡ thua thì thua tuốt<
>Đẩy cờ anh vào những thế chênh vênh<
>Chiếu tướng thình lình<
>Mà chẳng ai đến cùng anh",bảy chữ,https://isach.info/poem.php?poem=co__che_lan_vien,Chế Lan Viên,hiện đại,
Cờ Lau Đinh Bộ Lĩnh,"Về với con trâu nghé ngọ<
>Có cặp sừng bỡ ngỡ<
>Chiều buồn không nghe hồn lau gọi nữa<
>Xe tiếng gió xạc xào<
>Xa mùi bùn, mùi trâu, rơm rạ…<
>Chỉ nghe danh vọng ầm ào<
>Vinh quang xí xố<
>Hoa Lư ở đâu?<
>Hoa lau ở đâu?<
>Hồn lau ở đâu?<
>Hồn ta ở đâu?",thơ tự do,https://isach.info/poem.php?poem=co_lau_dinh_bo_linh__che_lan_vien,Chế Lan Viên,hiện đại,
Con Cò,"Con còn bế trên tay<
>Con chưa biết con cò<
>Nhưng trong lời mẹ hát<
>Có cánh cò đang bay:<
>“Con cò bay la<
>Con cò bay lả<
>Con cò Cổng Phủ,<
>Con cò Đồng Đăng…”<
>Cò một mình, cò phải kiếm lấy ăn,<
>Con có mẹ, con chơi rồi lại ngủ.<
>“Con cò ăn đêm,<
>Con cò xa tổ,<
>Cò gặp cành mềm,<
>Cò sợ xáo măng…”<
>Ngủ yên! Ngủ yên! Cò ơi, chớ sợ!<
>Cành có mềm, mẹ đã sẵn tay nâng!<
>Trong lời ru của mẹ thấm hơi xuân,<
>Con chưa biết con cò, con vạc,<
>Con chưa biết những cành mềm mẹ hát,<
>Sữa mẹ nhiều, con ngủ chẳng phân vân.<
>Ngủ yên! Ngủ yên! Ngủ yên!<
>Cho cò trắng đến làm quen,<
>Cò đứng ở quanh nôi<
>Rồi cò vào trong tổ<
>Con ngủ yên thì cò cũng ngủ,<
>Cánh của cò, hai đứa đắp chung đôi.<
>Mai khôn lớn, con theo cò đi học,<
>Cánh trắng cò bay theo gót đôi chân.<
>Lớn lên, lớn lên, lớn lên…",bảy chữ,https://isach.info/poem.php?poem=con_co__che_lan_vien,Chế Lan Viên,hiện đại,
Côn Sơn,"Côn Sơn thơm mùi hoa dại<
>Thơm từ thời Nguyễn Trãi đến thời ta<
>Giữa trưa vắng trắng ngời chân núi<
>Như oan khiên lọc rồi nay đã kết thành hoa.",bảy chữ,https://isach.info/poem.php?poem=con_son__che_lan_vien,Chế Lan Viên,hiện đại,
Đêm Tàn,"Ta cùng nàng nhìn nhau không tiếng nói<
>Sợ lời thay lay đổ cả đêm thâu<
>Đôi hơi thở tìm nhau trong bóng tối<
>Để linh hồn chìm đắm bể u sầu<
>""Chiêm nương ơi,cười lên đi em hỡi!<
>Cho lòng anh quên một phút buồn lo<
>Nhìn chi em chân trời xa vời vợi<
>Nhớ chi em sầu hận nước Chàm ta?<
>Này,em trông một vì sao đang rụng<
>Hãy nghiên mình mà tránh đi,nghe em!<
>Chắc có lẽ linh hồn ta lay động<
>Khi vội vàng trở lại nước non Chiêm""<
>Lời chưa dứt,bóng đêm đã vụt biến!<
>Tình chưa nồng đã sắp phải phôi phai!<
>Trên trần gian vần ô kia đã đến<
>Gỡ hồn nàng ra khỏi mảnh hồn ta",bảy chữ,https://isach.info/poem.php?poem=dem_tan__che_lan_vien,Chế Lan Viên,hiện đại,
Đêm Tập Kết,"Gà ơi đừng gáy vội<
>Tinh mơ là xuống tàu<
>Ta đi thì địch tới<
>Gà ơi,mày nỡ sao?",thơ tự do,https://isach.info/poem.php?poem=dem_tap_ket__che_lan_vien,Chế Lan Viên,hiện đại,
Đêm Xuân Sầu,"Thơ - Đêm Xuân Sầu - Chế Lan Viên<
>Nguyễn Nhật Ánh<
>Hoàng Thu Dung<
>Nguyễn Ngọc Tư<
>Quỳnh Dao<
>Hồ Biểu Chánh<
>Cổ Long<
>Ngọa Long Sinh<
>Ngã Cật Tây Hồng Thị<
>Trần Thanh Vân<
>Trung Nghị<
>Thu Hiền<
>Bá Trung<
>Mạnh Linh<
>Bạch Lý<
>Hướng Dương<
>Dương Liễu<
>Ngô Hồng<
>Ngọc Hân<
>Phương Minh<
>Shep O’Neal<
>Hồi Ký<
>Tùy But<
>Thơ ▼<
>Nguyễn Bính<
>Hồ Xuân Hương<
>Trần Đăng Khoa<
>Phùng Quán<
>Xuân Diệu<
>Lưu Trọng Lư<
>Tố Hữu<
>Xuân Quỳnh<
>Nguyễn Khoa Điềm<
>Vũ Hoàng Chương<
>Hàn Mặc Tử<
>Huy Cận<
>Bùi Giáng<
>Hồ Dzếnh<
>Trần Quốc Hoàn<
>Bùi Chí Vinh<
>Lưu Quang Vũ<
>Bảo Cường<
>Nguyên Sa<
>Tế Hanh<
>Hữu Thỉnh<
>Thế Lữ<
>Hoàng Cầm<
>Đỗ Trung Quân<
>Chế Lan Viên<
>Trịnh Công Sơn<
>Quốc Bảo<
>Phạm Duy<
>Anh Bằng<
>Võ Tá Hân<
>Hoàng Trọng<
>Trầm Tử Thiêng<
>Lương Bằng Quang<
>Song Ngọc<
>Hoàng Thi Thơ<
>Trần Thiện Thanh<
>Thái Thịnh<
>Phương Uyên<
>Khánh Ly<
>Cẩm Ly<
>Hương Lan<
>Như Quỳnh<
>Đan Trường<
>Lam Trường<
>Đàm Vĩnh Hưng<
>Minh Tuyết<
>Tuấn Ngọc<
>Trường Vũ<
>Quang Dũng<
>Mỹ Tâm<
>Bảo Yến<
>Toán Học<
>Tiếng Anh<
>Tin Học<
>Âm Nhạc<
>Đêm Xuân Sầu<
>Chế Lan Viên<
>Trời xuân vắng, cỏ cây rên xào xạc Bóng đêm luôn hoảng hốt mãi không thôi. Gió xuân lạnh, ngàn sâu, thời ca hát Trăng xuân sầu, sao héo, cũng thôi cười. Trên đồi lạnh, Tháp Chàm sao ủ rũ Hay hận xưa muôn thủa vẫn chưa nguôi? Hay lãnh đạm, Hời không về Tháp cũ, Hay xuân sang, Chiêm nữ chẳng vui cười? Bên Tháp Vắng, còn người thi-sĩ hỡi, Sao không lên tiếng hát đi ngươi ơi? Mà buồn-bã, âu-sầu trong đêm tối, Ngươi vẫn nằm há miệng đớp sao rơi? Nguồn: Trần Tuấn Kiệt - Thi Ca Việt Nam Hiện Ðại 1880-1965, nxb Khai Trí, Saigon, 6-1967",thơ tự do,https://isach.info/poem.php?poem=dem_xuan_sau__che_lan_vien,Chế Lan Viên,hiện đại,
Điệu Nhạc Điên Cuồng,"Hầu ran nóng, lửa hồng bừng cháy mắt<
>Máu nồng tươi lay vỡ cả thành tim<
>Ðâu điệu nhạc điên cuồng ta khao khát<
>Chẳng vang lên tràn ngập suối träng êm?<
>Ðêm mau đây, chiếc sọ dừa ứ huyết<
>Chiếc xương khô rợn trắng khí tinh anh!<
>Và rót mau trong hồn ta tê liệt<
>Những nguồn mơ rồ dại, hỡi yêu tinh!<
>Ta sẽ nhịp khớp xương lên đỉnh sọ<
>Ta sẽ ca những giọng của Hồn Ðiên<
>Ðể máu cạn, hồn tàn, tim tan vỡ<
>Ðể trôi đi ngày tháng nặng ưu phiền!<
>Ðể hưởng lấy một giờ không tục lụy<
>Ðể uống vào một phút chết say sưa!<
>Nhạc trần gian khôn vui hồn quạnh quẽ<
>Rượu trần gian gây nhớ vết thương xưa.",bảy chữ,https://isach.info/poem.php?poem=dieu_nhac_dien_cuong__che_lan_vien,Chế Lan Viên,hiện đại,
