title,content,genre,url,author,period,specific_genre
Chưa Bao Giờ Buồn Thế,"Lên xe tiễn em đi<
>Chưa bao giờ buồn thế<
>Trời mùa đông Paris<
>Suốt đời làm chia ly<
>Tiễn em về xứ mẹ<
>Anh nói bằng chiếc hôn<
>Không có gì lâu hơn<
>Một trăm ngày xa cách<
>Ga Lyon đèn vàng<
>Tuyết rơi buồn mênh mang<
>Cầm tay em muốn khóc<
>Nói chi cũng muộn màng<
>Hôn nhau phút này<
>Rồi chia tay tức khắc",thơ tự do,https://isach.info/poem.php?poem=chua_bao_gio_buon_the__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Chúc Thư Của Một Người Lính Vô Danh,"Nếu ngày mai say mùi thuốc súng<
>Tôi miên du trong mưa đạn<
>Phiến ngực gầy làm tấm khiên che<
>Thân bung tung như xác pháo<
>Theo nhịp cười rồ dại cỗ liên thanh<
>Của một xạ thủ nằm rình<
>Bên chiến hào đối mặt<
>Hắn cũng như tôi<
>Đang say mùi thuốc súng<
>Mùi mê yên mị dược<
>Đánh thuốc lú hồn ta<
>Đang vô thức miên du<
>Trước khổ đau đồng loại<
>Nếu vì cuồng vọng một người<
>Một triệu người phải ngã xuống<
>Vải tang sô không đủ để quấn đầu<
>Muộn sầu triệu nàng goá phụ<
>Vật vờ triệu mụn con côi<
>Tôi xin các người đừng đến cúi đầu mặc niệm<
>Tỏ tiếc vong linh người chồng / cha vắn số<
>Rồi ra về ngồi kí lệnh trưng quân<
>Lấy thịt đồng bào làm mồi cho súng ngoại<
>Bởi giết chóc này vô luân và phi lí<
>Chân lí không hồng, cứu cánh không xanh<
>Tôi muốn ngã xuống máu trắng<
>Trên một lằn ranh màu trắng<
>Nếu ngày mai giữa khói lửa đỏ rực trời<
>Tôi bị hút vào từ trường phía trước<
>Viên đạn nào vô giác xoáy đầu tôi<
>Xin các người đừng làm trò thiểu não<
>Đặt vòng hoa phúng điếu, phân ưu<
>Biểu dương công trạng trước quân kì<
>Bởi mạng Việt Nam các người coi rẻ rúng<
>Tấm bạt thô phủ vội xác gầy gùa<
>Khách bộ hành hấp tấp bước băng qua",bảy chữ,https://isach.info/poem.php?poem=chuc_thu_cua_mot_nguoi_linh_vo_danh__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Khoảng Cách,"Dịch tễ nào cấm cố người thân<
>Ðồng thuyền mà cách xa khôn tả<
>Biệt ly nội trú ở ngay hồn<
>Kẻ lữ thứ thường xuyên chung chạ<
>Ta đi lạ lẫm gót minh lương<
>Chiếc bóng đeo lưng khắp dặm trường<
>Có một đi xa nào chẳng rớm<
>Ngỡ ngàng đôi chút phiêu-lưu-vong<
>Ngay từ lúc bước trượt ra ta<
>Ðiểm bất quy hồi đã vượt qua<
>Khoảng cách ngàn ngàn năm lãng đãng<
>Còn đi cầu khất một ngôi nhà<
>Con tàu khởi động đã từ lâu<
>Nên chuyến ra đi lại lỡ tàu<
>Ta ở lại lần mò bất động<
>Vẽ đồ trình ngược bến xa sâu<
>Bớt khoảng cách li ta quá đỗi<
>Hâm hơ hồn buốt nám thiên thu<
>Chầy khua mõ gõ vòm vong ức<
>Thoáng gợn lâm râm váng nước",lục bát,https://isach.info/poem.php?poem=khoang_cach__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Mùa Thu Paris,"Tràn dâng đôi mi<
>Người em gác trọ<
>Sang anh, gót nhỏ thầm thì<
>Mùa thu không lời<
>Son nhạt đôi môi<
>Em buồn trở lại<
>Hờn quên, hối cải cuộc đời<
>Mùa thu! mùa thu<
>Mây trời âm u<
>Yêu người độ lượng<
>Trông em tâm tưởng, giam tù<
>Mùa thu!... Trời ơi! Tình thu!",thơ tự do,https://isach.info/poem.php?poem=mua_thu_paris__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Núi Nhớ,"Chiều đầu sông ngóng cuối sông<
>Quê ai một rẻo lau bồng lẻ loi<
>Nước nguồn cuốn lá nguồn trôi<
>Thừng côi cút buộc thuyền côi cút bờ<
>Bơ vơ này níu bơ vơ<
>Kia mây núi vấn mây chờ nẻo mây<
>Nhớ khôn nguôi với dặm dài<
>Trước sau cách một miêm trường<
>Còn chong đèn nhỏ lửa giường nhớ nhung<
>Nhớ vời một thoáng chân dung<
>Bao giờ hết được Vô Cùng thì thôi<
>Thuyền soi nước cũng bồi hồi<
>Núi kiên tâm vấn mây ngồi để tang<
>Chim tha thế kỉ bộn bàng<
>Chiều về trọ nghỉ nóc hoàng hôn cao<
>Nao nao sóng bóng thuở nào<
>Dặt dìu nước tỏ tường sao đậm đà",bảy chữ,https://isach.info/poem.php?poem=nui_nho__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Thầm Lặng,"Người nhìn thuyền lượn quên nhìn sóng<
>Sóng nhả lực đưa trót lọt thuyền<
>Người ngắm buồm căng quên bẵng gió<
>Sóng còng lưng, gió lả triền miên<
>Hoa nở để chờ mùa kết trái<
>Cành năng tâm tiếp vận an lành<
>Nhựa từ rễ xoắn sâu lòng đất<
>Hút mạch ngầm âm ỉ vô danh<
>Trời khô ráo, nắng thiều quang rực<
>Ðã trả mưa cho lúa được vàng<
>Kiến Tạo đơm đan dàn thượng thặng<
>Nắng lòng thầm lặng góp vinh quang<
>Thiện nguyện hóa thân làm chén hứng<
>Hứng nguyên điêu đứng lệ ai đầy<
>Tim se rót trả về tinh khiết<
>Rượu ấm, rượu nồng, hiền ngất ngây<
>Hãy nghiền ngẫm não như nghiền nho<
>Vắt kiệt cho trong nước rượu vò<
>Nào hỡi ai! Xin cùng cạn chén<
>Một ai đâu đó đụng chung đò<
>Ðau đớn lần hồi rồi biết ra<
>Lấy đêm im lặng làm ngôi nhà<
>Ðêm rơi trắng noãn, gieo trù mật<
>Thụ phấn ngày rồi chửa sữa hoa<
>Ðêm tròn trĩnh ngực, hoi dâng hiến<
>Bé úp mặt nhay vú mẹ hiền<
>Sáng Thế truyền lưu gien bất tử<
>Như Thần Linh Lửa gửi lòng lim<
>Suối róc rách kêu rừng thức dậy<
>Ðêm quằn quại dạ đẻ vừng đông<
>Một ngày như mọi ngày dương thế<
>Eo óc kim kê gáy rạng hồng",lục bát,https://isach.info/poem.php?poem=tham_lang__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Tiếng Gọi Đầu Năm,"Gọi sang đất thù<
>Bạt phủ trăm linh năm (1)<
>Cho rừng yên giấc ngủ<
>Gọi sang núi địch<
>Tháo kíp nổ năm trăm pound (2)<
>Để con về thăm má<
>Đường quê xuôi thong thả<
>Gọi sang lũng mù<
>Không ánh sáng hoả châu (3)<
>Để tình nhân đau đáu<
>Thắp đuốc đi tìm nhau<
>Gọi sang chốt uất<
>Chẳng M trăm mười ba (4)<
>Để đồng xanh yên ả<
>Cưu mang những mầm mạ<
>Gọi sang hố hận<
>Gác giá M bảy hai (5)<
>Để lành lặn chân tay<
>Mai về trùng tu xứ sở<
>Gọi sang luỹ hào lì<
>Tháo gỡ rào kẽm gai<
>Mai xây lên trường học<
>Nơi chiến trường thảm khốc<
>Gọi sang não cân căng<
>Tiếng chuông chùa dìu dặt<
>Nhạc thánh đường réo rắt<
>Nguôi bỏng rát hờn căm<
>Gọi sang tâm đa mang<
>Bằng tiếng gọi bắc ngang<
>Qua con sông u ám<
>Một chiếc cầu thông cảm<
>Gọi sang tâm kiêm thương<
>Bằng nhịp điệu thuần lương<
>Của tim rung để nhớ<
>Khóe mắt nhìn để mong<
>Hàng mi buông để khóc<
>Khi thấy mỗi chúng ta đang đánh mướn<
>Trận chiến phá quê hương, giết tình người<
>Gọi sang phía người<
>Nửa đêm chuông hưu chiến<
>Pháo nổ đón xuân sang<
>Mười phương kinh cầu nguyện<
>Hoà bình này vĩnh viễn<
>Mẹ Tổ quốc an khang<
>Sinh trăm con kháng kiện<
>Trên quê cha vinh hiển",thơ tự do,https://isach.info/poem.php?poem=tieng_goi_dau_nam__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Trong Anh Trời Xanh Vút,"Mở cửa đón em vào<
>Xem sông núi hồn anh<
>Như hương rừng cẩm laị<
>Anh là cây thao lao<
>Xuân thu dầm mưa nắng<
>Vào em xem thạch động<
>Vào em nghe thương điệu<
>Bông Quỳnh một đêm trăng<
>Em như dây thập lục<
>Rưng rưng tỳ bà hành.<
>Anh sớm núi chiều khơi<
>Cho tình em hóa biển<
>Ngón tay em vây sứa<
>Ngực môi em cá hồng<
>Mắt em nghiêng hướng gió<
>Tóc em xuôi chiều mây<
>Anh hát lời du ca<
>Cho tình em vời vợi<
>Như thuở đất sơ khai<
>Trong trời anh xanh vút<
>Em bay như chim hạc<
>Em tuyệt như mây hồng.",thơ tự do,https://isach.info/poem.php?poem=trong_anh_troi_xanh_vut__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Tương Phản,"Hoang liêu về chết tha ma<
>Tiếng chân gõ guốc: người xa vắng người<
>Em có nghe dồn giã<
>Bước ai vất vả<
>Bóng ai chập chờn<
>Hồn ai cô đơn<
>Say sưa tìm về ấm cúng<
>Em có nghe bi ai<
>Tình ai ấp úng<
>Thương ai lạc loài<
>Ăn mày xán lạn một ngày mai<
>Đêm nay say đất lở<
>Em có nghe rạn vỡ<
>Ra muôn mảnh ly rơi<
>Pha lê vạn chuỗi cười<
>Bên nớ dạ thành khoe tráng lệ<
>Trơ trẽn giai nhân phô loã thể<
>Bên ni phố vãng lòng ngoại ô<
>Em có nghe mơ hồ<
>Bước ai thao thức<
>Gõ nhịp hẹn hò<
>In dài ngõ cụt<
>Bóng ai giang hồ<
>Bên nớ bên ni đêm lạnh cả<
>Lạnh đêm mà chẳng lạnh vuông phòng<
>Em ơi bên trong<
>Dù chia ly đôi phút<
>Đồng mang nhớ đèo mong<
>Hai tâm hồn giam kín<
>Bốn mắt xanh bịn rịn<
>Anh ngồi làm thơ<
>Anh ngồi bấm đốt con thơ ra đời<
>Bên ngoài liếp ngỏ sương rơi<
>Bên trong kín gió ấm ơi là tình!…",thơ tự do,https://isach.info/poem.php?poem=tuong_phan__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
Việt Nam 1968,"Của những cái nhìn ám muội<
>Mỗi tiếng nói ra một dấu vấn<
>Sự điên rồ là không biết làm thinh<
>Khi sa giữa một rừng tai mai phục<
>Mới đêm nao con vòi khóc với mẹ cha<
>Sớm hôm sau pháo rớt chết cả nhà<
>Núi đứng câm, sông cũng không ngùi nước mắt<
>Trên triền sống chuồi bấp bênh<
>Khó tìm ra quân bình thế<
>Sao mắt tôi còn ấm lệ<
>Hay tôi khóc vì đứng nghe<
>Rồi thấy mình không ngoại cuộc<
>Đời reo lên như một giác đấu trường<
>Mũ áo xênh xang chờ xem một thiên đường nhuộm phẩm<
>Người sống say mềm bằng những sấm ngữ viết hoa<
>Đến cái chết cũng là dịp để bày phô sặc sỡ<
>Những màu cờ ảo hoạn<
>Những áo mị hương hoa<
>Một liên minh đàn đúm<
>Sum suê lái xác với buôn hòm<
>Trong dòng sống ngầu rối ren<
>Chúa treo trên móc sắt<
>Những bàn tay xưng tội<
>Người sang người bằng những cái nhìn nứa nhọn<
>Rào đời cao như một chiến ấp<
>Với mỗi nửa đêm linh hồn kẹt đạn<
>Dõi mắt chờ mà không thấy hoả châu",bảy chữ,https://isach.info/poem.php?poem=viet_nam_1968__cung_tram_tuong,Cung Trầm Tưởng,hiện đại,
