title,content,genre,url,author,period,specific_genre
Bốn Mùa Yêu Anh,"Thu thật hiền anh nhỉ<
>Chỉ có gió mát lành<
>Em sẽ là nắng xanh<
>Hong chân tình anh nhé<
>Xuân cũng về rất nhẹ<
>Như vòng tay em_anh<
>Em sẽ là mộng lành<
>Ru êm mùa hiu hắt<
>Đông cồn cào gió bấc<
>Đừng sợ lạnh nghen anh<
>Em là 1 cành xanh<
>Xua tan mùa băng giá<
>Rồi cháy trời mùa hạ<
>Lúc này em là sông<
>Anh hãy cởi tấm lòng<
>Trầm vào tim em nhé!<
>Sao một năm ngắn thế<
>Dường vẫn sót 1 mùa<
>Anh đã đoán ra chưa?<
>Còn mùa : Yêu thương nữa!<
>Mùa yêu em là lửa<
>Mùa yêu em bão giông<
>Mùa yêu em ấm nồng<
>Mùa yêu em hiu hắt<
>Mùa yêu em Chân thật<
>Mùa yêu em giận hờn<
>Mùa yêu để yêu hơn<
>Yêu anh nhiều. Thật đấy!",thơ tự do,https://isach.info/poem.php?poem=bon_mua_yeu_anh__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Cảm Ơn,"Cảm ơn mùa thu đưa anh đến bên em<
>Để lá quạnh hiu sẽ chẳng còn trút đổ<
>Con đường xưa chỉ mình em cô lẻ<
>Giờ có một người chia sớt những buồn vui<
>Cảm ơn một chiều nắng dịu nhẹ gọi mời<
>Đưa những bước chân lạc nhau về với phố<
>Vầng trăng em suốt một đời khuyết dở<
>Giờ tròn đầy niềm thương nhớ từng đêm!<
>Cảm ơn người đàn bà đã đến trước em<
>Sưởi ấm trái tim Người ngày em chưa kịp đến<
>Dẫu bây giờ hai người hai góc biển<
>Hương tình đầu em trân trọng giùm anh<
>Cảm ơn Người đã đến bên em<
>Như cơn gió ùa vào lòng phố vắng<
>Như chút nắng sưởi ấm ngày ảm đạm<
>Như mây hồng làm tan những lạnh đông<
>Cảm ơn Người cho em những nhớ mong!",bảy chữ,https://isach.info/poem.php?poem=cam_on__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Chia Tay,"Ngoảnh mặt rồi thì bước anh hãy bước nhanh đi<
>Những đớn đau xin mình em mang giữ<
>Ngưỡng cửa thời gian tuổi xuân em để ngỏ<
>Giờ khép lại rồi (Chẳng còn lối cho anh )<
>Em nén lòng mình chẳng rơi lệ mỗi đêm<
>Tiếng yêu anh chìm vào trong nhức nhối<
>Bờ môi ngày nào gửi trao lời nông nổi<
>Mím chặt để rồi nước mắt chảy về tim<
>Ngoảnh mặt rồi , xin anh hãy lặng im<
>Để mình em về ru phai tàn ngày cũ<
>Em mắc nợ chính mình _chẳng yêu anh được nữa<
>Nhận lấy chút hanh hao cho nức nở lối về",thơ tự do,https://isach.info/poem.php?poem=chia_tay__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Có Bao Giờ,"Có bao giờ anh bật khóc trong đêm<
>Để nỗi nhớ trào lên thành tiếng nấc<
>Thấy bóng trăng mà ngỡ người về thật<
>Cuống cuồng mở cửa nhìn rồi hụt hẫng....Gió thôi<
>Có bao giờ anh cảm thấy đơn côi<
>Mình nắm tay mình mà ngỡ người ngồi cạnh<
>Tự hát cho mình nghe trong đêm đen cóng lạnh<
>Nỗi đau tột cùng làm khúc hát gãy đôi<
>Có bao giờ anh nhìn lại xa xôi<
>Quá khứ nhạt nhòa trong màu trời kỷ niệm<
>Con đường xưa có bao giờ anh đến<
>Ướm bước chân ngày cũ vẫn chưa mờ<
>Thôi anh ạ! Giờ tất cả là mơ<
>Đừng quay về nơi ngày xưa lần nữa<
>Nếu vô tình thấy bóng em bên cửa<
>Hãy nhủ mình : Bóng quá khứ đấy thôi!",bảy chữ,https://isach.info/poem.php?poem=co_bao_gio__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Đủ Chưa Anh,"Khi đã làm em đơn lẻ suốt canh thâu<
>Chờ đợi mãi 1 người không thể đến<
>Ký ức cũ giờ quên lời ước hẹn<
>Nên nông nổi 1 thời chìm trong tiếng mưa rơi",bảy chữ,https://isach.info/poem.php?poem=du_chua_anh__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Đừng Hỏi,"Đừng hỏi vì sao em lại yêu anh<
>Có hàng ngàn lý do để người ta thích _ghét<
>Bởi trái tim có lý lẽ của mình<
>Đừng hỏi tại sao em lại yêu anh<
>Để những phút nhớ mong vỡ òa nước mắt<
>Đường chúng mình đi giờ mình em hiu hắt<
>Vẫn khắc khoải 1 niềm : Yêu thế , vì yêu<
>Đừng hỏi tại sao em lại viết thật nhiều<
>Viết cho anh mà em nào dám gửi<
>Những vần thơ , tiếng lòng em vụng dại<
>Em viết an ủi mình và ru những nhớ mong<
>Đừng hỏi tại sao em vẫn mãi ngóng trông<
>Dù quá khứ trong anh chẳng thể nào tắt lịm<
>Em vẫn chờ mong 1 ngày anh sẽ đến<
>Rót những yêu thương cho bỏng cháy môi mềm",thơ tự do,https://isach.info/poem.php?poem=dung_hoi__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Em Phải Bắt Đầu Quên Anh Từ Đâu,"Em phải bắt đầu quên anh từ đâu?<
>Khi tất cả cùng gọi tên "" kỷ niệm ""<
>Quên đi heo may trong 1 chiều anh đến<
>Hay quên những trưa hè ta sánh bước bên nhau?<
>Em phải bắt đầu quên anh từ đâu?<
>Vết chân cũ em ướm còn vừa vặn<
>Con đường xưa dấu vết còn lành lặn<
>Sao tim mình đã rách toạc nỗi đau<
>Em phải bắt đầu quên anh từ đâu?<
>Nắng vẫn cháy lòng từng đốm phượng<
>Ve vẫn gọi tên anh giữa trưa hè như trước<
>Sao chỉ mình em phải lặng câm?<
>Em phải bắt đầu quên anh từ đâu?<
>Ghế đá công viên phủ bụi chờ anh đó<
>Hàng cây cũng xôn xao chiều hò hẹn<
>Sao chỉ mình em phải đơn lẻ đi về?<
>Em không thể quên anh cả trong những cơn mê",bảy chữ,https://isach.info/poem.php?poem=em_phai_bat_dau_quen_anh_tu_dau__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Em Sẽ Về,"Em sẽ về bên anh<
>Đi dưới chiều nắng đỏ<
>Nghe dịu dàng hương phố<
>Mình với mình cùng say<
>Em sẽ về _hôm nay<
>Để ru hời mắt phố<
>Em thấy rồi : rưng đỏ<
>Biết phố buồn vì em<
>Em nghe hương cốm nhen<
>Trong những lời anh nói<
>Hà Nội thu về vội<
>Để lòng mình chông chênh<
>Em sẽ về cùng anh<
>Ngắm phố phường Hà Nội<
>Dịu dàng và bối rối<
>Em nép vào vai anh.....",thơ tự do,https://isach.info/poem.php?poem=em_se_ve__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Em Vẫn Mơ,"Em vẫn mơ mà anh<
>Giấc mơ ngày gặp gỡ<
>Trải lòng trong niềm nhớ<
>Rồi 1 mình....buồn tênh<
>Em vẫn mơ về anh<
>Dù chỉ là sương khói<
>Ngày xưa em chưa nói<
>"" Em Yêu Người "", thật sao?<
>Anh ơi! dẫu chiêm bao<
>Vẫn là anh _riêng một<
>Thôi! Để em mơ nốt<
>Đêm đã tàn đâu anh.....",thơ tự do,https://isach.info/poem.php?poem=em_van_mo__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Hạnh Phúc Chỉ Là Lời Nói Dối,"1 buổi chiều đầy nắng<
>Anh bỏ rơi em trên bến vắng hẹn hò<
>Nếu anh bảo em chờ<
>Thì em sẽ đem cả cuộc đời đánh cược<
>Nhưng mà anh cứ bước<
>Chẳng nói lại câu nào<
>Hạnh phúc không phải là lời nói dối đó sao?<
>Em đã từng tin hạnh phúc ở trên cao",thơ tự do,https://isach.info/poem.php?poem=hanh_phuc_chi_la_loi_noi_doi__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Không Có Anh,"Không có anh thì sao<
>Mặt trời ngày vẫn sáng<
>Mặt trăng đêm tỏa rạng<
>Xuân vẫn nở đầy hoa<
>Không có anh thì sao<
>Hè vẫn là nắng đỏ<
>Thu vẫn vàng lá đổ<
>Đông vẫn hoài lạnh căm<
>Không có anh , buồn không?<
>Nhìn mắt em thì biết<
>Khi nói câu tạm biệt<
>Anh chẳng nhìn đó sao?<
>Không có anh chiêm bao<
>Chỉ toàn là ác mộng<
>Anh biết không trời rộng<
>Bỗng nhiên thành nhỏ nhoi<
>Không có anh biển khơi<
>Bỗng bạc đầu con sóng<
>Nỗi nhớ dường cháy bỏng<
>Phố đơn lẻ một người<
>Không có anh sao trời<
>Đêm nay dường đi vắng<
>Em nghe lòng tĩnh lặng<
>Không có người _Buồn tênh",thơ tự do,https://isach.info/poem.php?poem=khong_co_anh__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Khúc Tình 21,"Anh bỏ lại nụ cười<
>Phía sau dòng nước mắt<
>Giọt yêu thương trong vắt<
>Giờ nhuốm màu đau thương<
>Anh bỏ lại con đường<
>Nắng dỗi hờn khung cửa<
>Nụ hôn ngày xưa...vỡ<
>Hòa vào dòng thời gian<
>Anh bỏ lại hoang mang<
>Vương trên làn tóc rối<
>Góc phố mưa giăng vội<
>Ướt mềm dòng yêu thương<
>Anh đi , gió lạc phương<
>Từng giọt buồn rớt xuống<
>Em đưa tay gầy guộc<
>Sờ ngực mình.....Quặn đau",thơ tự do,https://isach.info/poem.php?poem=khuc_tinh_21__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
Lãng Đãng Chiều Nhạt Nắng,"Có một mùa trăng khuyết như em<
>Gầy hao mãi để tháng năm bật khóc<
>Hàng cây ôm hình thời gian trằn trọc<
>Giấc ngủ hững hờ trên khóe mắt ướt mưa<
>Có 1 mùa chẳng phải của ngày xưa<
>Mưa thôi rớt trên môi hồng tháng 9<
>Ghế đá công viên vắng bóng người hò hẹn<
>Tiếng khóc vỡ òa cùng giọt nắng bên hiên<
>Có 1 tiếng cười giữa không gian lặng im<
>Để hàng cây xanh xao lời cầu nguyện<
>Tháng 7 đừng mưa và xin anh đừng đến<
>Nụ hôn ngọt ngào đừng đọng lại vành môi<
>Có 1 người vẫn thả gió về trời",bảy chữ,https://isach.info/poem.php?poem=lang_dang_chieu_nhat_nang__dang_hoai_anh,Ðặng Hoài Anh,hiện đại,
