title,content,genre,url,author,period,specific_genre
Ác Mộng,"Niềm khát vọng, ta ghi vào huyết sử,<
>Dưới chân em, Thơ lạc mất linh hồn.<
>Ta đau xót trong mỗi giờ tình tự,<
>Ta khóc nhiều cả những lúc trao hôn.<
>Đời tàn tạ em đừng ca hát nữa:<
>Hội thanh bình, cuộc sống gượng vui thôi.<
>Ta muốn điên vì khóe miệng em cười,<
>Ta cuồng dại bởi nghìn câu em nói.<
>Nhan sắc ấy chớ nên tàn nhẫn vội,<
>Tình mất rồi! oán hận đã mênh mông.<
>Chớ thờ ơ! Ta nổi giận vô cùng,<
>Nhiều ác mộng hằng len vào giấc ngủ.<
>Ta quên hết! Ta sẽ làm Bạo Chúa,<
>Sống nghìn năm ngự trị một lòng em.<
>Cuộc ân tình ghê rợn suốt muôn đêm<
>Nào ai tiếc thương gì thân mỹ nữ!<
>Tay mỏi ôm sẽ dày vò nhung lụa,<
>Phấn hương nhàu, tan tác áo xiêm bay.<
>Ta bắt em cười, nói, bắt em say,<
>Ta đòi lấy mảnh linh hồn bỡ ngỡ.<
>Ôi ! ly rượu em dâng toàn huyết đỏ,<
>Ta uống cùng dòng lệ chảy đêm xưa,<
>Để ưu tư, hờn giận với nghi ngờ<
>Về hiển hiện bóng ma kề bên gối.<
>Bao hoan lạc ! sau những giờ tội lỗi,<
>Một mình Em sửng sốt đứng bên giường,<
>Ngắm ta nằm say giấc ngủ đau thương,<
>Trong run sợ bỗng thấy lòng tê tái.",bảy chữ,https://isach.info/poem.php?poem=ac_mong__dinh_hung,Đinh Hùng,hiện đại,
Ấm Cúng,"Mưa bay! Mưa bay!<
>Bão táp suốt ngày.<
>Ta buồn, ta lạnh,<
>Ta nhớ ai đây?<
>Ngoài trời sương bạc,<
>Gió lùa cành cây,<
>Cửa phòng ta khép,<
>Quạnh hiu trong này.<
>Tôi chờ giấc mộng,<
>Tôi chẳng chờ em,<
>Thì em chợt đến,<
>Tiếng chân ngoài thềm...<
>Mưa bay! Mưa bay!<
>Một hôm trời bão,<
>Em đến chơi đây,<
>Nước đầm vạt áo,<
>Lạnh lùng lắm thay!<
>Em vào cùng gió,<
>Em đến cùng mưa.<
>Chiều tối bao giờ?<
>Bóng vào cửa sổ,<
>Lòng em để ngỏ,<
>Lọt câu hững hờ.<
>Em bớt lạnh chưa?<
>Lòng tôi kề dó<
>Một ngọn đèn đỏ,<
>Đôi lòng đêm xưa.<
>Em ngồi em nhớ,<
>Tôi ngồi tôi mơ:<
>Một đời nho nhỏ,<
>Một phòng xinh xinh,<
>Cảnh trời mưa gió,<
>Và hai chúng mình...<
>Mưa bay! Mưa bay!<
>Ấm cúng trong này.<
>Một hôm trời bão,<
>Em vào chơi đây.",thơ tự do,https://isach.info/poem.php?poem=am_cung__dinh_hung,Đinh Hùng,hiện đại,
Âm Hưởng,"Hôm nay chim yến vui ca<
>Ran ríu bên sườn núi trắng:<
>Xuân này có nắng gieo hoa,<
>Ta sẽ cùng ra biển lặng.<
>Hôm nay gió bảo cùng mây:<
>Rời xa những miền tuyết trắng,<
>Tôi từ biển vắng về đây<
>Mừng hội xuân này đẹp nắng.<
>Hôm nay cây quế trong rừng<
>Bỗng nhủ cùng làn suối bạc:<
>Xuân này tôi khoác áo nhung,<
>Mà bác vang lừng tiếng nhạc.<
>Hôm nay chim nhạn sang sông<
>Tìm sợi rong vàng làm tổ,<
>Tôi đan những sợi thơ hồng<
>Nhờ chim gửi ngườif viễn phố.<
>Hôm nay hoa bướm hẹn thề,<
>Hương có bay về phương ấy?<
>Mưa phùn lả ngọn tường vi,<
>Mái tóc em còn suối chẩy?<
>Em là công chúa si mê<
>Ngủ giữa ngàn hoa lửa cháy.<
>Bao giờ lại trắng hoa lê,<
>Em tỉnh giấc mơ bừng dậy?",bảy chữ,https://isach.info/poem.php?poem=am_huong__dinh_hung,Đinh Hùng,hiện đại,
Ân Tình Dạ Khúc,"Đêm thân ái có muôn hoa hồng nở,<
>Em tới đây tình tự một đôi lời.<
>Hồn phong hương trầm tuổi mộng hai mươi,<
>Ta nói khẽ đủ hai lòng nghe rõ.<
>Tình chẳng xa xôi mà lời giăng gió<
>Đến làm chi thêm nhạt giấc mơ này?<
>Nói đi em, từng ý nhỏ mà say,<
>Từng rạo rực cánh lòng hoa đang mở.<
>Từng xao động vô cùng trong nhịp thở,<
>Từng mê ly qua một thoáng môi cười.<
>Cả rạt rào thương nhớ đấy, em ơi!<
>Cả thao thức mạch đời trong tiếng nhẹ.<
>Ôi bát ngát trái tim hồng nhỏ bé<
>Nghe làm sao ân ái điệu rung trời?<
>Nói đi em, cho từng mảnh sao rơi,<
>Từng vũ trụ tắt dần trong lồng ngực.<
>Xin hãy để cả mình em thổn thức<
>Trên tay này mở sẵn đón thân hoa.<
>Gió ân cần trộn lẫn tóc hai ta,<
>Gió đằm thắm giúp đôi hồn phơ phất.<
>Anh say ngất tình em trong khóe mắt<
>Say hương thầm trên mái tóc tơ nhung.<
>Cặp môi em, xuân thắm nét hoa rừng,<
>Anh mê uống nhụy thơm tràn vị ngọt.<
>Nói đi em, lời tự tình thánh thót,<
>Hẹn ngàn năm trong một phút êm đềm.<
>Lời tự tình, em hãy nói đi em,<
>Lời tình tự cũng là lời bỡ ngỡ.<
>Đêm thân ái có muôn hoa hồng nở,<
>Phấn hương bay phơi phới báo duyên lành.<
>Thơ ân tình, anh chuốt lụa mong manh.",bảy chữ,https://isach.info/poem.php?poem=an_tinh_da_khuc__dinh_hung,Đinh Hùng,hiện đại,
Bài Ca Hạnh Ngộ,"Bài thơ hạnh ngộ đã trao tay,<
>Ôi mộng nào hơn giấc mộng này?<
>Mùi phấn em thơm mùi hạ cũ,<
>Nửa như hoài vọng, nửa như say.<
>Em đến như mây, chẳng đợi kỳ,<
>Hương ngàn gió núi động hàng mi.<
>Tâm tư khép mở đôi tà áo,<
>Hò hẹn lâu rồi - Em nói đi.<
>Em muốn đôi ta mộng chốn nào?<
>Ước nguyền đã có gác trăng sao.<
>Còn lối bâng khuâng: ngõ trúc đào.<
>Em chẳng tìm đâu cũng sẵn thơ.<
>Nắng trong hoa, với gió bên hồ,<
>Dành riêng em đấy. Khi tình tự,<
>Ta sẽ đi về những cảnh xưa.<
>Rồi buổi ưu sầu em với tôi<
>Nhìn nhau cũng đủ lãng quên đời.<
>Vai kề một mái thơ phong nguyệt,<
>Hạnh phúc xa xa mỉm miệng cười.",lục bát,https://isach.info/poem.php?poem=bai_ca_hanh_ngo__dinh_hung,Đinh Hùng,hiện đại,
Bài Ca Man Rợ,"Lòng đã khác ta trở về Đô Thị,<
>Bỏ thiên nhiên huyền bí của ta xưa<
>Bóng ta đi trùm khắp lối hoang sơ,<
>Và chân bước nghe chuyển rung đồi suối.<
>Lá cỏ sắc vương đầy trên tóc rối,<
>Ta khoác vai manh áo đẫm hương rừng<
>Rồi ta đi, khí núi bốc trên lưng,<
>Mắt hung ác và hình dung cổ quái.<
>Trông thấy ta, cả cõi đời kinh hãi,<
>Dòng sông con nép cạnh núi biên thùy.<
>Đường châu thành quằn quại dưới chân đi,<
>Xao động hết loài cỏ hoa đồng nội.<
>Người và vật nhìn ta không dám nói,<
>Chân lảng xa, từng cặp mắt e dè.<
>Ta ngẩn ngơ nhìn theo bóng ngựa xe,<
>Nhìn theo mãi đến khi đời lánh cả.<
>Và ta thấy hiện nguyên lòng sơn dã:<
>Cảnh sắc này bỗng nhuộm máu tà dương.<
>Ta xót thương, ta căm giận, hung cuồng,<
>Ta gầm thét, rung mấy trời thế sự.<
>Rồi dữ tợn, ta vùng đi khắp xứ,<
>Nắm hai vai người tục khách qua đường.<
>Lòng lạ lùng tìm ảnh với tìm hương.<
>Nhưng lẫn lộn chỉ thấy màu xiêm áo.<
>Trán thì phẳng -- ôi đâu là kiêu ngạo?<
>Đâu hồn nhiên trên nét vẽ râu mày?<
>Ta ghì người tắt thở ở trong tay,<
>Miệng quát hỏi: có phải ngươi là bạn?<
>Ôi ngơ ngác một lũ người vong bản,<
>Mất tinh thần từ những thuở xa xôi!<
>Ta về đây lạ hết các ngươi rồi,<
>Lạ tình cảm, lạ đời chung, cách sống.<
>Trong bỡ ngỡ, duy lòng còn chút mộng,<
>Ta đi tìm người thiếu nữ ngày xưa.<
>Nàng không mong, ta đi đến không ngờ,<
>Giây phút ấy thực mắt nhìn tận mắt.<
>Ta cười mỉm, bỗng thấy nàng che mặt,<
>Ta giơ tay, nàng khiếp sợ lùi xa,<
>Ta điên rồ, đau đớn, xót xa.<
>Trong cô độc, thấy tình thương cũng mất.<
>Ôm Nhan Sắc với hai bàn tay sắt,<
>Ta nhìn ai -- ôi khoé mắt ta nhìn!<
>Em có là ma, là quỉ, là tiên?<
>Em có mấy linh hồn, bao nhiêu mộng?<
>Em còn trái tim nào đang xúc động?<
>Em có gì, trong xác thịt như hoa?<
>Lạc thiên nhiên đến cả bọn đàn bà,<
>Với những vẻ dung nhan kiều diễm nhất.<
>Ta lảo đảo vùng đứng lên cười ngất,<
>Ghì chặt nàng cho chết giữa mê ly.<
>Rồi dày xéo lên sông núi đô kỳ,<
>Bên thành quách ta ra tay tàn phá.<
>Giữa hoang loạn của lâu đài, đình tạ,<
>Ta thản nhiên, đi trở lại núi rừng.<
>Một mặt trời đẫm máu xuống sau lưng.",bảy chữ,https://isach.info/poem.php?poem=bai_ca_man_ro__dinh_hung,Đinh Hùng,hiện đại,
Bài Hát Mùa Thu,"Hôm nay có phải là thu?<
>Mây năm xưa đã phiêu du trở về.<
>Cảm vì em bước chân đi,<
>Nước nghiêng mặt ngọc lưu ly phớt buồn.<
>Ai về xa mãi cô thôn,<
>Một mình trông khói hoàng hôn nhớ nhà?<
>Ngày em mới bước chân ra,<
>Tuy rằng cách mặt, lòng ta chưa sầu.<
>Nắng trôi vàng chẩy về đâu?<
>Hôm nay mới thực bắt đầu vào thu.<
>Chiều xanh trắng bóng mây xưa,<
>Mây năm xưa đã phiêu du trở về.<
>Rung lòng dưới bước em đi,<
>Lá vàng lại gợi phân ly mất rồi!<
>Trời hồng, chắc má em tươi,<
>Nước trong, chắc miệng em cười thêm xinh.<
>Em đi hoài cảm một mình.<
>Hai lòng riêng để mối tình cô đơn.<
>Hôm nay tưởng mắt em buồn:<
>Đã trông thấp thoáng ngọn cồn, bóng sương.<
>Lạnh lùng chăng, gió tha hương?<
>Em về bên ấy, ai thương em cùng?",lục bát,https://isach.info/poem.php?poem=bai_hat_mua_thu__dinh_hung,Đinh Hùng,hiện đại,
Bao Giờ Em Lấy Chồng,"Như bao người gái đến xuân thì.<
>Mỗi đêm say tỉnh vài cơn mộng,<
>Trở giấc, lòng ơi! buồn làm chi?<
>Ôi biết bao giờ em lấy chồng?<
>Đầu thu hay cuối một mùa đông?<
>Bên người có ánh trăng, đèn mới,<
>Em nhận thơ lòng tôi nữa không?<
>Hoa nở cô đơn, bóng động thềm,<
>Vườn xưa còn thoảng chút hương em.<
>Xót xa lá cỏ vương mùi tóc,<
>Tà áo bay về, nhớ suốt đêm.<
>Em cũng như làn hương phấn kia,<
>Gió về rồi đến buổi chia lỵ<
>Nhớ trong khung cửa, mong ngoài ngõ,<
>như kẻ xưa buồn lối phượng đi.<
>Nhớ buổi người yêu, kẻ hững hờ,<
>Em là thục nữ, chỉ mê thơ.<
>Còn lòng tôi đấy, em không rõ,<
>Chẳng đến dò thăm, chẳng muốn ngờ.<
>Mà chẳng tình chung cũng hẹn nhiều,<
>Lời em bay bướm, tưởng rằng yêu.<
>Vì ai làm đẹp mây trời thế?<
>Tôi đợi tin thu sớm lại chiều.<
>Em ướp hương vào những giấy thư,<
>Tôi hôn lên chữ một đôi tờ.<
>Nghĩ rằng: Em gửi hồn thơm đấy,<
>Là bởi lòng kia đã ước mơ.<
>Hoài nghi từng nét mực phai mờ.<
>Chữ Yêu lượn nét hoa kiều diễm,<
>Tưởng thấy nghìn đuôi mắt hẹn hò.<
>Vầng trăng vừa ngả bóng chung đôi,<
>Em đã xa như dĩ vãng rồị<
>Tình cũng quan san từ đáy mắt,<
>Một hàng mi lặng, mấy trùng khơi.<
>Nghe động bàn chân, nắng tỏa hương,<
>Mong manh từng gợn phấn còn vương.<
>Em đi, nửa gối hoa tàn mộng,<
>Thương nhớ bay cùng mây viễn phương.",lục bát,https://isach.info/poem.php?poem=bao_gio_em_lay_chong__dinh_hung,Đinh Hùng,hiện đại,
Bướm Xuân,"Em trở về đây với bướm xuân,<
>Cho tôi mơ ước một đôi lần.<
>Em là người của ngày xa lắm,<
>Lòng cũ hai ta cũng chẳng gần.<
>Em trở về đây để nắng hồng,<
>Hồn xưa còn đẹp ý xưa không?<
>Trăng tình chưa nguyện lời hoa bướm,<
>Em chẳng về đây để ngỏ lòng.<
>Một thời mây biếc đã trôi qua,<
>Nay tưởng cây vàng lại nở hoa.<
>Em chẳng mơ gì, tôi chẳng nói,<
>Đôi hồn không biết có nhìn xa?<
>Tôi vẫn chiêm bao rất nhẹ nhàng,<
>Đèn khuya xanh biếc, mộng thường sang.<
>Nhưng rồi em rõ lòng tôi khổ,<
>Em sẽ đi xa trước giấc vàng.",lục bát,https://isach.info/poem.php?poem=buom_xuan__dinh_hung,Đinh Hùng,hiện đại,
Buồn Á Đông Xưa,"Buồn xưa Đông Á về muôn phương.<
>Mắt ta loạn dáng mây hồ hải,<
>Mộng ngát lâm tuyền mái tóc hương.<
>Xưa Á Đông buồn xuôi đại dương,<
>Chiều tha phương đến ngủ bên nàng.<
>Tóc ai thả lướt con thuyền mộng,<
>Nghiêng xuống đôi vai chút phấn vàng.<
>Nắng nhỏ phiêu lưu rợn cánh sầu,<
>Vòng tay non biển thoắt lìa nhau.<
>Giang biên thoảng ướt mùi hương lạ,<
>Hồn lạc sân ga, lỡ chuyến tầu.<
>Nếp áo trường sơn, tóc suối ngàn,<
>Nụ cười phiêu lãng giữa không gian.<
>Người đi, mây cũng làm du khách,<
>Nắng chuyển hương theo nhịp gió đàn.<
>Mộng ơi! thuyền có trao đầu sóng,<
>Xin nở tươi mầu hoa đại dương.<
>Biển biếc, cù lao dài ánh mắt,<
>Ngàn khơi, mơ bóng nguyệt hoang đường.<
>Ta khát cuồng lưu vị biển đông,<
>Dìu em trên lá cỏ thu bồng.<
>Cơn say thấm tận lòng thương hải,<
>Chìm nổi vầng dương đáy thủy cung.<
>Hoàng hôn khép áo em lên đường,<
>Buồn Á Đông xưa về viễn phương.<
>Đảo tuyết, rừng hoang, mây lữ thứ,<
>Hồn ơi! Xin hẹn cánh chim sương.",lục bát,https://isach.info/poem.php?poem=buon_a_dong_xua__dinh_hung,Đinh Hùng,hiện đại,
