title,content,genre,url,author,period,specific_genre
Chăn Trâu Đốt Lửa,"Chăn trâu đốt lửa trên đồng<
>Rạ rơm thì ít gió đông thì nhiều.<
>Mải mê đuổi một con diều<
>Củ khoai nướng để cả chiều thành tro.",lục bát,https://isach.info/poem.php?poem=chan_trau_dot_lua__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Chợ Buồn,"Chợ buồn đem bán những vui<
>Đã mua được cái ngậm ngùi chưa em.<
>Chợ buồn bán nhớ cho quên<
>Bán mưa cho nắng, bán đêm cho ngày.<
>Chợ buồn bán tỉnh cho say<
>Bán thương suốt một đời này cho yêu.<
>Tôi giờ xa cách bao nhiêu<
>Đem thơ đổi lấy những chiều tương tư.",lục bát,https://isach.info/poem.php?poem=cho_buon__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Con Sáo Sang Sông,"Tẽn tò con sáo sang sông<
>Bờ bên này tưởng cũng không có gì.<
>Tẽn tò con sáo bay đi<
>Lại bờ bên ấy có gì cũng không…",lục bát,https://isach.info/poem.php?poem=con_sao_sang_song__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Đêm Sông Cầu,"Sao rơi cháy cả đôi bờ<
>Mà anh thì cứ bơ vơ giữa trời<
>Sông sâu nước cả em ơi<
>Từ trong câu hát ai người biết cho<
>Rút trăng buộc lại con đò<
>Thu lời em hát chỉ cho riêng mình<
>Chưa về đò đã nhẹ sang<
>Anh nghe tiếng sóng biết bàn tay em<
>Bồi hồi những giọt mưa đêm<
>Sáng như nến thắp ở bên mái chèo<
>Một hôm bến bỗng vắng teo<
>Anh xa đò cũng xa theo mất rồi<
>Anh xa để lạnh đôi bờ<
>Đò em cứ chảy lơ thơ giữa dòng<
>Đừng buông giọt mắt xuống sông<
>Anh về dẫu chỉ đò không cũng chìm.",lục bát,https://isach.info/poem.php?poem=dem_song_cau__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Em Bỏ Chồng Về Ở Với Tôi Không,"Con muỗm xanh trên sóng lúa rập rờn<
>Mùi cỏ dại vẫn ven bờ nước đắng<
>Tình của em như một tờ giấy trắng<
>Mãi bây giờ tôi mới viết thành thơ<
>Tình của em như lối rẽ bất ngờ<
>Tôi đi đến trọn đời còn chưa biết<
>Dẫu cho đến tận cùng cái chết<
>Em bỏ chồng về ở với tôi không?<
>Tôi không tin rằng trong bão giông<
>Em cam chịu con tàu chết chìm trên sóng<
>Và tôi tin rằng trong cát bỏng<
>Em – Cây xương rồng vẫn hoa<
>Em ở gần tôi lại ở xa<
>Tim vẫn đập về nơi em nhiều nhất<
>Và tôi tin tình em là có thật<
>Những lúc buồn tôi mới viết thành thơ<
>Và niềm vui có khi đến bất ngờ<
>Tôi lại hát ru em ngủ<
>Nhà của em ở giữa phường Trung Tự<
>Cây tháp nước bồn hoa còn nhớ chỗ ta ngồi<
>Cỏ nát rồi cỏ mới lại sinh sôi<
>Hoa vẫn nở mùi hương đằm thắm<
>Và tôi tin một ngày gần lắm<
>Em bỏ chồng về ở với tôi không?",bảy chữ,https://isach.info/poem.php?poem=em_bo_chong_ve_o_voi_toi_khong__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Mẹ Ơi,"Bây giờ con chẳng có gì<
>Cúi đầu lạy mẹ con đi về trời<
>Chỉ xin mẹ một tiếng cười<
>Và câu hát thuở mẹ ngồi ru con<
>Chỉ mong trái đất vẫn tròn<
>Biết đâu mẹ lại gặp con có ngày<
>Cõi người nhiều nỗi đắng cay<
>Cho nên Phật vẫn ngàn tay kêu cầu<
>Cõi người còn lắm bể dâu<
>Con lấy lục bát bắc cầu đi qua<
>Tin rằng sông lắm phù sa<
>Cho nên đời vẫn nở hoa bốn mùa<
>Bây giờ trời đổ cơn mưa<
>Xa xa đã tiếng chuông chùa gọi con.",lục bát,https://isach.info/poem.php?poem=me_oi__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Nhà Quê,"Nhà quê có cái giếng đình<
>Trúc xinh cứ đứng một mình lẳng lơ<
>Nhà quê có mấy trai tơ<
>Quần bò mũ cối giả vờ sang chơi<
>Nhà quê chân lấm tay bùn<
>Mẹ đi cấy lúa rét run thân già<
>Chợ làng mở dưới gốc đa<
>Nhà quê đem mấy con gà bán chơi<
>Bây giờ không thấy Thị Mầu<
>Nhưng con mắt ấy còn lâu mới già<
>Mỗi lần cây cải nở hoa<
>Thì tôi lại nhớ người ta chưa về<
>Mỗi lần cỏ dại trên đê<
>Chim ngói đi thả bùa mê khắp đồng<
>Bây giờ em đi lấy chồng<
>Tôi giờ về lại bến không tìm mình<
>Bao nhiêu là thứ bùa mê<
>Cũng không bằng được nhà quê của mình<
>Câu thơ nấp ở sân đình<
>Nhuộm trăng trăng sáng , nhuộm tình tình đau<
>Nhuộm buồn những hạt mưa mau<
>Thành sao nở trắng vườn cau trước nhà<
>Nhuộm hương của các loài hoa<
>Thành mơn mởn tóc đuôi gà cho em",lục bát,https://isach.info/poem.php?poem=nha_que__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Sông Thương Ngày Không Em,"Không em ra ngõ kéo diều<
>Nào ngờ đuợc mảnh trăng chiều trên tay,<
>Luồn kim vào nhớ để may<
>Chỉ yêu cứ đứt trên tay mình cầm.<
>Sông Thương như gỗ hóa trầm<
>Mùi hương để vết tím bầm trên da.<
>Sông thương từ buổi em xa<
>Tay anh quờ xuống hóa ra bị chàm.<
>Em đi như chim về ngàn<
>Để rơi một cánh hoa tan nát chiều.<
>Trên dòng sống chứa rất nhiều ban mai.<
>Tôi đi trên dòng song gai<
>Lốt chân chim đậu trên vai thành hồ.<
>Không em từ bấy đến giờ<
>Bàn tay vẫn héo như cờ chịu tang.",lục bát,https://isach.info/poem.php?poem=song_thuong_ngay_khong_em__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Trở Về Với Mẹ Ta Thôi,"Cả đời ra bể vào ngòi<
>Mẹ như cây lá giữa trời gió rung<
>Cả đời buộc bụng thắt lưng<
>Mẹ như tằm nhả bỗng dưng tơ vàng<
>Đường đời còn rộng thênh thang<
>Mà tóc mẹ đã bạc sang trắng trời<
>Mẹ đau vẫn giữ tiếng cười<
>Mẹ vui vẫn để một đời nhớ thương<
>Bát cơm và nắng chan sương<
>Đói no con mẹ xẻ nhường cho nhau<
>Mẹ ra bới gió chân cầu<
>Tìm câu hát đã từ lâu dập vùi.<
>Chẳng ai biết đến mẹ tôi<
>Bạc phơ mái tóc bên trời hoa mơ<
>Còng lưng gánh chịu gió mưa<
>Nát chân tìm cái chửa chưa có gì<
>Cầm lòng bán cái vàng đi<
>Để mua những cái nhiều khi không vàng.<
>Mẹ mua lông vịt chè chai<
>Trời trưa mưa nắng đôi vai lại gầy<
>Xóm quê còn lắm bùn lầy<
>Phố phường còn ít bóng cây che đường<
>Lời rào chim giữa gió sương<
>Con nghe cách mấy thôi đường còn đau.<
>Giữa khi cát bụi đầy trời<
>Sao mẹ lại bỏ kiếp người lầm than<
>Con vừa vượt núi băng ngàn<
>Về nhà chỉ kịp đội tang ra đồng<
>Trời hôm ấy chửa hết giông<
>Đất hôm ấy chẳng còn bông lúa vàng<
>Đưa mẹ lần cuối qua làng<
>Ba hồn bảy vía con mang vào mồ<
>Mẹ nằm như lúc còn thơ<
>Mà con trước mẹ già nua thế này.<
>Trở về với mẹ ta thôi<
>Giữa bao la một khoảng trời đắng cay<
>Mẹ không còn nữa để gầy<
>Gió không còn nữa để say tóc buồn<
>Người không còn dại để khôn<
>Nhớ thương rồi cũng vùi chôn đất mềm<
>Tôi còn nhớ hay đã quên<
>Áo nâu mẹ vẫn bạc bên nắng chờ<
>Nhuộm tôi hồng những câu thơ<
>Tháng năm tạc giữa vết nhơ của trời<
>Trở về với mẹ ta thôi<
>Lỡ mai chết lại mồ côi dưới mồ.",lục bát,https://isach.info/poem.php?poem=tro_ve_voi_me_ta_thoi__dong_duc_bon,Đồng Đức Bốn,hiện đại,
Vào Chùa,"Đang trưa ăn mày vào chùa<
>Sư ra cho một lá bùa rồi đi<
>Lá bùa chẳng biết làm gì<
>Ăn mày nhét túi lại đi ăn mày.",lục bát,https://isach.info/poem.php?poem=vao_chua__dong_duc_bon,Đồng Đức Bốn,hiện đại,
