title,content,genre,url,author,period,specific_genre
Ai Nhớ Ngàn Năm Một Ngón Tay,"Tháng tư tôi đến rừng chưa thức<
>Mưa vẫn chờ tôi ở cuối khuya<
>Có môi chưa nói lời chia biệt<
>Và mắt chưa buồn như mộ bia<
>Tháng tư nao nức chiều quên tắt<
>Chim bảo cây cành hãy lắng nghe<
>Bước chân ai dưới tàng phong ốm<
>Mà tiếng giày rơi như suối reo<
>Tháng tư khao khát, đêm, vô tận<
>Tôi với người riêng một góc trời<
>Làm sao anh biết trăng không lạnh<
>Và cánh chim nào sẽ bỏ tôi<
>Tháng tư hư ảo người đâu biết<
>Cảnh tượng hồn tôi: một khán đài<
>Với bao chiêng, trống, bao cờ xí<
>Tôi đón anh về tự biển khơi<
>Tháng tư xe ngựa về ngang phố<
>Đôi mắt nào treo mỗi góc đường<
>Đêm ai tóc phủ mềm da lụa<
>Tôi với người chung một bến sông<
>Tháng tư nắng ngọt hoa công chúa<
>Riêng đoá hoàng lan trong mắt tôi<
>Làm sao anh biết khi xa bạn<
>Tôi cũng như chiều: tôi mồ côi<
>Tháng tư chăn gối nồng son, phấn<
>Đêm với ngày trong một tấm gương<
>Thịt, xương đã trộn, như sông, núi<
>Tôi với người, ai mang vết thương?<
>Tháng tư rồi sẽ không ai nhớ<
>Rừng sẽ vì tôi nức nở hoài<
>Mắt ai rồi sẽ như bia mộ<
>Ngựa có về qua cũng thiếu đôi<
>Tháng tư người nhắc làm chi nữa<
>Cảnh tượng hồn tôi đã miếu thờ<
>Trống, chiêng, cờ, xí như cơn mộng<
>Mưa đã chờ tôị. Mưa…đã …mưa<
>Mai kia sống với vầng trăng ấy<
>Người có còn thương một bóng cây<
>Góc phố còn treo đôi mắt bão<
>Ai nhớ ngàn năm một ngón tay?",lục bát,https://isach.info/poem.php?poem=ai_nho_ngan_nam_mot_ngon_tay__du_tu_le,Du Tử Lê,hiện đại,
Bài Nắng Mưa Kế Tiếp,"Sông núi đã chối từ tên phản bội<
>Giống nòi ta thực sự ở bên kia<
>Chút quê cũ còn nơi đôi-mắt-gió<
>Đã từ em khép lại buổi đêm về<
>Trong yên lặng ngỡ lửa người vẫn cháy<
>Buổi trưa dềnh lên một phúc âm<
>Chiều cổ tự biết hướng nào Nam Hải?<
>Nước non người thêm ủ dột vai sương<
>Bỗng chai sượng thấy hình ai ở đó<
>Lược gương xưa thức dậy mối nghi ngờ<
>Ta mất tích giữa đường ngôi thứ nhất<
>Rẽ bên nào cũng chỉ lấp chôn nhau<
>Đi suốt kiếp vẫn là mưa với nắng<
>Thôi đợi gì nơi kẻ đã vong thân<
>Đời vốn ngắn lối về hoa với cỏ<
>Gọi âm u lên từng phiến thương tâm<
>Vẫn quanh quẩn áo cơm và bóng tối<
>Lòng khi không nhớ lại một câu thơ<
>""Nói rất nhỏ nghĩ thầm em sẽ hiểu<
>Đi với về cũng một nghĩa như nhau""",bảy chữ,https://isach.info/poem.php?poem=bai_nang_mua_ke_tiep__du_tu_le,Du Tử Lê,hiện đại,
Bài Nhân Gian Tháng Tám,"Buổi chiều xám chỗ ngồi tôi tháng tám<
>Em dung nhan như một vết dao<
>Trong trí nhớ của một người khánh tận<
>Núi sông người thoáng chốc cũng hư hao.<
>Em mười bảy bước chân vào tháng chạp<
>Hàng cây khô vai gọi lá hai hàng<
>Đâu sự thật cảnh đời tôi đã xế<
>Em đi qua, chỉ thức dậy điêu tàn.<
>Đêm cao ốc bàn tay buồn, mắt lặng<
>Gió mưa đi tít tận trời nào<
>Môi tháng sáu bao dung hồn phiêu bạt<
>Em tin không? Tôi chết ngọt ngào.<
>Em bước xuống cuộc đời tôi ảm đạm<
>Với bình minh, mười bảy vết son tươi<
>Kẻ khánh tận, cuối cùng soi trí nhớ<
>Trong bài thơ tháng bảy đã chia hai.<
>Nếu em biết có lần tôi đã hỏi<
>Tôi đợi ai cuối cuộc chơi này?<
>Như tháng tám đi qua người sẽ khuất<
>Riêng vết son còn đỏ nẫu môi cười.<
>Bài thơ nhỏ gói nỗi sầu vô hạn<
>Đường chim đi, nghìn dặm có ai tìm<
>Em không thể thì thôi đừng nắng, gió<
>Củi than riêng, tôi đốt một mình.<
>Đêm tháng tám, chỗ ngồi tôi lửa cháy.",bảy chữ,https://isach.info/poem.php?poem=bai_nhan_gian_thang_tam__du_tu_le,Du Tử Lê,hiện đại,
Bài Nhân Gian Thứ Nhất,"Ở chỗ nhân gian không thể hiểu<
>Đôi mắt người hồ như biển đông<
>Có mưa-tôi-cũ về ngang đó<
>Tự buổi thiên đàng chưa lập xong<
>Ở chỗ nhân gian không thể hiểu<
>Mái tóc người hồ như rừng cây<
>Có mấy che lối về cho lá<
>Và những con đường thật riêng tây<
>Ở chỗ nhân gian không thể hiểu<
>Tôi có người hồ như vết thương<
>Có đêm ngó xuống bàn tay lạnh<
>Và chỗ em ngồi đã bỏ không<
>Ở chỗ nhân gian không thể hiểu<
>Tôi có người hồ như tấm gương<
>Thấy tôi thắt cổ trên cành tuyết,<
>Và bóng đo dài nỗi tủi thân<
>Ở chỗ nhân gian không thể hiểu<
>Tôi có người hồ như hạt sương<
>Có bông hoa đỏ chiều tâm khúc<
>Tôi thấy từ em một quê hương<
>Ở chỗ nhân gian không thể hiểu<
>Tôi có người hồ như tiếng chim<
>Theo cơn bão rớt về ngang phố<
>Tôi học từ em: niềm lãng quên<
>Ở chỗ nhân gian không thể hiểu<
>Tôi có người hồ như ấu thơ<
>Đêm đêm khóc vụng cùng chăn gối<
>Và buồn thấy như mẹ ở xa<
>Ở chỗ nhân gian không thể hiểu<
>Tôi biết người mang một nỗi buồn<
>Biết ta cuối kiếp tim còn lạnh<
>Cùng nỗi sầu bay đâu hư không<
>Ở chỗ nhân gian không thể hiểu<
>Tôi xin người sớm phục sinh tôi.",lục bát,https://isach.info/poem.php?poem=bai_nhan_gian_thu_nhat__du_tu_le,Du Tử Lê,hiện đại,
Bạn Cũ Trong Nhau Có Niết Bàn,"Tôi đây. Bạn cũ. Tâm nghìn Phật<
>Mỗi Phật nghìn tay. Em-Pháp-Hoa<
>Dốc gió. Đêm lầy kinh-cứu-khổ<
>Xin tế độ tôi những thiệt thà<
>Tôi đây. Bạn cũ. Từ nay hết<
>Chẳng nắng mưa nào chia biệt ta<
>Cám ơn huệ nhãn em khai mở<
>Tiền kiếp xưa mình đã có nhau<
>Bạn cũ. Còn đây đêm rất thấp<
>Tóc nồng da thịt. Phấn son thơm<
>Hôm nay quỳ dưới chân Bồ Tát<
>Tụng một pho tình-yêu-hoa-nghiêm<
>Bạn cũ. Tôi đây. Vô lượng kiếp<
>Tứ đại giai không. Chỉ giữ tình<
>Hãy trì mật-chú kinh chung thủy<
>Để thấy trong nhau có niết bàn",lục bát,https://isach.info/poem.php?poem=ban_cu_trong_nhau_co_niet_ban__du_tu_le,Du Tử Lê,hiện đại,
Bước Chậm Qua Đời,"Người đã thế ta còn chi tiếc nữa,<
>Tình còn chi mà ta phải điên cuồng.<
>Ta giận ta không thể lấy lại hồn,<
>Không thể chuộc lại tình đã hiến.<
>Không thể bỉ khinh người ta ca tụng,<
>Không thể bôi nhọ chính mặt ta hôn.<
>Tình ta đẹp nên suốt đời quý báu,<
>Hồn như trời nên biển rộng bao la,<
>Người có thể một phút giây bán rẻ,<
>Nhưng riêng ta lòng mãi mãi tôn thờ.<
>Trước bội bạc ta trở thành man dã,<
>Móng điên cuồng, nanh vuốt muốn giương ra<
>Thương cho ta không thể giết được người<
>Mà quay lại cào mặt ta rướm máu.<
>Ôi đau đớn đã nhận chìm ta xuống.<
>Như con chim ủ kín vết thương mình,<
>Lần cuối cùng ta nói với nhân gian,<
>Ta đắm đuối nên suốt đời ta khổ.<
>Ta vụng tính nên cuối cùng thua lỗ,<
>Đành trở về ngủ dưới mái hiên mưa.<
>Đành trở về cùng với hạt sương sa,<
>Dưới hiên lạnh thấy hồn ai co quắp.<
>Người cũng chỉ như trăm ngàn kẻ khác.<
>Sầu hai vai ta bước chậm qua đời!",bảy chữ,https://isach.info/poem.php?poem=buoc_cham_qua_doi__du_tu_le,Du Tử Lê,hiện đại,
Chân Dung,"Tôi ngồi trong nỗi tôi riêng<
>Bên trong ghế lạnh, ngoài hiên bóng rời<
>Phòng tôi trần thiết gương người<
>Tường sơn kỷ niệm, vách bồi dáng xưa<
>Tóc người chảy suốt cơn mưa<
>Ngực thơm hoa bưởi, môi đưa bão về<
>Tôi ngồi giữa cõi-tôi-khuya<
>Có ai gõ cửa? mà nghe lá chào<
>Tưởng người ngọn sóng lao xao<
>Biển muôn năm gọi tôi nào có vui<
>Người về có nén hương, thôi<
>Cắm lên phần mộ hồn tôi úa vàng",lục bát,https://isach.info/poem.php?poem=chan_dung__du_tu_le,Du Tử Lê,hiện đại,
Chẳng Chiến Chinh Mà Cũng Lẻ Đôi,"Chỉ nhớ người thôi đủ hết đời<
>Chim về góc biển. Bóng ra khơi<
>Lòng tôi lũng thấp. Tâm hiu quạnh<
>Chẳng chiến chinh mà cũng lẻ đôi<
>Chỉ nhớ người thôi đủ hết đời<
>Buổi chiều chăn gối thiếu hơi ai<
>Em đi để lại hồn thơ dại<
>Tôi vó câu buồn sâu sớm mai<
>Chỉ nhớ người thôi đủ hết đời<
>Em còn gương lược dấu đường ngôi<
>Nằm mơ thấy tóc thơm vai hẹn<
>Và khoảng trời xanh đến rợn người<
>Chỉ nhớ người thôi đủ hết đời<
>Bàn tay dư mấy ngón chia phôi<
>(Tặng nhau chín ngón không đeo nhẫn)<
>Và những tàn phai đầy tuổi tôi<
>Chỉ nhớ người thôi đủ hết đời<
>Như trời nhớ đất (rất xa xôi)<
>Nắng mưa nhớ mãi hàng hiên đợi<
>Thư nhớ hồi âm – Lệ nhớ môi<
>Chỉ nhớ người thôi sông đủ cạn<
>Nói gì kiếp khác với đời sau<
>Đôi khi nghe ấm trên da thịt<
>Như thể ai đi mới trở về",lục bát,https://isach.info/poem.php?poem=chang_chien_chinh_ma_cung_le_doi__du_tu_le,Du Tử Lê,hiện đại,
Chú Thích,"Sông chú thích: núi nghìn năm góa bụa<
>Trái đất tròn thâu nhỏ những vòng vây<
>Củi, than người nỏ, bén lửa chia tay<
>Chiều chú thích: đời ai không hữu hạn?<
>Mẹ chú thích: mai này em xuất hiện<
>Những bàn tay nội chiến; gọi mưa về<
>Nắng phân trần vai lá đợi sông, đi<
>Môi chú thích: những điều khôn nói hết<
>Gỗ chú thích: bao cánh rừng mất tích<
>Thú tuyệt giòng: hoang, rợn lớn dâng lên<
>Suối tân kỳ? - Treo ngược cổ thiên nhiên<
>Đêm chú thích: em / miếng trời / sót lại<
>Cây chú thích: nhân gian rừng nấm, dại<
>Khom lưng tìm vô hạn giữa trăm năm<
>Những con đường nhăn, nếp xếp vuông khăn<
>Đã footnote mối sầu ta đốn mạt",bảy chữ,https://isach.info/poem.php?poem=chu_thich__du_tu_le,Du Tử Lê,hiện đại,
Cõi Tôi,"Cõi tôi, cõi nát, cõi tàn<
>Cõi hoang mang, vội, cõi bàng hoàng, qua<
>Cõi vui thân thể cỗi già<
>Cõi lang thang mượn mái nhà hư không<
>Cõi xanh, cõi lạnh, cõi cùng<
>Cõi con muốn bỏ, cõi chồng vợ, xa<
>Cõi em muốn dạt chân về<
>Cõi đau nhân thế, cõi thề thốt, quên<
>Cõi nào, cõi thật? Tôi riêng?<
>Cõi đêm máu chảy, cõi thương nhớ trùng<
>Cõi tôi, cõi mịt, cõi mùng<
>Thôi em có ghé xin đừng nghỉ lâu<
>Cõi đời đó, có chi đâu!",lục bát,https://isach.info/poem.php?poem=coi_toi__du_tu_le,Du Tử Lê,hiện đại,
