title,content,genre,url,author,period,specific_genre
Bài Hát Ru Em,"Ngủ đi, em bé anh yêu,<
>Phòng em gió sáng dặt dìu tiếng hoa .<
>Thu về, mùa đã nghe xa...<
>Hoàng hôn nhân thế phai nhòa nhớ thương.<
>Riêng em tóc biếc, môi hường<
>Vui say bên nỗi đoạn trường là anh.<
>Chiều đồi: cây tạ hồn xanh,<
>Sương the lảng đảng, hoa cành tả tơi.<
>Em vui, xuân sắc riêng trời,<
>Hồn say giấc bướm, miệng cười vẻ hoa.<
>Em ơi, chiều thế đương nhòa,<
>Môi khô khôn níu, tên đà nhạt tên.<
>Bao nhiêu nguyền cũ đương quên,<
>Bao nhiều tình cũ đương rền rĩ than.<
>Tiếng sầu mất giữa nhân gian,<
>Nàng đi xa lắm và nàng đã vui.<
>Anh về, lòng góa, tim côi,<
>Lửa thiêng đem sấy lại đồi lạnh khô.<
>Gửi em, giấc mộng đầu mùa,<
>Hoa phai ghi dấu những giờ xót thương;<
>Anh run, quỳ gối chân giường:<
>- Em ơi! Cực lạc, thiên đường là em!",lục bát,https://isach.info/poem.php?poem=bai_hat_ru_em__ho_dzenh,Hồ Dzếnh,hiện đại,
Bài Thơ Tặng Vợ,"Mình vừa là chị là em<
>Tấm lòng người mẹ, trái tim bạn đời<
>Mai này tới phút chia đôi<
>Hai ta ai sẽ là người tiễn nhau?<
>Xót mình đã lắm thương đau<
>Tôi xin làm kẻ đi sau đỡ mình<
>Cuộc đời đâu phải phù sinh<
>Nước non chan chứa nghĩa tình, mình ơi!",lục bát,https://isach.info/poem.php?poem=bai_tho_tang_vo__ho_dzenh,Hồ Dzếnh,hiện đại,
Buổi Hẹn,"Nắng vàng em mới lại<
>Ôi! ngóng trông sao buồn.<
>Tôi đi và đứng mãi,<
>Mắt tìm xa xôi luôn...<
>Tôi mơ chân trên đường,<
>Áo màu trong lá thắm;<
>Đường và cây mát lắm,<
>Riêng lòng tôi đau thương.<
>Tôi không hề yêu đương,<
>Sao sầu tôi vương vương,<
>Sao tình tôi bát ngát,<
>Sao hồn tôi thê lương?<
>Nhẽ nào trên Hà nội,<
>Ngày vàng chia sáng, tối<
>Không thấy nắng bay reo,<
>Em quên gi đến nỗi?<
>Đây, em tôi đây rồi!<
>Màu áo mơ da trời,<
>Mùa xuân bừng môi tươi,<
>Nắng dồn theo gót bước.<
>Đôi mắt long lanh cười<
>- Ôi! đời hôm nay vui,<
>Chim gió đừng mách nhé!<
>Ta xé thơ đi rồi...",thơ tự do,https://isach.info/poem.php?poem=buoi_hen__ho_dzenh,Hồ Dzếnh,hiện đại,
Cảm Xúc,"Cô gái Việt Nam ơi!<
>Từ thuở sơ sinh lận đận rồi<
>Tôi biết tình cô u uất lắm<
>Xa nhau đành chỉ nhớ nhau thôi<
>Cô chẳng bao giờ biết bướm hoa<
>Má hồng mỗi tiết mỗi phôi pha Khi cô vui thú là khi đã<
>Bồng bế con thơ đón tuổi già<
>Cô gái Việt Nam ơi!<
>Ngọn gió thời gian đổi hướng rồi<
>Thế hệ huy hoàng không đủ xóa<
>Nghìn năm vằng vặc ánh trắng soi<
>Tôi đến đây tìm lại bóng cô<
>Trở về đường cũ hái mơ xưa<
>Rau sam vẫn mọc chân rào trước<
>Son sắc lòng cô vẫn đợi chờ<
>Dãi lúa cô trồng nay đã tươi<
>Gió xuân ý nhị vít bông cười<
>Ai hay lòng kẻ từng chăm lúa<
>Trong một làng con đã héo rồi<
>Cô gái Việt Nam ơi!<
>Nếu chữ ""hy sinh"" có ở đời<
>Tôi muốn nạm vàng muôn cực khổ<
>Cho lòng cô gái Việt Nam tươi",lục bát,https://isach.info/poem.php?poem=cam_xuc__ho_dzenh,Hồ Dzếnh,hiện đại,
Chiều,"Trên đường về nhớ đầy<
>Chiều chậm đưa chân ngày<
>Tiếng buồn vang trong mây<
>Chim rừng quên cất cánh<
>Gió say tình ngây ngây<
>Có phải sầu vạn cổ<
>Chết trong hồn chiều nay?<
>Tôi là người lữ khách<
>Mây chiều khó làm khuây<
>Ngỡ lòng mình là rừng<
>Ngỡ hồn mình là mây<
>Nhớ nhà châm điếu thuốc<
>Khói huyền bay lên cây",thơ tự do,https://isach.info/poem.php?poem=chieu__ho_dzenh,Hồ Dzếnh,hiện đại,
Chiều Xuân Trung Kỳ,"Chiều xuân sang chuyến đò đông<
>Trai tơ khăn lục, gái hồng thắm môi.<
>Da sông mát rãi da trời,<
>Đây mùa xuân bén trên loài cỏ hoa.<
>Hiu hiu ... chiều ngả tà tà...<
>Buồn lên xóm vắng, cây nhòa khói xa.<
>Đời em như một lời tranh<
>Và gần như tiếng bên đình trẻ reo.<
>Nghìn thu hội lại một chiều,<
>Buồn hơn nhớ, nhẹ hơn điều trông mong.<
>Có tơ giăng mối hai lòng,<
>Có muôn quan gió luồn trong một người.",lục bát,https://isach.info/poem.php?poem=chieu_xuan_trung_ky__ho_dzenh,Hồ Dzếnh,hiện đại,
Chị Tôi,"Ngày xưa còn nhỏ ngày xưa<
>Tôi đeo khách bạc lên chùa dâng nhang<
>Lòng vui quần áo xêng xang<
>Tay cầm hương nến đình vàng mới mua<
>Chị tôi vào lễ trong chùa<
>Hai chàng trai trẻ khấn đùa hai bên<
>“Lòng thành lễ vật đầu niên<
>Cầu cho tiểu được ngoài Giêng đắc chồng”<
>Chị tôi hai má đỏ hồng<
>Vùng vằng súyt nữa quên bồng cả tôi<
>Tam quan mái ngói chị ngồi<
>Chị nghe đoán quẻ Chị cười luôn luôn<
>Quẻ Thần mắt thánh mà khôn<
>Số này chồng đắt mà con cũng nhiều<
>Chị tôi nay đã xế chiều<
>Chắc còn nhớ mãi những điều chị mơ<
>Hằng năm tôi đi lễ chùa<
>Chuông vàng khánh ngọc ngày xưa vẫn còn<
>Chị ơi thấy vắng trong hồn<
>Ít nhiều hương phấn khi còn thơ ngây<
>Chân đi đếm tiếng chuông chùa<
>Tôi ngờ năm tháng ngày xưa trở về",lục bát,https://isach.info/poem.php?poem=chi_toi__ho_dzenh,Hồ Dzếnh,hiện đại,
Cỗ Bài Tam Cúc,"Ngày Tết mải chơi tam cúc<
>Không hay anh tới sau lưng<
>Ghé lại gần em mách nước<
>Kết luôn xe pháo mã hồng<
>Ồ ván bài em đỏ quá<
>Đỏ như đôi má ngày xuân<
>Em có ăn trầu đâu nhỉ<
>Mà sao người thấy bâng khuâng?<
>Nắng mới rọi vào song cửa<
>Rung rinh bóng lá cành doi<
>Năm ấy em mười sáu tuổi<
>Trăng tròn – anh chẵn đôi mươi<
>Từ đó mỗi mùa đào nở<
>Pháo xe lại rộn cây bài<
>Có độ anh về, có độ<
>Vắng anh, em nhớ mong hoài<
>Mấy chục mùa xuân thấm thoát<
>Nhớ thương hờn giận chen nhau<
>Một bức tranh thơ bát ngát<
>Quý thay cái thuở ban đầu!<
>Nay tóc đời ta điểm bạc<
>Bể đâu thời thế phôi pha<
>Em ạ, cỗ bài tam cúc<
>Vẫn thơm nguyên vẹn tình ta.",bảy chữ,https://isach.info/poem.php?poem=co_bai_tam_cuc__ho_dzenh,Hồ Dzếnh,hiện đại,
Cơn Giận,"Có những cơn điên xé được đời,<
>Những cơn quằn quại máu tanh hôi,<
>Mà hồn rít lại rồi căng thẳng,<
>Chờ nuốt không gian xuống khắp người.<
>Ôi! những bàn tay cấu lấy tay,<
>Và vò nát ngực, sóng lung lay<
>Nghìn muôn tia lửa ngầu trong mắt,<
>Rung cả thân mình, chuyển cả mây.<
>Rồi răng, rồi lợi, rồi tim huyết<
>Tất cả xô dồn... tất cả run...<
>Gió cát xông lên, mưa bão rít...<
>Hằng muôn con thác trút căm hờn!<
>Một phút điên cuồng phá thỏa thuê,<
>Cho sông đau khổ bớt tràn trề,<
>Ai hay hơi máu hồn khi tắt<
>Cả một trời thương lẳng lặng về.<
>Hối hận, Cay, Chua đứng sững bên.<
>Giọng cười mai mỉa buốt qua tim:<
>Tôi mê, châm lửa cho nhà cháy,<
>Lửa giận nguôi rồi, than tối đen.",lục bát,https://isach.info/poem.php?poem=con_gian__ho_dzenh,Hồ Dzếnh,hiện đại,
Đợi Thơ,"Phút linh cầu mãi không về<
>Phân vân giấy trắng chưa nề mực đen<
>Khói trầm bén giấc mơ tiên<
>Bâng khuâng trăng giãi qua miền quạnh hiu<
>Tô Châu lớp lớp phù kiều<
>Trăng đêm Dương Tử mây chiều Giang Nam<
>Rạc rời vó ngựa quá quan<
>Cờ treo ý cũ mây giàn mộng xưa<
>Biển chiều vang tiếng nhân ngư<
>Non xanh tha thiết trời thu rượi sầu<
>Nhớ thương bạc nửa mái đầu<
>Lòng nương quán khách nghe màu tà huân<
>Buồn Tư Mã nhớ Chiêu Quân<
>Nét hoa thấp thoáng ý thần đê mê<
>Phút linh cầu mãi không về<
>Phân vân giấy trắng chưa nề mực đen",lục bát,https://isach.info/poem.php?poem=doi_tho__ho_dzenh,Hồ Dzếnh,hiện đại,
