title,content,genre,url,author,period,specific_genre
Anh Đi Và Em Đi,"Anh đi về phía không em<
>Em đi về phía dài thêm bão bùng<
>Anh đi sắp đến vô cùng<
>Em đi sắp đến cánh hồng đang rơi<
>Bảy mươi đứng phía ngoẹn cười<
>Tám mươi đứng khóc nẻo đời chưa khô<
>Trăm năm nhào quyện hư vô<
>Biết đâu em vẫn lửng lơ hát buồn",lục bát,https://isach.info/poem.php?poem=anh_di_va_em_di__hoang_cam,Hoàng Cầm,hiện đại,
Bên Kia Sông Đuống,"Những hội hè đình đám<
>Trên núi Thiên Thai<
>Trong chùa Bút Tháp<
>Giữa huyện Lang Tài<
>Gửi về may áo cho ai<
>Chuông chùa văng vẳng nay người ở đâu<
>Những nàng môi cắn chỉ quết trầu<
>Những cụ già phơ phơ tóc trắng<
>Những em xột xoạt quần nâu<
>Bây giờ đi đâu? Về đâu?<
>Ai về bên kia sông Đuống<
>Có nhớ từng khuôn mặt búp sen<
>Những cô hàng xén răng đen<
>Cười như mùa thu tỏa nắng<
>Chợ Hồ, chợ Sủi người đua chen<
>Bãi Tràm chỉ người dăng tơ nghẽn lối<
>Những nàng dệt sợi<
>Đi bán lụa mầu<
>Những người thợ nhuộm<
>Đồng Tỉnh, Huê Cầu<
>Bây giờ đi đâu? Về đâu?<
>Bên kia sông Đuống<
>Mẹ già nua còm cõi gánh hàng rong<
>Dăm miếng cau khô<
>Mấy lọ phẩm hồng<
>Vài thếp giấy dầm hoen sương sớm<
>Chợt lũ quỷ mắt xanh trừng trợn<
>Khua giầy đinh đạp gẫy quán gầy teo<
>Xì xồ cướp bóc<
>Tan phiên chợ nghèo<
>Lá đa lác đác trước lều<
>Vài ba vết máu loang chiều mùa đông<
>Chưa bán được một đồng<
>Mẹ già lại quẩy gánh hàng rong<
>Bước cao thấp trên bờ tre hun hút<
>Có con cò trắng bay vùn vụt<
>Lướt ngang dòng sông Đuống về đâu?<
>Mẹ ta lòng đói dạ sầu<
>Đường trơn mưa lạnh mái đầu bạc phơ<
>Bên kia sông Đuống<
>Ta có đàn con thơ<
>Ngày tranh nhau một bát cháo ngô<
>Đêm líu díu chui gầm giường tránh đạn<
>Lấy mẹt quây tròn<
>Tưởng làm tổ ấm<
>Trong giấc thơ ngây tiếng súng dồn tựa sấm<
>Ú ớ cơn mê<
>Thon thót giật mình<
>Bóng giặc dày vò những nét môi xinh<
>Đã có đất này chép tội<
>Chúng ta không biết nguôi hờn<
>Đêm buông xuống dòng sông Đuống<
>- Con là ai? - Con ở đâu về?<
>Hé một cánh liếp<
>- Con vào đây bốn phía tường che<
>Lửa đèn leo lét soi tình mẹ<
>Khuôn mặt bừng lên như dựng giăng<
>Ngậm ngùi tóc trắng đang thầm kể<
>Những chuyện muôn đời không nói năng<
>Đêm đi sâu quá lòng sông Đuống<
>Bộ đội bên sông đã trở về<
>Con bắt đầu xuất kích<
>Trại giặc bắt đầu run trong sương<
>Dao loé giữa chợ<
>Gậy lùa cuối thôn<
>Lúa chín vàng hoe giặc mất hồn",bảy chữ,https://isach.info/poem.php?poem=ben_kia_song_duong__hoang_cam,Hoàng Cầm,hiện đại,
Cây Tam Cúc,"Cỗ bài tam cúc mép cong cong<
>Rút trộm rơm nhà đi trải ổ<
>Chị gọi đôi cây!<
>Trầu cay má đỏ<
>Kết xe hồng đưa chị đến quê em<
>Nghé cây bài tìm hơi tóc ấm<
>Em đừng lớn nữa chị đừng đi<
>Tướng sĩ đỏ đen chui sấp ngửa<
>Ổ rơm thơm đọng tuổi đương thì",bảy chữ,https://isach.info/poem.php?poem=cay_tam_cuc__hoang_cam,Hoàng Cầm,hiện đại,
Chị Em Xanh,"Đương độ tuổi Em<
>Vậy thì Em ngắt quãng tân hôn<
>Theo Chị lùa mưa đuổi nắng buồn<
>Hai đứa lung linh lơi yếm áo<
>Thuyền trăng dềnh sã cánh cô đơn<
>Chị vỡ pha lê. Bùn vấy tay<
>Hồn trong Em chuốc Chị chiều say<
>Là Em cưới Chị xanh thiêm thiếp<
>Sinh một đàn con",lục bát,https://isach.info/poem.php?poem=chi_em_xanh__hoang_cam,Hoàng Cầm,hiện đại,
Chuyện Trăm Năm,"Tặng Trịnh Công Sơn<
>Anh đứng đây là đâu<
>Em cười như lá mỏng<
>Khép cửa vào chiêm bao<
>Anh đứng đây là đâu<
>Em nói như gió nghẹn<
>Chiều nghiêng mây Thị Mầu<
>Anh đứng đây là đâu<
>Em nhìn như mưa trắng<
>Năm năm bay ngang đầu<
>Anh đứng đây là em.",thơ tự do,https://isach.info/poem.php?poem=chuyen_tram_nam__hoang_cam,Hoàng Cầm,hiện đại,
Cỏ Bồng Thi,"Thòng lọng tơ gì quấn gót<
>Tua khăn buông còn buộc búp hoa lan<
>Ù ù gió thổi<
>Em vọng ai đâu mà hóa đá<
>Không trói mà không đi",bảy chữ,https://isach.info/poem.php?poem=co_bong_thi__hoang_cam,Hoàng Cầm,hiện đại,
Đếm Giờ,"May cho Em tấm áo sồi non<
>Làng không mở hội<
>Cất cho Em hương quế nước trầm<
>Thẫm đường má răn<
>Chim vàng phải tên dưới bụng<
>Giận mình bay quá cao<
>Bướm ngũ sắc rã rời tay trẻ xé<
>Trách mình quá lộng nắng tàn xuân<
>Trốn tiếng Chị cười<
>Nấp mắt Em trông<
>Trèo ngọn núi Neo đá chởm tai mèo<
>Mát chân rời rợi<
>Đừng ví thân Em hạt gạo tám xoan<
>Đừng vẽ hình Em hoa đào hoa lý<
>Đừng hát tình Em sóng vỗ mưa về<
>Đừng tạc mặt Em lệch mái thùy cung<
>Đợi sau khi Em qua đời<
>Sẻ đồng thành phượng núi<
>Cây đa đường xứ<
>Lớn lên ai hay<
>Vẫn cơn gió cũ<
>Bao nhiêu chiều vụn đá<
>Mắt nắng thay mùa mở lộc non",bảy chữ,https://isach.info/poem.php?poem=dem_gio__hoang_cam,Hoàng Cầm,hiện đại,
Đêm Liên Hoan,"Anh ơi ! Đêm nay đầu người nhấp nhô như gợn sóng<
>Đang trào lên sức sống muôn đời<
>Niềm vui bát ngát trăng soi<
>Mảnh trăng úa máu chân trời Việt Nam<
>Đêm Liên Hoan! Trời ơi, đêm Liên Hoan!<
>Đầu người nhấp nhô như sóng bể ngang tàng<
>Ta muốn thét như vỡ toang lồng ngực<
>Vì say sưa tình thân thiết Việt Chính Đoàn<
>- Anh từ phương nào lại?<
>- Tôi từ đất dấy lên<
>Anh có nghe ngọn thủy triều Đông Hải<
>Đang hờn ghen cùng thúc máu triền miên<
>Thúc máu không tên dội tràn bốn nẻo<
>Cỏ không gầy, cây không già, hoa không héo<
>Ngàn năm đất nước vững bền<
>- Anh từ phương nào lại?<
>- Tôi từ đất dấy lên<
>Chúng ta cùng một mẹ hiền<
>Lúa thơm bầu sữa bông mềm áo tơ<
>Chúng ta chung một mối thù<
>Gươm tung uất hận đạn vù đắng cay<
>- Anh đi từ đâu đến đó?<
>- Tôi đi giết giặc đây<
>Đêm nay gặp bạn cùng nhau chén<
>Máu giặc đang nồng ta phải say<
>Đây ruộng đồng Trung Nam<
>Kia núi rừng Việt Bắc<
>Cỏ cây đang căm hờn như vùng lên đuổi giặc<
>Tôi với anh gặp nhau trong ngày hội Liên Hoan<
>Tay bắt tay, mừng trên giải đất Việt Nam<
>- Mẹ hiền tôi đã khuất<
>Nhưng trước khi nhắm mắt<
>Mẹ mừng cho đàn con<
>Máu tôi mai sẽ chảy<
>Trôi phăng hết kiếp ngựa trâu<
>Xương tôi, tôi bắt nên cầu<
>Cho đàn con bước lên lầu Tự Do!<
>- Anh giết bao nhiêu giặc mà mắt anh long lanh?<
>- Mời anh lên rừng xanh<
>Hỏi những cành lá biếc<
>Rừng âm u đang tưng bừng mở tiệc<
>Bằng thịt, xương và máu của quân thù<
>- Trong tiểu đội anh, những ai còn ai mất?<
>- Không, không ai còn ai mất<
>Ai cũng chết mà thôi!<
>Kẻ trước người sau lao vào giặc<
>Giữ vững ngàn thu một giống nòi<
>Dù cho thịt nát xương phơi<
>Cái còn vĩnh viễn là người Việt Nam!<
>Đêm Liên Hoan, trời ôi, đêm Liên Hoan!<
>Đầu người nhấp nhô như sóng vỗ ngang tàng<
>Ta muốn thét cho vỡ toang lồng ngực<
>Vì say sưa tình thắm thiết Việt Chính Đoàn<
>Người bạn mến thương ơi!<
>Nắm chặt lấy tay tôi<
>- Kìa, sao anh lại khóc?<
>- Tôi quá mừng anh đó thôi!<
>Lần thứ nhất trên đời<
>Tôi quay cuồng nhảy múa<
>Giặc kia ơi! Không bao giờ còn nữa<
>Ta đếm từng ngày<
>Ta trông từng phút, ta đợi từng giây<
>Lửa hờn nghi ngút chờ người đêm nay<
>Chờ người đến đây<
>Ta băm, ta giết!<
>Giặc kia phải chết<
>Núi đồng phơi thây<
>Anh đi hỏi núi<
>Anh về hỏi cây<
>Anh hỏi biển rộng<
>Anh hỏi sông dài<
>Anh hỏi ngô non<
>Anh hỏi lúa bé<
>Anh đi hỏi già, về nhà hỏi trẻ<
>Rằng ta là Việt Chính Đoàn<
>Đêm nay say tiệc liên hoan<
>Ngày mai xé xác moi gan quân thù!<
>Tiệc liên hoan lại tưng bừng hiển hiện<
>Giữa đoàn quân bách chiến<
>Đổ về thủ đô như nước vỡ bờ!<
>Từ mũi Cà Mau cho đến biên giới Lạng<
>Từ nắng sớm Sơn La cho đến mưa chiều Vạn Tượng!<
>Muôn đội đội hùng binh phất phới cờ bay<
>Đoàn quân bách chiến đi suốt đêm ngày<
>- Mẹ ơi! Con đã về đây!<
>Chị hiền từ tốn đưa tay đón mừng...<
>... Anh ơi! Anh tỉnh lại<
>Nước mắt tôi rưng rưng<
>Hình như tôi đã mơ màng<
>Phải rồi, anh Việt Chính Đoàn<
>Đêm nay say tiệc Liên Hoan<
>Ngày mai xé xác moi gan quân thù<
>Bao giờ thu lại tới thu<
>Liên Hoan bừng nở bốn mùa Non Sông!",bảy chữ,https://isach.info/poem.php?poem=dem_lien_hoan__hoang_cam,Hoàng Cầm,hiện đại,
Đêm Thổ,"Cúi lạy mẹ con trở về Kinh Bắc<
>Chiều xưa giẻ quạt voi lồng<
>Thân cau cụt vẫy đuôi mèo trắng mốc<
>Chuồn chuồn khiêng nắng sang sông<
>Đê mười tám khúc Văn Giang<
>Chuông Bách môn đổ xô gò má<
>Mây thành thổi lửa<
>Nẻo Đông Triều khép mở gió kỳ lân<
>Chớp rạch dáng tiên vén xiêm xõa ngủ",bảy chữ,https://isach.info/poem.php?poem=dem_tho__hoang_cam,Hoàng Cầm,hiện đại,
Em Bé Lên 6 Tuổi,"Đi tuột vào trong Nam.<
>Từ khi lọt lòng mẹ<
>Ăn sữa, ngủ giường êm,<
>Áo hoa lót áo mềm.<
>Nào biết mình sung sướng.<
>Ngọn sóng đang trào lên<
>Ai nghĩ thân bèo bọt;<
>Nhưng người với con người<
>Vẫn sẵn lòng thương xót.<
>Có cụ già đói khổ<
>Lập cập đi mò cua:<
>Bố mẹ nó không còn,<
>Đứa trẻ này gầy còm,<
>Bỗng thương tình côi cút;<
>Cụ nhường cho miếng cơm.<
>Chân tay như cái que,<
>Bụng phình lại ngẳng cổ,<
>Mắt tròn đỏ hoe hoe<
>Đo nhìn đời bỡ ngỡ:<
>“Lạy bà xin bát cháo<
>Cháu miếng cơm, thầy ơi!”<
>Có một chị cán bộ<
>Đang phát động thôn ngoài,<
>Chợt nhìn ra phía ngõ<
>Nghe tiếng kêu lạc loài<
>Chị rùng mình nhớ lại<
>Năm đói kém từ lâu<
>Chị mới năm tuổi đầu<
>Liếm lá khoai giữa chợ.<
>Chạy vùng ra phía ngõ<
>Dắt em bé vào nhà,<
>Nắm cơm dành chiều qua<
>Bẻ cho em một nửa.<
>Chị bần cố nông cốt cán<
>Ứa nước mắt quay đi:<
>- “Nó là con địa chủ<
>Bé bỏng đã biết gì;<
>Hôm em cho bát cháo,<
>Chịu ba ngày hỏi truy”.<
>Chị đội bỗng lùi lại<
>Nhìn đứa bé mồ côi<
>Cố tìm vết thù địch.<
>Chỉ thấy một con người.<
>Em bé đã ăn no<
>Nằm lăn ra đất ngủ;<
>Chị nghĩ: “sau lấy chồng<
>Sinh con bồng bú sữa”.<
>Chị phải đình công tác<
>Vì câu chuyện trên kia.<
>Buồng tối lạnh đêm khuya<
>Thắp đèn lên kiểm thảo.<
>Do cái lưỡi không xương<
>Nên nhiều đường lắt léo;<
>Do con mắt bé téo<
>Chẳng nhìn xa chân trời;<
>Do bộ óc chây lười<
>Chỉ một màu sắt rỉ,<
>Đã lâu nằm ngủ kĩ<
>Trên trang sách im lìm;<
>Do mấy con người máy<
>Đầy gân, thiếu trái tim!<
>Nào “liên quan phản động”<
>“Mất cảnh giác lập trường”.<
>Mấy đêm khóc ròng rã<
>Ngọn đèn soi tù mù,<
>Lòng vặn lòng câu hỏi:<
>“Sao thương con kẻ thù?<
>Giá ghét được đứa bé<
>Lòng thảnh thơi bao nhiêu!”",thơ tự do,https://isach.info/poem.php?poem=em_be_len_6_tuoi__hoang_cam,Hoàng Cầm,hiện đại,
