title,content,genre,url,author,period,specific_genre
Anh Thợ Gốm,"Tập thơ Huy Cận:<
>Tặng Nguyễn Văn Y, chuyên gia gốm<
>Nắng lên hồng ban mai<
>Anh thợ gốm ngồi xoay<
>Đất mịn nhào với nắng<
>Hình đẹp nở trong tay.<
>Gió xuân man mác thổi<
>Cỏ non rờn ngoài đê<
>Mùa xuân đang tạo lại<
>Cây lá trên đồng quê.<
>Anh ngồi xoay ung dung<
>Ánh sáng rọi theo cùng<
>Ngực anh màu nắng đượm<
>Đẹp hồng như đất nung.<
>Bình đẹp nghìn xưa cũ<
>Tay ông cha giao về<
>Đang sống lại tươi tắn<
>Trong bàn tay vuốt ve....<
>Bình cao dáng trẻ thon<
>Lọ nhớn thân đẫy tròn<
>Đẹp phúc đầy của mẹ<
>Đẹp duyên hiền của con.<
>Xoay xoay bàn gỗ ơi,<
>Nước mát nhào đất tơi<
>Anh làm thêm cái đẹp<
>Chưa có ở trong đời....",thơ tự do,https://isach.info/poem.php?poem=anh_tho_gom__huy_can,Huy Cận,hiện đại,
Anh Viết Bài Thơ,"Tập thơ Huy Cận:<
>Anh viết bài thơ giữa ánh khuya<
>Cỏ cây yên ngủ. Gió xa về<
>Anh nhìn em ngủ hồn hiu nhẹ<
>Như bóng vườn trưa xanh tiếng ve<
>Biển lặng em nằm trong gió êm<
>Anh là bóng thức của hồn em<
>Ngoài kia sao cũng từng đôi sáng<
>Từng cặp nhân vàng trong trái đêm<
>Bát ngát lòng anh giữa trái đời<
>Hai ta đôi hạt giữa nghìn đôi<
>Gió khuya nào biết xuân hè nữa?<
>Em mộng điều chi, miệng thoả cười",lục bát,https://isach.info/poem.php?poem=anh_viet_bai_tho__huy_can,Huy Cận,hiện đại,
Anh Xa Em Một Nửa,"Tập thơ Huy Cận:<
>Em ở đâu? Anh xa em một nửa.<
>Một nửa hồn anh lẩn quất theo em,<
>Vào giấc ngủ nửa hồn anh bợ ngợ<
>Gió khuya hay em bước động bên thềm ?<
>Tình đôi ta là trăm nghìn ràng rịt<
>Của tâm hồn, của cả máu xương<
>Ai dám bảo hồn không là da thịt<
>Sắc hoa hồng không tách biệt làn hương.<
>Anh ở nơi em cùng trời cuối đất<
>Em ở nơi anh cõi thực cõi mơ<
>Em ở đâu mà hồn anh lẩn quất<
>Nhớ thương em lòng ngẩn tự bao giờ.",bảy chữ,https://isach.info/poem.php?poem=anh_xa_em_mot_nua__huy_can,Huy Cận,hiện đại,
Áo Trắng,"Tập thơ Huy Cận:<
>Áo trắng đơn sơ, mộng trắng trong,<
>Hôm xưa em đến, mắt như lòng.<
>Nở bừng ánh sáng. Em đi đến,<
>Gót ngọc dồn hương, bước tỏa hồng.<
>Em đẹp bàn tay ngón ngón thon,<
>Em duyên đôi má nắng hoe tròn.<
>Em lùa gió biếc vào trong tóc<
>Thổi lại phòng anh cả núi non.<
>Em nói, anh nghe tiếng lẫn lời,<
>Hồn em anh thở ở trong hơi.<
>Nắng thơ dệt sáng trên tà áo,<
>Lá nhỏ mừng vui phất cửa ngoài.<
>Đôi lứa thần tiên suốt cả ngày,<
>Em ban hạnh phúc chứa đầy tay.<
>Dịu dàng áo trắng trong như suối<
>Tỏa phất đôi hồn cánh mộng bay.",lục bát,https://isach.info/poem.php?poem=ao_trang__huy_can,Huy Cận,hiện đại,
Áo Xuân,"Tập thơ Huy Cận:<
>Sớm nay khoác áo màu vô định<
>Ra gặp mùa xuân đến giữa đàng<
>Lá biếc đưa thoi xuyên vĩnh viễn<
>Gió là sợi thắm của thời gian.<
>Ta vận tấm xuân đi hớn hở<
>Tâm tư ngào ngạt hiến dâng đời<
>Thân cũng hát lừng cao nhịp lửa<
>Hoa thiên thu hẹn nở cùng môi.<
>Lòng chim gieo sáng vệt vân sa<
>Trên bước đường xuân trở lại nhà.<
>Mở sách chép rằng: Vui một sáng<
>Nghìn năm còn mãi tấm lòng ta.",lục bát,https://isach.info/poem.php?poem=ao_xuan__huy_can,Huy Cận,hiện đại,
Buổi Sáng Hôm Nay,"Tập thơ Huy Cận:<
>Anh tặng em buổi sáng hôm nay<
>Có hoa sen nở hồ Tây trắng hồng<
>Tặng em trời mát như sông<
>Trong veo chảy giữa hai dòng cây xanh<
>Anh tặng em buổi sáng lòng anh<
>Có mây có nước có cành có hoa<
>Có mình và lại có ta<
>Trong hương sen ngát nở xoà lòng sen<
>Anh tặng em cả những ưu phiền<
>Trong câu hát cũ nghe bên chợ cầu<
>Còn hằn trong chữ trong câu<
>Nỗi đau ngày trước cày sâu mặt người<
>Anh tặng em buổi sáng mai đời<
>Bước chân quen thuộc, tiếng người lại qua<
>Mây phồng buồm bạc xa xa<
>Ngày lên gió mới, lòng ta tặng mình.",bảy chữ,https://isach.info/poem.php?poem=buoi_sang_hom_nay__huy_can,Huy Cận,hiện đại,
Buồn Đêm Mưa,"Tập thơ Huy Cận:<
>Tặng Khái Hưng<
>Đêm mưa làm nhớ không gian,<
>Lòng run thêm lạnh nỗi hàn bao la...<
>Tai nương nước giọt mái nhà<
>Nghe trời nặng nặng, nghe ta buồn buồn.<
>Nghe đi rời rạc trong hồn<
>Những chân xa vắng dặm mòn lẻ loi...<
>Rơi rơi... dìu dịu rơi rơi...<
>Trăm muôn giọt nhẹ nối lời vu vơ..<
>Tương tư hướng lạc, phương mờ...<
>Trở nghiêng gối mộng, hững hờ nằm nghe.<
>Gió về, lòng rộng không che,<
>Hơi may hiu hắt bốn bề tâm tư...",lục bát,https://isach.info/poem.php?poem=buon_dem_mua__huy_can,Huy Cận,hiện đại,
Buồn,"Tập thơ Huy Cận:<
>Đã chảy về đâu những suối xưa?<
>Đâu cơn yêu mến đến không chờ?<
>Tháng ngày vùn vụt phai màu áo<
>Của những nàng tiên mộng trẻ thơ.<
>Rụng những chùm tên mấy độ bông;<
>Phai hàng nhật ký chép song song;<
>Chàng trai gối mộng trên trang sách<
>Tỉnh thức, mùa xuân rụng hết hồng.<
>Đời mất về đâu, hỡi tháng, năm?<
>Xuân không mọc nữa với trăng rằm!<
>Chẳng bao lâu ngủ sầu trong đất,<
>Vĩnh viễn mùa đông lạnh chỗ nằm.<
>Nay hẵng còn đây ấm mặt trời,<
>Mà sao lòng lạnh tuyết băng rơi?<
>- U sầu chắc hẳn đang nhanh bước,<
>Lưng khọm nghìn năm đến cửa tôi.",lục bát,https://isach.info/poem.php?poem=buon__huy_can,Huy Cận,hiện đại,
Các Vị La Hán Chùa Tây Phương,"Tập thơ Huy Cận:<
>Các vị La Hán chùa Tây Phương<
>Tôi đến thăm về lòng vấn vương.<
>Há chẳng phải đây là xứ Phật,<
>Mà sao ai nấy mặt đau thương?<
>Đây vị xương trần chân với tay<
>Có chi thiêu đốt tấm thân gầy<
>Trầm ngâm đau khổ sâu vòm mắt<
>Tự bấy ngồi y cho đến nay.<
>Có vị mắt giương, mày nhíu xệch<
>Trán như nổi sóng biển luân hồi<
>Môi cong chua chát, tâm hồn héo<
>Gân vặn bàn tay mạch máu sôi.<
>Có vị chân tay co xếp lại<
>Tròn xoe từa thể chiếc thai non<
>Nhưng đôi tai rộng dài ngang gối<
>Cả cuộc đời nghe đủ chuyện buồn….<
>Các vị ngồi đây trong lặng yên<
>Mà nghe giông bão nổ trăm miền<
>Như từ vực thẳm đời nhân loại<
>Bóng tối đùn ra trận gió đen.<
>Mỗi người một vẻ, mặt con người<
>Cuồn cuộn đau thương cháy dưới trời<
>Cuộc họp lạ lùng trăm vật vã<
>Tượng không khóc cũng đổ mồ hôi.<
>Mặt cúi nghiêng, mặt ngoảnh sau<
>Quay theo tám hướng hỏi trời sâu<
>Một câu hỏi lớn. Không lời đáp<
>Cho đến bây giờ mặt vẫn chau.<
>Có thực trên đường tu đến Phật<
>Trần gian tìm cởi áo trầm luân<
>Bấy nhiêu quằn quại run lần chót<
>Các vị đau theo lòng chúng nhân?<
>Nào đâu, bác thợ cả xưa đâu?<
>Sống lại cho tôi hỏi một câu:<
>Bác tạc bấy nhiêu hình khô hạnh<
>Thật chăng chuyện Phật kể cho nhau?<
>Hay bấy nhiêu hồn trong gió bão<
>Bấy nhiêu tâm sự, bấy nhiêu đời<
>Là cha ông đó bằng xương máu<
>Đã khổ, không yên cả đứng ngồi.<
>Cha ông năm tháng đè lưng nặng<
>Những bạn đương thời của Nguyễn Du<
>Nung nấu tâm can vò võ trán<
>Đau đời có cứu được đời đâu.<
>Đứt ruột cha ông trong cái thuở<
>Cuộc sống giậm chân hoài một chỗ<
>Bao nhiêu hi vọng thúc bên sườn<
>Héo tựa mầm non thiếu ánh dương.<
>Hoàng hôn thế kỷ phủ bao la<
>Sờ soạng, cha ông tìm lối ra<
>Có phải thế mà trên mặt tượng<
>Nửa như khói ám, nửa sương tà.<
>Các vị La Hán chùa Tây Phương!<
>Hôm nay xã hội đã lên đường<
>Tôi nhìn mặt tượng dường tươi lại<
>Xua bóng hoàng hôn, tản khói sương.<
>Cha ông yêu mến thời xưa cũ<
>Trần trụi đau thương bỗng hoá gần!<
>Những bước mất đi trong thớ gỗ<
>Về đây, tươi vạn dặm đường xuân.",lục bát,https://isach.info/poem.php?poem=cac_vi_la_han_chua_tay_phuong__huy_can,Huy Cận,hiện đại,
Chiều Xưa,"Tập thơ Huy Cận:<
>Buồn gieo theo gió veo hồ,<
>Đèo cao quán chật, bến đò lau thưa.<
>Đồn xa quằn quại bóng cờ,<
>Phất phơ buồn tự thuở xưa thổi về.<
>Ngàn năm sực tỉnh lê thê<
>Trên thành son nhạt - Chiều tê cuối đầu...<
>Bờ tre rung động trống chầu,<
>Tưởng chừng còn vọng trên lầu ải quan,<
>Đêm mơ lay ánh trăng tàn,<
>Hồn xưa gởi tiếng thời gian, trống dồn.",bảy chữ,https://isach.info/poem.php?poem=chieu_xua__huy_can,Huy Cận,hiện đại,
