title,content,genre,url,author,period,specific_genre
Bé Ăn Quả,"Bé ăn nhiều vào<
>Người khỏe mạnh ra<
>Bé ăn quả na<
>Càng thêm rắn chắc<
>Bé ăn quả đào<
>Sạch răng sạch lưỡi<
>Bé ăn quả bưởi<
>Nhiều sinh tố C<
>Bé ăn quả lê<
>Càng thêm man mát<
>Bé ăn nhiều quả<
>Bé ăn nhiều vào<
>Khỏe mạnh hồng hào<
>Chăm ngoan học giỏi",thơ tự do,https://isach.info/poem.php?poem=be_an_qua__khuyet_danh,Khuyết Danh,hiện đại,
Cái Bát Xinh Xinh,"Cái bát xinh xinh<
>Mẹ cha công tác<
>Nhà máy Bát Tràng<
>Mang về cho bé<
>Cái bát xinh xinh<
>Từ vùng đất sét<
>Qua bàn tay cha<
>Qua bàn tay mẹ<
>Thành cái bát xinh<
>Nâng niu bé giữ<
>Mỗi bữa hàng ngày<
>Công cha công mẹ<
>Bé cầm trên tay",thơ tự do,https://isach.info/poem.php?poem=cai_bat_xinh_xinh__khuyet_danh,Khuyết Danh,hiện đại,
Cái Trống Trường Em,"Cái trống trường em<
>Mùa hè cũng nghỉ<
>Suốt ba tháng liền<
>Trống nằm ngẫm nghĩ<
>Buồn không hả trống?<
>Trong những ngày hè<
>Bọn mình đi vắng<
>Chỉ còn tiếng ve...<
>Cái trống lặng yên<
>nghiêng đầu trên giá<
>Chắc thấy chúng em<
>nó mừng vui quá<
>Kìa trống đang gọi<
>thùng thùng thùng thùng...<
>Vào năm học mới<
>Rộn vang tưng bừng<
>MẸ ƠI CÔ DẠY<
>Mẹ, mẹ ơi cô dạy<
>Phải giữ sạch đôi tay<
>Bàn tay mà dây bẩn<
>Sách áo cũng bẩn ngay.<
>Mẹ, mẹ ơi cô dạy<
>Cãi nhau là không vui<
>Cái miệng nó xinh thế<
>Chỉ nói điều hay thôi.",thơ tự do,https://isach.info/poem.php?poem=cai_trong_truong_em__khuyet_danh,Khuyết Danh,hiện đại,
Cát Và Em,"Sao em mong thành cát?<
>Mặc sóng nước vỗ bờ<
>Rì rào trong ðêm vắng<
>Lòng lo buồn vu vơ<
>Sao em thích thành cát?<
>Lóng lánh giọt thủy tinh<
>Hay để anh làm gió?<
>Vẽ lên em chữ TÌNH<
>Em muốn mình là cát<
>Buồn quên duyên phận người<
>Tung bay cùng với gió<
>Vui lắm không? cát ơi!!!!<
>Em tôi mong thành cát<
>Khoe sắc ánh ban mai<
>Lăn tăn từng hạt nhỏ<
>Còn say giấc ngủ ngày?<
>Em buồn vui như cát<
>Thao thức đếm nhịp sầu<
>Khe khẽ anh nhẹ gió<
>Ru em suốt canh thâu<
>Trời xui em làm cát<
>Anh đâu là biển xanh<
>Chỉ còn mong làm gió<
>Xoa dịu em nỗi lòng<
>Mịn màng bờ cát trắng<
>Êm ái thoảng làn hương<
>Hơi thở anh làn gió<
>Ru em mộng thiên đường<
>Cát nằm yên muôn thuở<
>Gió vẫn mãi vờn quanh<
>Khe khẽ hôn làn tóc<
>Vi vu khúc nhạc lòng<
>Có phải em là cát ?<
>Nằm kề bên biển mê<
>Sóng vô tình khỏa lấp<
>Hồn lạc em lạc bước về<
>Buồn vui chi hỡi Cát<
>Cho mắt ngấn lệ sầu<
>Yêu thương làn gió thổi<
>Thấm mát tận hồn sâu<
>Mai hóa thân thành cát<
>Ngơi nghĩ đến ngàn năm<
>Hồn anh tan thành gió<
>Quanh quẩn chốn em nằm",thơ tự do,https://isach.info/poem.php?poem=cat_va_em__khuyet_danh,Khuyết Danh,hiện đại,
Hồ Sen,"Hoa sen đã nở<
>Rực rỡ đầy hồ<
>Thoang thoảng gió đưa<
>Mùi hương thơm ngát<
>Lá sen xanh mát<
>Đọng hạt sương mai<
>Gió ru êm đềm<
>Sương long lanh chảy",thơ tự do,https://isach.info/poem.php?poem=ho_sen__khuyet_danh,Khuyết Danh,hiện đại,
Khi Tôi Chết…,"Khi tôi chết ai là người xây mộ<
>Ai sẽ buồn sẽ khóc tiễn đưa tôi<
>Nấm đất nâu rồi chôn vùi tuổi mộng<
>Và thiên đường hay ngục tối đó tôi<
>Khi tôi chết ai là người nhỏ lệ<
>Xót xa dùm số kiếp lắm thương đau<
>Chốn thế gian đời tôi nhiều khổ hận<
>Chạy theo tình nên đời mãi lao đao<
>Khi tôi chết lá rừng xây nấm mộ<
>Giọt sương mù làm lệ tiễn hồn tôi<
>Vành khăn tang là mây trắng đỉnh đầu<
>Làn hương nhạt là trùng dương bốc khói<
>Khi tôi chết lòng vẫn còn đau nhói<
>Bởi hồn tôi là một kiếp lưu linh<
>Bởi ngày mai đâu thấy ánh bình minh<
>Khi tia sáng nhỏ nhoi và le lói<
>Khi tôi chết vẫn còn nhiều mong mỏi<
>Kiếp dương trần thấm đẫm lệ đau thương<
>Lúc đi xa tôi vẫn mãi vấn vương<
>Hồn về đâu khi đã lìa khỏi xác ...",bảy chữ,https://isach.info/poem.php?poem=khi_toi_chet__khuyet_danh,Khuyết Danh,hiện đại,
(khuyết Danh),"Chúng tôi khiêng anh về qua sông Đăk BLa<
>Mưa tầm tã trên thân anh đẫm máu<
>Trận đánh chưa xong, mắt anh nhìn đau đáu<
>Lần cuối cùng bầu trời Kon Tum.<
>Không có gì có thể thiết tha hơn<
>Những khao khát từ mắt anh trao lại<
>Đôi mắt ấy theo tôi hành quân mãi<
>Tới Sài Gòn, tới tận chót Cà Mau.<
>Tôi trở lại Kon Tum vừa kịp vụ đầu<
>Với chiếc rựa khai hoang vào trận mới<
>Với tất cả những gì của lòng mình gom góp lại<
>Sau những năm lăn lộn chiến trường.<
>Đất nước còn nghèo, đời tiếp tục khẩn trương<
>Đồng đội cũ về đây gần đủ mặt<
>Không tránh khỏi có những người rẽ ngoặt<
>Lòng đang phai màu máu đỏ chiến hào.<
>Phải sống thế nào đây? Nên sống thế nào?<
>Câu hỏi ngỡ nhàm rồi vẫn luôn luôn nóng bỏng<
>Dựng lòng người như sóng<
>Cứ mỗi ngày một khẩn thiết khắt khe hơn.<
>Những tính toán ranh ma, những dục vọng chập chờn<
>Cái tặc lưỡi: sự đời thường vẫn vậy.<
>Nhưng kìa đôi mắt anh<
>Đôi mắt anh dưới bầu trời Kon Tum buổi ấy",bảy chữ,https://isach.info/poem.php?poem=khuyet_danh__khuyet_danh,Khuyết Danh,hiện đại,
Mèo Con Đi Học,"Mèo con buồn bực<
>Mai phải đến trường<
>Bèn kiếm cớ luôn:<
>- Cái đuôi tôi ốm<
>Cừu mới be toáng:<
>- Tôi sẽ chữa lành<
>Nhưng muốn cho nhanh<
>Cắt đuôi khỏi hết<
>_ Cắt đuôi ấy chết...!<
>Tôi đi học đây.",thơ tự do,https://isach.info/poem.php?poem=meo_con_di_hoc__khuyet_danh,Khuyết Danh,hiện đại,
Nếu Phải Xa Em,"Mưa lại về khe khẽ giữa đêm nay<
>Hà Nội đợi anh trong bài thơ kế tiếp<
>Chiếc lá mùa đông chẳng còn xanh biếc<
>Uốn cong mình cùng giọt nước bơ vơ...<
>Chẳng còn con đường hoa sữa nên thơ<
>Hay đèn đêm buông mình trên lối cũ<
>Chỉ có mưa tựa hồ như thác lũ<
>Đổ xuống quên mình trên những phố xa<
>Sẽ đến một ngày anh vội vã đi qua<
>Con đường dài quá làm anh vội bước<
>Không chờ đợi những khóm hoa ngày trước<
>Để nhuộm buồn cho mái tóc mong manh...<
>Liệu ngày đó lá me có còn xanh?<
>Ngày mình xa nhau như em từng đùa cợt<
>Ngày em về trên đường mưa bất chợt<
>Em vẫn bảo rằng sẽ chẳng nhớ anh đâu<
>Kỉ niệm xin em đừng gọi là nỗi đau<
>Vì gió mưa chẳng còn như thác lũ<
>Chỉ lất phất bay như hình bóng cũ<
>Khẽ gửi mình trong ngọn gió đêm qua...",bảy chữ,https://isach.info/poem.php?poem=neu_phai_xa_em__khuyet_danh,Khuyết Danh,hiện đại,
Ngẫu Hứng Tháng Mười,"Tháng 10 xui đốt bùa yêu<
>Thả ngày gió chướng chong chiều trăm năm<
>Môi hôn cuống quýt nảy mầm<
>Dại tin lời cỏ rẽ nhầm vườn rêu<
>Tháng 10 buồn trổ cánh diều<
>Ngang qua phố cũ về trêu ánh đèn<
>Đường xa thắc thỏm tìm quen<
>Đỏ vàng đứng ngó xanh bên kia ngày<
>Tháng 10 ngồi vẽ lông mày<
>Hớ hênh mắt biếc cười trầy bóng nhau<
>Soi gương cởi vạt tình đầu<
>Đắp bờ son mới lem màu cố nhân<
>Tro nằm khóc lửa sang ngang<
>Tay ơi nắm lại ủ than dại khờ<
>Chân cứ đi, mắt cứ chờ<
>Vấp lên ngã xuống ngại bơ vơ mình<
>Tháng 10 mưa muộn giọt xinh<
>Người chưa đến kịp đã hình như xưa<
>Ngủ trên cánh dế chở mùa<
>Nửa bài ca mọng mỏng vừa tuổi em",lục bát,https://isach.info/poem.php?poem=ngau_hung_thang_muoi__khuyet_danh,Khuyết Danh,hiện đại,
