title,content,genre,url,author,period,specific_genre
Anh Chẳng Còn Gì Nữa,"Anh chẳng còn gì nữa để yêu em<
>Chẳng còn gì nữa<
>Những con chim ngờ nghệch tuổi thơ<
>Trong chiếc bẫy thời gian đã chết<
>Hàng rào mát với quả chuông sùng tín<
>Đã tan thành cát bụi dưới lòng sông<
>Bây giờ anh trong suốt như không khí<
>Như gió hoang không hình không giới hạn<
>Không nhà không chốn nghỉ không tên<
>Không gương mặt nụ cười để hiện ra trước em",bảy chữ,https://isach.info/poem.php?poem=anh_chang_con_gi_nua__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Anh Đã Mất Chi Anh Đã Được Gì,"Phải chăng anh đã mất giấc mơ<
>Mất tiếng ve và những mùa dưa chín<
>Anh đã mất cả mây qua lòng giếng<
>Cả tiếng gà hẻm núi cả cơn mưa<
>Mất những tiếng rung mơ hồ mà biết gọi người đi<
>Mất niềm tin vào chiếc thuyền buồm trắng<
>Mất đom đóm đầm sâu mất nụ cười phố vắng<
>Mất bài thơ trao tay nhỏ em cầm<
>Giờ lạnh tanh anh không còn xao động nữa<
>Không nỗi buồn không cay đắng không niềm vui<
>Khổ đau hôm nay không như khổ cũ<
>Nỗi lo âu cũng khác hẳn xưa rồi<
>Anh đã cho nhiều anh đã phải lãng quên<
>Người ta chê anh nhiều lưu luyến quá<
>Anh gắng gượng nghe theo anh vứt bỏ<
>Bao diệu kì chân thực thuộc về anh<
>Mất hạnh phúc rồi ư nhưng anh cần chi hạnh phúc<
>Hai tiếng xa vời hiểu rõ nghĩa từ lâu<
>Ừ thì ngẩn ngơ anh đành nhận thế<
>Giọt lệ trong không tủi hổ gì đâu<
>Anh chẳng mang cho đời những tiệc vui ảo ảnh<
>Nỗi buồn chân thành đời chẳng nhận hay sao<
>Cái bay thợ nề sinh ra để dựng xây<
>Anh sinh giữa ngày lo âu bề bộn<
>Bàn tay phải trồng đôi vai phải gánh<
>Anh có ngại chi anh đã hiểu rồi<
>Anh vẫn còn nguyên cái tính chất của đời<
>Anh đã được vầng trán cao được cái nhìn trí tuệ<
>Được rèn đi như luống đất được cày<
>Anh đã khổ đau khổ đau dài hơn số tuổi<
>Vẫn trong lành khi em đến cầm tay<
>Dẫu chẳng lấy về tất cả cho anh<
>Em vẫn như sông rộng tốt lành<
>Em mà ngọn gió chiều nức nở<
>Em mà ngày xưa run rẩy cả lòng anh<
>Em đã tới giữa mưa dầm nắng lửa<
>Dẫu anh mất nhà ga êm đẹp đó<
>Vẫn còn con tàu chuyển bánh đi xa<
>Anh đã mất ngôi sao trên mái nhà<
>Anh vẫn còn ngôi sao ngoài cửa sổ<
>Và nếu mất em rồi anh vẫn còn đôi mắt của em",bảy chữ,https://isach.info/poem.php?poem=anh_da_mat_chi_anh_da_duoc_gi__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Bài Hát Ấy Vẫn Còn Là Dang Dở,"Nắng đã tắt dần trên lá im<
>Chiều đã xẫm màu xanh trong mắt tối<
>Đường đã hết trước biển cao vời vợi<
>Tay đã buông khi vừa dứt cung đàn<
>Gió đã dừng nơi cuối chót không gian<
>Mưa đã tạnh ở trong lòng đất thẳm<
>Người đã sống hết tận cùng năm tháng<
>Sau vô biên sẽ chỉ có vô biên<
>Anh vẫn chưa nói được cùng em<
>Bài hát ấy vẫn còn là dang dở<
>Chưa hiểu được mùi thơm của lá<
>Chưa nghe xong tiếng hót của chim rừng<
>Yêu thương hoài vẫn chưa đủ yêu thương<
>Ôi nếu phải tan thành bụi cát<
>Thành hư vô, không khí trời, không ánh sáng<
>Chỉ rỗng không, câm lặng, vô hình<
>Sẽ ở đâu, bài hát ấy của anh<
>Gương mặt của hôm nay ơi, em của những ngày đang sống?<
>Không thể ôm cả bầu trời lồng lộng<
>Nhưng có thể cầm một chùm quả trên tay<
>Có thể trồng thêm một bóng mát cho ngày<
>Không tới được một vì sao xa lắc<
>Nhưng có thể đến trong mùa cấy gặt<
>Làm thuyền trên sông, làm lúa trên đồng<
>Làm ngọn lửa hồng, làm tấm gương trong<
>Và nhận hết niềm vui trên cõi sống<
>Mũi kim nhỏ mà chiều mau tắt nắng<
>Có sao đâu: áo đẹp đã xong rồi<
>Phút cuối cùng tay vẫn ở trong tay<
>Ta đã có những ngày vui sướng nhất<
>Đã uống cả men nồng và rượu chát<
>Đã đi qua cùng tận của con đường<
>Sau vô biên dẫu chỉ có vô biên:<
>Buồm đã tới và lúa đồng đã gặt.",bảy chữ,https://isach.info/poem.php?poem=bai_hat_ay_van_con_la_dang_do__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Bài Hát Trong Một Cuốn Phim Cũ,"Ta đến làm gì?”<
>Đội mũ phớt rộng vành<
>Áo vét-tông kiểu đầu thế kỷ<
>Anh hề xiếc đã già<
>Không làm ai cười nữa<
>Lũ trẻ ngồi xem<
>Lầm lì cau có.<
>“Ta đến làm gì ta sẽ đi tới đâu?”<
>Các sinh viên cãi nhau<
>Về ý nghĩa của tồn tại<
>Em ngồi im lặng<
>Cô đơn với chính mình.<
>Tập an-bom em bỏ quên<
>Hê Minh Uây đeo súng săn<
>Chân dung Bô Voa ngày trẻ<
>Cuốn sách viết từ thế chiến thứ hai<
>Mọi chuyện quẩn quanh vẫn thế<
>Điều chủ yếu chưa tìm ra<
>Anh là gì của em<
>Con người là gì đối với nhau?<
>Bài hát trong một cuốn phim cũ<
>Khi dãy phố lên đèn<
>Làm cô thợ khâu buồn phát khóc<
>Ước chi mọi việc giản đơn<
>Như bó tầm xuân vừa mới hái<
>Vị thần lo âu vị thần khắc khoải<
>Đứng bên linh cữu Phao Stơ<
>Từ thuở con người trong hang động bước ra<
>Mặc nhân sư nói gì<
>Chưa cách nào hiểu được.<
>Sóng khổ đau đã tạc hình em<
>Anh yêu ngọn lửa đó<
>Bài hát trong một cuốn phim cũ<
>Như những con đom đóm<
>Thức dậy giữa đêm dài.",thơ tự do,https://isach.info/poem.php?poem=bai_hat_trong_mot_cuon_phim_cu__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Bầy Ong Trong Đêm Sâu,"Tâm hồn anh dằn vặt cuộc đời anh<
>Thắp một ngọn đèn hồng như ánh lửa<
>Ðêm sâu quá đêm nào biết ngủ<
>Chỉ con người đến ngủ giữa đêm thôi<
>Mà có ngủ đâu, người ta đợi mặt trời<
>Ðợi lâu quá nên để cơn mơ chờ đợi vậy<
>Trong cơn mơ là cuộc đời thức dậy<
>Con ong vàng bé nhỏ đến tìm em<
>Con ong xanh có đôi mắt đen<
>Con ong trắng bơ vơ trong tổ vắng<
>Con ong đỏ là con ong trong thơ thẩn<
>Bay đi tìm hương nhuỵ mất từ lâu<
>Ðã chết rồi ơi chú ong nâu<
>Ðể hoa rụng mùa thu thương nhớ bạn<
>Anh là con ong bay giữa trời lận đận<
>Trời đêm dài chẳng có một ngôi sao<
>Em ở đâu, em ngủ ở phương nào<
>Môi em thở những điều gì khe khẽ?<
>Em, em gần hay em xa thế nhỉ<
>Ðến bất ngờ loá nắng giữa lòng đau<
>Anh có hẹn đâu, anh chả nói câu nào<
>Anh chỉ buồn thôi, em chỉ buồn thôi, ai biết?<
>Tóc em dài như một ngày mỏi mệt<
>Em đợi chi anh, em cần chi anh?<
>Anh đợi chờ em, không đợi sao đành?<
>Ðêm như biển không bờ bóng tối rất thẳm sâu<
>Ðời cũng giống như biển kia anh lại giống con tàu<
>Tàu anh đi đi hoài trên biển vắng<
>Mong tìm được một bóng hình bè bạn<
>Ðến bây giờ anh gặp được tàu em<
>Anh mở gió tâm hồn cho buồm thắm kéo lên<
>Ai ngờ tàu em lại là tàu cướp biển<
>Em cướp hết cuộc đời anh, em lấy hết<
>Bão táp nổi lên, chớp giật, tàu xiêu<
>Em đứng đó hãi hùng ngơ ngác<
>Anh cũng thương em suốt đời trên sóng nước<
>Cướp được tàu anh tưởng có ngọc vàng<
>Ngờ đâu chỉ là ván nát sàn hoang,<
>Còn trơ lại hồn thơ tai ác quá.<
>Nhưng thôi em ơi đấy chỉ là lời ru trong giấc ngủ<
>Anh thương em đây anh lại êm đềm<
>Làm con ong vàng đến ngủ giữa tóc em<
>Con ong xanh có đôi mắt đen<
>Con ong trắng là con ong thương nhớ<
>Con ong đỏ chính niềm tin ấp ủ<
>Còn hạnh phúc cuối cùng là khúc hát chú ong nâu.",bảy chữ,https://isach.info/poem.php?poem=bay_ong_trong_dem_sau__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Cầu Nguyện,"Tình thương không thể ngăn tội ác<
>Đêm nay kẻ giết người<
>Ngồi quanh bàn ăn mừng Chúa ra đời<
>Đêm nay những vĩ nhân nâng cốc<
>Cò kè mặc cả với nhau.<
>Nói cho các người biết:<
>Tôi không quên gì đâu<
>Tôi nhớ hết và tôi không tha thứ<
>Phố nghèo hút gió<
>Dưới vòm cây run rẩy tối đen<
>Tôi thì thầm lời cầu nguyện của mình<
>Sao cho máu đừng chảy nữa<
>Sao cho người lính trở về<
>Lũ trẻ ngủ ngon<
>Cái chết không cắt ngang giấc ngủ<
>Nguyện cho phố tôi<
>Không ai phải quanh năm túng đói<
>Không còn ai bị mỏi mòn sỉ nhục<
>Nguyện cho kẻ ốm mau lành<
>Nguyện cho người tôi thương không phải khóc<
>Nguyện cho lòng tôi đừng sợ hãi<
>Người ơi tôi gục xuống tay người<
>Quỳ dưới chân người<
>Hãy tha thứ cho tôi<
>Đã bất lực đã yếu nghèo mệt mỏi<
>Chỉ xin người thức tỉnh<
>Đừng bị dối lừa đừng rời rã tan hoang.",bảy chữ,https://isach.info/poem.php?poem=cau_nguyen__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Chia Tay,"Cho anh hái một nhành mi xanh biếc<
>Trong giây phút hai ta tiễn biệt<
>Nắng rụng vào khoé mắt thoảng bóng mây<
>Tơ buông tơ hay gió se qua tay<
>Theo khắp chốn đường anh xa tắp<
>Một nhành mi thôi làm sao mà gặp<
>Ở chân trời đang gọi không phân vân<
>Cây đâm chồi khúc nhạc mùa xuân<
>Bàn tay vẫy trong nắng nhoà xin chớ tiếc<
>Đời rất rộng không lo lẻ chiếc<
>Thôi đưa nhau đừng nhìn theo anh<
>Nước mắt đừng ướt buổi chiều xanh<
>Nỗi buồn ấy ai nào biết được<
>Đối với anh chỉ con đường phía trước<
>Buồn không cùng nhưng mà phải đi thôi<
>Cánh chim bay và tàu đã nổi còi…",bảy chữ,https://isach.info/poem.php?poem=chia_tay__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Chiều Chuyển Gió,"Chân bước vội em về từ phố rộng<
>Mang mùa hè xanh biếc trên vai<
>Chiều mênh mông gió lớn thổi từ trời<
>Em bỏ nón tóc lòa xòa trên má.<
>Ngày thường ngày chẳng có gì lạ cả<
>Sao suốt chiều anh cứ đợi mong em<
>Anh hồi hộp vào ra, anh xếp sách dọn bàn…<
>Và gió cứ đập hoài ngoài cửa sổ<
>Chỉ gió chuyển chứ có gì khác lạ<
>Hè sắp qua, thu sắp trắng bên trời<
>Sống bên em thấm thoắt mấy năm trôi<
>Lòng sao vẫn ngỡ ngàng như mới gặp?<
>Anh nghe tiếng những vòm cây gió động<
>Lá chập chờn muôn ánh nắng lung linh<
>Nắng tan ra như hơi thở vô tình<
>Hơi thở lớn ào ào trên phố xá …<
>Những mái nhà chập chùng như biển cả<
>Sự diệu kì của trời đất mênh mông<
>Sự diệu kì của tia nắng mong manh,<
>Sự diệu kì của cuộc đời mạnh mẽ<
>Vừa bí ẩn vừa rõ ràng đến thế<
>Không cho ai được sống nửa vời<
>Có em anh hiểu lại cuộc đời<
>Có em anh bắt đầu tất cả<
>Bắt đầu con đường, bắt đầu nhịp thở<
>Mùa hạ đầu tiên, ngọn gió đầu tiên<
>Muốn trao em gương mặt đến tâm hồn<
>Đều trong trắng, tràn đầy thuần khiết nhất<
>Niềm vui sống như dòng sông mãnh liệt<
>Một sáng mai, một cảng mới để lên đường<
>Đất đai thành xứ lạ lúc trăng lên…<
>Còn bao chân trời mình chưa tới kịp<
>Bao đau đớn, yêu thương, nụ cười, nước mắt<
>Mỗi con đường lại có những ngã ba<
>Dẫn đến vô biên bao chuyện bất ngờ<
>Bao bài hát mình chưa nghe kịp<
>Trang giấy rộng ngòi but đưa gấp gấp<
>Cuốn sách hay cuống quýt lật trên tay<
>Chưa đọc hết trang kia sợ bỏ sót trang này<
>Anh là kẻ suốt đời tất bật<
>Suốt đời vội đi, suốt đời nóng ruột<
>E đến nơi mùa đã gặt xong rồi<
>Nhưng cốc rượu đầy uống mãi chẳng hề vơi<
>Sau mùa hạ đến mùa thu lá đỏ<
>Sau mùa cúc lại mùa hoa vạn thọ<
>Sau cửa gương là đôi mắt thương yêu<
>Ôi vai em mềm ấm biết bao nhiêu<
>Em ngoảnh lai nhìn buổi chiều lộng gió<
>Tim anh đập như quả chuông bé nhỏ<
>Dưới hồi chuông vô tận của trời xanh",bảy chữ,https://isach.info/poem.php?poem=chieu_chuyen_gio__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Cơn Bão,"Cơn bão dữ thổi hai đầu đất nước<
>Tuổi trẻ, ước mong, những gì quý nhất<
>Đều trôi qua trong bụi xám chiến hào<
>Triệu con người lên sống rừng sâu<
>Khoét núi làm đường, chặt cây nhóm lửa<
>Võng bạt, lán tranh, đất bùn nhầy nhụa<
>Những đường dây, binh trạm, những sư đoàn<
>Những sinh viên đi lái xe tăng<
>Những dân chài trở thành pháo thủ<
>Kế toán, thợ nề, nông trường viên, thợ mỏ<
>Thành lính gỡ mìn và xung kích đâm lê<
>Chúng tôi đào hào bám giữ đảo xa<
>Gánh lên núi ngàn cân pháo nặng<
>Chúng tôi lao máy bay mình vào máy bay của giặc<
>Chúng tôi bắc cầu trong chớp lửa bom bi<
>Những đội quân hốc hác lầm lì<
>Xông lên đồi cao, lăn, toài, ném, bắn<
>Nấp đỡ, gào la, mặt mày cháy xém<
>Những vết thương rách nát máu bầm đen…<
>Sự tàn khốc tận cùng<
>Sức dẻo dai kỳ lạ<
>Cơn bão lớn mười mấy năm chưa dứt<
>Bao lớp người vẫn nườm nượp ra đi<
>Từ đâu từ bao giờ<
>Năm 60 năm 54?<
>Từ Hướng Điền từ Phú Lợi?<
>Hay từ lúc ngăn đôi dòng Bến Hải<
>Viên tướng Mỹ đầu tiên xách cặp tới Đông dương?<
>Hay từ lâu hơn, những thế kỷ xa xăm<
>Những đạo quân Nam Hán, Nguyên Mông<
>Những ranh giới phân tranh Trịnh, Nguyễn?<
>Chưa bao giờ đất tan hoang đến thế<
>Những chuyến tàu chở đầy lính Mỹ<
>Quần áo mới tinh, súng đạn đầy người<
>Bom lân tinh và thuốc giang mai<
>Cánh trực thăng ầm ầm quạt gió<
>Ụ cát ngổn ngang, rào gai tua tủa<
>Dải đất hẹp, mùa hè gió lửa<
>Giành giật nhau từng viên gạch chân tường<
>Một bên là con trai Thanh Hóa, Thái Bình<
>Một bên là con những bà mẹ Thừa Thiên, Phan Thiết<
>Những sinh viên Sài Gòn<
>Những sĩ quan Đà Lạt<
>Những đội quân mang tên dã thú<
>Những tiểu đoàn không còn sót một ai<
>Những mô đất con đổi bằng mạng trăm người<
>Bằng pháo kích, lưỡi lê, bằng chân tay vật lộn<
>Chúng tôi nằm dưới đường hào ngập nước<
>Xa mọi người, xa mẹ, xa quê hương<
>Ai bảo chúng tôi là tuổi trẻ tươi xanh<
>Với mũi lê, với phát đạn đầu tiên<
>Chúng tôi đã không còn trẻ nữa<
>Từ bao giờ và còn bao giờ nữa<
>Những quy luật tàn khốc của loài người<
>Lý lẽ của súng đạn<
>Những mục đích tốt đẹp<
>Những mưu đồ xấu xa<
>Những ý tưởng quá đà<
>Cơn bão lớn, lấp vết thương của đất<
>Chúng tôi là triệu viên đá trên đê<
>Mai đây bão táp lùi xa<
>Những lớp người sau bình tâm nhìn lại<
>Gọi chúng tôi là những người vĩ đại<
>Hay chỉ là những thế hệ đáng thương?<
>Sẽ xuýt xoa thán phục biết ơn<
>Hay kinh hãi trước bạo tàn bắn giết?<
>Tất cả chẳng có gì nói được<
>Chẳng có gì gần gũi với chúng tôi<
>Bằng một chiếc thìa gọt bởi cành cây<
>Một chiếc ca thô sơ bằng vỏ đạn<
>Chúng tôi làm dưới chiến hào bụi bậm<
>Một dòng thư viết vội gửi mẹ già<
>Một giấc mơ chợp ngủ thấy quê nhà<
>Một khu vườn chúng tôi chẳng kịp qua…<
>Bao tháng năm vô tận sẽ phai nhòa<
>Đất đổi khác, mọi người rồi cũng khác<
>Hãy quên chúng tôi đi<
>Như quên quá khứ nặng nề<
>Hãy quên chúng tôi đi<
>Để chúng tôi được yên lặng trở về<
>Để chúng tôi được hóa thành bụi đất<
>Thành mưa rào trên xứ sở yêu thương.",bảy chữ,https://isach.info/poem.php?poem=con_bao__luu_quang_vu,Lưu Quang Vũ,hiện đại,
Có Những Lúc,"Có những lúc tâm hồn tôi rách nát<
>Như một chiếc lá khô như một chồng gạch vụn<
>Một tấm gương chẳng biết soi gì<
>Một đáy giếng cạn không một hốc mắt đen sì<
>Trời chật chội như chiếc lồng trống rỗng<
>Thành phố đầy bụi bặm<
>Những mặt người lì nhẵn chen nhau.<
>Tôi biết làm gì tôi biết đi đâu<
>Tôi chẳng còn điếu thuốc nào<
>Đốt lên cho đỡ sợ<
>Yếu đuối đến cộc cằn thô lỗ<
>Tôi xấu xí mù loà như đứa trẻ mồ côi<
>Những gì mọi người cần, tôi chẳng thiết<
>Tôi khao khát yêu người<
>Mà không sao yêu được<
>Cuộc đời như một mụ già dâm đãng<
>Một núi giây thừng bẩn thỉu rối ren<
>Tôi chán cả bạn bè<
>Mấy năm rồi họ chẳng nói được câu gì mới<
>Tôi bỏ ra đi, họ ngồi ở lại<
>Tôi đi một mình trong phố vắng ban đêm<
>Tôi chẳng dám về gian phòng nhỏ của em<
>Tấm áo đẹp của em và chiếc đồng hồ em xinh xắn<
>Mặt tôi âm u như khu rừng rậm<
>Nghe em cười giữa bè bạn đông vui.<
>Những bức tường dựng đứng quanh tôi<
>Có những lúc tôi xuôi tay đuối sức<
>Nhưng từ đáy nỗi buồn tôi thăm thẳm<
>Một cái gì như nhựa thắm trong cây<
>Một cái gì trắng xoá tựa mây bay<
>Là hoa gạo của lòng tôi chẳng tắt<
>Tôi đập tay lên bức tường lạnh ngắt<
>Dù tiếng tôi chỉ một người nghe<
>Tôi phải đốt lên một cái gì<
>Cho sáng rực giữa chênh vênh vực thẳm<
>Dẫu bao lần người làm tôi thất vọng<
>Tôi vẫn yêu người lắm lắm người ơi<
>Làm run rẩy hoa hồng trên ngực nắng.",bảy chữ,https://isach.info/poem.php?poem=co_nhung_luc__luu_quang_vu,Lưu Quang Vũ,hiện đại,
