title,content,genre,url,author,period,specific_genre
Ái Khanh Hành,"Tập thơ Nguyễn Bính:<
>... Không phải gặp em từ buổi ấy<
>Hình như gặp em từ ngàn xưa<
>Lòng em thương anh không có bến<
>Tình anh yêu em không có bờ<
>Viết viết có đến nghìn trang giấy<
>Làm ra có đến nghìn bài thơ<
>Tương tư một đêm năm canh chẵn<
>Nhớ nhung một ngày mười hai giờ.",lục bát,https://isach.info/poem.php?poem=ai_khanh_hanh__nguyen_binh,Nguyễn Bính,hiện đại,
Anh Lái Đò,"Tập thơ Nguyễn Bính:<
>Năm xưa chở chiếc thuyền này<
>Cho cô sang bãi tước đay chiều chiều<
>Để tôi mơ mãi mơ nhiều:<
>Tước đay se võng nhuộm điều ta đi<
>Tưng bừng vua mở khóa thi<
>Tôi đỗ quan Trạng vinh quy về làng<
>Võng anh đi trước võng nàng<
>Cả hai chiếc võng cùng sang một đò<
>Đồn rằng đám cưới cô to<
>Nhà trai thuê chín chiếc đò đón dâu<
>Nhà gái ăn chín nghìn cau<
>Tiền cheo, tiền cưới chừng đâu chín nghìn<
>Lang thang tôi dạm bán thuyền<
>Có người trả chín quan tiền, lại thôi!",bảy chữ,https://isach.info/poem.php?poem=anh_lai_do__nguyen_binh,Nguyễn Bính,hiện đại,
Anh Về Quê Cũ,"Tập thơ Nguyễn Bính:<
>Anh về quê cũ: thôn Vân<
>Sau khi đã biết phong trần ra sao?<
>Từ nay lại tắm ao đào,<
>Rượu đâu mà cất, thuốc lào nào phơi.<
>Giang hồ sót lại tình tôi,<
>Quê người đắng khói, quê người cay men.<
>Nam kỳ rồi lại Cao miên,<
>Tắm trong một cái biển tiền người ta...<
>Biển tiền, ôi biển bao la,<
>Mình không bần được vẫn là tay không...<
>Thôn Vân có biếc có hồng,<
>Hồng trong nắng sớm, biếc trong vườn chiều.<
>Đê cao có đất thả diều,<
>Trời cao lắm lắm có nhiều chim bay.<
>Quả lành nặng trĩu từng cây,<
>Sen đầy ao cá, cá đầy ao sen.<
>Hiu hiu gió quạt trăng đèn,<
>Với dăm trẻ nhỏ thả thuyền ra chơi.<
>Ăn gỏi cá, đánh cờ người,<
>Thần tiên riêng một góc trời thôn Vân.<
>Ơi thôn Vân, hỡi thôn Vân!<
>Phương nao kết dãi mây Tần cho ta.<
>Từ nay khi nhớ quê nhà,<
>Thấy mây Tần biết đó là thôn Vân.<
>Ơi thôn Vân, hỡi thôn Vân!<
>Anh em ly tán, lâu dần thành ra<
>Không còn ai ở lại nhà.<
>Hỏi còn ai nữa? Để hoa đầy vườn.<
>Trăng đầy ngõ, gió đầy thôn,<
>Anh về quê cũ có buồn không anh?",bảy chữ,https://isach.info/poem.php?poem=anh_ve_que_cu__nguyen_binh,Nguyễn Bính,hiện đại,
Áo Anh,"Tập thơ Nguyễn Bính:<
>Tằm em ăn rỗi hôm nay,<
>Hái dâu em bận suốt ngày hôm qua.<
>Mong sao tằm tốt tơ già,<
>May đôi áo nái làm quà cho anh.<
>Hẹn cho em một hẹn anh chờ,<
>Em may áo nái bao giờ mới xong?<
>Lạy trời tắt gió ngang sông,<
>Qua đò biếu áo yên lòng em tôi.<
>Đưa anh đến bến đò ngang,<
>Con sào đẩy sóng thuyền nan vào bờ.<
>Anh đi sương gió vật vờ,<
>Em về chọn kén chuốt tơ chăm tằm.<
>Đến mùa gió bấc sang năm,<
>Bao nhiêu lụa bấy nhiêu làm áo anh.<
>Mong sao sự nghiệp chóng thành,<
>Áo anh đã có em anh may giùm.",bảy chữ,https://isach.info/poem.php?poem=ao_anh__nguyen_binh,Nguyễn Bính,hiện đại,
Bài Hành Phương Nam,"Tập thơ Nguyễn Bính:<
>Hai ta lưu lạc phương Nam này<
>Đã mấy mùa qua én nhạn bay<
>Xuân đến khắp trời hoa rượu nở<
>Riêng ta với ngươi buồn vậy thay!<
>Lòng đắng xá chi muôn hớp rượu<
>Mà không uống cạn mà không say!<
>Lời thề buổi ấy cầu Tư Mã<
>Mà áo khinh cừu chưa ai may!<
>Ngươi giam chi khí vòng cơm áo<
>Ta trói thân vào lụy nước mây<
>Ai biết thương nhau từ buổi trước<
>Bây giờ gặp nhau trong phút giây<
>Nợ thế, trả chưa tròn một món<
>Sòng đời, thua đến trắng hai tay<
>Quê nhà xa lắc xa lơ đó<
>Ngoảnh lại tha hồ mây trắng bay<
>Tâm giao mấy kẻ thì phương Bắc<
>Ly tán vì cơn gió bụi này Người ơi!<
>Buồn lắm mà không khóc<
>Mà vẫn cười qua chén rượu đầy<
>Vẫn dám ăn tiêu cho đến hết<
>Ngày mai ra sao rồi sẽ hay<
>Ngày mai, có nghĩa gì đâu nhỉ?<
>Cốt nhất cười vui trọn tối nay<
>Rẫy ruồng châu ngọc, thù son phấn<
>Mắt đỏ lên rồi, cứ chết ngay.<
>Hỡi ơi ! Nhiếp Chính mà băm mặt<
>Giữa chợ ai người khóc nhận thây?",lục bát,https://isach.info/poem.php?poem=bai_hanh_phuong_nam__nguyen_binh,Nguyễn Bính,hiện đại,
Bảy Chữ,"Tập thơ Nguyễn Bính:<
>Mây trắng đang xây mộng viễn hành,<
>Chiều nay tôi lại ngắm trời xanh,<
>Trời xanh là một tờ thư rộng,<
>Tôi thảo lên trời mấy nét nhanh.<
>Viết trọn năm dài trên vách đá,<
>Bốn bề lá đổ ngợp hơi thu,<
>vừa may cánh nhạn về phương ấy,<
>Tôi gửi cho nàng bức ngọc thư.<
>Xe ngựa chiều nay ngập thị thành,<
>Chiều nay nàng bắt được trời xanh,<
>Đọc xong bảy chữ thì thương lắm,<
>""Vạn lý tương tư, vũ trụ tình.""<
>Bắc Giang 1940",lục bát,https://isach.info/poem.php?poem=bay_chu__nguyen_binh,Nguyễn Bính,hiện đại,
Bến Mơ,"Tập thơ Nguyễn Bính:<
>Bến mơ thuyền đậu, dưới thuyền mơ<
>Tôi đã mơ màng chuyện tóc tơ<
>Bỏ dở khăn thêu, nàng lẳng lặng<
>Đến xem chàng nối mấy vần thơ<
>Bỗng nàng sung sướng vỗ tay reo<
>-Thi sĩ, chồng em, anh đáng yêu!<
>Những vận thơ anh huyền ảo quá!<
>Và thiêng liêng quá! Và cao siêu!<
>Chàng ngước nhìn nàng trong luyến ái:<
>-Mình ơi! mình nối hộ thơ, mình!<
>-Em chả nối thơ đâu đấy nhé!<
>Suốt đời em chỉ muốn hôn anh<
>Một chiếc, một chiếc lại một chiếc<
>Má chàng in có vạn đôi môi<
>Chàng cười như ngất đi từng lúc:<
>-Anh lạy cô mình, anh xin thôi!",lục bát,https://isach.info/poem.php?poem=ben_mo__nguyen_binh,Nguyễn Bính,hiện đại,
Bóng Bướm,"Tập thơ Nguyễn Bính:<
>Cành dâu cao, lá dâu cao<
>Lênh đênh bóng bướm trôi vào mắt em.<
>Anh đi đèn sách mười năm<
>Biết rằng bóng bướm có lên kinh thành?<
>Cành dâu xanh, lá dâu xanh<
>Một mình em hát, một mình em thương.<
>Mới rồi mãn khóa thi hương<
>Ngựa điều võng tía qua đường những ai?",bảy chữ,https://isach.info/poem.php?poem=bong_buom__nguyen_binh,Nguyễn Bính,hiện đại,
Bóng Người Trên Sân Ga,"Tập thơ Nguyễn Bính:<
>Những cuộc chia lìa khởi từ đây<
>Cây đàn sum họp đứt tuôn dây<
>Những lời bèo bọt, thân đơn chiếc<
>Lần lượt theo nhau suốt tháng ngày<
>Có lần tôi thấy hai cô bé<
>Sát má vào nhau khóc sụt sùi<
>Hai bóng chung lưng thành một bóng<
>- Đường về nhà chị chắc xa xôi<
>Có lần tôi thấy một người yêu<
>Tiễn một người yêu một buổi chiều<
>Ở một ga nào xa vắng lắm<
>Họ cầm tay họ bóng xiêu xiêu<
>Hai chàng tôi thấy tiễn đưa nhau<
>Kẻ ở sân ga kẻ cuối tàu<
>Họ giục nhau về ba bốn bận<
>Bóng nhòa trong bóng tối từ lâu<
>Có lần tôi thấy vợ chồng ai<
>Thèn thẹn chia tay bóng chạy dài<
>Chị mở khăn trầu anh thắt lại<
>- Mình về nuôi lấy mẹ, mình ơi!<
>Có lần tôi thấy một bà già<
>Đưa tiễn con đi một chốn xa<
>Tàu chạy lâu rồi bà vẫn đứng<
>Lưng còng đổ bóng xuống sân ga<
>Có lần tôi thấy một người đi<
>Chẳng biết về đâu nghĩ ngợi gì<
>Chân bước hững hờ theo bóng lẻ<
>Một mình làm cả cuộc phân ly<
>Những chiếc khăn màu thổn thức bay<
>Những bàn tay vẫy những bàn tay<
>Những đôi mắt ướt nhìn đôi mắt<
>Buồn ở đâu hơn ở chốn này<
>Tôi đã từng chờ những chuyến xe<
>Đã từng đưa đón kẻ đi về<
>Sao nhà ga ấy sân ga ấy<
>Chỉ để cho lòng dấu biệt ly",lục bát,https://isach.info/poem.php?poem=bong_nguoi_tren_san_ga__nguyen_binh,Nguyễn Bính,hiện đại,
Bước Thêm Bước Nữa,"Tập thơ Nguyễn Bính:<
>Xê lại gần đây, xích lại gần đây!<
>Lại đây cho mẹ nhủ câu này:<
>Mẹ không muốn thế nhưng mà nghĩ<
>Bấy lâu mẹ đã nhiều đắng cay.<
>Kể con cũng đã lớn khôn rồi,<
>Chín suối cha con hẳn ngậm cười.<
>Mẹ muốn bước thêm một bước nữa,<
>Còn đàn em nhỏ cậy con nuôi.<
>Con ơi! mẹ khóc suốt đêm kia,<
>Khóc suốt đêm qua nữa, chỉ vì...<
>Con mẹ có còn thương mẹ dại<
>Thì con gái mẹ nhận lời đi!<
>Mẹ cũng không mong sướng lấy mình,<
>Nhưng mà số phận bắt điêu linh.<
>Vả chăng thiên hạ nào riêng mẹ,<
>Gái góa qua đò uổng tiết trinh.<
>Mai mốt... con ơi! Mẹ lấy chồng,<
>Chúng con coi mẹ có như không.<
>Khuya rồi đấy nhỉ! Con đi nghỉ,<
>Gió bấc đêm nay lạnh ngập phòng",lục bát,https://isach.info/poem.php?poem=buoc_them_buoc_nua__nguyen_binh,Nguyễn Bính,hiện đại,
