title,content,genre,url,author,period,specific_genre
Anh Giả Điếc,"Tập thơ Nguyễn Khuyến:<
>Trong thiên hạ có anh giả điếc,<
>Khéo ngơ ngơ ngác ngác, ngỡ là ngây!<
>Chẳng ai ngờ ""sáng tai họ, điếc tai cày"",<
>Lối điếc ấy sau này em muốn học.<
>Toạ trung đàm tiếu, nhân như mộc<
>Dạ lí phan viên, nhĩ tự hầu. (1)<
>Khi vườn sau, khi ao trước; khi điếu thuốc, khi miếng trầu.<
>Khi chè chuyên năm bảy chén, khi Kiều lẩy một đôi câu;<
>Sáng một chốc, lâu lâu rồi lại điếc<
>Điếc như thế ai không muốn điếc?<
>Điếc như anh dễ bắt chước ru mà!<
>Hỏi anh, anh cứ ậm à.",bảy chữ,https://isach.info/poem.php?poem=anh_gia_diec__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Bồ Tiên Thi,"Tập thơ Nguyễn Khuyến:<
>Chú huyện Thanh Liêm khéo giở trò,<
>""Bồ tiên thi"" lại lấy vần bồ.<
>Nghênh ngang võng lọng nhờ ông sứ,<
>Ngọng nghẹo văn chương giở giọng ngô.<
>Bồ chứa miệng dân chừng bật cạp,<
>Tiên (2) là ý chú muốn vòi xu!<
>Từ vàng sao chẳng luôn từ bạc,<
>Không khéo mà roi nó phết cho.",bảy chữ,https://isach.info/poem.php?poem=bo_tien_thi__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Cảm Hứng,"Tập thơ Nguyễn Khuyến:<
>Ngày trước cùng lên lạy cửa trời (1)<
>Lâu nay vắng vẻ bặt tăm hơi<
>Nước non man mác về đâu tá<
>Bè bạn lơ thơ sót mấy người<
>Đời loạn đi về như hạc độc<
>Tuổi già hình bóng tựa mây côi<
>Đã hay nhờ được hao mòn lắm<
>Một thí lòng son chửa rõ mười",lục bát,https://isach.info/poem.php?poem=cam_hung__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Chợ Đồng,"Tập thơ Nguyễn Khuyến:<
>Tháng chạp hai mươi bốn chợ Đồng,<
>Năm nay chợ họp có đông không?<
>Dở trời, mưa bụi còn hơi rét.<
>Nếm rượu, tường đền (1) được mấy ông?<
>Hàng quán người về nghe xáo xác,<
>Nợ nần năm hết hỏi lung tung.<
>Dăm ba ngày nữa tin xuân tới.<
>Pháo trúc (2) nhà ai một tiếng đùng.",bảy chữ,https://isach.info/poem.php?poem=cho_dong__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Chơi Núi Non Nước,"Tập thơ Nguyễn Khuyến:<
>Chom chỏm trên sông đá một hòn,<
>Nước trôi sóng vỗ biết bao mòn?<
>Phơ đầu đã tự đời Bàn Cổ, (2)<
>Bia miệng còn đeo tiếng trẻ con.<
>Rừng cúc tiền triều (3) trơ mốc thếch,<
>Hồn câu Thái phó (4) tảng rêu tròn.<
>Trải bao trăng gió xuân già giặn,<
>Trời dẫu già, nhưng núi vẫn non.",bảy chữ,https://isach.info/poem.php?poem=choi_nui_non_nuoc__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Đĩ Cầu Nôm,"Tập thơ Nguyễn Khuyến:<
>Thiên hạ bao giờ cho hết đĩ?<
>Trời sinh ra cũng để mà chơi!<
>Dễ mấy khi làm đĩ gặp thời,<
>Chơi thủng trống long dùi âu mới thích<
>Đĩ bao tử càng chơi càng lịch,<
>Tha hồ cho khúc khích chị em cười:<
>Người ba đấng, của ba loài,<
>Nếu những như ai thì đĩ mốc.<
>Đĩ mà có tàn, có tán, có hương án, có bàn độc (2)<
>Khá khen thay làm đĩ có tông (3)<
>Khắp giang hồ chẳng chốn nào không.<
>Suốt Nam Bắc Tây Đông đều biết tiếng.<
>Đĩ mười phương chơi cho đủ chín,<
>Còn một phương để nhịn lấy chồng.<
>Chém cha cái kiếp đào hồng, (4)<
>Bạn với kẻ anh hùng cho đứng số.<
>Vợ bợm, chồng quan, danh phận đó,<
>Mai sau ngày giỗ có văn nôm.<
>Cha đời con Đĩ Cầu Nôm.",bảy chữ,https://isach.info/poem.php?poem=di_cau_nom__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Di Chúc,"Tập thơ Nguyễn Khuyến:<
>Kém hai tuổi xuân đầy chín chục.<
>Số thầy sinh phải lúc dương cùng. (2)<
>Đức thầy đã mỏng mòng mong,<
>Tuổi thầy lại sống hơn ông cụ thầy.<
>Học chẳng có rằng hay chi cả.<
>Cưỡi đầu người kể đã ba phen; (3)<
>Tuổi là tuổi của gia tiên,<
>Cho nên thầy được hưởng niên lâu ngày.<
>ấy thuở trước ông mày chẳng đỗ, (4)<
>Hóa bây giờ cho bố làm nên;<
>Ơn vua chửa chút báo đền,<
>Cúi trông hổ đất, ngửa lên thẹn trời.<
>Sống không để tiếng đời ta thán,<
>Chết được về quê quán hương thôn;<
>Mới hay trăm sự vuông tròn,<
>Sống lâu đã trải, chết chôn chờ gì?<
>Đồ khâm liệm chớ nề xấu tốt,<
>Kín chân tay đầu gót thời thôi;<
>Cỗ đừng to lắm con ơi,<
>Hễ ai chạy lại, con mời người ăn.<
>Tế đừng có viết văn mà đọc,<
>Trướng đối đừng gấm vóc làm chi;<
>Minh tinh (5) con cũng bỏ đi,<
>Mời quan đề chủ (6) con thì không nên.<
>Môn sinh (7) chớ bổ tiền đặt giấy,<
>Bạn của thầy cũng vậy mà thôi;<
>Khách quen chớ viết thiếp mời.<
>Ai đưa lễ phúng con thời chớ thu.<
>Chẳng qua nợ để cho người sống,<
>Chết đi rồi còn ngóng vào đâu!<
>Lại mang cái tiếng to đầu,<
>Khi nay bày biện, khi sau chê bàn.<
>Cờ biển của vua ban ngày trước,<
>Khi đưa thầy con rước đầu tiên;<
>Lại thuê một lũ phường kèn,<
>Vừa đi vừa thổi mỗi bên dăm thằng.<
>Việc tống táng nhung nhăng qua quýt,<
>Cúng cho thầy một ít rượu hoa;<
>Đề vào mấy chữ trong bia,<
>Rằng: ""Quan nhà Nguyễn cáo về đã lâu"".",bảy chữ,https://isach.info/poem.php?poem=di_chuc__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Giả Cách Điếc,"Tập thơ Nguyễn Khuyến:<
>Trong thiên hạ có người giả điếc,<
>Khéo ngơ ngơ ngác ngác ngỡ là ngây,<
>Chẳng ai ngờ sáng tai họ, điếc tai cày, (1)<
>Rở lối điếc, để sau này em út học.<
>Tọa trung đàm tiếu nhan như mộc,<
>Dạ bán phan viên thủ tự hầu. (2)<
>Khi vườn sau, khi ao trước, khi điếu thuốc, khi miếng trầu.<
>Khi chè chuyên năm bảy chén, khi<
>Kiều lẩy một đôi câu;<
>Tỉnh một lúc, lâu lâu rồi lại điếc.<
>Điếc như thế, ai không muốn điếc?<
>Điếc như anh dễ bắt chước ru mà!<
>Hỏi anh, anh cứ ậm à.",bảy chữ,https://isach.info/poem.php?poem=gia_cach_diec__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Lời Gái Góa,"Tập thơ Nguyễn Khuyến:<
>Chàng chẳng biết gái này gái góa<
>Buồn nằm suông, suông cả áo cơm<
>Khéo thay cái mụ tá ơm<
>Đem chàng tuổi trẻ ép làm lứa đôi<
>Chàng tuổi trẻ chơi bời quên nhọc<
>Gái già này sức vóc được bao?<
>Muốn sao, chiều chẳng được sao<
>Trước tuy sum họp, sau nào được lâu?<
>Lấy chồng vốn nhờ câu ăn mặc<
>Chẳng ngờ rằng đói rách hổ ngươi<
>Vốn xưa cha mẹ dặn lời<
>Tư bôn lại phải kẻ cười người chê<
>Hỡi mụ hỡi, thương chi thương thế?<
>Thương thì hay, nhưng kế chẳng hay<
>Thương thì gạo vải cho vay<
>Lấy chồng thì gái góa này xin van!",bảy chữ,https://isach.info/poem.php?poem=loi_gai_goa__nguyen_khuyen,Nguyễn Khuyến,trung đại,
Lời Vợ Anh Phường Chèo,"Tập thơ Nguyễn Khuyến:<
>Xóm bên đông có phường chèo trọ,<
>Đương nửa đêm gọi vợ chuyện trò:<
>Rằng: ""ta thường làm quan to,<
>Sao người coi chẳng ra trò trống chi?""<
>Vợ giận lắm mắng đi mắng lại:<
>""Tuổi đã già sao dại như ri?<
>Đêm hôm ai chẳng biết chi,<
>Người ta biết đến thiếp thì hổ thay!<
>Ở đời có hai điều nên sợ:<
>Sống chết người, quyền ở trong tay.<
>Thế mà chàng đã chẳng hay.<
>Còn ai sợ đến phường này nữa chăng?<
>Vả chàng vẫn lăng nhăng túng kiết,<
>Cuộc sinh nhai chèo hát qua thì,<
>Vua chèo còn chẳng ra gì,<
>Quan chèo vai nhọ (1) khác chi thằng hề"".",bảy chữ,https://isach.info/poem.php?poem=loi_vo_anh_phuong_cheo__nguyen_khuyen,Nguyễn Khuyến,trung đại,
