title,content,genre,url,author,period,specific_genre
Bên Lề,"Ừ, em hãy đi đi<
>Với niềm vui và nỗi hân hoan choáng ngợp trong lòng<
>Em hãy tìm đến bất kỳ nơi nào em thích<
>Đừng tìm đến anh<
>Đừng tìm đến anh làm gì<
>Dẫu trong hạnh phúc của em<
>Anh chẳng được dự phần<
>Thì anh cũng chẳng nề hà gì làm một kẻ đứng ngoài<
>Tham dự vào số phận của em bằng những lời chúc tụng<
>Hãy cứ nghĩ như em từng nghĩ<
>Anh có là gì đâu<
>Anh chỉ mong em hãy đến với anh<
>Khi nào em không còn bất kỳ nơi nào để đến<
>Khi nào đôi chân quen nhún nhẩy của em<
>Đã bắt đầu thất thiểu<
>Dưới gánh nặng của khổ đau<
>Bấy giờ anh sẽ ở bên em<
>Với một ước muốn nhỏ nhoi<
>Được chia sớt cùng em<
>Một phần cơ cực...",thơ tự do,https://isach.info/poem.php?poem=ben_le__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Chuyện Cổ Tích,"Khi anh vừa sinh ra<
>Oe oe dăm tiếng khóc<
>Lúc ấy em ở đâu<
>Làm sao mà anh biết<
>Làm sao mà anh biết<
>Em còn chưa ra đời<
>Mẹ là người duy nhất<
>Biết được điều đó thôi!<
>Hai nhà ở hai nơi<
>Cách nhau nghìn cây số<
>Mẹ vẫn biết anh buồn<
>Nên sinh em từ đó<
>Em hồn nhiên như cỏ<
>Lớn lên dưới mặt trời<
>Anh như mây như gió<
>Suốt bốn mùa rong chơi<
>Gặp nhau giữa cuộc đời<
>Là duyên hay là nợ<
>Anh yêu em lâu rồi<
>Sao vẫn còn bỡ ngỡ<
>Bao chàng trai qua ngõ<
>Sao em chẳng chạnh lòng<
>Hai mươi năm chờ đợi<
>Một bóng hình xa xăm<
>Bây giờ em yêu anh<
>Mẹ là người duy nhất<
>Hiểu được điều đó thôi",thơ tự do,https://isach.info/poem.php?poem=chuyen_co_tich__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Chuyện Lâu Rồi,"Lần thứ nhất gặp anh, em nói:<
>-Chỉ xin làm em gái của anh<
>Lần thứ hai gặp em, anh nói:<
>-Muốn xin em làm vợ của anh<
>Lần trước, anh cười chẳng nói<
>Lần sau, em cười quay đi",lục bát,https://isach.info/poem.php?poem=chuyen_lau_roi__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Chuyện Ngày Sau,"Có hạt khô nằm chết<
>Bên bờ rào không tên<
>Ngày hôm sau chỗ ấy<
>Chắc là hoa mọc lên.<
>Có buổi chiều nằm chết<
>Trên đồi thông cỏ dày<
>Chắc hôm sau chỗ ấy<
>Mọc lên một sớm mai.<
>Hôm nào cạnh dòng sông<
>Biết mai sau chỗ ấy<
>Có còn gì hay không",thơ tự do,https://isach.info/poem.php?poem=chuyen_ngay_sau__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Có Một Buổi Chiều Nào,"Rồi ngày mai trong một giấc mơ<
>Em có gặp lại những gì đã mất<
>Trường lớp lạ ngày nào ta biết mặt<
>Bạn bè đông tan học rủ nhau về<
>Những tên người vô cớ gọi trong mê<
>Sáng thức dậy thấy lòng vui rộn rã<
>Những bài thơ chuyền tay nhau vội vã<
>Bỗng ngày nào anh chợt nhận ra em<
>Một tên người xa lạ tự nhiên quen<
>Từ lúc ấy lòng anh như trẻ mãi<
>Và lòng em cũng vô cùng thơ dại<
>Ta yêu nhau không có một lí do nào<
>Khắp đất trời mới mẻ lạ lùng sao<
>Thế giới đẹp như trang hoàng trở lại<
>Những chiếc lá rụng trong chiều lộng lẫy<
>Cũng nghiêng mình thủ thí lúc ta qua<
>Và một điều huyền bí được sinh ra<
>Như tất cả, hẳn là em cũng có<
>Những ngăn kép của lòng mình nho nhỏ<
>Ngăn giấu ô mai, ngăn giấu vui buồn<
>Và ngăn nào cất giữ những nụ hôn<
>Ngăn nào nữa cất những lời hứa hẹn<
>Dẫu lời hứa không bao giờ đúng hẹn<
>Những chuyến tàu lỡ bến đã từ lâu<
>Giữa những mặt người thấp thoáng qua mau<
>Em có thấy bóng ai đang sững lại<
>Ấy là anh của một thời trẻ dại<
>Rồi ngày mai trong một giấc mơ nào<
>Em có gặp lại những gì đã mất<
>Những thanh kẹo nguyên màu trong kí ức<
>Vẫn chưa bong lớp giấy cuối cùng<
>Một bầu trời lặng lẽ đến bao dung<
>Tiếng chân bước nôn nao ngoài cửa lớp<
>Trong ánh mắt bao niềm vui choáng ngợp<
>Mỗi ngày qua như một chuyến đi dài<
>Tiếng cuộc đời giục giã ở bên tai<
>Kỉ niệm cũ xếp đầy trong trí nhớ<
>Như nét mực thấm qua từng trang vở<
>Bàn tay em hờ hững lật qua dần<
>Có lúc nào em dừng lại, bâng khuâng<
>Như bóng nắng ngoài kia chưa nỡ tắt<
>Mặt trời xuống sợ ngày vui sẽ hết .<
>Rồi ngày mai trong một buổi chiều nào<
>Trên con đường bóng tối phủ từ lâu<
>Em mệt mỏi giữa dòng đời khắc nghiệt<
>Những lúc ấy có bao giờ em biết<
>Những tháng ngày tươi đẹp đã trôi qua<
>Có một phần lầm lỗi của đôi ta?",bảy chữ,https://isach.info/poem.php?poem=co_mot_buoi_chieu_nao__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Có Một Ngày Đã Đến,"Thơ - Có Một Ngày Đã Đến - Nguyễn Nhật Ánh<
>Nguyễn Nhật Ánh<
>Hoàng Thu Dung<
>Nguyễn Ngọc Tư<
>Quỳnh Dao<
>Hồ Biểu Chánh<
>Cổ Long<
>Ngọa Long Sinh<
>Ngã Cật Tây Hồng Thị<
>Trần Thanh Vân<
>Trung Nghị<
>Thu Hiền<
>Bá Trung<
>Mạnh Linh<
>Bạch Lý<
>Hướng Dương<
>Dương Liễu<
>Ngô Hồng<
>Ngọc Hân<
>Phương Minh<
>Shep O’Neal<
>Hồi Ký<
>Tùy But<
>Thơ ▼<
>Nguyễn Bính<
>Hồ Xuân Hương<
>Trần Đăng Khoa<
>Phùng Quán<
>Xuân Diệu<
>Lưu Trọng Lư<
>Tố Hữu<
>Xuân Quỳnh<
>Nguyễn Khoa Điềm<
>Vũ Hoàng Chương<
>Hàn Mặc Tử<
>Huy Cận<
>Bùi Giáng<
>Hồ Dzếnh<
>Trần Quốc Hoàn<
>Bùi Chí Vinh<
>Lưu Quang Vũ<
>Bảo Cường<
>Nguyên Sa<
>Tế Hanh<
>Hữu Thỉnh<
>Thế Lữ<
>Hoàng Cầm<
>Đỗ Trung Quân<
>Chế Lan Viên<
>Trịnh Công Sơn<
>Quốc Bảo<
>Phạm Duy<
>Anh Bằng<
>Võ Tá Hân<
>Hoàng Trọng<
>Trầm Tử Thiêng<
>Lương Bằng Quang<
>Song Ngọc<
>Hoàng Thi Thơ<
>Trần Thiện Thanh<
>Thái Thịnh<
>Phương Uyên<
>Khánh Ly<
>Cẩm Ly<
>Hương Lan<
>Như Quỳnh<
>Đan Trường<
>Lam Trường<
>Đàm Vĩnh Hưng<
>Minh Tuyết<
>Tuấn Ngọc<
>Trường Vũ<
>Quang Dũng<
>Mỹ Tâm<
>Bảo Yến<
>Toán Học<
>Tiếng Anh<
>Tin Học<
>Âm Nhạc<
>Có Một Ngày Đã Đến<
>Nguyễn Nhật Ánh<
>Có những lúc<
>Tôi ngỡ ngàng<
>Tự hỏi<
>Tại vì sao<
>Tôi lại yêu em<
>Khi mặt trời<
>Sắp lẫn vào đêm<
>Không gì cả<
>Sao lòng tôi<
>Lại nhớ<
>Chiếc lá rơi<
>Trong chiều nổi gió<
>Tôi nhặt lên<
>Mà chẳng để làm gì<
>Và chiều nào sững bước<
>Giữa chân đi<
>Lòng không hiểu<
>Vì sao mình đứng lại<
>Ngậm trên môi<
>Một nhành cỏ dại<
>Chợt hiểu rằng<
>Tôi đã khác tôi xưa<
>Trong nỗi buồn vô cớ<
>Lúc trời mưa<
>Trong mơ mộng<
>Khi hiên ngoài nhạt nắng<
>Tôi chợt biết<
>Có một ngày<
>Đã đến",thơ tự do,https://isach.info/poem.php?poem=co_mot_ngay_da_den__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Cuối Cùng Cho Một Tình Yêu,"Là những ngày trống rỗng<
>Là cuộc sống không còn mơ mộng<
>Ngủ và ăn rồi thức dậy đi làm<
>Ta đốt cháy bao niềm hi vọng<
>Giữa tro tàn chỉ còn lại cô đơn.<
>Cuối cùng rồi chẳng còn gì hơn<
>Ta loay hoay với những điều nhỏ nhặt<
>Những cơm áo gạo tiền vụn vặt<
>Chẳng yêu ai cũng chẳng yêu mình",bảy chữ,https://isach.info/poem.php?poem=cuoi_cung_cho_mot_tinh_yeu__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Dang Dở,"Sao mọc lênh đênh<
>Một đàn cá lội<
>Buồn tênh chân cầu",thơ tự do,https://isach.info/poem.php?poem=dang_do__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Đừng Như Công Chúa,"Đừng như công chúa<
>Ngủ mê trong rừng<
>Nằm hoài trên cỏ<
>Có ngày đau lưng<
>Mà như cô Tấm<
>Ngồi bên hiên nhà<
>Để anh qua ngõ<
>Có người trông ra<
>Đừng như trái thị<
>Rớt bị bà già<
>Cất trong hũ gạo<
>Coi chừng chuột tha<
>Mà như hoa thắm<
>Lung linh trong vườn<
>Một lần lỡ ngắm<
>Một đời lỡ thương<
>Đừng như, em nhé<
>Đông xám lạnh lùng<
>Mà như, em nhé<
>Xuân hồng bâng khuâng<
>Để anh qua ngõ<
>Em còn trông ra<
>Để em pháo đỏ<
>Anh còn hương hoa...",thơ tự do,https://isach.info/poem.php?poem=dung_nhu_cong_chua__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
Giao Thừa,"Trời lên xam xám<
>Trong bình minh mưa<
>Lòng ai thong thả<
>Yêu em rườm rà<
>Tình không nuôi nấng<
>Cũng nhiều xa hoa<
>Trả nợ ngày xa<
>Yêu nhau tiều tụy<
>Cuộc tình phung phí<
>Bên trời tiêu hoang<
>Nghe mùa kể lể<
>Cây lên lá vàng<
>Mắc nợ ngày gần<
>Suối nguồn đã cạn<
>Trồng cây lẻ bạn<
>Bên ngoài hiên mưa<
>Mùa đông rũ áo<
>Lòng không giao thừa<
>Mùa xuân lại đến<
>Vui buồn đong đưa...",thơ tự do,https://isach.info/poem.php?poem=giao_thua__nguyen_nhat_anh,Nguyễn Nhật Ánh,hiện đại,
