title,content,genre,url,author,period,specific_genre
1978 Ở Việt Nam,"Phu thê nếu phải nợ rồi<
>Thì tôi đâu ngại ngỏ lời yêu em<
>Như con chim mới tập chuyền<
>Bâng khuâng gấm luạ thánh hiền em ra<
>Mặt trời rực rỡ phương xa<
>Ở đây hạnh phúc chỉ là đau thương<
>Những đôi mắt ngó lườm lườm<
>Những nanh vuốt thú ẩn trong dáng người<
>Cách gì tôi nhủ khuyên tôi<
>Sống cho ra vẻ cần đời, trang nghiêm<
>Sống không khinh lũ thấp hèn<
>Thế nên từ đó cơn điên xé đời<
>Cách gì tôi nhủ khuyên tôi<
>Sống không dữ dội, sống nguôi hận thù<
>(Tôi duy tâm, rất nhân từ<
>Thế nhưng thời đại suy tư đã... tàn!)<
>Phu thê nếu đã buộc ràng<
>Thì xin nhẫn nhục cưu mang vợ chồng<
>Tôi, quanh năm sống hoang đàng<
>Cũng xin nhỏ lệ hoàn lương khóc tình!",lục bát,https://isach.info/poem.php?poem=1978_o_viet_nam__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Bài Hạnh Ngộ,"Em hết thương ta rồi phải không ?<
>Thôi thế cho ta bớt não nùng<
>Thôi thế cho đời ta ngậm đắng<
>Còn nghe vị ngọt của tình nhân !<
>Ta có gì đâu ngoài khốn khổ<
>Ngoài vết thương thấm thía u tình<
>Yêu ai ta quấn dây oan nghiệt<
>Mặc sức nhân gian siết bạo tàn<
>Ta có gì đâu ngoài trái tim<
>Đem phơi hệ lụy giữa thanh thiên<
>Ngờ đâu thiên hạ vô tâm quá<
>Mua vui trên những nỗi đoạn trường<
>Thế nhân khắc nghiệt hơn ta tưởng<
>Em cũng vô tình nghiệt ngã theo<
>Yêu ai ta đốt thời niên thiếu<
>Bây giờ mang thảm kịch tàn tro<
>Em hết thương ta rồi phải không ?<
>Thôi thế cho ta chút mát lòng<
>Thôi thế cho ta còn bác ái<
>Còn tưởng tin người vì tưởng tin em...",lục bát,https://isach.info/poem.php?poem=bai_hanh_ngo__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Bài Hối Trên Tay Duyên,"Bất thần sáng mắt yêu ai<
>Khác chi mời người bứt ruột<
>Khúc ruột nào ứa men thơ<
>Nhớt tay làm em muốn khóc<
>Quả tình ta nhiều sâu độc.<
>(1970 - Thiên Tai)",bảy chữ,https://isach.info/poem.php?poem=bai_hoi_tren_tay_duyen__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Bài Tạ Lỗi Cùng Người,"Năm năm trời... ta làm tên quái đản<
>Cầu danh trên nước mắt của người tình<
>Năm năm trời có nhục có vinh<
>Có chua, chát, ngọt, bùi, cay, đắng...<
>Có hai mái đầu chia nhau thù oán<
>Có thằng ta trút nạn xuống vai em !<
>Năm năm trời... có một tên Duyên<
>Ta ca tụng, rồi chính ta bôi lọ<
>Tình ta đẹp nhưng tính ta còn nít nhỏ<
>Nên lỗi lầm đã đục màu sông<
>Nếu em còn thương mến tuổi mười lăm<
>Xin nuốt hận mĩm môi cười xí xóa<
>Hồn ta đẹp nhưng đời ta thảm quá<
>Nên tị hiềm nhen nhúm giữa ngây thơ<
>Nếu em còn chút đỉnh mộng mơ<
>Xin rộng lượng thứ dung người lỡ dại !<
>Năm năm trời... ta là tên chiến bại<
>Tìm mưu thâm hạ thủ đê hèn<
>Và lần nào ta lén lút đâm em<
>Bằng những ngọn dao mù lòng quáng dạ<
>Duyên oàn oại cũng là Duyên sáng giá<
>Bởi trước đây ta đã tự đâm mình !<
>Năm năm trời... đeo đuổi hư danh<
>Ta mấy kiếp vẫn là ta mắc nợ<
>Mình hậu thế cách chi mà gặp gỡ ?<
>Bởi vì ta không dễ được đầu thai !<
>Nếu được đầu thai, không dễ được làm người !<
>(Dù chỉ làm người trên đất... mọi !)<
>Ta háo thắng nên tưởng mình cứng cỏi<
>Tưởng đâu mình Quan Đế tuyệt đường siêu<
>Giờ ngã ngựa, tiểu nhân như... Tào Tháo<
>Ta háo thắng nên thành người trâng tráo<
>Bị đời khinh lại giở giọng khinh đời!<
>Kỷ niệm đầu thơm ngát cả đôi môi<
>Ta nông nỗi đưa tay cầm chén máu!<
>Năm năm trời... có tình giông nghĩa bão<
>Có con sông chờ cuốn kẻ-quên-bờ<
>Có trăm ngàn cánh lá trúc đào khô<
>Rơi rụng trước sân nhà em thổn thức<
>Duyên kiêu hãnh cũng là Duyên chết giấc!<
>Sau năm năm... hồn chắc cũng lạnh mồ (?)<
>Ta ngày nay, tạ lỗi một bài thơ<
>Em hãy ráng thuộc lòng... cho trẻ lại!<
>Thơ Nguyễn Tất Nhiên, Nxb Nam Á, Paris 1982)",bảy chữ,https://isach.info/poem.php?poem=bai_ta_loi_cung_nguoi__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Bài Thấm Mệt Đầu Tiên,"Tình mới lớn phải không em rất thích ?<
>Cách tập tành nào cũng thật dễ thương<
>Thuở đầu đời chú bé soi gương<
>Và mê mải dĩ nhiên làm lạ<
>Tình mới lớn phải không em rất lạ ?<
>Cách tập tành nào cũng ngượng như nhau<
>Thuở đầu đời chú bé ôm phao<
>Và nhút nhát, dĩ nhiên ngộp nước<
>Tôi có cánh buồm tấp về ký ức<
>Em có chỗ ngồi quên lãng như mây<
>Dù cát bụi có nhiều phen dấy loạn<
>Cũng yên nằm mang phân bón cho cây<
>Nên bao giờ tôi cũng phải thương tôi<
>(Những ích kỷ nảy sinh sau lần thảm bại !)<
>Tuổi mười lăm giữa con trai, con gái<
>Đã rõ ràng ai khờ khạo hơn ai<
>Nên bao giờ tôi cũng phải thương tôi<
>(Những ích kỷ nảy sinh sau lần nhục nhã !)<
>Em có một đời rong xanh mơ đá<
>Tôi có ngàn năm say khướt hận thù !<
>Tình mới lớn phải không em rất mỏng ?<
>Cách tập tành nào cũng dễ hư hao<
>Thuở đầu đời cầm đũa thấp cao<
>Và nâng chén, dĩ nhiên, đổ vỡ<
>Khi mỏi mòn nghe đời mình trắc trở<
>Hơn lúc nào tôi quá đỗi thương tôi !<
>(1970 - Thiên Tai)",bảy chữ,https://isach.info/poem.php?poem=bai_tham_met_dau_tien__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Bởi Yêu Em Sầu Khổ Dịu Dàng,"Bởi yêu em nên sầu khổ dịu dàng<
>Những kỉ niệm đời xin hãy còn xanh<
>Có một ngày mình bỏ trường bỏ lớp<
>Cùng ra đi như định luật Trời dành<
>Nắng bờ sông như màu trang vở cũ<
>Thuở học trò em làm khổ ai chưa?<
>Anh muốn khóc trong buổi đầu niên học<
>Bàn tay xương cầm hờ hững văn bằng<
>Em hãy đứng trước gương làm dáng<
>Tự khen minh: ""đẹp quá!"" đi em<
>Lỡ mai kia mốt nọ theo chồng<
>Còn đôi chút luyến lưu thời con gái<
>Em hãy ra bờ sông nhìn nắng trải<
>Nhớ cho mình dáng dấp người yêu<
>Lỡ dòng đời tóc điểm muối tiêu<
>Còn giây phút chạnh lòng như mới lớn.<
>Mình hãy trách đời nhau nhiều hư hỏng<
>Rồi giận hờn cho kỉ niệm đầy tay<
>Thu miền Nam không thấy lá vàng bay<
>Anh phải nói: buồm chúng ta màu trắng<
>Tình cứ đuổi theo người như chiếc bóng<
>Người thì không bắt bóng được bao giờ<
>Anh muốn khóc trong buổi đầu niên học<
>Bởi yêu em nên sầu khổ dịu dàng.",bảy chữ,https://isach.info/poem.php?poem=boi_yeu_em_sau_kho_diu_dang__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Ca Dao,"Chàng về nay đã cụt tay<
>Đêm đêm dạ hội lấy ai dắt dìu ?<
>Thương chàng nay hết nâng niu<
>Theo chồng ngoại quốc nó chìu tuổi xuân !<
>Chàng về nay đã cưa chân<
>Thương chàng thương một - thương thân thương mười<
>Trời sinh em cũng là người<
>Bỏ anh em cũng ... chín mười đắng cay !<
>Chàng về nay tắt tròng ngươi<
>mấy năm chinh chiến - nửa đời âm u<
>Thế gian ai thích chồng mù ?<
>Khuyên chàng đừng trách bể dâu cuộc đời !<
>Anh nay đã phế nhân rồi<
>Thương anh lạnh bấy cuộc đời tàn binh<
>Thương anh ... cũng muốn chung tình<
>Chàng về ấn tích ""ngụy quân""<
>Thân tàn ""nợ máu nhân dân"" lút đầu<
>Anh nay cầm cuốc nổi đâu<
>Lấy chồng bộ đội ... làm dâu Bác Hồ",lục bát,https://isach.info/poem.php?poem=ca_dao__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Cảm Người Chín Năm,"Tình cho nhau những lượng buồn<
>Những giông tố sập xuống đường-chung-đôi<
>Đường-chung-đôi chẳng chung vui<
>Như trong thêu dệt thiếu thời mắt xanh<
>Chín năm lặn lội theo tình<
>Em đôi khi có ngẩng nhìn tương lai ?<
>Tình cho nước mắt vắn dài<
>Những viên thuốc ngủ qua ngày-chung-đôi<
>Ngày-chung-đôi đắng ngẩn người<
>Em còn cất giữ nụ cười bao dung<
>Chín năm chóng mặt theo chồng<
>Em còn có huỡn trách thầm nhân duyên ?<
>Nhớ xưa em khép mi hiền<
>Thả hồn theo cánh chim liền mây xa<
>Chẳng nề rứt má lìa ba<
>Ngậm tim trên miệng băng qua Thái Bình<
>Trao chàng giá ngọc làm tin",lục bát,https://isach.info/poem.php?poem=cam_nguoi_chin_nam__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Chết Tôi Một Cuộc Vong Tình,"Là con dốc cũ đầy vong ngôn nàng<
>Mai về thiếp giữa rừng hoang<
>Chiêm bao chắc cũng hai hàng chân đi<
>(Xa người tôi bỗng man di<
>Tay nâng sầu thảm tay ghì trăng hoa)<
>Cây trong vườn nhớ, la đà<
>Lệ như thơ khóc vài ba mộ phần<
>Mưa nào rớt giữa hư không<
>Xác tôi nằm dưới bia hồng chân mây<
>Ướt dùm đôi ngọn cỏ may.<
>(1970 - Thiên Tai)",bảy chữ,https://isach.info/poem.php?poem=chet_toi_mot_cuoc_vong_tinh__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
Chiều Mệnh Danh Tổ Quốc,"Người yêu tôi khóc ngất<
>Chiều Quân Đội nghĩa trang<
>Rạt rào hơi gió nóng<
>Cho đau tà áo tang<
>Người yêu tôi khóc ngất<
>Chiều Quân Đội nghĩa trang<
>Ngập ngừng hơi xác ướp<
>Bay pha mùi áo nhang<
>Người yêu tôi khóc ngất<
>Trước quan tài sĩ quan<
>Trước hai chàng lính đứng<
>Thao diễn nghỉ lạnh lùng<
>Người yêu tôi khóc ngất<
>Trung úy thản nhiên cười<
>Lồng trong khung ảnh đẹp<
>Dựng sau bình bông tươi<
>Sự vinh thăng bất ngờ<
>Là đem theo nước mắt<
>Là danh dự xót xa<
>Là một lần đắp mặt<
>Một lá cờ quốc gia<
>Tờ thư nào cuối cùng<
>Nơi chiến trường Cam Bốt<
>Tờ thư nào cuối cùng<
>Dùng làm câu trăn trối<
>""Nhớ gởi lời giùm anh<
>Ai cũng thăm nhắn hết<
>Nhớ cho Duyên hai nghìn<
>Nó mừng hôm sinh nhật ! ... ""<
>Chiều Quân Đội nghĩa trang<
>Chiều mệnh danh Tổ Quốc<
>Có muôn ngàn câu kinh<
>Có muôn ngàn tiếng khóc<
>Có chuyến xe nhà binh<
>Đưa ""Thiên Thần"" xuống đất<
>Còn ai, còn ai chăng ?<
>Mua cờ bằng tính mệnh<
>Cho tôi đừng biết tên<
>Cho tôi đừng nhận diện<
>Cho tôi đừng chứng kiến<
>Xác ""thiên thần"" rã manh<
>Người yêu tôi khóc ngất<
>Chiều Quân Đội nghĩa trang<
>Vài dặm bụi lang thang ...<
>Thơ Nguyễn Tất Nhiên, Nxb Nam Á, Paris 1982)",thơ tự do,https://isach.info/poem.php?poem=chieu_menh_danh_to_quoc__nguyen_tat_nhien,Nguyễn Tất Nhiên,hiện đại,
