title,content,genre,url,author,period,specific_genre
Bất Chợt Mùa Thu,"Mùa thu giăng buồn trên lá<
>Tiếng đàn ai vỡ trong đêm<
>Con sóng xô vào nỗi nhớ<
>Nỗi buồn từ phía sông Seine<
>Giữa miền thơ nhạc miên man<
>Đêm nay thức cùng thành phố<
>Còn em và căn gác nhỏ<
>Ngoài kia nửa mảnh trăng tàn<
>Dây lời ru giữa không gian<
>Ơi em! Hình như gió hát<
>Đêm hoang đời ta cánh vạc<
>Bất chợt mùa thu có em<
>Paris - rồi nhớ hay quên<
>Cali - hồn ta bão tố<
>Đam mê về như thác đổ<
>Bất chợt mùa thu có em...",bảy chữ,https://isach.info/poem.php?poem=bat_chot_mua_thu__pham_ngoc,Phạm Ngọc,hiện đại,
Bên Kia Nỗi Nhớ,"Con nước lạc xa nguồn<
>Trong lặng im dâng ngàn cơn sóng nhỏ<
>Có buồn chăng cũng chỉ là nỗi nhớ",lục bát,https://isach.info/poem.php?poem=ben_kia_noi_nho__pham_ngoc,Phạm Ngọc,hiện đại,
Cánh Chiều,"Anh đi về phía cuối ngày<
>Nỗi buồn thổi tung cơn gió<
>Cánh chiều nằm lơi ráng đỏ<
>Lá vàng rơi giữa mùa say<
>Em đi về phía tương lai<
>Áo soan hồng hoa sen trắng<
>Giấc mơ ngày xuân quá vãng<
>Mắt nhìn đuổi lúc chia tay<
>Cuối đường hai phiá chia hai<
>Trái tim hình như muốn vỡ<
>Chiều xuống bao giờ không nhớ<
>Nhớ người nắng rụng đầy vai<
>Đèn đêm nửa ánh trăng cài<
>Dế buồn hát vang góc phố<
>Nỗi buồn thổi tung cơn gió<
>Về theo từ những cánh chiều...",bảy chữ,https://isach.info/poem.php?poem=canh_chieu__pham_ngoc,Phạm Ngọc,hiện đại,
Chia Tay,"Chia tay nhau tôi về theo gió bụi<
>Những con đường trở lại bỗng xa xôi<
>Còn chút nắng cuối ngày rơi hấp hối<
>Có bao giờ em biết nỗi đau tôi?<
>Lời từ biệt phút cầm tay vội vã<
>Những ngại ngùng theo giòng máu chạy quanh<
>Nụ cười em sao bỗng dưng xa lạ<
>Theo bóng chiều lặng lẽ vụt qua nhanh<
>Thôi quay về trú ngụ với cô đơn<
>Ở một nơi thiên đường tôi chết đuối<
>Nỗi nhớ em ướt nhòa trong bóng tối<
>Trong giấc mơ thao thức lúc nửa đêm<
>Nghe gió lộng bên kia ngoài khung cửa<
>Hương tóc em vướng đầy trên nhịp thở<
>Bàn tay tôi không khép được nỗi buồn..",bảy chữ,https://isach.info/poem.php?poem=chia_tay__pham_ngoc,Phạm Ngọc,hiện đại,
Chờ Nhau Đến Bao Giờ,"Mùa thu không thấy em về nữa<
>Con phố dài thêm những bước chân<
>Ngọn gió cuối chiều buồn hiu hắt<
>Thổi ngược đời ta rất ân cần.<
>Em ở bên trời nơi xa lắm<
>Ngày đã chìm theo những ước mơ<
>Ngàn dặm đường bay dài nỗi nhớ<
>Còn mãi chờ nhau đến bao giờ.<
>Tình cũng tàn phai như tháng năm<
>Và chút nỗi niềm nào ai biết<
>Im lặng cùng ta chiếc lá vàng.<
>Mùa thu không thấy em về nữa<
>Tiếng đàn ai dạo khúc chờ mong<
>Chỉ có mình ta trên lối cũ<
>Chợt thấy heo may với muộn màng.",lục bát,https://isach.info/poem.php?poem=cho_nhau_den_bao_gio__pham_ngoc,Phạm Ngọc,hiện đại,
Chút Tình Với Huế,"Thành phố đó bao giờ em trở lại<
>Huế ngàn năm như Huế vẫn bây giờ<
>Em Tôn Nữ mang tấm lòng e ngại<
>Để Cấm Thành xa mãi một dòng thơ.<
>Huế và tôi lầm lũ những cơn mưa<
>Đâu kỷ niệm còn thơm mùa phượng cũ<
>Em ngày xưa môi trầm hương tóc gió<
>Tôi ngày xưa bối rối phút đợi chờ.<
>Hương Giang ơi! Thương lắm những chuyến đò<
>Có em về soi hình trên sóng nước<
>Áo em bay trong chiều thu gió ngược<
>Tim bồi hồi ánh mắt thuở làm quen.<
>Huế bây giờ đã vắng bước chân chim<
>Tôi ngơ ngẩn nhớ mùa trăng Vỹ Dạ<
>Biết không em giữa trời xuân xứ lạ<
>Nghe vọng từ Thiên Mụ những hồi chuông...",bảy chữ,https://isach.info/poem.php?poem=chut_tinh_voi_hue__pham_ngoc,Phạm Ngọc,hiện đại,
Có Em Ta Vẫn Mộng Đầy Tuổi Xuân,"Xuân hồng giọt nắng yêu thương<
>Mùa xanh lá biếc ngát hương tự tình<
>Đêm dài khao khát bình minh<
>Quỳnh như nở đóa vô hình xôn xao.<
>Đời từ hẹn ước mai sau<
>Là câu thề nguyện qua cầu gió trăng<
>Bàn tay năm ngón ngại ngần<
>Mắt môi xưa đã lặng thầm gọi nhau<
>Này em chung bước ban đầu<
>Theo em xuân bỗng ngạt ngào cỏ hoa<
>Ngại gì phố lạ đường xa<
>Một lần thôi nhé cũng là trăm năm.<
>Thương em gió núi trên ngàn<
>Ta thân cát bụi giữa hàng mây bay<
>Tiếc chi một cuộc sum vầy<
>Có em ta vẫn mộng đầy tuổi xuân...",lục bát,https://isach.info/poem.php?poem=co_em_ta_van_mong_day_tuoi_xuan__pham_ngoc,Phạm Ngọc,hiện đại,
Con Bướm Buồn Chắp Cánh Cuối Ngày Bay,"Em đi rồi anh mới biết mất nhau<
>Hoa vẫn nở mùa hoa vàng cuối phố<
>Em đi rồi bỏ nơi này nỗi nhớ<
>Nhánh sông buồn mây trắng bỗng giăng ngang.<
>Một cuộc đời bao nhiêu cuộc ly tan<
>Lá chưa xanh sao vội vàng lá uá<
>Ta yêu nhau không dài lâu hạnh ngộ<
>Để tình mình giãy chết giữa mùa thu.<
>Mất nhau rồi từ đó một cơn mưa<
>Em quay gót cho nỗi buồn giấu mặt<
>Anh chơ vơ bàn tay nào đã mất<
>Để nỗi đau trăm mảnh vỡ vơi đầy<
>Vết tích nào còn vướng lại trên vai<
>Anh biết em là một điều cần có<
>Đoá hoa yêu trong vườn anh vẫn nở<
>Con bướm buồn chắp cánh cuối ngày bay...",bảy chữ,https://isach.info/poem.php?poem=con_buom_buon_chap_canh_cuoi_ngay_bay__pham_ngoc,Phạm Ngọc,hiện đại,
Còn Xanh Tuổi Yêu Người,"Em mãi là cơn mưa<
>Qua đời tôi nắng hạn<
>Em mãi là ánh sáng<
>Cuối đường tôi bóng đêm<
>Nỗi nhớ khắc thành tên<
>Mùa thu dài ngọn gió<
>Mang theo cơn mưa nhỏ<
>Bay trên giòng sông trôi<
>Còn đây chiếc lá rơi<
>Đã vàng trang ký ức<
>Giọt mưa nào sũng ướt<
>Nhạt nhòa thêm đớn đau<
>Mai về giữ tình nhau<
>Em đừng qua lối cũ<
>Để tôi và nỗi nhớ<
>Còn xanh tuổi yêu người...",thơ tự do,https://isach.info/poem.php?poem=con_xanh_tuoi_yeu_nguoi__pham_ngoc,Phạm Ngọc,hiện đại,
Hoa Mua,"Bên đường tím cánh hoa mua<
>Bàn tay em gọi một mùa xuân tôi<
>Tháng ba thơm nụ môi cười<
>Gió bay nghìn sợi tóc người ca dao<
>Tôi vần lục bát lao đao<
>Thả câu thơ giữa nỗi sầu không tên<
>Hương trần ngọt lịm lời quên<
>Hồn tôi trổ đoá ưu phiền đang xuân<
>Tình ta nắng ngại mưa ngần<
>Em như cung điện hoàng thành lặng thinh<
>Nỗi buồn con nước chảy quanh<
>Chia hai ngả rẽ cũng đành hư hao<
>Còn gì giữ lại cho nhau<
>Bài thơ năm cũ tím mầu hoa mua.",lục bát,https://isach.info/poem.php?poem=hoa_mua__pham_ngoc,Phạm Ngọc,hiện đại,
