title,content,genre,url,author,period,specific_genre
Bố Hạ,"Cuối năm trên dường đi Bố Hạ<
>Tháng chạp mùa cam lửa đốm vườn<
>Bãi sỏi quanh co dòng nước chậm<
>Cheo leo cầu tạm vắt sông Thương<
>Xe ngựa bình yên leo dốc đỏ<
>Cuối năm trên đường đi Bố Hạ<
>Đỉnh đồi quán sậy dựng phên lau<
>Ngựa dừng rủ bụi than tàu hỏa<
>Đường ấp chia tay khách hỏi chào<
>Cuối năm trên đường đi Bố Hạ<
>Ruộng bậc thang còn trơ gốc rạ<
>Rừng núi mờ xa khói trẻ trâu<
>Tơi nón trung du em về đâu<
>Nhớ ai trên đường đi Bố Hạ...<
>Rừng xa Yên Thế hùm thiêng nằm<
>Đồn cũ Phồn Xương rét cuối năm<
>Râu tóc tướng quân cờ nghĩa ruổi<
>Ngựa chiến băng đường dấu còn mới<
>Nép bóng vườn cam đường Bố Hạ<
>Mả Tây, tri huyện lập công làm<
>Bia ký quân thù trận Nhã Nam",lục bát,https://isach.info/poem.php?poem=bo_ha__quang_dung,Quang Dũng,hiện đại,
Chiêu Quân,"Tuyết lạnh che mờ trời Hán Quốc<
>Tỳ bà lanh lảnh buốt cung Thương<
>Tang tình năm ngón sầu dâng lệ<
>Chiêu Quân sang Hồ xừ hồ xang<
>Đây Nhạn Môn Quan đường ải vắng<
>Trường Thành xa lắm Hán Vương ơi!<
>Chiêu Quân che khép mền chiên bạch<
>Gió bấc trời Phiên thấm lạnh rồi<
>Ngó lại xanh xanh triều Hán Đế<
>Từng hàng châu lệ thấm chiên nhung<
>Quân vương chắc cũng say và khóc<
>Ái khanh! Ái khanh! Lời nghẹn ngùng<
>Hồ xang hồ xang xự hồ xang<
>Chiêu Quân nàng ơi lệ dâng hàng<
>Lã chã trời Phiên mưa tuyết xuống<
>Chiêu Quân sang Hồ, xừ hồ xang.",lục bát,https://isach.info/poem.php?poem=chieu_quan__quang_dung,Quang Dũng,hiện đại,
Cố Quận,"Trăng sáng sân vờn đôi bóng cau<
>Ngồi đây mà gửi nhớ phương nào<
>Gió mát long lanh vầng Bắc Đẩu<
>Tiết hè ếch nhái rộn bờ ao.<
>Ngồi đây năm năm miền ly hương<
>Quê người đôi gót mỏi tha phương<
>Có những chiều trăng tròn đỉnh núi<
>Nhà ai chày gạo giã đêm sương<
>Tịch mịch sầu vơi bèo râm ran<
>Chuối vườn khuya lọt ánh trăng tàn<
>Người ơi quê cũ đèn hoe ngọn<
>Tóc bạc trông chừng cổng héo hon.<
>Ngõ trúc quanh quanh sâu bóng lá<
>Trăng vàng rơi rắc nẻo nào xưa<
>Ngõ cũ không mong người trở lại<
>Mà mùi hoa mộc vẫn thơm đưa.<
>Em ơi, Em ơi đêm dần vơi<
>Trông về phương ấy ngóng trông người<
>Trăng có soi qua đầu tóc bạc<
>Nẻo chừng Cố Quận nhớ thương ời!<
>Trăng sáng năm năm mùa lại mùa<
>Hạ này vơi lại nhớ thu xưa<
>Người đi người đi đường quạnh quạnh<
>Ngày tháng thương vay kẻ đợi chờ.",lục bát,https://isach.info/poem.php?poem=co_quan__quang_dung,Quang Dũng,hiện đại,
Đêm Bạch Hạc,"Có những chiếc giường lạ<
>Nhìn ra mảnh sân nào<
>Nửa đêm chợt thức giấc<
>Thấy ta nằm ở đâu…<
>Như cánh chim mỏi cánh<
>Lạc vào rừng không quen<
>Không chọn cành ngủ đỗ<
>Nào mong gì ấm êm.<
>Đêm nay đêm Bạch Hạc[1]<
>Ta tạt vào nhà ai<
>Nghe sông Lô cuộn nước<
>Dềnh lên suốt đêm dài.<
>Sớm mai rồi tiễn biệt<
>Tóc đẹp nhường bâng khuâng<
>Một đêm dài để nhớ<
>Những người xa vô cùng.<
>Mái nhà đêm Bạch Hạc<
>Có nhớ người đi không?",thơ tự do,https://isach.info/poem.php?poem=dem_bach_hac__quang_dung,Quang Dũng,hiện đại,
Đôi Bờ,"Thương nhớ ơ hờ, thương nhớ ai?<
>Sông xa từng lớp lơp mưa dài<
>Mắt kia em có sầu cô quạnh<
>Khi chớm heo về một sớm mai<
>Rét mướt mùa sau chừng sắp ngự<
>Bên này em có nhớ bên kia<
>Giăng giăng mưa bụi qua phòng tuyến<
>Quạnh vắng chiều sông lạnh bến tề<
>Khói thuốc xanh dòng khơi lối xưa<
>Ðêm đêm sông Ðáy lạnh đôi bờ<
>Thoáng hiện em về trong đáy cốc<
>Nói cười như chuyện một đêm mơ<
>Xa quá rồi em người mỗi ngả<
>Bên này đất nước nhớ thương nhau<
>Em đi áo mỏng buông hờn tủi<
>Dòng lệ thơ ngây có dạt dào?",lục bát,https://isach.info/poem.php?poem=doi_bo__quang_dung,Quang Dũng,hiện đại,
Hồ Nam,"Ai biết Hồ Nam giờ ra sao?<
>Xa cách hồn quê động bóng cau<
>Ðám cưới qua đò quai nón mới<
>Mười năm còn tưởng bóng cô dâu<
>Ai biết Hồ Nam giờ đổi thay<
>Bãi sỏi gầm quanh nước réo ngày<
>Em nhỏ tắm trâu chiều núi biếc<
>Giờ em chiến sĩ ở đâu đây<
>Ai nhớ Hồ Nam mây trắng xa<
>Giây nói tham mưu giăng mọi nhà<
>Tư lệnh cùng dân ăn cỗ giỗ<
>Ði rồi còn nhắc mãi quân ta<
>“Một hàng cau phơ phất<
>Một hàng mây xa xôi<
>Trong mưa chiều hiu hắt<
>Buồn lắm Hồ Nam ơi!”<
>Vàng cũ thời gian trang nhật ký<
>Bâng khuâng y tá mắt trông người<
>Chưa vào chiến dịch – quân y vắng<
>Quê nhà Hà Nội dạ như khơi.",lục bát,https://isach.info/poem.php?poem=ho_nam__quang_dung,Quang Dũng,hiện đại,
Kẻ Ở,"Mai chị về em gửi gì không?<
>Mai chị về nhớ má em hồng<
>Đường đi không gió lòng sao lạnh<
>Bụi vướng ngang đầu mong nhớ mong<
>Quê chị về xa tít dặm xa<
>Rừng thu chiều xao xác canh gà<
>Hoa rơi khắp lối, sương muôn ngã<
>Ngựa lạc rừng hoang qua lướt qua<
>Ngựa chị dừng bên thác trong veo<
>Lòng chị buồn khi nắng qua đèo<
>Nơi đây lá giạt vương chân ngựa<
>Hươu chạy quay đầu theo ngó theo<
>Rừng đêm nhòa bóng nhớ hoang mang<
>Ngựa chị dừng bên thác trăng vàng<
>Sao rơi đáy nước vương chân ngựa<
>Buồn dâng đôi mi hàng lại hàng.",lục bát,https://isach.info/poem.php?poem=ke_o__quang_dung,Quang Dũng,hiện đại,
Không Đề,"Em mãi là hai mươi tuổi<
>Ta mãi là mùa xanh xưa<
>Những cây ổi thơm ngày ấy<
>Và vầng hoa ngâu mưa thu<
>Tóc anh đã thành mây trắng<
>Mắt em dáng thời gian qua<
>Ngày nay ngày nay<
>Chuyện đẹp qua đi<
>Thời gian gấp ruổi<
>Còn lại chúng ta<
>Em mãi là hai mươi tuổi<
>Ta mãi là mùa xanh xưa<
>Giữ trọn tình người cho đẹp<
>Ơi! Con đường xưa<
>Những mùa trút lá<
>Cành bàng mồ côi<
>Cổng cũ rêu phong",bảy chữ,https://isach.info/poem.php?poem=khong_de__quang_dung,Quang Dũng,hiện đại,
Lính Râu Ria,"Khuya khoắt bờ sông vắng<
>Lửa hồng quán tản cư<
>Lính mấy chàng vất vả<
>Tìm sống một đêm thơ<
>Một anh gọi cà-phê<
>Một người kêu thuốc lá<
>Một anh nhìn sau trước<
>“Chị ơi ly rượu nhỏ”<
>Rượu nhỏ một ly thôi<
>Đời lính đã kham rồi<
>Một ly cho đỏ mặt<
>Cho lên hương cuộc đời<
>“Chị ơi! Cháu ngủ đâu?”<
>Thế rồi bế con chị<
>Anh lim dim cúi đầu<
>Cô bé cười chúm chím<
>Mắt non nhìn như sao<
>Má hồng như trái mận<
>Mùa đang độ ngọt ngào<
>Bàn tay như rễ cây<
>Bộ râu như bàn chải<
>Anh hôn con người ta<
>Anh ôm ghì bé mãi<
>Cô bé năm tháng trời<
>Anh tuổi vừa ba mươi<
>Con anh giờ nơi đâu?<
>Anh mỉm cười rười rượi<
>Khi anh về đã xa<
>Chị dọn hàng đi ngủ<
>Chép miệng trong hơi chăn<
>Chị buồn chi không rõ<
>Khuya khoắt bờ sông vắng<
>Tiếng súng rền xa xa<
>Bước chân người rạo rực<
>Tiếng hát chìm đêm xa<
>Kênh đào, cuối thu đông 1948",thơ tự do,https://isach.info/poem.php?poem=linh_rau_ria__quang_dung,Quang Dũng,hiện đại,
Mắt Người Sơn Tây,"Em ở thành Sơn chạy giặc về<
>Tôi từ chinh chiến cũng ra đi<
>Cách biệt bao ngày quê Bất Bạt<
>Chiều xanh không thấy bóng Ba Vì<
>Vầng trán em mang trời quê hương<
>Mắt em dìu dịu buồn Tây phương<
>Tôi nhớ xứ Đoài mây trắng lắm<
>Em đã bao ngày em nhớ thương?<
>Mẹ tôi, em có gặp đâu không<
>Bao xác già nua ngập cánh đồng<
>Tôi nhớ một thằng con bé nhỏ<
>Bao nhiêu rồi xác trẻ trôi sông!<
>Từ độ thu về hoang bóng giặc<
>Điêu tàn ôi lại nối điêu tàn!<
>Đất đá ong khô nhiều suối lệ<
>Em đã bao ngày lệ chứa chan?<
>Đôi mắt người Sơn Tây<
>U ẩn chiều lưu lạc<
>Buồn viễn xứ khôn khuây<
>Tôi gửi niềm nhớ thương<
>Em mang giùm tôi nhé<
>Ngày trở lại quê hương<
>Khúc hoàn ca rớm lệ<
>Bao giờ trở lại làng Bương Cấn<
>Về núi Sài Sơn ngó lúa vàng<
>Sông Đáy chậm nguồn qua Phủ Quốc<
>Sáo diều khuya khoắt thổi đêm trăng<
>Bao giờ tôi gặp em lần nữa<
>Chắc đã thanh bình rộn tiếng ca<
>Đã hết sắc mùa chinh chiến cũ<
>Còn có bao giờ em nhớ ta?",lục bát,https://isach.info/poem.php?poem=mat_nguoi_son_tay__quang_dung,Quang Dũng,hiện đại,
