title,content,genre,url,author,period,specific_genre
"Cảm Thu, Tiễn Thu","Khói thu xây thành.<
>Lá thu rơi tụng đầu ghềnh<
>Sông thu đưa lá bao ngành biệt ly.<
>Nhạn về én lại bay đi,<
>Đêm thì vượn hót, ngày thì ve ngâm.<
>Lá sen tàn tạ trong đầm,<
>Nặng mang giọt lệ âm thầm khóc hoa.<
>Sắc đậu nhuộm ố quanh hà<
>Cỏ vàng cây đỏ bóng tà tà dương.<
>Nào người cố lí tha phương,<
>Cảm thu ai có tư lường hỡi ai?",bảy chữ,https://isach.info/poem.php?poem=cam_thu_tien_thu__tan_da,Tản Đà,hiện đại,
Cảnh Vui Của Nhà Nghèo,"Trong trần thế cảnh nghèo là khổ<
>Nỗi sinh nhai khốn khó qua ngày<
>Quanh năm gạo chịu tiền vay<
>Vợ chồng lo tính hôm rày hôm mai.<
>áo lành rách vá may đắp điếm<
>Nhà ở thuê chật hẹp quanh co<
>Tạm yên đủ ấm vừa no<
>Cái buồn khôn xiết, cái lo khôn cùng.<
>Con đi học con bồng con dắt<
>Lớn chưa khôn lắt nhắt thơ ngây,<
>Hôm hôm lớn bé sum vầy<
>Cũng nên vui vẻ mà khuây nỗi buồn.<
>Nghĩ thiên hạ cho con đi học<
>Cảnh phong lưu phú túc nói chi!<
>Những ai bần bạc hàn vi<
>Lo buồn, đã vậy, vui thì cũng vui.<
>Tan buổi học mẹ ngồi tựa cửa<
>Mắt trông con đứa đứa về dần.<
>Xa xa con đã tới gần<
>Các con về đủ quây quần bữa ăn.<
>Cơm dưa muối khó khăn mới có,<
>Của không ngon, nhà khó cũng ngon.<
>Khi vui câu chuyện thêm giòn<
>Chồng chồng vợ vợ con con một nhà.<
>ăn rồi học, tối qua lại sáng,<
>ít tiền tiêu ngày tháng thảnh thơi,<
>Chiều chiều tối tối mai mai<
>Miễn sao no đủ, việc đời quản chi!<
>Con nhà khó nhiều khi vất vả,<
>Khi thời quẩy nước tưới rau<
>Chợ tan đón gánh theo sau mẹ già.<
>Việc giấy bút vẫn là đi học<
>Ví chăng có chí có tài<
>Khi nên, trời cũng cho người làm nên.<
>Khắp xã hội nghèo hèn ai đó<
>Mẹ thương con thời cố công nuôi.<
>Những con nhà khó kia ơi<
>Có thương cha mẹ thời vui học hành!<
>Cũng chẳng kể thành danh lúc khác<
>Trời đã cho bước bước càng hay<
>Nghèo mà học được như nay<
>Vinh hoa chưa dễ sánh tày cái vui.<
>Trong trần thế nhiều nơi phú quí<
>Nỗi buồn riêng ai ví như ai?<
>Bày ra cái cảnh có trời<
>Vui buồn cũng ở tự người thế gian.",lục bát,https://isach.info/poem.php?poem=canh_vui_cua_nha_ngheo__tan_da,Tản Đà,hiện đại,
Đề Khối Tình Con,"Chữ nghĩa Tây, Tàu trót dở dang<
>Nôm na phá nghiệp kiếm ăn xoàng.<
>Nửa ngòi bút ngỗng ba sinh lụy<
>Một mối tơ tằm mấy đoạn vương.<
>Có kẹo có câu là sách vở<
>Chẳng lề chẳng lối cũng văn chương<
>Còn non còn nước còn trăng gió<
>Còn có thơ ca bán phố phường.<
>""Đề Khối Tình Con"" Tên một tập văn của Tản Đà",lục bát,https://isach.info/poem.php?poem=de_khoi_tinh_con__tan_da,Tản Đà,hiện đại,
Đêm Đông Hoài Cảm,"Trăm năm nghĩ đời người có mấy<
>Một đêm đông sao thấy dài thay!<
>Lạnh lùng gió thổi sương bay<
>Chập chờn giấc bướm canh chầy lại canh.<
>Ngó trên án đèn xanh hiu hắt,<
>Nghe tiếng kim kí cách giục giờ,<
>Đêm trường nghĩ vẩn lo vơ<
>Cái lo vô tận bao giờ là xong!<
>Thân nam tử đứng trong trần thế<
>Cuộc trăm năm có dễ ru mà!<
>Có đời mà đã có ta<
>Sao cho thân thế không là cỏ cây,<
>Đường có kẻ đường mây gặp bước,<
>Bước công danh sấn trước trèo cao<
>Thế gian tỏ mặt anh hào<
>Muôn nghìn mắt miệng trông vào ngợi khen.<
>Cũng có kẻ tài hoa chữ lợi<
>Trắng hai tay làm nổi nên giàu<
>Chẳng khanh tướng, chẳng công hầu<
>Cũng bao vạn kẻ cúi đầu vào ra.<
>ấy những hạng vinh hoa phú quý<
>Làm tài trai đắc chí hơn người<
>Trăm năm nghĩ cũng nên đời<
>Trăm năm rồi nữa, biết rồi ra sao?<
>Lại những kẻ chí cao tài thấp<
>Bước đường đời lấp vấp quanh co<
>Phong lưu rồi đủ ấm no<
>Kém ra lưu lạc giang hồ cũng thân!<
>Nghĩ qua thử thách trần bao kẻ<
>Giật mình cho thân thế trăm năm,<
>Mối đâu bối rối tơ tằm<
>Lấy ai là kẻ đồng tâm gỡ cùng?<
>Bước lận đận thẹn cùng sông núi<
>Mớ văn chương tháng lụi năm tàn<
>Lụy trần ngày tháng lan man<
>Nỗi lòng riêng nghĩ muôn vàn càng thêm.<
>Đèn hiu hắt tiếng kim kí cách<
>Mõ sang canh giục khách đòi cơn<
>Mạch sầu canh vắng như tuôn,<
>Nhớ ai nước nước non non bạn tình!",lục bát,https://isach.info/poem.php?poem=dem_dong_hoai_cam__tan_da,Tản Đà,hiện đại,
Đêm Thu Trông Trăng,"Đêm thu trăng sáng một trời<
>Một mình ngồi tưởng sự đời nghĩ quanh.<
>Nghĩ cho muôn vật hoá sinh<
>ở trong vũ trụ cái hình ra chi!<
>Trăng kia tròn được mấy khi,<
>Hoa kia nở được mấy thì hỡi hoa ?<
>Gái tơ quá lứa đã già,<
>Con tằm rút ruột thời là dộng non.<
>Khúc sông bồi lấp nên cồn,<
>Dâu xanh bãi bể, đá mòn nước khe.<
>Đồng không con đóm lập loè,<
>Khách trần lối ấy đi về những ai?<
>Hình kia đúc tự thợ trời,<
>Tình kia hoạ mới ra ngoài khuôn xanh.<
>Vọng phu còn đá còn trinh,<
>Tiền Đường còn sóng, trung trinh hãy còn.<
>Dẫu cho sông cạn đá mòn,<
>Trung hồn khôn thác, trinh hồn khôn tan.<
>Cho hay những khách trần hoàn,<
>Nghìn xưa ở lại thế gian mấy mà?<
>Trông lên một mảnh trăng tà,<
>Soi chung kim cổ biết là những ai?<
>Mà người kim cổ những ai?...",lục bát,https://isach.info/poem.php?poem=dem_thu_trong_trang__tan_da,Tản Đà,hiện đại,
Đời Lắm Việc,"Đời người như giấc chiêm bao<
>Mà trong mộng ảo lại sao không nhàn?<
>Đã sinh ra ở nhân hoàn<
>Lao tâm lao lực một đoàn khác chi?<
>Người ông lớn, đứa cu li<
>Nhọc lòng nhọc xác cũng vì ""cái ăn"".<
>Cuộc đời kinh tế khó khăn,<
>Người đời càng phải nhọc nhằn sớm hôm.<
>Những người khố rách áo ôm<
>Mồ hôi đổi lấy bát cơm no lòng .<
>Người thương mại, kẻ canh nông<
>Lo tiền, lo thóc, năm cùng lại năm.<
>Ngày ngày hai buổi đi làm<
>Cụ thừa trong sở, ông tham trên toà.<
>Người khiêu vũ kẻ xướng ca<
>Cũng là nghề nghiệp con nhà làm ăn.<
>Người viết báo kẻ bán văn<
>Sinh nhai cái bút khó khăn lần hồi.<
>Người đi sông nước ngược xuôi,<
>Kẻ đem kim chỉ ngày ngồi vá may.<
>Kẻ đi đồn thú Đông Tây,<
>Người khua chuông mõ ăn mày cửa không.<
>Người thuyền thợ kẻ gánh gồng<
>Người canh cửi kẻ bên sông lưới chài,<
>Cùng trong lao động một đời,<
>Kể sao cho xiết hạng người thế gian!<
>Giàu sang chưa dễ ai nhàn,<
>Nghèo hèn ai chớ phàn nàn làm chi!<
>Vui buồn ai cũng có khi<
>Có hoan lạc có sầu bi lẽ thường.<
>Trăm năm một giấc mơ màng,<
>Nghĩ chi cho bận gan vàng hỡi ai!",lục bát,https://isach.info/poem.php?poem=doi_lam_viec__tan_da,Tản Đà,hiện đại,
Hầu Trời,"Đêm qua chẳng biết có hay không,<
>Chẳng phải hoảng hốt, không mơ mòng.<
>Thật hồn! Thật phách! Thật thân thế!<
>Thật được lên tiên - sướng lạ lùng.<
>Nguyên lúc canh ba nằm một mình,<
>Vắt chân dưới bóng ngọn đèn xanh.<
>Nằm buồn, ngồi dậy đun nước uống,<
>Uống xong ấm nước, nằm ngâm văn.<
>Chơi văn ngâm chán lại chơi trăng<
>Ra sân cùng bóng đi tung tăng<
>Trên trời bỗng thấy hai cô xuống<
>Miệng cười tủm tỉm cùng nói rằng:<
>- ""Trời nghe hạ giới ai ngâm nga,<
>Tiếng ngâm vang cả sông Ngân Hà!<
>Làm Trời mất ngủ, Trời đương mắng<
>Có hay lên đọc, Trời nghe qua"".<
>Ước mãi bây giờ mới gặp tiên!<
>Người tiên nghe tiếng lại như quen!<
>Văn chương nào có hay cho lắm<
>Trời đã sai gọi thời phải lên.<
>Theo hai cô tiên lên đường mây<
>Vù vù không cánh mà như bay.<
>Cửa son đỏ chói, oai rực rỡ<
>Thiên môn đế khuyết như là đây!<
>Vào trông thấy Trời, sụp xuống lạy<
>Trời sai tiên nữ dắt lôi dâ.y.<
>Ghế bành như tuyết vân như mây<
>Truyền cho văn sĩ ngồi chơi đấy.<
>Chư tiên ngồi quanh đã tĩnh túc<
>Trời sai pha nước để nhấp gio.ng.<
>Truyền cho ""văn sĩ đọc văn nghe!""<
>- ""Dạ bẩm lạy Trời con xin đọc"".<
>Đọc hết văn vần lại văn xuôi<
>Hết văn thuyết lý lại văn chơi<
>Đương cơn đắc ý đọc đã thích<
>Chè trời nhấp giọng càng tốt hơi.<
>Văn dài hơi tốt ra cung mây!<
>Trời nghe, Trời cũng lấy làm hay,<
>Tâm như nở dạ, Cơ lè lưỡi<
>Hằng Nga, Chúc Nữ chau đôi mày<
>Song Thành, Tiểu Ngọc lắng tai đứng<
>Đọc xong mỗi bài cũng vỗ tay.<
>- ""Bẩm con không dám man cửa Trời<
>Những áng văn con in cả rồi<
>Hai quyển ""Khối tìng"" văn thuyết lý<
>Hai ""Khối tình"" con làvăn chơi<
>""Đài gương"", ""Lên sáu"" văn vị đời<
>Quyển ""Đàn bà Tàu"" lối văn dịch<
>Đến quyển ""Lên tám"" nay là mười<
>Nhờ Trời văn con còn bán được<
>Chữ biết con in ra mấy mươi?""<
>Văn đã giàu thay, lại lắm lối<
>Trời nghe Trời cũng bật buồn cười!<
>Chư tiên ao ước tranh nhau dặn:<
>- ""Anh gánh lên đây bán chợ Trời!""<
>Trời lại phê cho: ""Văn thật tuyệt!<
>Văn trần được thế chắc có ít!<
>Nhời văn chuốt đẹp như sao băng!<
>Khí văn hùng mạnh như mây chuyển!<
>Êm như gió thoảng! Tinh như sương!<
>Đầm như mưa sa, lạnh như tuyết!<
>Chẳng hay văn sĩ tên họ gì?<
>Người ở phương nào, ta chưa biết"".<
>- ""Dạ, bẩm lạy Trời con xin thưa<
>Con tên Khắc Hiếu họ là Nguyễn<
>Quê ở Á Châu và Địa cầu<
>Sông Đà núi Tản nước Nam Việt"".<
>Nghe xong Trời ngợ một lúc lâu<
>Sai bảo thiên tào lấy sổ xét.<
>Thiên tào tra sổ xét vừa xong<
>Đệ sổ lên trình Thượng đế trông<
>- ""Bẩm quả có tên Nguyễn Khắc Hiếu<
>Đày xuống hạ giới vì tội ngông"".<
>Trời rằng: ""Không phải là Trời đày,<
>Trời định sai con một việc này<
>Là việc ""thiên lương"" của nhân loại,<
>Cho con xuống thuật cùng đời hay"".<
>- ""Bẩm Trời, cảnh con thực nghèo khó<
>Trần gian thước đất cũng không có<
>Nhờ Trời năm xưa học ít nhiều<
>Vốn liếng còn một bụng văn đó.<
>Giấy người mực người thuê người in<
>Mướn cửa hàng người bán phường phố.<
>Văn chương hạ giới rẻ như bèo<
>Kiếm được đồng lãi thực rất khó.<
>Kiếm được thời ít, tiêu thời nhiều<
>Làm mãi quanh năm chẳng đủ tiêu.<
>Lo ăn lo mặc hết ngày tháng<
>Học ngày một kém tuổi ngày cao<
>Sức trong non yếu ngoài chen rấp<
>Một cây che chống bốn năm chiều.<
>Trời lại sai con việc nặng quá<
>Biết làm có được mà dám theo"".<
>Rằng: ""Con không nói Trời đã biết<
>Trời dẫu ngồi cao, Trời thấu hết<
>Thôi con cứ về mà làm ăn<
>Lòng thông chớ ngại chi sương tuyết!""<
>Vâng nhời Trời dạy, lạy xin ra<
>Trời sai Khiên Ngưu đóng xe tiễn<
>Xe trời đã chực ngoài thiên môn<
>Chư tiên theo ra cùng tiễn biê.t.<
>Hai hàng lụy biệt giọt sương rơi<
>Trông xuống trần gian vạn dặm khơi.<
>Thiên tiên ở lại, trích tiên xuống<
>Theo đường không khí về trần ai.<
>Đêm khuya khí thanh sao thưa vắng<
>Trăng tà đưa lối về non Đoài.<
>Non Đoài đã tới quê trần giới,<
>Trông lên chư tiên không còn ai.<
>Tiếng gà xao xác, tiếng người dậy<
>Giữa sân còn đứng riêng ngậm ngùi<
>Một năm ba trăm sáu mươi đêm<
>Sao được mỗi đêm lên hầu Trời.",lục bát,https://isach.info/poem.php?poem=hau_troi__tan_da,Tản Đà,hiện đại,
Hỏi Vợ,"Một hôm trăm ngẩn mười ngơ<
>Ngồi buồn lấy giấy viết thơ hỏi trời<
>Xem thơ trời cũng bược cười<
>Cười cho hạ giới có người oái oăm<
>Khách hà nhân giả<
>Cớ làm sao suồng sã dám đưa thơ<
>Chốn thiên cung ai kén rẻ bao giờ<
>Chi những sự ngẩn ngơ mà giấy má<
>Chức Nữ tảo tùng giai tế giá<
>Hằng Nga bất nại bảo phu niên<
>Mở then mây quăng trả bức hồng tiên<
>Mời khách hãy ngồi yên trong cõi tục<
>Người đâu kiếp trước Đông Phương Sóc<
>Trộm đào tiên quen học thói ngày xưa<
>Trần gia đầy mãi không chừa",bảy chữ,https://isach.info/poem.php?poem=hoi_vo__tan_da,Tản Đà,hiện đại,
Ngẫu Hứng,"(Vì chủ nhà đến thu tiền nhà đi khỏi mà nên thơ)<
>Ước sao tháng tháng sẵn tiền<
>Tiền nhà cứ tháng ta liền đóng ngay<
>Rồi ra thơ nghĩ mới hay<
>Tri âm ai đó mới say vì tình.<
>Hôm qua chửa có tiền nhà<
>Suốt đêm thơ nghĩ chẳng ra câu nào!<
>Đi ra rồi lại đi vào<
>Quẩn quanh chỉ tốn thuốc lào vì thơ.<
>Tiền nhà nay đã đóng rồi<
>Ta pha ấm nước, ta ngồi ngâm nga<
>Bây giờ thơ mới nghĩ ra<
>Hồn thơ quanh quất bút hoa đêm trường.",bảy chữ,https://isach.info/poem.php?poem=ngau_hung__tan_da,Tản Đà,hiện đại,
Nói Chuyện Với Ảnh,"Người đâu? Cũng giống đa tình,<
>Ngỡ là ai, lại là mình với ta.<
>Mình với ta dẫu hai như một,<
>Ta với mình tuy một mà hai?<
>Năm nay mình mới ra đời, mà ta ra trước đã ngoài đôi mươi.<
>Cuộc nhân thế câu cười tiếng khóc,<
>Nghề sinh nhai lối dọc đường ngang.<
>Đầu xanh ai điểm hơi sương,<
>Những e cùng thẹn, những thương cùng sầu.<
>Đôi ta vốn cùng nhau một tướng,<
>Lạ cho mình sung sướng như tiên,<
>Phong tư tài mạo thiên nhiên<
>Không thương không sợ, không phiền không lo.<
>Xuân bất tận trời cho có mãi,<
>Mảnh gương trong đứng lại với tình.<
>Trăm năm ta lánh cõi trần<
>Nghìn năm mình giữ tinh thần chớ phai.",bảy chữ,https://isach.info/poem.php?poem=noi_chuyen_voi_anh__tan_da,Tản Đà,hiện đại,
