title,content,genre,url,author,period,specific_genre
Bà Bủ,"Tập thơ Tố Hữu:<
>Bà bủ nằm ổ chuối khô<
>Bà bủ không ngủ bà lo bời bời...<
>Đêm nay tháng chạp mồng mười<
>Vài mươi bữa nữa Tết rồi hết năm.<
>Bà bủ không ngủ bà nằm<
>Bao giờ thằng út về thăm một kỳ<
>Từ ngày nó bước ra đi<
>Nó đi giải phóng đến khi nào về?<
>Bao giờ hết giặc về quê?<
>Đêm đêm bà bủ nằm mê khấn thầm...<
>Bà bủ không ngủ, bà nằm<
>Càng lo càng nghĩ, càng căm càng thù<
>Ngoài hiên gió núi ù ù<
>Mưa đêm mưa tự chiến khu mưa về...<
>Đêm nay bộ đội rừng khe<
>Mưa ướt dầm dề, gió buốt chân tay<
>Nó đi đánh giặc đêm nay<
>Bước run, bước ngã, bước lầy, bước trơn<
>Nhà còn ổ chuối lửa rơm<
>Nó đi đánh giặc đêm hôm sưởi gì?<
>Năm xưa cơm củ ngon chi<
>Năm nay cơm gié nhà thì vắng con!<
>Bà bủ gan ruột bồn chồn<
>Con gà đã gáy đầu thôn sáng rồi...",bảy chữ,https://isach.info/poem.php?poem=ba_bu__to_huu,Tố Hữu,hiện đại,
Bài Ca Mùa Xuân 1961,"Tập thơ Tố Hữu:<
>Tôi viết bài thơ xuân<
>Nghìn chín trăm sáu mốt<
>Cành táo đầu hè rung rinh quả ngọt<
>Nắng soi sương giọt long lanh...<
>Rét nhiều nên ấm nắng hanh<
>Đắng cay lắm mới ngọt lành đó chăng?<
>Giã từ năm cũ bâng khuâng<
>Đã nghe xuân mới lâng lâng lạ thường!<
>Chào xuân đẹp! Có gì vui đấy<
>Hỡi em yêu? Mà má em đỏ dậy<
>Như buổi đầu hò hẹn, say mê<
>Anh nắm tay em, sôi nổi, vụng về<
>Mà nói vậy: ""Trái tim anh đó<
>Rất chân thật chia ba phần tươi đỏ:<
>Anh dành riêng cho Đảng phần nhiều<
>Phần cho thơ, và phần để em yêu...""<
>Em xấu hổ: ""Thế cũng nhiều anh nhỉ!""<
>Rồi hai đứa hôn nhau, hai người đồng chí<
>Dắt nhau đi, cho đến sáng mai nay<
>Anh đón em về, xuân cũng đến trong tay!<
>Ôi tiếng hót vui say con chim chiền chiện<
>Trên đồng lúa chiêm xuân chao mình bay liệng<
>Xuân ơi xuân, vui tới mông mênh<
>Biển vui dâng sóng trắng đầu ghềnh<
>Thơ đã hát, mát trong lời chúc:<
>Đường lên hạnh phúc rộng thênh thênh<
>Tam Đảo, Ba Vì vui núi xuân xanh...<
>Chào 61! Đỉnh cao muôn trượng<
>Ta đứng đây, mắt nhìn bốn hướng<
>Trông lại nghìn xưa, trông tới mai sau<
>Trông Bắc trông Nam, trông cả địa cầu!<
>Trải qua một cuộc bể dâu<
>Câu thơ còn đọng nỗi đau nhân tình<
>Nổi chìm kiếp sống lênh đênh<
>Tố Như ơi, lệ chảy quanh thân Kiều!<
>Nghe hồn Nguyễn Trãi phiêu diêu<
>Tiếng gươm khua, tiếng thơ kêu xé lòng...<
>Ôi tiếng của cha ông thuở trước<
>Xin hát mừng non nước hôm nay:<
>Một vùng trời đất trong tay<
>Dẫu chưa toàn vẹn, cũng bay cờ hồng!<
>Việt Nam, dân tộc anh hùng<
>Tay không mà đã thành công nên người!<
>Có gì đẹp trên đời hơn thế<
>Người yêu người sống để yêu nhau<
>Đảng cho ta trái tim giàu<
>Thẳng lưng mà bước, ngẩng đầu mà bay!<
>Đời vui đó, hôm nay mở cửa<
>Như dãy hàng bách hóa của ta<
>Hỡi những người yêu, hãy ghé mua hoa<
>Và đến đó, sắm ít quà lễ cưới:<
>Lụa Nam Định đẹp tươi mát rượi<
>Lược Hàng Đào chải mái tóc xanh!<
>Ta còn nghèo, phố chật nhà gianh<
>Nhưng cũng đủ vài tranh treo Tết...<
>Đời vui đó, tiếng ca Đoàn kết<
>Ta nắm tay nhau xây lại đời ta<
>Ruộng lúa, đồng khoai, nương sắn, vườn cà<
>Chuồng lợn, bầy gà, đàn rau, ao cá<
>Dọn tí phân rơi, nhặt từng ngọn lá<
>Mỗi hòn than, mẩu sắn, cân ngô<
>Ta nâng niu gom góp dựng cơ đồ!<
>Ồ thích thật, bài thơ miền Bắc<
>Rất tự do nên tươi nhạc, tươi vần<
>Cả không gian như xích lại gần<
>Thời gian cũng quên tuần quên tháng.<
>Đời trẻ lại. Tất cả đều cách mạng!<
>Rũ sạch cô đơn, riêng lẻ, bần cùng<
>Quê hương ta rộn rã cuộc vui chung<
>Người hợp tác nên lúa dày thêm đó.<
>Đường nở ngực. Những hàng dương liễu nhỏ<
>Đã lên xanh như tóc tuổi mười lăm<
>Xuân ơi Xuân, em mới đến dăm năm<
>Mà cuộc sống đã tưng bừng ngày hội<
>Như hôm nay, giữa công trường đỏ bụi<
>Những đoàn xe vận tải nối nhau đi<
>Hồng Quảng, Lào Cai, Thái Nguyên, Việt Trì<
>Tên đất nước reo vui bao tiếng gọi...<
>Nào đi tới! Bác Hồ ta nói<
>Phút giao thừa, tiếng hát đêm xuân<
>Kế hoạch năm năm. Mời những đoàn quân<
>Mời những bàn chân, tiến lên phía trước.<
>Tất cả dưới cờ, hát lên và bước!<
>Đi ta đi! Khai phá rừng hoang<
>Hỏi núi non cao, đâu sắt đâu vàng?<
>Hỏi biển khơi xa, đâu luồng cá chạy?<
>Sông Đà, sông Lô, sông Hồng, sông Chảy<
>Hỏi đâu thác nhảy, cho điện quay chiều?<
>Hỡi những người trai, những cô gái yêu<
>Trên những đèo mây, những tầng núi đá<
>Hai bàn tay ta hãy làm tất cả!<
>Xuân đã đến rồi. Hối hả tương lai<
>Khói những nhà máy mới ban mai...<
>Tôi viết cho ai bài thơ 61?<
>Đêm đã khuya rồi, rét về tê buốt<
>Hà Nội rì rầm... Còi thổi ngoài ga<
>Một chuyến tàu chuyển bánh đi xa<
>Tiếng xình xịch, chạy dọc đường Nam Bộ...<
>Ôi đâu phải con tàu! Trái tim ta đó<
>Tiếng đập thình thình, muốn vỡ làm đôi!<
>Ta biết em rất khỏe, tim ơi<
>Không khóc đấy. Nhưng sao mà nóng bỏng<
>Như lửa cháy trong lòng ta gió lộng?<
>Mấy hôm nay, như đứa nhớ nhà<
>Ta vẩn vơ hoài, rạo rực, vào ra<
>Nghe tiếng mõ và nghe tiếng súng<
>Miền Nam dậy, hò reo náo động!<
>Ba con tôi đã ngủ lâu rồi<
>Còn bao nhiêu chưa được ngủ trong nôi<
>Miền Bắc thiên đường của các con tôi!<
>Gà gáy sáng. Thơ ơi, mang cánh lửa<
>Hãy bay đi! Con chim kêu trước cửa<
>Thêm một ngày xuân đến. Bình minh<
>Cành táo đầu hè quả ngọt rung rinh<
>Như hạnh phúc đơn sơ, ước mơ nho nhỏ<
>Treo trước mắt của loài người ta đó:",bảy chữ,https://isach.info/poem.php?poem=bai_ca_mua_xuan_1961__to_huu,Tố Hữu,hiện đại,
Bài Ca Quê Hương,"Tập thơ Tố Hữu:<
>20 năm dằng dặc xa quê<
>Nay mới về thăm mừng tái tê...<
>Mới được nghe giọng hờn dịu ngọt<
>""Huế giải phóng nhanh, mà anh lại muộn về!""<
>Ôi, cơ chi anh được về với Huế<
>Không đợi trưa nay, phượng nở với cờ<
>Về với phá Tam Giang, như con trích con chuồn dưới bể<
>Về với từng lá bến Tuần, lợp nón bài thơ...<
>Cơ chi anh sớm được về bên nội<
>Hôn nỗi đau tan nát Phù Lai<
>Như quê bạn Niệm Phò trơ trụi<
>Đạn bom cày cả nương sắn, đồng khoai!<
>Cơ chi anh sớm được về bên ngoại<
>Giữ bờ tre, bên nước Thanh Lương<
>Thương các cậu, các dì chịu khảo tra, không nói<
>Đào hầm nuôi cán bộ tháng năm trường!<
>Quê hương ơi, sao mà da diết thế<
>Giọng đò đưa... lòng Huế đó chăng?<
>Vì dù đèn tắt, đã có trăng<
>Khổ em thì em chịu, biết làm răng đặng chừ...<
>Câu hò xưa mối tương tư<
>Thiết tha đôi lứa, mà như đôi miền!<
>Bây giờ, nước lớn, thuyền lên<
>Bắc Nam mình lại nối liền thịt da<
>Bây giờ, hết nỗi gần xa<
>Anh vào Hương Thủy, anh ra Phong Điền<
>Đường làng, lạ mấy cũng quen<
>Bước chân cứ nhớ, chẳng quên lối nào.<
>Ngày đi, lòng vẫn tự hào<
>Nay về, càng ngẩng đầu cao với trời.<
>Thừa Thiên, đẹp cảnh, đẹp người<
>Núi xanh khí phách, biển ngời sức xuân!<
>Núi này, Bạch Mã, Hải Vân<
>Mây đưa Anh Giải phóng quân lên đèo<
>Biển này, cửa Thuận sóng reo<
>Thanh thanh vành mũ tai bèo là em.<
>Hương Giang ơi, dòng sông êm<
>Quả tim ta, vẫn ngày đêm tự tình<
>Vẫn là duyên đó, quê anh<
>Gió mưa tan, lại trong lành mặt gương.<
>Bến nghèo, xưa chuyến đò ngang<
>Nay cầu chống Mỹ, xe sang dập dìu<
>Tràng Tiền, biết mấy là yêu!<
>Tuổi thơ áo trắng, sớm chiều bướm bay.<
>Ngự Bình, thông lại xanh cây<
>Bên kia Vọng Cảnh, bên này Thiên Thai<
>Bức tranh non nước tuyệt vời<
>Bàn tay ta lại xây đời ta đây!<
>Hoàng cung, thôi đã rêu dày<
>Ngẩn ngơ thần tượng còn say thuở nào?<
>Tươi rồi, cuộc sống thanh tao<
>Bát cơm hến cũng ngọt ngào lòng ta.<
>Huế ơi, đẹp lắm quê nhà<
>Câu Nam ai hóa bài ca anh hùng<
>Ai đi qua đó miền Trung<
>Xin mời ghé lại, vui cùng Huế tôi!<
>Kỷ niệm tháng 5-1975",bảy chữ,https://isach.info/poem.php?poem=bai_ca_que_huong__to_huu,Tố Hữu,hiện đại,
Bà Má Hậu Giang,"Tập thơ Tố Hữu:<
>Trời Hậu Giang, tù và dậy rúc<
>Phèng la kêu, trống giục vang đồng<
>Đường quê đỏ rực cờ hồng<
>Giáo lê sáng đất, tầm vông nhọn trời<
>Quyết một trận, quét đời nô lệ<
>Quăng máu xương, phá bẻ xiềng gông!<
>Hỡi ôi! Việc chửa thành công<
>Hôm nay máu chảy đỏ đồng Hậu Giang<
>Giặc lùng, giặc đốt xóm làng<
>Xác xơ cây cỏ, tan hoang cửa nhà<
>Một vùng trắng bãi tha ma<
>Lặng im, không một tiếng gà gáy trưa<
>Có ai biết, ai ngờ trong đó<
>Còn chơ vơ một ổ lều con<
>Đạn bom qua, hãy sống còn<
>Núp sau lưng rộng một hòn đá to.<
>Có ai biết trong tro còn lửa<
>Một má già lần lữa không đi<
>Ở đây sóng gió bất kỳ<
>Má ơi, má ở làm chi một mình?<
>Rừng một dải U Minh tối sớm<
>Má lom khom đi lượm củi khô<
>Ngày đêm củi chất bên lò<
>Ai hay má cất củi khô làm gì?<
>Hay má lẫn quên vì tuổi tác<
>Hay má liều một thác cho yên?<
>Bỗng đâu một buổi mai lên<
>Trên đường quê ấy qua miền nghĩa quân<
>Một tán quỷ rần rần rộ rộ<
>Mắt mèo hoang, mũi chó, râu dê<
>Súng trường nhọn hoắt lưỡi lê<
>Khét nồng khí chết, tanh dề máu oan!<
>Chúng rảo bước. Lính quan nện gót<
>Mắt nhìn quanh lục mót dạng người<
>Đồng không, lạnh vắng, im hơi<
>Chỉ đôi bóng quạ ngang trời loáng qua<
>Ách là! Thằng quan ba dừng bước<
>Rút ống dòm, và ngước mắt nheo<
>Xa xa, sau lớp nhà xiêu<
>Một tia khói nhỏ ngoằn ngoèo bay lên...<
>Hắn khoái trá cười điên sằng sặc<
>Nhe hàm răng sáng quắc như gươm<
>Vẫy tay lũ tớ gườm gườm<
>Như bầy chó đói chực chồm miếng ăn.<
>Rồi lặng lặng bước chân hùm sói<
>Tiến dần lên tia khói, vây quanh...<
>Má già trong túp lều tranh<
>Ngồi bên bếp lửa, đun cành củi khô<
>Một mình má, một nồi to<
>Cơm vừa chín tới, vùi tro, má cười...<
>Chết! Có tiếng gì rơi sột soạt?<
>Má già run, trán toát mồ hôi<
>Chạy đâu? Thôi chết, chết rồi!<
>Gót giày đâu đã đạp rơi liếp mành.<
>Một thằng cướp, mắt xanh mũi lõ<
>Đốc gươm dài tuốt vỏ cầm tay<
>Rung rinh bậc cửa tre gầy<
>Nghênh ngang một ống chân đầy lối đi!<
>Hắn rướn cổ, giương mi, trơn mắt<
>Như hổ mang chợt bắt được mồi<
>Trừng trừng trông ngược trông xuôi<
>Trông vào bếp lửa: Một nồi cơm to.<
>Hắn rống hét: ""Con bò cái chết!<
>Một mình mày ăn hết này sao?<
>Đừng hòng che được mắt tao<
>Khai mau, du kích ra vào nơi đâu?<
>Khai mau, tao chém mất đầu!""<
>Má già lẩy bẩy như tàu chuối khô<
>Má ngã xuống bên lò bếp đỏ<
>Thằng giặc kia đứng ngõ trừng trừng<
>Má già nhắm mắt, rưng rưng<
>""Các con ơi! ở trong rừng U Minh<
>Má có chết, một mình má chết<
>Cho các con trừ hết quân Tây!""<
>Thằng kia bỗng giậm gót giày<
>Đạp lên đầu má: ""Mẹ mày, nói không?""<
>Lưỡi gươm lạnh toát kề hông<
>""Các con ơi! Má quyết không khai nào!""<
>Sức đâu như ngọn sóng trào<
>Má già đứng dậy, ngó vào thằng Tây<
>Má hét lớn: ""Tụi bay đồ chó!<
>Cướp nước tao, cắt cổ dân tao!<
>Tao già không sức cầm dao<
>Giết bay, có các con tao trăm vùng!<
>Con tao, gan dạ anh hùng<
>Như rừng đước mạnh, như rừng chàm thơm!<
>Thân tao chết, dạ chẳng sờn!""<
>Thương ôi! Lời má lưỡi gươm cắt rồi!<
>Một dòng máu đỏ lên trời<
>Má ơi, con đã nghe lời má kêu!<
>Nước non muôn quý ngàn yêu<
>Còn in bóng má sớm chiều Hậu Giang.<
>Đầu năm 1941",bảy chữ,https://isach.info/poem.php?poem=ba_ma_hau_giang__to_huu,Tố Hữu,hiện đại,
Bầm Ơi!,"Tập thơ Tố Hữu:<
>Ai về thăm mẹ quê ta<
>Chiều nay có đứa con xa nhớ thầm...<
>Bầm ơi có rét không bầm!<
>Heo heo gió núi, lâm thâm mưa phùn<
>Bầm ra ruộng cấy bầm run<
>Chân lội dưới bùn, tay cấy mạ non<
>Mạ non bầm cấy mấy đon<
>Ruột gan bầm lại thương con mấy lần.<
>Mưa phùn ướt áo tứ thân<
>Mưa bao nhiêu hạt, thương bầm bấy nhiêu!<
>Bầm ơi, sớm sớm chiều chiều<
>Thương con, bầm chớ lo nhiều bầm nghe!<
>Con đi trăm núi ngàn khe<
>Chưa bằng muôn nỗi tái tê lòng bầm<
>Con đi đánh giặc mười năm<
>Chưa bằng khó nhọc đời bầm sáu mươi.<
>Con ra tiền tuyến xa xôi<
>Yêu bầm yêu nước, cả đôi mẹ hiền.<
>Nhớ thương con bầm yên tâm nhé<
>Bầm của con, mẹ Vệ quốc quân.<
>Con đi xa cũng như gần<
>Anh em đồng chí quây quần là con.<
>Bầm yêu con, yêu luôn đồng chí<
>Bầm quý con, bầm quý anh em.<
>Bầm ơi, liền khúc ruột mềm<
>Có con có mẹ, còn thêm đồng bào<
>Con đi mỗi bước gian lao<
>Xa bầm nhưng lại có bao nhiêu bầm!<
>Bao bà cụ từ tâm như mẹ<
>Yêu quý con như đẻ con ra.<
>Cho con nào áo nào quà<
>Cho củi con sưởi, cho nhà con ngơi.<
>Con đi, con lớn lên rồi<
>Chỉ thương bầm ở nhà ngồi nhớ con!<
>Nhớ con, bầm nhé đừng buồn<
>Giặc tan, con lại sớm hôm cùng bầm.<
>Mẹ già tóc bạc hoa râm<
>Chiều nay chắc cụng nghe thầm tiếng con...",bảy chữ,https://isach.info/poem.php?poem=bam_oi__to_huu,Tố Hữu,hiện đại,
"Con Cá, Chột Nưa","Tập thơ Tố Hữu:<
>Năm sáu ngày mệt xỉu<
>Thuốc làm khuây mấy điếu<
>Vài ba hớp nước trong<
>Suy nghĩ chuyện bao đồng<
>Vẫn không ngoài chuyện đói.<
>Đầu sàn canh bốc khói<
>Chén cá nức mùi thơm<
>Lên họa với mùi cơm<
>Sao mà như cám dỗ!<
>Muốn ngủ mà không ngủ<
>Cái bụng cứ nằn nì:<
>“Ăn đi thôi, ăn đi!<
>Chết làm chi cho khổ!”<
>Nghe hắn thầm quyến rũ<
>Tôi đỏ mặt bừng tai:<
>“Im đi cái giọng mày<
>Tao thà cam chịu chết!”<
>Hắn nằm im đỡ mệt<
>Rồi tha thiết van lơn:<
>“Đời mới hai mươi xuân<
>Chết làm chi cho khổ!”<
>Hắn nói to nói nhỏ<
>Kể lể chuyện đê hèn<
>Tôi vẫn cứ nằm yên<
>Hắn liền thay chiến thuật:<
>“Thôi thì thôi cứ vật<
>Nhưng phải ráng cầm hơi<
>Theo với bạn với đời<
>Cho đến ngày kết quả.<
>Ăn đi vài con cá<
>Năm bảy cái chột nưa<
>Có ai biết ai ngờ?<
>Thế vẫn tròn danh dự<
>Không can chi mà sợ<
>Có hôi miệng hôi mồm<
>Còn có nước khi hôm<
>Uống vô là sạch hết!”<
>Lần này tôi thú thiệt:<
>Lời hắn cũng hay hay<
>Lí sự cũng đủ đầy<
>Nghe ra chừng phải quá!<
>Ăn đi vài con cá<
>Năm bảy cái chột nưa<
>Có ai biết, ai ngờ<
>Thế vẫn tròn danh dự!<
>Nhưng mà tôi lưỡng lự<
>Suy nghĩ rồi lắc đầu<
>Đành không ai biết đâu<
>Vẫn không làm thế được!<
>Từ khi chân dấn bước<
>Trên con đường đấu tranh<
>Tôi sẵn có trong mình<
>Đôi mắt thần: chủ nghĩa<
>Đã đứng trong đoàn thể<
>Bênh vực lợi quyền chung<
>Sống chết có nhau cùng<
>Không được xa hàng ngũ<
>Không thể gì quyến rũ<
>Mua bán được lương tâm<
>Danh dự của riêng thân<
>Là của chung đồng chí<
>Phải giữ gìn tỉ mỉ<
>Như tròng mắt con ngươi<
>Đến cạn máu tàn hơi<
>Không xa rời kỷ luật<
>Phải trải lòng chân thật<
>Không một nét quanh co<
>Không một bóng lờ mờ<
>Không một nhăn ám muội!<
>Bụng nghe, chừng biết tội<
>Từ đó hết nằn nì<
>Không dám thở than chi<
>Và tôi cười đắc thắng.<
>Lao Bảo, 11-1940<
>Trong những ngày tuyệt thực",thơ tự do,https://isach.info/poem.php?poem=con_ca_chot_nua__to_huu,Tố Hữu,hiện đại,
"Emily, Con...","Hỡi tất cả chúng bay, một bầy ma quỷ<
>Nhân danh ai?<
>Bay mang những B 52<
>Những na-pan, hơi độc<
>Từ toà Bạch Ốc<
>Từ đảo Guy-am<
>Đến Việt Nam<
>Để ám sát hoà bình và tự do dân tộc<
>Để đốt những nhà thương, trường học<
>Giết những con người chỉ biết yêu thương<
>Giết những trẻ em chỉ biết đi trường<
>Giết những đồng xanh bốn mùa hoa lá<
>Và giết cả những dòng sông của thơ ca nhạc hoạ!<
>Nhân danh ai?<
>Bay chôn tuổi thanh xuân của chúng ta trong những quan tài<
>Ôi những người con trai khoẻ đẹp<
>Có thể biến thiên nhiên thành điện, thép<
>Cho con người hạnh phúc hôm nay!<
>Nhân danh ai?<
>Bay đưa ta đến những rừng dày<
>Những hố chông, những đồng lầy kháng chiến<
>Những làng phố đã trở nên pháo đai ẩn hiện<
>Những ngày đêm đất chuyển trời rung...<
>Ôi Việt Nam, xứ sở lạ lùng<
>Đến em thơ cũng hoá thành những anh hùng<
>Đến ong dại cũng luyện thành chiến sĩ<
>Và hoa trái cũng biến thành vũ khí!<
>Hãy chết đi, chết đi<
>Tất cả chúng bay, một bầy ma quỷ!<
>Và xin nghe, nước Mỹ ta ơi!<
>Tiếng thương đau, tiếng căm giận đời đời<
>Của một người con. Của một con người thế kỷ<
>Ê-mi-ly, con ơi!<
>Trời sắp tối rồi...<
>Cha không bế con về được nữa!<
>Khi đã sáng bùng lên ngọn lửa<
>Đêm nay mẹ đến tìm con<
>Con sẽ ôm lấy mẹ mà hôn<
>Cho cha nhé<
>Và con sẽ nói giùm với mẹ:<
>Cha đi vui, xin mẹ đừng buồn!",bảy chữ,https://isach.info/poem.php?poem=emily_con__to_huu,Tố Hữu,hiện đại,
Em Ơi... Ba Lan,"Nhớ nghe em, những đôi giày nhỏ<
>Tưởng còn đi chập chững chân son<
>Những mái tóc vàng tơ đóng bó<
>Dệt thành chăn rợn bóng oan hồn!<
>Anh đã đến quê em Cra-cốp<
>Như quê anh lộng lẫy cung đền<
>Hồng quân cứu Va-ven xinh đẹp<
>Như Thạch Sanh đánh ó cứu nàng tiên...<
>Anh đã đến quê em Ban-tích<
>Sóng ngời xanh, ngọc bích biển khơi<
>Đã xóa sạch những ngày Đăng-dích<
>Màu Ba Lan trong trắng đỏ tươi<
>Khắp quê em, mùa xuân đến rồi<
>- Dù đêm qua chút tuyết còn rơi<
>- Hỡi người chị bên đường quét tuyết<
>Xuân đến rồi, nắng đỏ trên môi.<
>Nắng trên cao cần trục xây nhà<
>Nắng lưng tàu phấp phới đi xa<
>Nắng đỏ ngực anh, người thủy thủ<
>Đẹp như lò Nô-va Hu-ta<
>Khắp quê em, mùa xuân mang tên<
>Những người con đẹp của trăm miền<
>Hôm nay gọi nhau về Đại hội<
>Mở thêm đường, đi lên, đi lên<
>Mùa xuân đó, quê em ấm áp<
>Chân người đi, vào cuộc đời chung<
>Ngựa đang kéo đồng lên hợp tác<
>Đường ta đi tấp nập vô cùng!",lục bát,https://isach.info/poem.php?poem=em_oi_ba_lan__to_huu,Tố Hữu,hiện đại,
Hãy Nhớ Lấy Lời Tôi,"Tập thơ Tố Hữu:<
>Có cái chết hóa thành bất tử<
>Có những lời hơn mọi bài ca<
>Có con người như chân lý sinh ra.<
>Nguyễn Văn Trỗi!<
>Anh đã chết rồi<
>Anh còn sống mãi<
>Chết như sống, anh hùng, vĩ đại.<
>Hỡi người Anh, đã khép chặt đôi môi<
>Tiếng anh hô: Hãy nhớ lấy lời tôi!<
>Đang vang dội. Và ánh đôi mắt sáng<
>Của Anh đã chói ngời trên báo Đảng<
>Nghìn năm sau sẽ nhớ lại hôm qua<
>Một sáng mùa thu, giữa khám Chí Hòa<
>Anh đi giữa hai tên gác ngục<
>Và sau chúng, một người linh mục.<
>Anh bước lên, nhức nhói chân đau,<
>Dáng hiên ngang vẫn ngẩng cao đầu<
>Quần áo trắng một màu thanh khiết<
>Thây gầy yếu mạnh hơn cái chết.<
>Bầy giết thuê và lũ viết thuê<
>Hai hàng đen, súng cắm lưỡi lê<
>Anh bước tới, mắt nhìn, bình thản<
>Như chính Anh là người xử án.<
>Cỏ trong vườn mát dưới chân Anh<
>Đời vẫn tươi màu lá rau xanh<
>Đây miếng đất của Anh đòi giải phóng<
>Đây máu thịt của Anh đòi cuộc sống.<
>Anh thét to: ""Ta có tội gì đây?""<
>Chúng trói Anh vào cọc, mấy vòng dây<
>Mười họng súng. Một băng đen bịt mắt.<
>Anh thét lớn: ""Chính Mỹ kia là giặc!""<
>Và tay Anh giật phắt mảnh băng đen<
>Anh muốn thiêu, bằng mắt, lũ đê hèn<
>Với cái chết, Anh muốn nhìn giáp mặt<
>Như ngọn lửa không bao giờ dập tắt!<
>Chúng run lên, xông trói chặt Anh hơn<
>Đôi môi Anh đã khô cháy căm hờn:<
>Phải chiến đấu không sợ gì súng đạn!<
>Lệnh: Hàng đầu quỳ xuống! Một giây thôi<
>Anh thét lên: Hãy nhớ lấy lời tôi:<
>Đả đảo đế quốc Mỹ!<
>Đả đảo Nguyễn Khánh!<
>Hồ Chí Minh muôn năm!<
>Hồ Chí Minh muôn năm!<
>Hồ Chí Minh muôn năm!<
>Phút giây thiêng, Anh gọi Bác ba lần!<
>Súng đã nổ, mười viên đạn Mỹ<
>Anh gục xuống. Không. Anh thẳng dậy<
>Anh hãy còn hô: Việt Nam muôn năm!<
>Máu tim Anh nhuộm đỏ đất Anh nằm.<
>Mắt đã nhắm, không một lời rên rỉ,<
>Anh chết vậy, như thiên thần yên nghỉ.<
>Chẳng cần đâu, cây thánh giá sắt tây<
>Của tay người linh mục ném bên thây!<
>Anh đã chết, Anh Trỗi ơi, có biết<
>Máu kêu máu, ở trên đời, tha thiết!<
>Du kích quân Ca-ra-cát đã vì Anh<
>Bắt một tên giặc Mỹ giữa đô thành.<
>Anh đã chết. Anh chẳng còn thấy nữa<
>Lửa kêu lửa, giữa miền Nam rực lửa<
>Như trái tim Anh, ôi lửa nào bằng!<
>Phút cuối cùng, chói lọi khối sao băng...<
>Hãy nhớ lấy lời tôi!<
>Nguyễn Văn Trỗi<
>Lời Anh dặn, chúng tôi xin nhớ:<
>Hãy sống chết quang vinh<
>Trước kẻ thù không sợ<
>Vì Tổ quốc hi sinh<
>Như đời Anh, người thợ.",bảy chữ,https://isach.info/poem.php?poem=hay_nho_lay_loi_toi__to_huu,Tố Hữu,hiện đại,
Khi Con Tu Hú,"Tập thơ Tố Hữu:<
>Khi con tu hú gọi bầy<
>Lúa chiêm đang chín trái cây ngọt dần<
>Vườn râm dậy tiếng ve ngân<
>Bắp rây vàng hạt đầy sân nắng đào<
>Trời xanh càng rộng càng cao<
>Đôi con diều sáo lộn nhào từng không...<
>Ta nghe hè dậy bên lòng<
>Mà chân muốn đạp tan phòng hè ôi<
>Ngột làm sao chết mất thôi<
>Con chim tu hú ngoài trời cứ kêu...<
>Huế, tháng 7 - 1939",bảy chữ,https://isach.info/poem.php?poem=khi_con_tu_hu__to_huu,Tố Hữu,hiện đại,
