title,content,genre,url,author,period,specific_genre
Ấm Lạnh,"Yêu nhau từ thuở tóc còn buông<
>Một gái thơ ngây một gã cuồng<
>Khuya sớm vai kề vui đọc sách<
>Chung đèn chung cả ánh trăng xuông<
>Bẩy tám năm mùa hoa dệt trước lầu<
>Năm năm thương mến rẽ càng sâu<
>Chia tay căn vặn lời sơn hải<
>Tạm biệt... ai ngờ vĩnh quyết đâu<
>Lòng thu cỏ rối một chiều kia<
>Non động dừng chân gã trở về<
>Chỉ thấy Chương Đài trơ gốc liễu<
>Bướm gầy xao xác cánh hôn mê<
>Là thôi! Gái thị thành kiêu bạc<
>Đã ấm giàu sang lạnh ước thề",lục bát,https://isach.info/poem.php?poem=am_lanh__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Ba Chữ Mê Hoặc,"Kèm cho cả nhà học<
>Đã có thày giáo riêng.<
>Anh qua lại khuya sớm<
>Chỉ vì: ""Anh yêu em.""<
>Nhà đông người vui nhộn<
>Chẳng ai còn nhớ ra<
>Nơi này anh có mặt<
>Vì đâu? Từ bao giờ?<
>Em là gái lớn nhất<
>Mà chưa lớn bao nhiêu<
>Cậu mợ so đôi tuổi<
>Thì anh hơn em nhiều<
>Một Tết, hai, ba Tết,<
>Thời gian như rượu say<
>Thấm bao giờ không hay...<
>Bài toán khó, em hỏi,<
>Trêu cợt, anh lắc đầu:<
>""Em hỏi thày giáo chứ;<
>Anh biết làm toán đâu!""<
>Em giận không cười nữa:<
>""Thôi thế anh về đi!""<
>- ""Trời! anh về sao được,<
>Bên ngoài đêm đã khuya!""<
>""Ờ nhỉ!"" em hốt hoảng<
>Trông ra phía hàng hiên...<
>Mây trời như nín thở,<
>Trăng hạ tuần vừa lên.<
>Bên này phía bàn học<
>Anh không nhìn thấy trăng<
>Nhưng mắt em vời vợi<
>Chứa cả mấy cung Hằng.<
>Thẫn thờ anh đứng dậy<
>Đến gần em, dỗ dành.<
>Hiểu ý người trong cuộc<
>Mây ngoài trời bay nhanh.<
>Trăng vơi mà vẫn tỏ,<
>Giận nhau càng yêu thêm.<
>Run rẩy, anh ngâm khẽ<
>Rằng: Hăm-mốt nửa đêm!<
>Chuông đồng hồ phụ họa<
>Thành bản nhạc Tình-si.<
>Hai đứa lại ngồi học<
>Nay mai rồi sắp thi.<
>Chẳng bài toán nào khó<
>Hơn bài toán đôi ta:<
>Nhân lên hay cộng lại<
>Cho đêm dài mãi ra?<
>Sao không đêm bất tận?<
>Để anh ngồi luôn đây<
>Nhìn em và vuốt tóc<
>Chờ môi dâng rượu đầy!<
>Anh đặt lại con số<
>Em vẽ lại góc vuông...<
>""Xong rồi!"" Anh ném bút,<
>Cười vui như điên cuồng.<
>""Này nhé, anh hăm-mốt;<
>Em cũng tròn mười lăm.<
>Chỉ có mỗi một cách:<
>Từ đây duyên trăm năm.""<
>""Trăm năm!"" em hỏi lại;<
>""Đêm dài đến thế sao?""<
>Đồng hồ điểm hai tiếng<
>Giữa hai bàn tay trao...<
>Giòng đời rót hạnh phúc,<
>Bao nhiêu đêm ngồi kề<
>Bấy nhiêu vòng khăng khít<
>Buộc đôi hồn si mê.<
>Rất nhiều sớm chủ nhật<
>Anh xuống phố lang thang<
>Rồi đến chiều, đến tối<
>Cũng không về ""rừng hoang"".<
>Ôi, khu rừng Bách-thảo,<
>Quán trọ đời thư sinh,<
>Hươu nai hoa cỏ đẹp<
>Nhưng bằng đâu Quê Tình!<
>Những trưa hè nóng bức<
>Cả nhà đều ngủ yên<
>Phòng học mênh mang quá,<
>Chỉ còn anh với em.<
>Những chiều đông rét mướt<
>Cả nhà ngồi vây quanh<
>Bàn ăn khói nghi ngút,<
>Gần em vẫn có anh.<
>Những tối đi coi hát<
>Cải-lương từ Nam ra,<
>Hẹn hò nhau hai đứa<
>Cùng đi với cả nhà.<
>Hà-nội sân khấu lớn",thơ tự do,https://isach.info/poem.php?poem=ba_chu_me_hoac__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bạc Tình,"Nhìn quanh chiều xám với tha ma<
>Vắng tanh ôi chiều nơi tha ma<
>Nhưng đâu đây ai khóc gần hay xa<
>Mà thảm thiết hay thu vừa nức nở<
>- Không không phải giọng hờn trong sắc úa<
>Không cũng không âm nhạc của màu phi<
>- Tiếng mùa thu ta lắng đã quen tai<
>Nhưng gió tắt mà sao còn động cỏ<
>Hoa lung lay vật vã nắm hương tàn<
>Hay tiếng khóc dâng lên từ đáy mộ<
>Của muôn đời chưa nín hận lìa tan<
>Ngậm ngùi u uất<
>Não nuột than van<
>Oán thương chi mà cay đắng muôn vàn<
>- Ta chẳng biết nhưng ai mà biết được<
>Chân đứng lại hồn trôi vào thuở trước<
>Tưởng chừng nghe thánh thót lệ người xưa<
>Hán Minh Phi muôn dặm đất Thuyền Vu<
>Tiếc cung điện Trường An còn nức nở<
>Ai vụng tính để cung đàn lỡ dở<
>Ai quên lời sai hẹn lúc chia tay<
>Mắt mòn trông ải Nhạn khói mây đầy<
>Ngậm ngùi u uất<
>Não nuột chua cay<
>Oán thương chi mà xương máu tràn đầy<
>- Sao tiếng khóc còn dâng thê thiết mãi<
>Bóng chiều buông đã lạnh kín tha ma<
>Từ cõi âm còn vẳng đến lòng ta<
>Niềm di hận của ai người bạc mệnh<
>Tay run rẩy nhưng không vì gió lạnh<
>Bỗng để rơi trên cỏ nắm vàng hương<
>Ta vừa thấy một linh hồn mỏng mảnh<
>Níu vai ta đòi trả lại yêu đương<
>Lòng chơ vơ rùng rợn nỗi kinh hoàng<
>Lời cay đắng tưởng vô cùng bất tuyệt<
>Ngậm ngùi thống thiết<
>Rầu rĩ thê lương<
>Tiếng nức nở trên vai nhường rỏ huyết<
>Niềm oán hận càng nghe càng rõ rệt<
>Ôi trăm đau nghìn tủi quá bi thương<
>Chiều hôm nay ta viếng mộ một tình nương",bảy chữ,https://isach.info/poem.php?poem=bac_tinh__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bài Ca Bình Bắc,"Đổ xuôi chiều vươn ngược hướng<
>Bao trùm lên đầu cuối Thời Gian.<
>Bóng ấy đã ghi sâu vào tâm tưởng<
>Khắc sâu vào trí nhớ dân gian<
>Một bành voi che lấp mấy ngai vàng.<
>Ôi Nguyễn Huệ người anh hùng áo vải<
>Muôn chiến công, một chiến công dồn lại<
>Một tấm lòng, muôn vạn tấm lòng mang.<
>Ngọn kiếm trỏ, bao cánh tay hăng hái<
>Ngọn cờ vung, bao tính mệnh sẵn sàng.<
>Người cất bước, cả non sông một dải<
>Vươn mình theo - dãy Hoành Sơn mê mải<
>Chạy dọc lên thông cảm ý ngang tàng.<
>Cũng chồm dậy đáp lời hô vĩ đại<
>Chín con rồng bơi ngược Cửu Long giang<
>Người ra Bắc, oai thanh mờ nhật nguyệt<
>Khí thế kia làm rung động càn khôn.<
>Lệnh ban xuống, lời lời tâm huyết<
>Nẻo trường chinh ai dám bước chân chồn.<
>Gươm thiên cựa vỏ,<
>Giặc không mồ chôn.<
>Voi thiên chuyển vó,<
>Nát lũy, tan đồn<
>Ôi một hành ca hề, gào mây, thét gió,<
>Mà ý tướng, lòng quân hề, bền sắt, tươi son.<
>Hưởng ứng sông hồ giục núi non<
>«Thắt vòng vây lại» tiếng hô ròn<
>Tơi bời máu giặc, trăng liềm múa<
>Tan tác xương thù, ngựa đá bon.<
>Sim rừng, lúa ruộng, tre thôn,<
>Lòng say phá địch, khúc dồn tiến quân<
>Vinh quang hẹn với phong trần<
>Đống Đa gò ấy, mùa xuân năm nào.<
>Nhớ trận Đống Đa hề thương mùa xuân tới<
>Sầu xuân vời vợi<
>Xuân tứ nao nao<
>Nghe đêm trừ tịch hề, máu nở hoa đào,<
>Ngập giấc Xuân tiêu hề, lửa trùm quan tái<
>Trời đất vô cùng hề, một khúc hát ngao<
>Chí khí cũ gầm trong da thịt mới<
>Vẳng đáy sâu tiềm thức, tiếng mài dao,<
>Đèo Tam Điệp hề, lệnh truyền vang dội<
>Sóng Sông Mã hề, ngựa hí xôn xao<
>Mặt nước Lô Giang hề, lò trầm biếc khói,<
>Mây núi Tản Viên hề, lọng tía giương cao...<
>Rằng: «Đây bóng kẻ anh hào<
>Đã về ngự trên ngã ba thời đại»<
>Gấm vóc giang san hề, còn đây một dải<
>Thì nghiệp lớn vẻ vang<
>Thì mộng lớn huy hoàng<
>Vẫn ngàn thu còn mãi...<
>Ôi ngàn người áo vải đất Qui Nhơn!<
>Nay cuộc thế sao nhòa, bụi vẩn,<
>Lũ chúng ta trên ngã ba đường<
>Ghi ngày giỗ Trận<
>Mơ Bắc Bình Vương<
>Lòng đấy thôn trang hề, lòng đây thị trấn<
>Mười ngã tâm tư hề, một nén hương<
>Đồng thanh rằng: «Quyết noi gương!»<
>Để một mai bông thắm, cỏ xanh rờn<
>Ca trống trận thôi lay bóng nguyệt.<
>Mừng đất trời gió bụi tan cơn<
>Chúng ta sẽ không hổ với người xưa<
>Một trận Đống Đa ngàn thu oanh liệt<
>Vì ta sau trước lòng kiên quyết<
>Vàng chẳng hề phai, đá chẳng sờn",bảy chữ,https://isach.info/poem.php?poem=bai_ca_binh_bac__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bài Ca Hoài Tố,"Mùa đã sắp thu rồi, trăng ướt sương<
>Nến bụi chiêm bao, nằm xa nhớ thương<
>Hơi tiếng xưa, còn gió thơm canh trường<
>Em Kiều Thu giờ, lầu ai phấn hương<
>Ôi tóc xõa buông mây - trầm, tuổi nguyệt tròn gương<
>Mỏi mắt tương tư hoài, riêng đầu sông Tương<
>Máu rụng cánh hoa lề phố cũ<
>Tan tác thuở ân tình chớm nụ<
>Trăng xế lan can - ồ, vai kề yêu đương<
>Nửa giấc cô miên - này, bóng hoa động tường<
>Một phen tan vỡ miếu đường<
>Ôi mây mùa thu, nguyệt mùa thu<
>Dĩ vãng sầu cao vời vợi<
>Tháng sáu mười hai rồi, em hỡi Kiều Thu<
>Ta đốt tâm hương mà phương trời gọi em<
>Hồn phách khuya nay chừng gối chăn êm đềm<
>Có gợn cảm thông nào, làn da tuyết trinh<
>Nơi vết hôn xưa từng cháy men đa tình<
>Trăng sầu rung sáng rèm the<
>Một chút kỳ hương ta gửi đó<
>Hồn ta đã ta vào hơi gió<
>Quanh quất mình em rồi, hồn em có nghe<
>Mười năm rụng ước phai thề<
>Ôi hoa đầu tiên, mộng đầu tiên<
>Lòng ấy sông bồi núi lở<
>Tháng sáu mười hai rồi, em nhớ hay quên<
>Chớm thu ngày bước sang thuyền<
>Lại đã mười hai tháng sáu<
>Nghe mờ hận cũ hoa sen<
>Ngút ánh trăng phơi ngoài giậu<
>Bốn hiên khuya tà nguyệt bạch lên sương<
>Chiếc áo năm qua - hừ, buổi mai tựu trường<
>Vạt mỏng manh the - này, ta quỳ dưới chân<
>Đôi gót san hô còn vắng tin bụi trần<
>Tuổi thiêng rụng cánh thiên thần<
>Ôi thôi - còn chi, em là ai<
>Giọt lệ chiều nay đẫm máu<
>Gọi hồn em ngày-chưa-tháng-sáu mười-hai<
>Ta đã mất em rồi, Kiều Thu ngày xưa<
>Hào quang đã phai rồi, tóc mun dòng thơ<
>Đã hết tìm em, dù chỉ tìm trong mơ<
>Thuở trước tinh anh mà thể phách bây giờ<
>Hãy tự hủy đêm nay vào dĩ vãng<
>Xuất thần cho tận nhập với hư vô<
>Lòng hết trần gian, đời thôi năm tháng<
>Ôi Kiều Thu! Hồn em cũ ngây thơ<
>Ta sẽ gặp chính-em-mùa-thệ-ước<
>Con đường Tận Thế trăng lu<
>Vì ta vẫn là ta-thuở-trước<
>Kiều Thu ơi hỡi Kiều Thu",bảy chữ,https://isach.info/poem.php?poem=bai_ca_hoai_to__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bài Ca Ngư Phủ,"Màu xanh cây lúa mờ xa cánh đồng<
>Hoàng hôn nhuộm úa thu già trên sông<
>Lênh đênh trời nước bềnh bồng<
>Thuyền trôi như lướt hư không<
>Vòm cao dìu dặt<
>Chen sắc lam hồng.<
>Ai xòe chiếc quạt mênh mông<
>Đỏ cháy non Đoài?<
>Vằng vặc phương Đông<
>Chén vàng ai cất dâng mời?<
>Ta say chén nguyệt, tình ơi<
>Lời ca ta gửi xa vời thăm thẳm buồng thêu...<
>Cầm ngang mái chèo<
>Buông theo dòng lạnh<
>Một con thuyền trong ánh tà dương<
>Hồn nương tiếng hát<
>Trôi giạt về đâu<
>Gió đưa giùm nhé qua lầu cô gái đài trang<
>Rằng ta vò võ yêu nàng<
>Song hoa bằn bặt khép<
>Nghìn dặm trong tấc gang<
>Hỡi người thâm khuê lụa gấm son vàng<
>Đây một kẻ si tình áo lá<
>Cuồng vọng mê nàng<
>Thao thức giữa trời cao nước cả<
>Dạo con thuyền ngư phủ ngược xuôi trường giang.<
>Tiền thân một giấc huy hoàng<
>Đào nguyên còn lộng hào quang đến giờ<
>Hỡi người nhan sắc vô tình ấy<
>Ta đã lòng son cháy ước mơ<
>Đắm say rồi nàng ôi<
>Dừng chèo lên tiếng hát<
>Vang lừng trăng gió phượng bay tìm đôi.",bảy chữ,https://isach.info/poem.php?poem=bai_ca_ngu_phu__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bài Ca Sát Thát,"Đoàn người ấy mọc lên trong sa mạc,<
>Cả một rừng gươm trên lưng ngựa trường thành<
>Đoàn quân ấy từ phương Đông xuất phát,<
>Lũ con hoang bất trị của trời xanh<
>Chỉ nhắp có hơi men sung sát,<
>Chỉ say sưa bằng những miếng giao tranh,<
>Nhằm hướng Phi châu<
>Ngựa vọt tới đâu là đời sống tan tành,<
>Biển ngập máu còn mang tên Hồng Hải<
>Cờ phất Âu châu,<
>Ngựa giẫm tới đâu là xương phơi thịt vãi<
>Biển đeo tang còn Hắc Hải ghi danh...<
>Như ngọn cuồng lưu, như cơn bão cát<
>Từ Mông Cổ, Tân Cương đến Ba Tư Bạch Đát,<
>Trở về Hoa Hạ, Yên kinh<
>Lũ Thiên triều từng Bắc chiến, Tây chinh<
>Lẽ nào để một phương không xéo nát!<
>Trời Nam riêng cõi thanh bình<
>Lẽ nào để chiếc ngai vàng Thát Đát<
>Ba chân trời Đại Lục đứng chênh vênh!<
>Hay đâu: Bắc phương vừa quẫy đuôi kình<
>Rồng thiêng sớm đã cựa mình Nam phương<
>Trần triều hai Thánh Đế<
>Hương Đạo một Đại Vương<
>Hội mở Diên Hồng, đất nước vang rền khí thế,<
>Hịch truyền Vạn Kiếp, trời mây sáng rực văn chương.<
>Ý gửi tự muôn dân, lệnh trao từ chín bệ<
>Thì nắm đầu giặc như chơi, cướp giáo giặc cũng dễ.<
>Đây cửa sông Hàm Tử, bến đò Chương Dương!<
>“Nuốt sao Ngưu” chẳng phải việc hoang đường<
>Nam phương cường, Bắc phương cường!<
>Máu đào loang sóng Phú Lương mấy lần...<
>Sét nổ trăm hai ngọn ải Tần,<
>Giang hoài biên tỉnh lại ra quân<
>Năm mươi vạn tinh binh ruổi ngựa<
>Tràn xuống Thăng Long như một khu rừng bốc lửa.<
>Những “Cây Sắt” con nòi Thiết Mộc Chân!<
>Giống Hồng Lạc giữa hai đường sanh tử<
>Trông lên sợi tóc buộc ngàn cân<
>Chợt đâu đó xé rèm mây quá khứ,<
>Xa thăm thẳm mấy ngàn năm Việt sử<
>Rọi về tia mắt tiền nhân:<
>Thiêu tàn khoảnh khắc bao do dự<
>Cả thép vô danh cũng rực ánh gươm thần...<
>Sát cánh vua cùng dân<
>Chung lòng với tướng quân<
>“Phá cường địch” cờ ai sáu chữ<
>Báo hoàng ân là báo quốc ân<
>Trăm họ chẳng ai còn lưỡng lự<
>Sông núi nào riêng một họ Trần.<
>Bình Than lạ nổi phong vân<
>Một gươm Tiết chế hai lần trao tay.<
>Lời Đại Vương truyền nín cỏ cây<
>Ba quân hào khí ngất tầng mây<
>Vụt nghe tướng lệnh, vươn mình thét:<
>-Sông Bạch Đằng tôi có mặt đây!<
>Hán hồ cũng đến chôn thây<
>Trước sau một khúc sông này mà thôi...<
>Và xuống ngôi, theo lệnh Đại Vương truyền.<
>Nước rút đi, như ngàn vạn mũi tên<
>Lấy Đông Hải làm bia nhằm bắn tới<
>Một ám hiệu Kình nghê vừa mắc lưới,<
>Thuyền Vương Sư liền quật khởi tranh phong<
>Tay chèo nổi ngược cơn dông<
>Tiếng hò “Sát Thát” vang sông ngập bờ.<
>Duyên Giang một giải,<
>Lau cũng phất cờ<
>Mùa xuân gần cuối<
>Vẫn sóng bay hoa<
>Ngang trời động sấm tháng ba,<
>Dọc sông chớp giật, sáng loà gươm đao...<
>Cũng nơi đây Bạch Đằng Giang một khúc,<
>Ngô Vương từng chém Hoằng Thao<
>Gió mây thôi thúc<
>Quằn quại ba đào<
>Chợt tưởng niệm máu càng sôi sục,<
>Tinh thần quyết thắng bốc lên cao.<
>Thế phản công làm giặc dữ nôn nao<
>Chúng hoảng hốt vội thu quân về thượng lưu sông Bạch,<
>Nhưng số phận Hung nô, người phương Nam đã vạch,<
>Hỡi ơi, bằng giáo sắt cắm ngang sông<
>Đáy trường giang là cả một bàn chông<
>Nằm đợi sẵn khi thuỷ triều xuống thấp<
>Đoàn thuyền giặc lui qua bị xô nghiêng, lật sấp<
>Bị xé ra từng mảng vỡ tan thây...<
>Giữa lúc rồng thiêng mở vuốt tung mây<
>Quân tiếp ứng của Vương Sư ào xuất trận<
>Và Hưng Đạo Đại Vương Trần Quốc Tuấn<
>Hiện ra như một vị thần linh<
>Chớp mắt trên sông bặt sóng kình<
>Thế là đã nơi này bỏ xác<
>Lũ con hoang của trời sa mạc<
>Khắp Á, Âu từng vạn lý trường chinh<
>Bọn chúng ngờ đâu một sớm cõi Lý Minh<
>Thân bách chiến bỗng quay về hột cát<
>Trôi theo sóng cả tiếng tăm nòi Thát Đát<
>Cả giấc mơ xâm lược chúa Hồ Nguyên...<
>Ấy ai qua chốn giang biên<
>Khói đầy khoang giấc sầu miên lạnh lùng<
>Tiếng kình vang đợt sóng rung<
>Có nghe chăng có thẹn thùng người xưa?<
>Riêng ai nước cũ mây mờ<
>“Thái Bình Diên Yến” câu thơ lệ nhoà<
>Tháng Giêng kỷ niệm Đống Đa<
>Sông Đằng kỷ niệm tháng ba mấy lần?<
>Đầu mùa xuân, cuối mùa xuân<
>Cánh tay Đế Nguyễn, Vương Trần nào ai?<
>(trích báo xuân Ất Dậu Sài Gòn Nhỏ)",bảy chữ,https://isach.info/poem.php?poem=bai_ca_sat_that__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bài Ca Sông Dịch,"Đời lắng nghe đây trầm tư hồn bể dâu<
>Bàng bạc trường giang lạnh khói<
>Đìu hiu điệp khúc ly sầu<
>Đã mấy thời gian nằm u hoài sông Dịch<
>Tiễn kẻ một đi nguời kiếm khách Đông Châu<
>Ôi sông ngát dư linh! Trải bao đời có biết<
>Hào khí ai xưa giờ vang bóng nơi đâu<
>Phải chăng ngươi! Phải chăng kìa dấu vết<
>Tinh anh rờ rỡ ngàn sau<
>Nước trôi đây nước trôi bờ cõi Việt<
>Âm u gợn tiếng ghê màu<
>Ai tráng sĩ bao năm mài gươm dưới nguyệt<
>Còn tưởng nghe hồn thép múa sông sâu<
>Kinh Kha hề Kinh Kha<
>Vinh cho người hề! Ba nghìn tân khách<
>Tiễn người đi tiếng trúc nhịp lời ca<
>Biên thùy trống giục<
>Nẻo Tần sương sa<
>Gió thê lương quằn quại khói chiêu hà<
>Buồn xưa giờ chưa tan<
>Phong tiêu tiêu hề Dịch thủy hàn<
>Bạch vân! Bạch vân! Kìa ngang rừng phất phới<
>Ôi màu tang khăn gói lũ người Yên<
>Nhịp vó câu nẻo Hàm Dương tung bụi<
>Ta nghe, ta nghe! Này cuồng phong dấy lên<
>Tám phương trời khói lửa<
>Một mũi dao sang Tần<
>Ai trách Kinh Kha rằng việc người đã lỡ<
>Ai khóc Kinh Kha rằng thềm cao táng thân<
>Ai tiếc đường gươm tuyệt diệu<
>Mà thương cho cánh tay thần",thơ tự do,https://isach.info/poem.php?poem=bai_ca_song_dich__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bài Hát Cuồng,"Xuân có sang mà hoa không tươi<
>Ý ngát hoài chăng hề tuổi chớm ba mươi<
>Nằm say ngõ lạnh<
>Buồn nghe mưa rơi<
>Chiều xuống chênh song hề gió lên đầy trời<
>Ta đợi bóng hoa nào hiện<
>Ta lắng tin hương nào đến<
>Duyên kiếp gì đâu hề ta có chờ ai<
>Hương một sớm đã tan hề hoa đã phai<
>Đời họ bỏ ta hề riêng gì kẻ ấy<
>Tình trót lầm trao hề ta hỡi ta ơi<
>Đốt lửa mà lên hề về đâu chẳng vậy<
>Chới với hư vô hề ném xa hồn người<
>A ha - đập cho nát vụn<
>Tuôn châu òa bật lên cười<
>Ta có là ta chăng hề ai chứ là ngươi<
>Chậu sành tiếng đập ngàn năm cũ<
>Họa điệu chiều nay xác rã rời<
>Họa điệu chiều nay lòng rạn vỡ<
>Bi thương xưa hề đột nhập hồn tan tác rơi<
>Ta đã say hề men chếnh choáng<
>Ta đã mê hề khói chơi vơi",thơ tự do,https://isach.info/poem.php?poem=bai_hat_cuong__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
Bảng Vàng Hoa Tím,"Hà Nội xưa đưa nàng đi thi,<
>Có chàng thư sinh tình rất si.<
>Cài hoa lên tóc còn buông xõa<
>Chàng nhủ người yêu: Chớ sợ gì!<
>Hoa này, anh đã mất nhiều công<
>Chọn ở Hàng Bài, em biết không?<
>Đề khó đến đâu hoa cũng thuộc,<
>Rắc hoa đầy giấy góp là xong...<
>Nàng vui như Tết, vào sân trường,<
>Hy vọng bay theo lòng ngát hương.<
>Chàng đợi nàng trong rừng Bách Thảo,<
>Như trong huyền thoại của Đông Phương.<
>Đưa nhau ríu rít đón nhau về,<
>Ngày lại ngày... cho tình càng mê.<
>Bài Sử Địa hay bài Vạn Vật<
>Cũng đều tươi nét hoa ""Pensée""!<
>Đường lên Hàng Quạt gió say reo;<
>Cửa Bắc giờ đây bảng sắp treo.<
>Dựa sát vai chàng, hơi thở gấp,<
>Ôi, nàng cảm động biết bao nhiêu!<
>Người đi xem bảng mới lơ thơ,<
>Nắng sớm đùa trên cỏ nhởn nhơ.<
>Chàng dỗ dành: Em đừng nghĩ quẩn;<
>Yêu nhau, thi có trượt bao giờ!<
>Kia rồi: Hương phấn đã truyền tin!<
>Đôi lứa mừng, quên cả giữ gìn.<
>Tay khoác tay nhau làm cánh bướm<
>Song song, lìa sóng cỏ, bay lên.<
>Chợt nghe thiên hạ bảo thầm nhau:<
>Người đẹp Hàng Gai lại đỗ đầu!<
>Chàng ghé bên tai nàng, riễu cợt:<
>Áo hồng như thế áo cô dâu!<
>Nàng xem hoa nở đúng tên nàng<
>Rồi mỉm cười: Thôi, kệ bảng vàng!<
>Anh hãy cắt bài-thơ-áo-tím<
>Cho em mặc nhé! Rất thời-trang!<
>[ Sài Gòn 1967 ]",lục bát,https://isach.info/poem.php?poem=bang_vang_hoa_tim__vu_hoang_chuong,Vũ Hoàng Chương,hiện đại,
