title,content,genre,url,author,period,specific_genre
Anh Đã Giết Em,"Tập thơ Xuân Diệu:<
>Anh đã giết em, anh chôn em vào trái tim anh<
>Từ đây anh không được yêu em ở trong sự thật<
>Một cái gì đã qua, một cái gì đã mất<
>Ta nhìn nhau, bốn mắt biết làm sao?<
>Ôi! Em mến yêu! Em vẫn là người anh yêu mến nhất.<
>Cho đến bây giờ ruột anh vẫn thắt<
>Tim anh vẫn đập như vấp thời gian,<
>Nhớ bao nhiêu yêu mến nồng nàn,<
>Nhớ đoạn đời hai ta rạng rỡ<
>Nhớ trời đất em cho anh mở<
>Muôn thưở thần tiên<
>Ôi! Xa em, anh rơi vào vực không cùng<
>Đời anh không em, lạnh lùng tê buốt<
>Nhưng còn anh, còn em, mà đôi ta đã khác<
>Ta: hai người xa lạ - phải đâu ta!<
>Anh đã giết em, anh chôn em vào trái tim anh<
>Anh vẫn ước được em tha thứ<
>Anh vẫn yêu em như thưở ban đầu<
>Thế mà tại sao ta vẫn xa nhau?<
>Tại em cố chấp<
>Tại anh đã mất<
>Con đường đi tới trái tim em<
>Anh đã giết em rồi, anh vần ngày đêm yêu mến<
>Em đã giết anh rồi, em vứt xác anh đâu?",thơ tự do,https://isach.info/poem.php?poem=anh_da_giet_em__xuan_dieu,Xuân Diệu,hiện đại,
Anh Đợi Em Về Ăn Cơm,"Tập thơ Xuân Diệu:<
>Anh đợi em về ăn cơm<
>Trăng đã lên rồi, trăng sáng<
>Mảnh ngọc trên cây hoàng lan<
>Chắc thấy em trên đường vắng<
>Hẳn em đang còn đạp xe<
>Ba bề bốn phía em nghe<
>Hoàng hôn lan trên đồng rộng<
>Mà em đạp gấp chưa về<
>Hẳn em nghĩ đến ở nhà<
>Bếp chín cơm rồi đang đợi<
>Em nghe ấm ngọn đèn ta<
>Thấy đèn một chấm từ xa<
>Anh đứng dưới cây hoàng lan<
>Hoàng hôn như chiếc áo quàng<
>Bỗng mảnh trăng thu sáng quắc<
>Anh đợi em về ăn cơm....<
>Xuân Diệu 23/9/1966",bảy chữ,https://isach.info/poem.php?poem=anh_doi_em_ve_an_com__xuan_dieu,Xuân Diệu,hiện đại,
Anh Là Người Bạc Bẽo,"Tập thơ Xuân Diệu:<
>Ngẫm cho kỹ anh là người bạc bẽo,<
>Em yêu rồi, anh đã vội quên ngay<
>Mới hôm kia tình tự đến mê say<
>Sang bữa nay anh làm như mất hết<
>Anh đòi mãi như một kẻ keo kiệt,<
>Trong hồn anh tình ái chẳng lâu sao?<
>Anh không chắt chiu dành dụm tí nào,<
>Là đất xấu hạt gieo không nảy nở<
>Nên anh mới luôn luôn nghèo khổ<
>Giận hờn như anh chẳng được em yêu<
>Mà thật ra em yêu dấu rất nhiều<
>Ngẫm cho kỹ anh là người bạc bẽo",bảy chữ,https://isach.info/poem.php?poem=anh_la_nguoi_bac_beo__xuan_dieu,Xuân Diệu,hiện đại,
Anh Thương Em Khi Ngủ,"Tập thơ Xuân Diệu:<
>Anh thương em khi ngủ<
>Phong thái rất hồn nhiên.<
>Em ngủ như trẻ nhỏ<
>Ngon say một giấc liền.<
>Tay em thả xuôi xuôi<
>Như bơi vào cõi mộng<
>Mắt em khép dài dài<
>Dưới trán em lồng lộng.<
>Em nằm in trẻ nhỏ<
>Trong chiếc võng yêu thương<
>Anh dệt giăng khắp chỗ<
>Trong phòng, quanh quất giường.<
>Anh thức nhìn em ngủ,<
>Anh canh giấc cho em;<
>Anh lắng nghe nhịp thở<
>Ngực em điều xuống lên.<
>Trở mình, tay ấp má<
>Anh thương em dáng người<
>Tin cậy vào cuộc sống,<
>Tin ở anh trong đời<
>Sau một ngày đầy việc<
>Chúc em tôi giấc lành!<
>Anh vô cùng sung sướng<
>Nếu em mơ thấy anh.",thơ tự do,https://isach.info/poem.php?poem=anh_thuong_em_khi_ngu__xuan_dieu,Xuân Diệu,hiện đại,
Anh Về Ấm Thượng,"Tập thơ Xuân Diệu:<
>Anh về ấm thượng tìm em,<
>Nhà tranh một túp, hương đêm một vùng;<
>Bóng xanh vườn nhãn um tùm,<
>Khói ngưng mặt nước, sương trùm đầu non.<
>Anh về Ấm Thượng thăm em,<
>Gọi tên yêu, khẽ gõ rèm cọ khô.<
>Em đang thức ngủ mơ hồ,<
>Tưởng rằng anh ở trong mơ gọi thầm.<
>Thấy tay em xiết nỗi mừng;<
>Nhìn em: gương mặt sáng bừng đêm khuya.<
>Làng không một tiếng chân đi;<
>Trái tim ta chuyện thầm thì cùng nhau.<
>Đêm về Ấm Thượng chưa lâu,<
>Núi sông cây cỏ nhuộm màu thần tiên.<
>Chỉ cần một ánh nhen lên,<
>Một lời ý hiệp - nên thiên sử tình.",bảy chữ,https://isach.info/poem.php?poem=anh_ve_am_thuong__xuan_dieu,Xuân Diệu,hiện đại,
Áo Em,"Tập thơ Xuân Diệu:<
>Áo em để lại dáng hình<
>Treo trên mắc áo cho mình thấy thương<
>Đôi vai nho nhỏ bình thường<
>Khuỷu tay áo gợi hình xương tay gầy.<
>Sờn sờn đôi chỗ đâu đây.<
>Áo em nhuộm chắc, xanh tày biển xa,<
>Mấy khuy cúc áo thật thà.<
>Ngắn rồi - em để về nhà mặc thêm.<
>Áo nhìn anh thật thương em<
>Hiểu còn gian khổ cho nên tay gầy.<
>Áo em gần với anh thay!<
>Những khi khoai sắn là ngày cùng nhau.<
>Áo em thoang thoảng hoa câu<
>Áo em say đắm một màu trầm hương<
>Áo em ngày nhớ đêm thương<
>Áo em chín nắng mười sương anh chờ.",bảy chữ,https://isach.info/poem.php?poem=ao_em__xuan_dieu,Xuân Diệu,hiện đại,
Bác Đi Xa Cháu Nhớ Ghê,"Tập thơ Xuân Diệu:<
>Bác đi xa cháu, nhớ ghê<
>Thằng cu Vũ, bác chưa về được thăm.<
>Bây giờ cháu đã lên năm,<
>Từ khi nhỏ xíu cháu nằm trên tay,<
>Bác rất yêu cái thằng này,<
>Tưởng như có cháu là hay trên đời.<
>Bác xem là một con người<
>Còn non, đang bú tay, vòi đó thôi;<
>Có khi bác đứng bên nôi<
>Muốn đưa cho cháu cõi đời đẹp hơn.<
>Bây giờ cháu đã biết khôn<
>Bác ngồi làm việc, cháu luôn chạy vào<
>Bày trò chơi nhởi lao xao,<
>Đang chơi dở cuộc, lại ào chạy ra;<
>Lấy chăn phủ ghế chui qua,<
>Ngăn bàn thích lục, tranh gà thích xem:<
>Xếp rồi, cháu lại đảo lên,<
>Có ngày bác phải mười phen dọn nhà:<
>Khi gần, bác giận bác la,<
>Đi xa, bác lại nhớ mà rất thương.<
>Chiêm bao thấy cháu đêm trường<
>Bác hôn mặt Vũ như gương sáng bừng.<
>Hôm về bác cháu ta mừng,<
>Bác cho trăm thứ trong rừng Quì Châu.<
>(Quì Châu 20-5-1963)",bảy chữ,https://isach.info/poem.php?poem=bac_di_xa_chau_nho_ghe__xuan_dieu,Xuân Diệu,hiện đại,
Bá Nha Trương Chi,"Tập thơ Xuân Diệu:<
>Anh là người thuyền chài Trương Chi<
>Trong trái tim mang em đọng lại<
>Anh là người gảy đàn Bá Nha<
>Đã đặt em thành khúc nhạc ca<
>Khúc ca khi nắng và khi gió<
>Lúc nhặt khoan và lúc lặng im<
>Mang em ngày thắm và đêm biếc<
>Trong trái tim - nhưng vẫn còn tìm...<
>Ngọn sáo anh vừa chuốt trong lau<
>Lắng nghe ngọn sáo tiếng vi vu...<
>Bức hình anh mới in trong dạ<
>Xem thử bức hình trong như châu...<
>Một chiếc thuyền đi lại đi<
>Anh là người thuyền chài Trương Chi<
>Một khúc mê đời ca lại ca<
>Anh là người gảy đàn Bá Nha....",lục bát,https://isach.info/poem.php?poem=ba_nha_truong_chi__xuan_dieu,Xuân Diệu,hiện đại,
Bên Ấy Bên Này,"Tập thơ Xuân Diệu:<
>Lòng ta trống lắm, lòng ta sụp<
>Như túp nhà không, bốn vách xiêu<
>Em chẳng cứu giùm, em bỏ mặc<
>Mưa đưa ta đến bến đìu hiu<
>Em ở bên mình: ta ngó say;<
>Song le bên ấy với bên này<
>Cũng xa như những bờ xa cách<
>Không có thuyền qua, không cánh bay.<
>Ta thấy em xinh, khẽ lắc đầu<
>Bởi vì ta có được em đâu!<
>Tay kia sẽ ấp nhiều tay khác<
>Môi ấy vì ai sẽ đượm màu.<
>Họ sẽ ôm em với cánh tay<
>Và em yêu họ đến muôn ngày<
>Thôi rồi! Em chẳng thờ ơ nữa<
>Như đối cùng ta tự bấy nay.<
>Như đối cùng ta giữ cảnh mưa<
>Mà lòng không hiểu, trán bơ vơ<
>Không tăng âu yếm trong câu nói<
>Trong mắt còn nguyên vẽ hững hờ.",lục bát,https://isach.info/poem.php?poem=ben_ay_ben_nay__xuan_dieu,Xuân Diệu,hiện đại,
Bến Thần Tiên,"Tập thơ Xuân Diệu:<
>Xin em nói với thời gian<
>Ghé thuyền chở hộ ta sang bến thần.<
>Lên bờ vừa mới đặt chân<
>Nước non đâu bỗng trong ngần gần xa.<
>Quanh mình cũng chỉ có ta<
>Sao nghe nhân loại hòa ca với mình<
>Không hoa, cũng chẳng lá cành,<
>Mà sao em đã tạo thành sắc duyên<
>Tạo hình gió thoảng, trăng lên<
>Hoa bên bờ suối, mây trên đá gành.<
>Một mình em sáng tạo anh<
>Theo em, anh sáng tạo thành đôi ta.<
>Thời gian rót xuống dần dà<
>Một mình êm dịu bao la đất trời<
>Trải bao đau khổ trong đời<
>Mới dành cho - phút được ngồi - bên em.",bảy chữ,https://isach.info/poem.php?poem=ben_than_tien__xuan_dieu,Xuân Diệu,hiện đại,
